arrear	<font color=red>CHP:</font> acjjz\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
allá, allá lejos	<font color=red>CHP:</font> nakju\n<font color=blue>AYM:</font> jaya khuri, kha, khäna\n<font color=orange>ENG:</font> way over there, far away
aquí está esa	<font color=red>CHP:</font> nala\n<font color=blue>AYM:</font> akankiwa jupax\n<font color=orange>ENG:</font> here it is (f.)
ayudar	<font color=red>CHP:</font> nanapz = yanapz = yanapt'iz\n<font color=blue>AYM:</font> yanapaña, yanapt'aña\n<font color=orange>ENG:</font> to help
nadar	<font color=red>CHP:</font> narchiz\n<font color=blue>AYM:</font> tuyuña\n<font color=orange>ENG:</font> to swim
navidad	<font color=red>CHP:</font> nawitata\n<font color=blue>AYM:</font> nawirara\n<font color=orange>ENG:</font> Christmas
de lejos	<font color=red>CHP:</font> nawjkta\n<font color=blue>AYM:</font> jayata, khurita\n<font color=orange>ENG:</font> from far away
sentir	<font color=red>CHP:</font> nayz\n<font color=blue>AYM:</font> amayuña\n<font color=orange>ENG:</font> to feel
notar	<font color=red>CHP:</font> nayz\n<font color=blue>AYM:</font> amayuña\n<font color=orange>ENG:</font> to notice
oír algo sin verlo	<font color=red>CHP:</font> nayz\n<font color=blue>AYM:</font> amayuña\n<font color=orange>ENG:</font> to hear something without seeing it
por este motivo	<font color=red>CHP:</font> neeza\n<font color=blue>AYM:</font> uka layku, uka rayku\n<font color=orange>ENG:</font> because, for this reason
aquí	<font color=red>CHP:</font> nekz = tejkz\n<font color=blue>AYM:</font> akana\n<font color=orange>ENG:</font> here
ahí	<font color=red>CHP:</font> nekziqui\n<font color=blue>AYM:</font> khäna\n<font color=orange>ENG:</font> there
entonces, después	<font color=red>CHP:</font> nekztanaqui\n<font color=blue>AYM:</font> ukata, ukxaru\n<font color=orange>ENG:</font> then, next
negar	<font color=red>CHP:</font> nicarpay = ñicz\n<font color=blue>AYM:</font> janiw saña\n<font color=orange>ENG:</font> to deny
allá	<font color=red>CHP:</font> nicju = ticju\n<font color=blue>AYM:</font> khä\n<font color=orange>ENG:</font> over there
allá también	<font color=red>CHP:</font> nicjuc̈ha\n<font color=blue>AYM:</font> khän ukhamaraki\n<font color=orange>ENG:</font> also over there
ese, él	<font color=red>CHP:</font> nii\n<font color=blue>AYM:</font> uka, jupa\n<font color=orange>ENG:</font> that, he
esperar confiadamente	<font color=red>CHP:</font> nii nii z̈ejlñi kuzziz\n<font color=blue>AYM:</font> suyaña\n<font color=orange>ENG:</font> to wait in confidence
en tres días	<font color=red>CHP:</font> niipa\n<font color=blue>AYM:</font> kimsuruña\n<font color=orange>ENG:</font> in three days
de él, para él	<font color=red>CHP:</font> niiz̈ta\n<font color=blue>AYM:</font> jupana, jupata, jupataki\n<font color=orange>ENG:</font> his, for him
en seguida	<font color=red>CHP:</font> nijaru\n<font color=blue>AYM:</font> anchhichha\n<font color=orange>ENG:</font> immediately, at once
aquí está ese	<font color=red>CHP:</font> nila\n<font color=blue>AYM:</font> akankjiwa\n<font color=orange>ENG:</font> here it is (m.)
ellos, ellas	<font color=red>CHP:</font> ninaca\n<font color=blue>AYM:</font> jupanaka\n<font color=orange>ENG:</font> they
de ellos/ellas, para ellos/ellas	<font color=red>CHP:</font> ninacz̈tan\n<font color=blue>AYM:</font> jupanakataki, jupanakana\n<font color=orange>ENG:</font> theirs, for them
entonces, en este caso	<font color=red>CHP:</font> nipachaqui\n<font color=blue>AYM:</font> ukata, maykasuna\n<font color=orange>ENG:</font> then, in that case
arreglo para devolver el mismo que se ha prestado	<font color=red>CHP:</font> nipura\n<font color=blue>AYM:</font> askistachaña ukat kutiyxaña\n<font color=orange>ENG:</font> arrangement to return something that has been lent
por allí	<font color=red>CHP:</font> niran\n<font color=blue>AYM:</font> khayjana\n<font color=orange>ENG:</font> around there
tal vez	<font color=red>CHP:</font> nit-iz = cunami\n<font color=blue>AYM:</font> inasa\n<font color=orange>ENG:</font> maybe
siempre	<font color=red>CHP:</font> niz̈ta\n<font color=blue>AYM:</font> ukhampini\n<font color=orange>ENG:</font> always
de nada	<font color=red>CHP:</font> niz̈tallamekáz\n<font color=blue>AYM:</font> ukhamallakiwa, ukhamallaksa\n<font color=orange>ENG:</font> you're welcome
por fin, al fin	<font color=red>CHP:</font> niz̈tami\n<font color=blue>AYM:</font> ñakan jiqhattata, jichhakucha\n<font color=orange>ENG:</font> at last, finally
sin embargo	<font color=red>CHP:</font> niz̈tami\n<font color=blue>AYM:</font> ukhamipana\n<font color=orange>ENG:</font> however
copiar, hacer algo de la misma manera	<font color=red>CHP:</font> niz̈tapacha\n<font color=blue>AYM:</font> kijpa luraña, waraqaña\n<font color=orange>ENG:</font> to copy, to do completely the same
entonces, así entonces	<font color=red>CHP:</font> niz̈taqui\n<font color=blue>AYM:</font> ukat\n<font color=orange>ENG:</font> so then
por eso	<font color=red>CHP:</font> niz̈tiquiztan\n<font color=blue>AYM:</font> ukxata, ukata, ukalayku\n<font color=orange>ENG:</font> therefore, on account of, because of
calmar el dolor	<font color=red>CHP:</font> nons\n<font color=blue>AYM:</font> kalmaña\n<font color=orange>ENG:</font> to relieve the pain
poner	<font color=red>CHP:</font> nonz\n<font color=blue>AYM:</font> uchaña\n<font color=orange>ENG:</font> to put, to place
oír, escuchar	<font color=red>CHP:</font> nonz\n<font color=blue>AYM:</font> ist'aña\n<font color=orange>ENG:</font> to hear, to listen
día	<font color=red>CHP:</font> nooj\n<font color=blue>AYM:</font> uru\n<font color=orange>ENG:</font> day
"habría" (se utiliza con verbo para expresar una irrealidad)	<font color=red>CHP:</font> nuc\n<font color=blue>AYM:</font> -spawa\n<font color=orange>ENG:</font> "would" (verbal particle that expresses an unreality)
grande, largo, alto	<font color=red>CHP:</font> nucta = pakji = tuñata\n<font color=blue>AYM:</font> jach'a\n<font color=orange>ENG:</font> large, big, tall
así	<font color=red>CHP:</font> nuz̈\n<font color=blue>AYM:</font> ukhuma, ansi\n<font color=orange>ENG:</font> so, like that
hasta aquí no más	<font color=red>CHP:</font> nuz̈quiz\n<font color=blue>AYM:</font> ukaki\n<font color=orange>ENG:</font> no further than this point
eso no más	<font color=red>CHP:</font> nuz̈ukaz\n<font color=blue>AYM:</font> ukhamakiwa\n<font color=orange>ENG:</font> only that, nothing more
por fin	<font color=red>CHP:</font> nuz̈umi\n<font color=blue>AYM:</font> jichha khucha\n<font color=orange>ENG:</font> finally, at last
variedad de tola pequeña	<font color=red>CHP:</font> ñac'a\n<font color=blue>AYM:</font> ñak'a t'ula\n<font color=orange>ENG:</font> small type of tola
sufrir	<font color=red>CHP:</font> ñacz\n<font color=blue>AYM:</font> ñakaña\n<font color=orange>ENG:</font> to suffer
copular	<font color=red>CHP:</font> ñecz = ñekz\n<font color=blue>AYM:</font> chaxchaña, katuyaña, qhumaña\n<font color=orange>ENG:</font> to have sexual intercourse
mal carácter, malcriado	<font color=red>CHP:</font> ñejo\n<font color=blue>AYM:</font> jamachaka, ñaxu\n<font color=orange>ENG:</font> bad character, ill-bred
copular	<font color=red>CHP:</font> ñekz = ñecz\n<font color=blue>AYM:</font> chaxchaña, katuyaña, qhumaña\n<font color=orange>ENG:</font> to have sexual intercourse
negar	<font color=red>CHP:</font> ñicz = nicarpay\n<font color=blue>AYM:</font> janiw saña\n<font color=orange>ENG:</font> to deny
negro	<font color=red>CHP:</font> ñijro\n<font color=blue>AYM:</font> ch'iyara, ch'ara\n<font color=orange>ENG:</font> black
hombro	<font color=red>CHP:</font> ñiñi\n<font color=blue>AYM:</font> kallachi\n<font color=orange>ENG:</font> shoulder
vicuña	<font color=red>CHP:</font> oca\n<font color=blue>AYM:</font> wari\n<font color=orange>ENG:</font> vicuña
color café	<font color=red>CHP:</font> oca\n<font color=blue>AYM:</font> wari\n<font color=orange>ENG:</font> medium brown
conejillo silvestre	<font color=red>CHP:</font> occhaca\n<font color=blue>AYM:</font> tuju, quwi\n<font color=orange>ENG:</font> wild bunny
niño/niña de 2-5 años	<font color=red>CHP:</font> ocjala\n<font color=blue>AYM:</font> wawa\n<font color=orange>ENG:</font> -5 year old child
jarrita para sacar leche	<font color=red>CHP:</font> ojch\n<font color=blue>AYM:</font> yuru\n<font color=orange>ENG:</font> little jar used for milking
camino que se acaba	<font color=red>CHP:</font> ojkta\n<font color=blue>AYM:</font> thakhi tukusi\n<font color=orange>ENG:</font> road that ends
ir	<font color=red>CHP:</font> ojkz\n<font color=blue>AYM:</font> saraña, sara\n<font color=orange>ENG:</font> to go
descendencia	<font color=red>CHP:</font> ojkz\n<font color=blue>AYM:</font> tunu, wawan wawpa\n<font color=orange>ENG:</font> descent, ancestry
continuar con costumbres antiguas	<font color=red>CHP:</font> ojkz\n<font color=blue>AYM:</font> tira kustumpi luraña\n<font color=orange>ENG:</font> to continue ancient customs
hueco en el suelo, hoyo	<font color=red>CHP:</font> ojt\n<font color=blue>AYM:</font> p'iya\n<font color=orange>ENG:</font> hole in the ground
perezoso	<font color=red>CHP:</font> ojza\n<font color=blue>AYM:</font> jayra\n<font color=orange>ENG:</font> lazy
nudo para sujetar algo	<font color=red>CHP:</font> okjaña\n<font color=blue>AYM:</font> qachuchinu urquchinu\n<font color=orange>ENG:</font> knot to hang something, end of twisted rope
piedad, misericordia	<font color=red>CHP:</font> oks\n<font color=blue>AYM:</font> khart'apaya\n<font color=orange>ENG:</font> pity, mercy
fabricar boleadoras	<font color=red>CHP:</font> okz\n<font color=blue>AYM:</font> liwi luraña\n<font color=orange>ENG:</font> to make bolas
tener misericordia	<font color=red>CHP:</font> okz\n<font color=blue>AYM:</font> khart'ayasiña\n<font color=orange>ENG:</font> to have mercy
uno que hace quedar mal a familia/amigos	<font color=red>CHP:</font> omprawilla\n<font color=blue>AYM:</font> q'umita\n<font color=orange>ENG:</font> person who ruins the reputation of family/friends
hacer quedar mal	<font color=red>CHP:</font> omprawillz\n<font color=blue>AYM:</font> q'umiyaña\n<font color=orange>ENG:</font> to ruin the reputation of
regalo	<font color=red>CHP:</font> onanta\n<font color=blue>AYM:</font> churaña, rikalu, chhiqha\n<font color=orange>ENG:</font> gift
regalar	<font color=red>CHP:</font> onanz\n<font color=blue>AYM:</font> churaña, rakalaña\n<font color=orange>ENG:</font> to give a gift
onza	<font color=red>CHP:</font> onsa\n<font color=blue>AYM:</font> unas\n<font color=orange>ENG:</font> ounce
prestar reciprocamente	<font color=red>CHP:</font> onsnas = onsas\n<font color=blue>AYM:</font> purapal mayt'asiña\n<font color=orange>ENG:</font> to lend reciprocally
prestar	<font color=red>CHP:</font> onz\n<font color=blue>AYM:</font> mayt'aña\n<font color=orange>ENG:</font> to lend
oveja	<font color=red>CHP:</font> ooza = uuza\n<font color=blue>AYM:</font> uwija, uja\n<font color=orange>ENG:</font> sheep
hora, tiempo	<font color=red>CHP:</font> ora\n<font color=blue>AYM:</font> urasa\n<font color=orange>ENG:</font> hour
momento	<font color=red>CHP:</font> ora\n<font color=blue>AYM:</font> urasa\n<font color=orange>ENG:</font> moment
pronto (ahora)	<font color=red>CHP:</font> oralla\n<font color=blue>AYM:</font> uralla\n<font color=orange>ENG:</font> right away, at once
rápido	<font color=red>CHP:</font> oralla\n<font color=blue>AYM:</font> anchhata\n<font color=orange>ENG:</font> quickly
crepúsculo	<font color=red>CHP:</font> orazuna\n<font color=blue>AYM:</font> intiqununta, urashuna\n<font color=orange>ENG:</font> twilight
órgano, armonio	<font color=red>CHP:</font> orcana\n<font color=blue>AYM:</font> armunya\n<font color=orange>ENG:</font> organ, harmonium
pan de sangre, pan de quinua	<font color=red>CHP:</font> ota\n<font color=blue>AYM:</font> wila phari k'ispiña\n<font color=orange>ENG:</font> bread made of blood, bread made of quinua
¡que podemos hacer!	<font color=red>CHP:</font> oti\n<font color=blue>AYM:</font> kuns lursnaxa?\n<font color=orange>ENG:</font> what can we do!
empuñar	<font color=red>CHP:</font> ots\n<font color=blue>AYM:</font> q'aptapiña\n<font color=orange>ENG:</font> to seize, to grasp
hacer pan de quinua	<font color=red>CHP:</font> ots\n<font color=blue>AYM:</font> k'ispiñ luraña\n<font color=orange>ENG:</font> to make quinua bread
cansar, cansarse	<font color=red>CHP:</font> otz\n<font color=blue>AYM:</font> qariña, qarisiña\n<font color=orange>ENG:</font> to tire, to get tired
rodilla	<font color=red>CHP:</font> owa\n<font color=blue>AYM:</font> qunqura\n<font color=orange>ENG:</font> knee
nariz	<font color=red>CHP:</font> oza\n<font color=blue>AYM:</font> nasa\n<font color=orange>ENG:</font> nose
niño enfermizo	<font color=red>CHP:</font> ozkjura\n<font color=blue>AYM:</font> usupichaqu, usurk'uta\n<font color=orange>ENG:</font> sickly child
polluelo	<font color=red>CHP:</font> ozmacha\n<font color=blue>AYM:</font> chhiwchhi\n<font color=orange>ENG:</font> chick
fosa nasal	<font color=red>CHP:</font> ozpjeta\n<font color=blue>AYM:</font> nasa qaqa\n<font color=orange>ENG:</font> nostril
representante de un grupo	<font color=red>CHP:</font> ozziz\n<font color=blue>AYM:</font> jiliri, lanti\n<font color=orange>ENG:</font> representative of a group
veinte	<font color=red>CHP:</font> paatunca\n<font color=blue>AYM:</font> pätunka\n<font color=orange>ENG:</font> twenty
vientiuno	<font color=red>CHP:</font> paatuncmani\n<font color=blue>AYM:</font> pätunkmayani\n<font color=orange>ENG:</font> twenty-one
hacer	<font color=red>CHP:</font> paaz\n<font color=blue>AYM:</font> luraña\n<font color=orange>ENG:</font> to do, to make
plata, dinero	<font color=red>CHP:</font> paaz\n<font color=blue>AYM:</font> qulqi\n<font color=orange>ENG:</font> money
tipo de águila	<font color=red>CHP:</font> paca\n<font color=blue>AYM:</font> paka\n<font color=orange>ENG:</font> type of eagle
perro	<font color=red>CHP:</font> pacu\n<font color=blue>AYM:</font> anu\n<font color=orange>ENG:</font> dog
por paga	<font color=red>CHP:</font> pacuñ\n<font color=blue>AYM:</font> pajañ layku\n<font color=orange>ENG:</font> for pay
pagar	<font color=red>CHP:</font> pacz\n<font color=blue>AYM:</font> pajaña pallyaña\n<font color=orange>ENG:</font> to pay
gemelos	<font color=red>CHP:</font> pacha\n<font color=blue>AYM:</font> pachilu\n<font color=orange>ENG:</font> twins
mismo, todo	<font color=red>CHP:</font> -pacha\n<font color=blue>AYM:</font> -pacha\n<font color=orange>ENG:</font> same, all
madre tierra, pachamama	<font color=red>CHP:</font> pachamama\n<font color=blue>AYM:</font> pachamama, tira wirjina\n<font color=orange>ENG:</font> Mother Earth
inseguridad de vivir (bebés)/de producir (plantas)	<font color=red>CHP:</font> pachapaya\n<font color=blue>AYM:</font> pachapaya\n<font color=orange>ENG:</font> uncertainty to live (babies)/to produce (plants)
uno que se traslada dentro de su comunidad	<font color=red>CHP:</font> pach'ina\n<font color=blue>AYM:</font> pä ch'ina\n<font color=orange>ENG:</font> person who has moved within his community
dudar	<font color=red>CHP:</font> pachnakz\n<font color=blue>AYM:</font> paychnaqtaña\n<font color=orange>ENG:</font> to doubt
destruir (algo que tiene muro)	<font color=red>CHP:</font> pajlz\n<font color=blue>AYM:</font> allimukaña\n<font color=orange>ENG:</font> to destroy (something with walls)
conocer	<font color=red>CHP:</font> pajz\n<font color=blue>AYM:</font> int'aña\n<font color=orange>ENG:</font> to know
reconocer	<font color=red>CHP:</font> pajz\n<font color=blue>AYM:</font> int'aña\n<font color=orange>ENG:</font> to recognize
siete	<font color=red>CHP:</font> pakallaku\n<font color=blue>AYM:</font> paqallqu\n<font color=orange>ENG:</font> seven
noche entera	<font color=red>CHP:</font> pakara\n<font color=blue>AYM:</font> paqart'aña\n<font color=orange>ENG:</font> all night
grande, largo, alto	<font color=red>CHP:</font> pakji = nucta = tuñata\n<font color=blue>AYM:</font> jach'a\n<font color=orange>ENG:</font> large, big, tall
cuatro	<font color=red>CHP:</font> pakpic\n<font color=blue>AYM:</font> pusi\n<font color=orange>ENG:</font> four
crecer	<font color=red>CHP:</font> pakz\n<font color=blue>AYM:</font> jilaña, jilsuña\n<font color=orange>ENG:</font> to grow
ancho	<font color=red>CHP:</font> pala\n<font color=blue>AYM:</font> jak'anka, lunqhu\n<font color=orange>ENG:</font> wide
conversar, hablar, conquistar con palabras	<font color=red>CHP:</font> paljayz\n<font color=blue>AYM:</font> paljayaña, ula arusiña\n<font color=orange>ENG:</font> to talk, to conquer with words, to converse
bifurcado (camino, rio)	<font color=red>CHP:</font> paljt'ic̈ha\n<font color=blue>AYM:</font> jalt'aña jaljaña\n<font color=orange>ENG:</font> forked, bifurcated (road, river)
en forma de "v"	<font color=red>CHP:</font> palka\n<font color=blue>AYM:</font> palqa\n<font color=orange>ENG:</font> in the form of "v"
acordar	<font color=red>CHP:</font> palt'iz\n<font color=blue>AYM:</font> parlt'asiña, k'utisiña, aynisiña\n<font color=orange>ENG:</font> to agree, to decide
paloma	<font color=red>CHP:</font> paluma\n<font color=blue>AYM:</font> paluma\n<font color=orange>ENG:</font> pigeon, dove
pampa	<font color=red>CHP:</font> pampa\n<font color=blue>AYM:</font> pampa\n<font color=orange>ENG:</font> flat land, plains
deshacer, destruir por motivo de creencia	<font color=red>CHP:</font> pampatch\n<font color=blue>AYM:</font> pampachaña kupsuña\n<font color=orange>ENG:</font> to destroy something for religious reasons
orar	<font color=red>CHP:</font> pampatch\n<font color=blue>AYM:</font> risaña, aruwiri\n<font color=orange>ENG:</font> to pray
chico que anda con varias chicas	<font color=red>CHP:</font> pampitjoa\n<font color=blue>AYM:</font> qachilo\n<font color=orange>ENG:</font> boy who goes out with several girls
chica que anda con varios chicos	<font color=red>CHP:</font> pampitur\n<font color=blue>AYM:</font> pampa warmi\n<font color=orange>ENG:</font> girl who goes out with several boys
también	<font color=red>CHP:</font> -pan\n<font color=blue>AYM:</font> -nti\n<font color=orange>ENG:</font> also
incienso de azucar	<font color=red>CHP:</font> panalti\n<font color=blue>AYM:</font> panalta\n<font color=orange>ENG:</font> sugar incense
escarabajo	<font color=red>CHP:</font> pancatiya\n<font color=blue>AYM:</font> pankatiya\n<font color=orange>ENG:</font> black beetle
siempre	<font color=red>CHP:</font> pani\n<font color=blue>AYM:</font> -pini\n<font color=orange>ENG:</font> always
parecido, similar	<font color=red>CHP:</font> pantazñi\n<font color=blue>AYM:</font> kijpjamaki, kijpa\n<font color=orange>ENG:</font> similar
rosado	<font color=red>CHP:</font> panti\n<font color=blue>AYM:</font> pantila\n<font color=orange>ENG:</font> pink (color)
equivocarse	<font color=red>CHP:</font> pantjiz\n<font color=blue>AYM:</font> pantjasiña\n<font color=orange>ENG:</font> to be mistaken
paño, tela, pañuelo	<font color=red>CHP:</font> pañu\n<font color=blue>AYM:</font> pañu\n<font color=orange>ENG:</font> cloth, fabric, handkerchief
comida pequeña	<font color=red>CHP:</font> papalla\n<font color=blue>AYM:</font> manq'alla\n<font color=orange>ENG:</font> small meal
planta principal del pie	<font color=red>CHP:</font> papalli\n<font color=blue>AYM:</font> qutu kayu\n<font color=orange>ENG:</font> ball of foot
papel	<font color=red>CHP:</font> papila\n<font color=blue>AYM:</font> papila\n<font color=orange>ENG:</font> paper
costilla	<font color=red>CHP:</font> paqui\n<font color=blue>AYM:</font> jarapi\n<font color=orange>ENG:</font> rib
palo	<font color=red>CHP:</font> para\n<font color=blue>AYM:</font> sawu lawu\n<font color=orange>ENG:</font> stick
queroseno, parafina	<font color=red>CHP:</font> parajina\n<font color=blue>AYM:</font> parajina\n<font color=orange>ENG:</font> kerosene
brasa	<font color=red>CHP:</font> parasa\n<font color=blue>AYM:</font> k'aja\n<font color=orange>ENG:</font> hot coal
medias gruesas	<font color=red>CHP:</font> parcatu\n<font color=blue>AYM:</font> iskarpina\n<font color=orange>ENG:</font> thick socks
hilo poco torcido	<font color=red>CHP:</font> pari\n<font color=blue>AYM:</font> partata, pari k'antita, liawchha\n<font color=orange>ENG:</font> slightly twisted thread
nivelar un terreno	<font color=red>CHP:</font> parijiiz\n<font color=blue>AYM:</font> khuskhachaña, parijt'aña\n<font color=orange>ENG:</font> to level land
plano, parejo, bien cocido	<font color=red>CHP:</font> pariju\n<font color=blue>AYM:</font> pariju, khuskha, chiktata, chika\n<font color=orange>ENG:</font> flat, level, even, well-cooked
flamenco	<font color=red>CHP:</font> parina\n<font color=blue>AYM:</font> parina, pariwana\n<font color=orange>ENG:</font> flamingo
parientes	<font color=red>CHP:</font> parinti\n<font color=blue>AYM:</font> parinti (yuwani)\n<font color=orange>ENG:</font> relatives
aparecer	<font color=red>CHP:</font> pariz\n<font color=blue>AYM:</font> instaña\n<font color=orange>ENG:</font> to appear
par	<font color=red>CHP:</font> pariza\n<font color=blue>AYM:</font> parisa, yanani\n<font color=orange>ENG:</font> equal, pair
conversar	<font color=red>CHP:</font> parliz\n<font color=blue>AYM:</font> parlaña\n<font color=orange>ENG:</font> to talk
mediador	<font color=red>CHP:</font> parliziñi\n<font color=blue>AYM:</font> unanchiri\n<font color=orange>ENG:</font> mediator
hablar por parte de otra persona	<font color=red>CHP:</font> parliz̈inz\n<font color=blue>AYM:</font> parlayaña\n<font color=orange>ENG:</font> to speak on behalf of, to speak for
tuétano	<font color=red>CHP:</font> parpa\n<font color=blue>AYM:</font> parpa\n<font color=orange>ENG:</font> marrow
los otros	<font color=red>CHP:</font> parti nacami\n<font color=blue>AYM:</font> partinaka\n<font color=orange>ENG:</font> the others
parte por parte	<font color=red>CHP:</font> parti nacami\n<font color=blue>AYM:</font> partinaka\n<font color=orange>ENG:</font> bit by bit
repartir	<font color=red>CHP:</font> partillakas\n<font color=blue>AYM:</font> jaljaña\n<font color=orange>ENG:</font> to divide, to distribute
variedad de pasto	<font color=red>CHP:</font> parwaya\n<font color=blue>AYM:</font> parwaya\n<font color=orange>ENG:</font> type of grass
espiga de cereales	<font color=red>CHP:</font> parwaya\n<font color=blue>AYM:</font> ispiju\n<font color=orange>ENG:</font> top part of graines/cereals
pasaje, pasar los ríos	<font color=red>CHP:</font> pasaji\n<font color=blue>AYM:</font> pasaji\n<font color=orange>ENG:</font> river ford, to ford
pasar la juventud (personas), pasar la madurez (frutas)	<font color=red>CHP:</font> pasarz\n<font color=blue>AYM:</font> pasarata\n<font color=orange>ENG:</font> to pass youth (people), to pass the time of ripeness/blossom (fruits)
perder, perdido	<font color=red>CHP:</font> paspaz\n<font color=blue>AYM:</font> chhaqhata\n<font color=orange>ENG:</font> to lose, lost
desorientado	<font color=red>CHP:</font> paspaz\n<font color=blue>AYM:</font> paytayasiña\n<font color=orange>ENG:</font> disoriented
pasto	<font color=red>CHP:</font> pastu\n<font color=blue>AYM:</font> qura\n<font color=orange>ENG:</font> pasture, grass
lomita	<font color=red>CHP:</font> pata\n<font color=blue>AYM:</font> pata, churu\n<font color=orange>ENG:</font> hillock
cama de adobe	<font color=red>CHP:</font> patilla\n<font color=blue>AYM:</font> iki patilla\n<font color=orange>ENG:</font> adobe bed
grada	<font color=red>CHP:</font> patilla\n<font color=blue>AYM:</font> patilla\n<font color=orange>ENG:</font> step
ver a alma o espíritu	<font color=red>CHP:</font> patinti\n<font color=blue>AYM:</font> alma injaña\n<font color=orange>ENG:</font> to see a soul or spirit
cuatro estacas del telar	<font color=red>CHP:</font> patkiña\n<font color=blue>AYM:</font> pusi ch'akura\n<font color=orange>ENG:</font> four corner posts of loom
patrón, dueño	<font color=red>CHP:</font> patruna\n<font color=blue>AYM:</font> patruna\n<font color=orange>ENG:</font> boss, owner
canasta	<font color=red>CHP:</font> pats\n<font color=blue>AYM:</font> walaya\n<font color=orange>ENG:</font> basket of straw
mecha	<font color=red>CHP:</font> pawila\n<font color=blue>AYM:</font> pawila, micha\n<font color=orange>ENG:</font> wick
destapar canal	<font color=red>CHP:</font> pawks\n<font color=blue>AYM:</font> lluparpayaña\n<font color=orange>ENG:</font> to open canal
cortar paja	<font color=red>CHP:</font> pawkz\n<font color=blue>AYM:</font> llawiña\n<font color=orange>ENG:</font> to cut hay
desierto	<font color=red>CHP:</font> payi\n<font color=blue>AYM:</font> payi, wasa, wasarxa\n<font color=orange>ENG:</font> desert
de cobre	<font color=red>CHP:</font> payla\n<font color=blue>AYM:</font> payla\n<font color=orange>ENG:</font> made of copper
titubear, dudar	<font color=red>CHP:</font> paynaktiz\n<font color=blue>AYM:</font> paynaqtaña, ayllinkiña\n<font color=orange>ENG:</font> to hesitate, to doubt
ver de lejos, espejismo	<font color=red>CHP:</font> payz\n<font color=blue>AYM:</font> payi\n<font color=orange>ENG:</font> to see from a distance, mirage
sufrir	<font color=red>CHP:</font> paz\n<font color=blue>AYM:</font> t'aqisiña\n<font color=orange>ENG:</font> to suffer
demasiado tarde para curar	<font color=red>CHP:</font> pazaquipz̈\n<font color=blue>AYM:</font> pasakiraña\n<font color=orange>ENG:</font> to be too late to cure
pasear	<font color=red>CHP:</font> paziiz\n<font color=blue>AYM:</font> sarnaqaña\n<font color=orange>ENG:</font> to go for a walk
lapicero, bolígrafo	<font color=red>CHP:</font> pazta\n<font color=blue>AYM:</font> puntawula\n<font color=orange>ENG:</font> pencil, pen
temblar con enfermedad, escalofrío	<font color=red>CHP:</font> pazuma tsatz\n<font color=blue>AYM:</font> kharkhatiña\n<font color=orange>ENG:</font> to have chills, to shiver (sickness)
moler	<font color=red>CHP:</font> peckz\n<font color=blue>AYM:</font> iyuña, piqaña, qhunaña\n<font color=orange>ENG:</font> to grind, to mill
preguntar, averiguar	<font color=red>CHP:</font> pecunz\n<font color=blue>AYM:</font> chhikinuqaña\n<font color=orange>ENG:</font> to ask, to inquire
querer	<font color=red>CHP:</font> pecz\n<font color=blue>AYM:</font> munaña\n<font color=orange>ENG:</font> to like, to want
prender fuego	<font color=red>CHP:</font> pejkz\n<font color=blue>AYM:</font> lakt'ayaña\n<font color=orange>ENG:</font> to light fire
instrumento	<font color=red>CHP:</font> pejkz\n<font color=blue>AYM:</font> jiraminta\n<font color=orange>ENG:</font> instrument
molino de piedra, batán	<font color=red>CHP:</font> pekaña\n<font color=blue>AYM:</font> piqaña\n<font color=orange>ENG:</font> grinding stone
propio	<font color=red>CHP:</font> persuna\n<font color=blue>AYM:</font> pirsuna, -pa\n<font color=orange>ENG:</font> own, -self
su mismo, él mismo	<font color=red>CHP:</font> persunpacha\n<font color=blue>AYM:</font> jupapacha\n<font color=orange>ENG:</font> himself, the person himself
perder	<font color=red>CHP:</font> pertiz\n<font color=blue>AYM:</font> chhaqhayaña\n<font color=orange>ENG:</font> to lose
perdone, disculpe	<font color=red>CHP:</font> pertuna\n<font color=blue>AYM:</font> pirtuna\n<font color=orange>ENG:</font> excuse me
preguntar	<font color=red>CHP:</font> pewcz\n<font color=blue>AYM:</font> chhikt'aña\n<font color=orange>ENG:</font> to ask
limpiar	<font color=red>CHP:</font> pewz\n<font color=blue>AYM:</font> pichaña\n<font color=orange>ENG:</font> to clean
barrer	<font color=red>CHP:</font> pewz\n<font color=blue>AYM:</font> pichaña\n<font color=orange>ENG:</font> to sweep
ir a lugar donde no se debe, desviarse	<font color=red>CHP:</font> picz\n<font color=blue>AYM:</font> k'ita\n<font color=orange>ENG:</font> to be out of place, to wander off
el/la hermano/a menor	<font color=red>CHP:</font> pich lajk = pichu\n<font color=blue>AYM:</font> ch'uli, pichull\n<font color=orange>ENG:</font> youngest brother/sister
¡venga!	<font color=red>CHP:</font> picha\n<font color=blue>AYM:</font> jutam\n<font color=orange>ENG:</font> come!
escoba	<font color=red>CHP:</font> pichaña = pjijchaña\n<font color=blue>AYM:</font> pichaña\n<font color=orange>ENG:</font> broom
el/la hermano/a menor	<font color=red>CHP:</font> pichu = pich lajk\n<font color=blue>AYM:</font> ch'uli, pichull\n<font color=orange>ENG:</font> youngest brother/sister
