a'ạjtaba'	Mata caballo.
fatsujñe'	Rociar, remojar.
favaqui	Lavarse la mano u otra cosa.
favtij	Lavar, asear.
fave'	Lavar, limpiar objeto o cosa.
favu'vuij	Humedecer constantemente.
fayacĉan	Hacerla llamar.
faye'	Llamar.
fayactyi'	Ser llamado.
fecje'	Poner en fila.
fecjeyaqui	Poner en fila o línea.
fectidye'	Surco, fila.
fecyi	Ponerse en fila o línea.
fec̣haqui	Apretar el hilo cuando se teje.
fec̣haquis	Instrumento artesanal.
féfen	Testículo.
fei'taqui	Rayar o marcar en línea.
fei'tacdyes	Regla.
fejje'	Tocar flauta.
fejjemcai'	Pasar raspando casi por tocar.
feyaquis	Escuadra de carpintero.
fe'yaqui	Rayar, hacer línea.
fejtaqui	Tocar órgano, flauta.
fejquedye'	Sonido del instrumento musical.
fejquedye' p̂an	Plumas de las alas.
fen	Huevo.
fen'dyedye'	Tiempo de huevos que ponen las tortugas o aves.
feñi'	Poner huevos.
fer	Fuerte, con fuerza.
feryi	Hacer fuerza.
fertyi'	Fuerte.
ferdye'	Fuerza, poder.
ferdye' tui'	Persona que trae fuerza o poder.
ferecje'	Rayar con la uña.
fẹre'rei'	Sonido de una flecha volando.
feredye'	Andar rápido.
feroj	Duro.
feroty, fẹros	Objeto o cosa muy duro impenetrable.
fertuqui	Hacerlo con más ganas.
fertui'	Realizar alguna actividad con entusiasmo.
ferva'ti	Haciendo fuerza.
feshta	Fiesta.
feshtaij	Hacer fiesta.
feshtayeja'	Hagamos fiesta.
fetsje'	Cortar con machete.
fe'tsaqui	Rozar hacer chaco.
fetsectyei'	Soltar una soga, pita, etc.
fe'tsij	Senda, picada en monte.
feyi'vacdye'	Rayas o cuadrados (en papel).
fi'	Jugo.
fibity	Panada, inútil.
fibi' jäm' ji'ĉuti	Hipócrita.
fibi'yi	Farsear.
fibi'je'	Farsea, que se adelanta de hacer cosas sin saber.
fibi'yeti	Venir en vano.
fibi'naqui, fibi'ñe'	Jactarse, alabarse uno mismo.
fibi'ya'	Sacar fiado, sin costo, gratis.
fibi'ya' chij	Saber de memoria.
fibi'yequi	Ir en vano.
ficajyi	Extender, huir animales.
fídye'	Cintura, cadera.
fidye'	Sequia de un poso.
fíjfity	Soplador.
fi'i'	Que tiene jugo.
fijnacdye'	Acción de ventear.
fijnaqui	Venteando.
fịjnaqui	Silbando.
fijñe'	Ventear.
fijñitij	Ventearse.
fịjyi	Silbar.
fijyis	Silbaco.
fijyedye'	Silbido.
fịn	Cabello.
fin'je'	Tejer hilo uno por uno.
fíñeij	Bien afilado.
fiñi'	Cuerpo que le nace muchos pelos.
fị́ru	Perdiz pequeño de color oscuro.
fitu'baqui	Botar, echar fuera.
fitupjeyaqui	Botar algo que es de uno.
fi'tyi'	Semen o espermatozoides.
fiyero	Hierro.
fófor	Perdiz del monte.
fojyi	Silbar con las manos.
fo'je'	Vaciar o botar algo.
fopje'	Meter o insertar cosa u objeto.
fop bu'yi	Bien colocado, que no cae ni sale.
fóco	Foco de linterna.
foco'	Podrido.
focoij	Podrirse.
focoty	Podrido.
fochon	Cavar.
fochonje'	Acción de cavar.
fochojñe' jac	Cavar la tierra.
fochojnaqui	Estar cavando.
foi'je'	Raspar madera u otra cosa.
foi'tye'	Raspar la tierra u otra cosa.
foij	Perro del monte.
fojfe	Perdiz del monte.
fom'	Cuñada.
fon'	Descompuesto.
fon'je'	Sacar, descomponer.
fon'jiti	Descomponerse.
fónac	Sacar cosa de adentro y poner afuera.
fónaqui	Sacar cosa de uno hacia fuera.
fop	Poner adentro.
foqui' bu'yi	Montado.
foquin'je'	Montarlo (caballo, etc.).
foqui'tyity	Que está montado.
foyacje'	Operar o destripar.
foyactacdye'	Operación.
foyaqui	Raspar madera u otra cosa.
fucfucyi	Bramar (tigre).
fuchyi	Enojarse de nada.
fuda'cacdye'	Arado.
fudac	Trillar, hacer trillas.
fudye'	Chaisita (ave).
fuda'caqui	Arar, aflojar la tierra.
fudyi'dyij	Estar aburrido.
fujfuj	Mapajo.
fujyi	Ventear.
fujque'	Que está venteando.
fuju'juij	Viento permanente.
fur tyei'	Arder fuego.
furtyei'	Llamear.
furujruij	Estar con luz.
furquij	Con alta temperatura, llameando.
fuvan'yi	Humedece, exudar.
fuyaqui	Arrastrar o llevar jalando alguna cosa.
fuyen'je'	Jalar.
fuye'ñe'	Estar jalando.
fuyu'fuyu' mi'i	Caminar arrastrándose (paralítico).
fäcän'je'	Apalancar (manejar arma).
fäcän'yis	Manivela de arma.
fädye'	Chaisita (ave).
fäi'däij	Curvo, no recto.
fädäi'je'	Hacer curvo, armar arco.
fäi'däi'yai'	Medio curveado.
faijqui	Estar cansado (con lengua afuera).
fäjfäj	Paloma o chaisa.
fän'qui	Con hipo.
fän'quedye'	Hipo.
ịbijq̂ui	Achachairú (fruta silvestre).
i'bubuj	Tutuma, churuno, calabaza.
ichi'mun	Pequeña, mediana.
ichi'muntyi' - si'	Niños, cosas pequeñas, etc.
i'dojore'	Nombre mitológico dueño de los peses.
i'du	Mosca de color verde.
ịj a'	Piscua.
ịjaij	Terminar un trabajo. ỊJAI'. La mató.
iji'naqui	Hablar con ternura.
ijme	Flecha.
ijmeij	Hacer flecha.
ịjsi'taj	Fruta comestible de color rojo (nuí).
ijtapa'shi	Órgano de chancho de monte de olor muy fuerte.
ijtapa'shi	Planta clase de flor.
ijtyiquij	Alacrán, escorpión.
im'	Quijada.
in	Plural (muestra que son varios).
inajshere'	Hormiga pequeña de color negra.
in'ja'yisin'	Nausear.
in'yi - yi'	Causar nausea.
ịnoj	Ají picante.
inọj	Tiempo pasado (mismo día).
inọjĉan	De madrugada.
inọjĉandye	Muy temprano.
inọjdye, inojyai'dye	Hace rato (el mismo día).
intsiij, intsii'	Madurarse.
intsis	Maduro.
iñi'ñij-ñi'	Mal del estómago querer vomitar.
ịpị'	Loro cabeza ploma.
ị'po'	Tutuma pequeña para servir chicha fuerte (copa).
irij!	¡Cuidado!
irijyi	Tener miedo, respetar alguna cosa ajena.
írimo'	Palometa.
iri'taqui	No está de acuerdo.
iri'tye'	¡Cuidado! ¡No haga eso!, tener respeto (puede ser un peligro).
isatrij	Sustancia de cristal, usado como remedio.
isbara'	Mono nocturno, "cuatro ojos".
isinu'	Raya (pez).
ịsitai'	Chulupi pequeño.
isujqui'	Remolino de agua.
ishajje'	Espantar.
ishajvaqui, ishajnaqui	Espantar.
ị'shejshe'	Chuvi.
ịshij	Clase de pez, bagre.
isho'	Viejo, anciano, término de respeto.
ishoij	Envejecerse.
itij	Cogollo de palmera.
ịtsajtsa	Sabañón, enfermedad de la piel.
ítsi	Hoja para teñir hilo (color violeta).
itsidyei'si	Color violeta.
ịtsidye'	Clase de plátano.
itŝij, itŝi'	No hay, no está
itŝij tyeij	Desaparece de inmediato.
itŝijyi	Tener mucho miedo.
ị́tsiquidye'	Surubí.
ị́tsiquij	Tigre.
itŝijtuqui	Ausentarse por un tiempo.
ịtsity	Palanca, tarántula.
itsoj	Anguila.
itsuc	Tamaño pequeño.
itsu'caty	Corto.
ịtsu'qui'	Tamaño mediano.
ịtsu'quity	Pequeño, chico.
ịvaj	Luna.
ịvaj	Mes.
ịvadye'	Luna llena.
ivijnadye'	General, pez.
íya'	Paraba de color amarillo con azul.
iyijq̂ui'	Tarechi.
iyo'yejoij	Morir (leng. Fam).
jábiya'	Luego, más tarde.
jábiya'dye	Enseguida.
jac	Tierra, país, terreno, planeta.
jacĉan	Debajo de la tierra.
jacĉhe'	En la tierra.
jácabun	Venir a llevar una persona (no plural).
jacshajquejoij	Embarrarse, cuando está borracho.
jacsha'naqui	Estar con queresa (huevos de mosca).
jaĉujcatis -tity	Uno que cuida a otra persona, alzadora de niños.
jaĉhajĉhaij- ĉhai'	Estar con la boca abierta.
jaĉhen'yi	Abrir la boca.
jạ'ĉhijyi	Estornudar.
jadacdyi	Pillar o encontrar haciendo algo.
jadaquicdyi	Llegar de sorpresa, entrar, alcanzar (como enfermedad al cuerpo).
jadyic	Terminó, final.
jadyicĉan	Cabeceras de un río.
jadyicche'	En el ultimo, cumbre.
jadyicve	En el último, al final.
jadyiqui, jadyiĉa'	Ir y volver el mismo rato.
jadyiquis	El último, el fin.
jadyiti	Persona que llega y retornar al mismo día.
jafaijdyi	Le han llamado.
jafaquiti	Persona que se enoja constantemente con otra persona.
jáfi	Frente.
jafiche'	En la frente.
jai'bas	Blanco.
jai'baty, jai'bas	Color blanco o blanco.
jai'daqui, jai'dyete	Azuelear.
jai'daquis	Azuela.
jại'dye'	Enfermedad, utuo, afta, (enfermedad de la boca con manchas blanca).
jai'je'	Dividir, partir (carne).
jaijnas	Rojo.
jaijtyi'	Ave, término genérico.
jai'ñi	Hacha.
jai'si'	Flor estéril, no produce fruta.
jaja'yi	Reír.
jajai'jete	Hablar palabras ofensivas.
jajajai'tyi	Estar riendo (solo subjetivo masculino).
ja'jati	Sufrir de dolor (no plural).
jajav	Mosca pequeña.
jaja'ya'	Más tarde.
jajbu'ye'	Vivir con otra persona.
jajbu'yejaty - jas	Con el que vivimos.
jạjĉoshe'	Dormir con una mujer en su casa.
jajicdyi	Avisar, recoger a una persona.
jajicdyi	Mujer que elige al hombre para su marido.
jaji'ĉujtuyiĉun'ti	Mirar alguna persona que viene.
jaji'pendyi	Se lo convenció, lo derrotó.
jajri	Tener sed.
jajris	Sed.
jajqui	Bostezar.
jajru'	Majo (palmera).
jạjtsi'	Encinta, embarazada.
jam	No.
jam jun'	No, no se puede, imposible.
jamjun'tye'	Que no pudo hacer nada.
jam p̂eyaquity	Mudo, que no puede hablar.
jáman	Playa, arena.
jambi'	Todavía.
jambi'dyem' feshta	Antes de la fiesta, víspera.
jáme	Flor.
jame'ĉhuti	Detener una persona a la fuerza.
jame'ti-ti'	Persona que maltrata a otra persona.
jámi	Florecer.
jámosotuti	Esclavizar, hacer mozo a una persona.
jana'	Dónde.
ja'na'	Chapapa, palo para asar carne.
japac	Caliente.
japacsi'	Caliente (café, té, chocolate, etc.).
japacjodye'	Enfermedad.
japaĉoban'	Estar con menstruación (mujer).
japaĉoij	Enfermarse.
japac joi'	Calentarse.
japjoi'	Hacer de mal olor podrirse (carne, arroz mojado).
jạ'puij	Hacer flexible, suave.
jạ'puty, - pus	Flexible, blando.
jarajrai'tyi	Olor algo hediondo.
jarajras - ty	Podrido, hediondo, de olor feo.
jare'a	Jalea.
jaruj	Clase de fruta.
jásäsdyi -i'	Entender, comprender.
jasha'	¡A ver!
ja'sha	Chivé.
jashajshaij	Oler fuerte, feo.
jato'ti	Penetrar, pinchar.
jatupujti	Lo alcanzó o que le haga exacto.
jạtsa'chuti	Persona que sobrevive de otra persona.
jatŝen'je'	Alzar alas o brazos.
játŝuti	Persona que se contagia de enfermedad.
javqui	Pesado.
javquedye'	Peso.
javquije'	Hacerlo más pesado.
javtaqui	Asar o chapapear carne.
javaqui	Quemar chaco.
jávo	Jabón.
javujna'	Planta como patujú.
jayedye'	Espundia.
jayej	Falta.
jayejyi	Faltar.
jayejjotacdye'	Escasez de algo, estar con necesidad.
jayejjotaqui	Le faltó.
jayi (-i')	Gastarse (objeto o cosa).
jayi, jayi'	Tener espundia o enfermedades venenas.
jayu'ti	Colocar o posesionar alguien.
jeba'badye'	Bufeo (pez).
jebacdye'	Animal.
jébadyeyac	Avisaremos.
jebaqui	Comer algo, como ser tapeque, etc.
jebaqui - i'	Cazado por animal (tigre).
jecactyi'	Comprado, sacado, escogido.
jecajcaque'	Hacer huir a animales.
jecavcaqui	Asustarle, dar miedo hacer huir.
jecaqui	Sacar objeto o cosa de uno.
jectaqui	Sacarle algo de su familiar.
jéĉúnte	Reprender, hacerle alto.
jeĉhe'joij	Estar con los labios sueltos (cansado).
je'chejyi	Boca abierta, de cansancio, borracho, susto.
je'chety	Jetón.
jedac me'	Parece que es así.
jedacĉaij me'	Tal vez.
jedacdye'	Pala.
jedye'?	¿Qué?
jedye' in	Varios objetos o cosas.
jedye' a ĉa	Haber que cosa es.
jedye' ca'?	¿Qué cosa es?
jedye' yi?	¿A qué?, ¿Para qué?
jedye'che'	En qué está.
jedye'che'dyem'	No hay en que (cruzar el río, ir al pueblo, etc.).
jedyedyety dyem', jedyedyes dyem'	Para que sirve, inútil.
jedyedyes	Para qué.
jedyeij	Que tiene, que le pasa.
jedyeijca'	Que le pasó.
jedyetuijbuty	A que vino, a que fue.
jedye'tumtyi' - si'	Persona rica.
jedye'veij -vei'	Que quiere.
jẹjé	¡No ve!
jeijyi	Salir del camino, desviarse, apartarse.
jeijjeyaqui	Apartar del camino algún objeto o cosa propia.
jeijoij	Desviarse del camino principal.
jeijmuñi	Pasar por un lado o desviarse.
jẹjcai'	Seguir la acción, trabajando.
jẹjcai' nash añei'	Sigue lloviendo.
jéjech	Clase de bicho (cigarra).
jejmiti	Preparar alimento (cocinar).
jẹjmuqui	Cocinar algo que es de uno mismo.
jẹjmucsi	Que ya está cosida (comida, plátano).
jejmitidye'	Comida.
jemonjoij	Hundir, taparse con agua, desaparecer de la vista.
jemonaqui, jemoñe'	Necesitar, extrañar.
jen'	Padre, Dios.
jenje'	Carpir o cortar con pala.
jen'tui'	Adorar algo como Dios.
jentute	Tratar como su padre.
jen' yetacdye'	Padrastro, esposo de la madre.
je'na'aquí	Hacer nacer algo, como plantas, hijo, etc.
jen'dyes	Cosas para Dios.
jen'dyety	Tío, hermano del padre.
jentaqui	Carpir.
jen'tucdye'	Padrino.
jeñecdye	El mismo tamaño: lugar, laguna, etc.
jeñecve	En el mismo anchura, extensión como pueblo o lugar del mismo tamaño.
je'ñeij -ñei'	Parecido, parece, en apariencia.
jenej	Parece que es así.
jeñej bu'ban	Que reemplaza.
jeñej qui jam vämtyi'ya' mo'	Como sí no fuera su marido.
jeñejdye yéĉan jụijya'	Debiera haber ido a avisarles.
jeñejjeyaqui cui'si'	Tratarlo como si fuera de el.
jeñejyi'	Sonido parecido de algo.
jeñejqui'	Mismo tamaño.
jeñe'qui'vedye'	Misma anchura.
jéñetaqui-i'	Empeora la enfermedad.
jeñi	Parecer del padre (varón).
jéñi'	Parecer del padre (femenina).
jéñi'	Enfermedad avanzada.
jẹp̂anaqui, jẹp̂ane'	Poner las plumas a las flechas.
jep̂anaqui	Criar un niño.
jepepe	Mudo.
jeque'	Sacar.
jẹrdyij	Fragante.
jerdyij	Estar con tos.
jẹrecdyis	Sabrosa.
jẹrejres	Perfume, pomada de buen olor.
jẹ́rojro'	Mosca.
jesaj	Gusano.
jesec	Demasiado salado.
jesequi'	Salado.
jesha'	¡A ver!
jesha'bi	Vamos.
jesha'bi, ĉocja' quịjodye' yu	Vamos a ver mi chaco (terreno).
jeshajmaqui	Sacar punta, hacerlo puntado.
jeshajmaquis	Máquina para sacar punta, tajador de lápiz.
jeshajte, jeshan'	Venir a llevar a alguien.
jéshan'	Venir a avisar.
jeshocbo'	Espuma.
jeve'daqui	Pescar con red.
jev'je'	Sacar suciedad de la superficie de un líquido.
jev'taqui	Sacar muchos pescados de agua con red.
jéyacsi	Avisar a los de más.
jii'	Madurar.
jị'	Enfriar.
ji'a'c̣hitaqui	Ensuciar o hacer lo fregar algún objeto o cosa de uno mismo.
ji'anicja'ye'	Hacerle creer.
ji'anicja'yete	Hacerlo creer.
ji'añeye'	Hacerlo llover.
ji'mabaqui	Hacerlo engordar.
jíban	Enfría, dejar de enojarse, etc.
jíban'	Enfría, dejar de enojarse, etc.
jibaqui	Aplastar, árbol que cae sobre uno.
ji'basacsis	Partera.
ji'basaqui	Ayudar a su mujer dar a luz.
ji'bä'te	Hacerla sentar a una persona en un asiento.
ji'bä'ti	Vivir en un lugar sin que nadie le diga.
jibej	Trampa.
jibi' momo'	En vano.
jibi'	ĈHUM YI. Envano promete en el comienzo.
jibidyes	Que no es usual.
jibij	Cama, catre.
ji'bijtaqui	Hacer cargar, poner carga.
ji'bijtye'	Cargar.
ji'bijti	Embarcar en canoa, camión.
jibi'yity	Farsante.
jibi'naqui	Farsear.
ji'jiban'	Hacer madurar.
jibitis	Víveres.
jibi've	Andar en un lugar donde no hay animales para cazar.
jibi'ya'je'	Saber de memoria.
jibi'yaty -yas	Hijo nacido afuera de matrimonio.
ji'bojvaqui	Subir lo que es de uno mismo.
ji'bojve'	Hacerlo subir.
ji' mube'	Jalar objeto o cosa.
ji'cacati	Hacerse pasar entre medio de los otros sin que nadie sepa.
jị'cacdye'	Encomienda, encargo.
jịcacsequi	Ir a dejar varias personas.
ji'cajnaqui	Pasar en un peligro, problema.
jiĉav'que'	Hacerla huir (animal o persona).
jicajquiqui	Ir a dejar algo de uno.
ji'caman'ti	Dar vuelta.
ji'cam'te	Hacer callar.
ji'cam'ti	Se calla.
ji'ca'ñe'	Devolver alguna cosa prestada.
ji'ca'ñeban	Hacer regresar, devolver.
ji'caĉan	Mandar encomienda con alguien.
ji'ca'ñeyeban'	Devolver algo prestado.
jị'ĉojcaqui	Encargar una cosa para que cuiden.
jị'caquiĉan	Donde se acostumbra mandar encomienda o dinero.
ji'carijtaqui	Hacerlo trabajar (hijo empleado, etc.).
ji'carijti	Molestar.
jiĉavque'	Hacerlo huir.
ji'cav'caqui	Hacer huir lo que es de uno.
jị'cavaqui	Mostrar lo es de uno.
ji'cave'	Mostrar, hacerlo ver.
jị'caveyaqui	Hacerlo ver, mostrarles a los demás lo es de uno.
ji'caveyacsi	Mostrar milagro, mostrar a otros alguna cosa.
ji'cavintye'	Agilizar.
ji'caviti	Hacer demostración, hacerse ver.
jị'cayaqui	Mandar, despachar con otro.
ji'cächtac	Añadir.
ji'cächtaqui	Añadirle, aumentarlo, hacer más grande o largo.
ji'cädäjtaqui	Hacerla desnudar.
ji'cädäjtye'	Hacerlo desnudar con otra persona.
ji'cän'taqui	Hacer juntar el fuego con otra persona.
jị'cätsaqui	Igualar, emparejar.
jicdyi	Superar en el trabajo o estudio tener éxito.
jicdyi jen'dyes	Crecer, llegar a tener fuerza en el Señor.
jị'ĉocdyes	Letrero, parábola, muestra.
jị'codaqui	Hacer orar, rezar.
ji'ĉocdyety - des	Objeto para muestra.
jị'coijtaqui	Hacer girar o dar vueltas algo propio.
ji'coijtye'	Hacer dar vueltas.
jicoj	Sal.
jị'ĉojcaqui	Hacerlo cuidar.
jị'ĉojcaye'	Mirar de paso.
jị'ĉojtaqui	Probar algo, estrenar.
jị'ĉojtacdyes	Examen, prueba.
jị'ĉojtuyaqui	Mirar venir alguien.
jị'ĉoqui, jị'ĉote	Demostrar, hacer ver.
jị'ĉoshaqui	Hacer dormir.
ji'co'shaye' - yete	Quemar, fundir.
jicotuqui	Echar sal a la carne o comida.
jị'ĉoyacdyes, jị'ĉocdyes	Ejemplo, muestra.
jị'ĉoyaqui	Mostrar, presentar.
jị'ĉojtuyete	Mirar venir a una persona.
jicsin'	Nos recogió.
ji'ĉujcayiti	Que se dio cuenta por algo.
ji'ĉujti	Probar, ensayar.
jiĉun	Recuperar las fuerzas.
jiĉun yụ'tac	Animar, alentar, fortalecer.
ji'ĉushíshiye'	Soporoso, hacerle tener sueño.
ji'ĉushishiyete	Soporoso, hacerle tener sueño.
ji'ĉuti	Demostrar, hacer ver.
ji'ĉhaĉan	Bajar algo lo que es de uno.
ji'chaque', ji'c̣hacte	Mandar hacer sacar algo que está clavado.
ji'c̣hácaqui	Hacerse sacar o arrancar.
ji'c̣hacajquiqui	Fue hacerse sacar (diente, etc.).
ji'c̣ham'dyi	Meterse en algo voluntariamente.
ji'c̣ham'tacsity- sis	Persona que convence a otra persona para participar en una actividad.
ji'c̣ham'taqui	Convencer, conquistar, hacer aceptar.
ji'ĉhañe'	Secar.
ji'ĉhante	Hacer secar.
ji'ĉhanaqui	Secar lo que es de uno.
ji'ĉhanaquity	Secador (alambre, soga o cualquier cosa usado para secar ropa).
jiadaqui	Carpir.
jic̣hjan'	Carpir, chaco.
ji'ĉhai'	Bajar.
ji'ĉhaqui	Hacer bajar lo que es de uno.
ji'ĉhäqui	Sacar aceite de motacú.
ji'ĉhäĉajte -ĉan'	Sanar, curar.
ji'ĉhäquiti'	Entendible.
jiĉhäshe'	Hacer sangrar.
ji'ĉhäshaqui	Hacer sangrar lo que es de uno, derramar sangre.
ji'ĉhäyiti	Estudia.
ji'ĉhäyitidye'	Estudio, enseñanza, doctrina, lugar del estudio (escuela, cuartel).
ji'ĉhäyitity, ji'ĉhäyitis	Estudiante.
ji'ĉhe'aqui	Levantar o elevar de precio alguna cosa.
ji'ĉhetacdye'	Al partido, división.
ji'ĉhetaqui	Repartir alguna cosa de uno mismo.
ji'ĉheteyacsi	Repartir algo que uno tiene a otras personas.
jị'ĉhibaqui	Hacer germinar las plantas.
jị'ĉhicacdye'	Testimonio, aviso, noticia.
jiĉhícaqui - qui'	Hacer lo orinar.
jị'ĉhịcaqui	Avisar, hacer saber, conocer.
jị'ĉhicaquis p̂eyacdye'	Título (del libro).
jị'chi'eban ojñi'	Dejar o esperar que baje el agua (antes de viajar).
jị'ĉhiyacdye'	Enseñanza.
jị'ĉhiyacsity - sis	Maestro, profesor.
jị'ĉhiyactyi'	Discípulo, apóstol.
jị'ĉhiyaqui	Hacer estudiar o educar.
ji'ĉhojti	Bautizarse.
ji'c̣honĉhuti	Se hizo escapar de alguna comisión.
ji'c̣honaqui	Hace escapar o salvar.
jị'ĉhu'aqui	Criticar, reprender.
jị'c̣huaqui	Llenarse de mentiras o chismes.
jịchuchu	Martín pescador más pequeño.
ji'c̣hu'c̣huyaqui	Hacer callar, sacar el motivo de las quejas.
ji'c̣hu'c̣huyiti	Estar callado, no hablar.
jị'ĉhui'taqui	Mostrar camino verdadero, decir la verdad de una cosa.
jị'ĉhui'taquis	Brújula.
jị'ĉhui' yụ'taqui	Corregir.
ji'ĉhuqui	Hacerlo agarrar o pelear.
ji'ĉhui'	Hacer lo usar algunas cosas.
jidacaqui	Hacerlo pasar hambre o no dar de comer, hambrear.
ji'dacdyi	Ser hallado.
jịdaqui	Carpir.
ji'daijte	Hacer multiplicar.
ji'dayaqui	Hacer multiplicar, criar animales.
ji'deveyiti	Deber, tener cuenta.
ji'dujraqui	Hacer hinchar la barriga o madurar la masa de harina.
ji'dujraquis	Levadura.
ji'dyäcaqui	Dar alojamiento o hacer parar alguna actividad.
jídyedye'	Tiempo de fruta madura.
ji'dyijviti	Pensar en algo para acordar.
ji'dyijvitidyes	Conmemorativo.
ji'dyijviva'ti	Pensar de algo sucedido.
ji'dyijvacdyes	Celebración, conmemoración.
ji'dyijvaqui	Conmemorar.
ji'dyisaqui	Hacerlo reír a algún familiar o otra persona conocida.
ji'dyiste	Hacer lo reír a alguien.
ji'dyuqui-qui'	Hacerlo bañar (hijo, etc.).
ji'ena'maqui	Hacerlo lamber alguna cosa.
jị'fajcaqui	Enojarse por una cosa.
ji'fajque'	Enojarse de algo.
jị'fajqueyaqui	Enojarse de algo.
ji'fajquiyitiĉa'	Nos hacemos enojar de una cosa.
ji'fayaqui	Hacer llamar a algún familiar o persona conocida.
ji'fercati	Hacer ejercicio, entrenar el cuerpo para deportes.
ji'fercaqui a' mu'in	Ellos entrenen su cuerpo.
jifi	Ventosear.
ji'focoyacsis	Lo que hace podrir.
ji'focoyaqui	Hacer podrir algo.
ji'foquin'taqui	Hacerlo montar animal.
jifrity - ris	Liviano.
jịfrij	Quedó liviano.
jii'dye'	Pase de una tranca.
ji'ujacdyes	Reservado para carnear.
ji'ujacdyi	Hacerse matar (como en guerra).
ji'ujaqui, ji'ujate	Hacerlo matar.
ji'ujati	Hacerse matar.
ji'jiija'	Pasemos.
ji'taqui	Tiempo de maduración de frutas.
jịj	Puga de insectos.
jijan	Pasó en una tranca.
ji'japacti	Calentarse junto al fuego o jugando pelota.
ji'japactaqui	Hacer calentar motor.
ji'jaye'	Gastarlo.
ji'jayaqui	Hacerlo gastar.
ji'jämaqui	Curar o sanar alguna herida.
ji'jämaqui	Obtener buena producción agrícola.
ji'jä'naqui, ji'jä'ñeja	Encender: fuego, lámpara, motor, etc.
ji'jäcaqui	Hacerse sacar alguna cosa o pronunciar palabra.
ji'jäm' yụ'tacdye'	Arreglo, solución de problema.
ji'jäm' yụ'taqui	Hacer arreglar o componer alguna cosa u objeto.
ji'jäsaqui	Hacer, preparar chicha.
jijcai'	Se fue con otra persona.
jịjcaqui	Acompañar algún familiar o persona conocida.
jịjcataqui	Seguir ejemplo lo que hace otras personas.
jijĉhacaqui	Corretear hasta alcanzarlo.
ji'jebeyaqui	Dar comida, hacer comer.
ji'jäcaqui	1. Hacerse sacar algo 2. Pronunciar algunas palabras nuevas.
jịji'	Coquino, árbol o fruta silvestre.
ji'jibaqui (ji'jipte)	Aplastar por un árbol algún objeto o persona.
jị'jiĉan	Hacer enfriar una máquina o cualquier objeto caliente, apaciguar.
ji'jiĉan	Hacer madurar fruta.
ji'jimacaqui	Hacerle cantar, funcionar (radio).
ji'jimacte	Hizo cantar a otra persona.
ji'jimaque' radio	Hacerla tocar la radio.
ji'pa'ca'cayiti	Refrescarse en la sombra.
ji'jiqui	Madurarlo, listo para comer o cosechar.
jị'jiqui	Ir a enfriar comida o algún objeto caliente.
ji'jiyaqui	Dejar de pasar, paso libre.
ji'jiijja	Hacemos pasar.
ji'jiye'	Lo hizo pasar alguna cosa.
ji'jiijte	Lo hizo pasar.
ji'jiijme	Déjelo que pase.
jijmo'moj	Manantial de agua.
jijmu'se'	Esconder.
jijmu'saqui	Esconder, tapar cosa para que nadie lo vea.
ji'jónaqui	Hacer le hueco alguna cosa que es de uno.
ji' joban' - te	Despachar persona.
jị'jobaĉan	Despachar algún familiar de uno mismo.
jị'jo'chaqui	Hacer caer algo propio.
ji'juban'	Total lo que producía en el año.
ji'juchayiti	Hacerse pecar, tentar.
ji'juntaqui	Calentar al fuego algún objeto de uno mismo.
ji'juntye'	Poner cerca del fuego.
ji'jun'taqui	Dar un oficio a una persona.
ji'jun'taqui	Hacer lo plantar un poste.
ji'juntaquis	Objeto que sirve para calentar algo.
ji'junti	Calentarse en el fuego.
jị'jutaqui, jị'jutyete	Hacer descansar un rato.
jị'jutyiti	Descansar.
jị'jutyitidye' mạyedye'	Día de descanso.
jị'ma'aqui, jị'ma'e, jị'ma'ete	Hacer sonar, tocar instrumento, dar más volumen al radio.
jimacdye'	Canto, himno, culto.
jimacdye'ĉan	En el culto, en la iglesia.
jimacdye'ĉan tsun	Vamos al culto, en la iglesia.
ji'majmayaqui	Hacerlo jugar a algún familiar.
ji'ma'jotaqui	Hacerlo alegrar a alguien.
ji'ma'jotyiti	Alabarse uno mismo.
jimaqui	Canta.
jimaĉa'	Cantemos.
jimacva'joi	Cantando.
jimja'	Cantemos una canción.
jị'marayaqui	Hacerla enflaquecer (persona, animal).
ji'ma'yaqui	Animar, hacer feliz.
ji'maaqui	Hacer sonar, tocar instrumento.
ji'menaqui	Hacerlo tardar, atrasar, ir más despacio.
ji'me'siyaqui	Terminar, concluir.
ji'me'tacdye'	Denuncia.
jime'taqui -tyeja	Denunciar, demandar, condenar a alguien.
ji'meti	Entregarse, rendirse (a la autoridad).
ji'me'tyeyaqui	Discutir con alguien por algo.
jime'ye'	Suicidar voluntaria por algo.
ji'me'yiti	Suicidarse, persona que voluntariamente quita la vida.
ji'mi'aqui	Hacerlo andar, ayudara un chiquito dar pasos.
ji'miyaqui	Hacer senda, camino.
ji'micdaqui	Hacer santificar, comportarse.
jimij	Caballete de casa, edificio.
ji'mincaqui	Vender algo que produce.
ji'me'te	Traicionar, denunciar.
ji'moc̣hayaqui	Hacerlo crecer largo.
ji'monaqui, ji'moñe', ji'monte	Lo extravió, perdió.
ji'monsin'	Nos perdió, nos hace equivocar.
ji'muñe', ji'munte, ji'munsin'	(Palabra usada para referir al cocojsi' hechicero) transformar, hacer milagro.
