a	vocal baja central.
phurk'a	<span foreground="#228B22">sustantivo.</span> Papas cocidas en piedras candentes.
phurk'aña	<span foreground="#228B22">verbo transitivo.</span> Cocer papas en piedras candentes.
phurk'araña	<span foreground="#228B22">verbo transitivo.</span> Cocer o tostar muchas papas en piedras candentes.
phurmuña	<span foreground="#228B22">verbo intransitivo.</span> Rebalsar al hervir.
phurmuraña	<span foreground="#228B22">verbo intransitivo.</span> Rebalsar todas al hervir.
phurqhi	<span foreground="#228B22">adjetivo.</span> Crespo, -pa. Encrespado. Cabello ensortijado, rizado. <span foreground="#228B22">Sinón:</span> <i>chhiri.</i>
phuru	<span foreground="#228B22">sustantivo.</span> Boñiga. Excremento del ganado vacuno o del caballar. Bosta.
phuruqiña	<span foreground="#228B22">verbo intransitivo.</span> Latir. Dar latidos el corazón. // Aletear de las aves.
phurusq'illu	<span foreground="#228B22">sustantivo.</span> Ave yungueña pecho amarilla, espalda gris, amarillo y negra, del tamaño de la tórtola.
phurut'a	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Fruta <span foreground="#696969">(Fuente: Maryknoll, Diccionario Aymara-Castellano y Castellano-Aymara, Cochabamba, 1978)</span>.
phurut'u	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Poroto (frejol) <span foreground="#696969">(Fuente: Pedro Miranda, Diccionario Breve Aymara-Castellano y Castellano-Aymara, La Paz, 1970)</span>.
phusa	<span foreground="#228B22">sustantivo.</span> Instrumento musical de viento. \n <i><b> lakita</b></i>. Una variedad de zampoña, que se toca en la temporada de mayo. \n <i><b> pinkillu</b></i>. Instrumento musical que se toca en los carnavales. \n <i><b> pusi p'iya</b></i>, <i>tharwila</i>. Instrumento parecido a la quena con cuatro perforaciones, que se practica en varias regiones. \n <i><b> phuna</b></i>. Instrumento musical de doble cañahueca. \n <i><b> qina</b></i>. Instrumento musical similar al <i>pinkillu</i> pero con voz bajo, generalmente sin tapatera. \n <i><b> qumanchi pinkillu</b></i>. Instrumento musical más grande que el <i>pinkillu</i>. \n <i><b> quyqu</b></i>. Instrumento parecido a la quena que se toca en <i>Tiwanaku</i>. \n <i><b> salla</b></i><b> </b>o <i>musiñu</i>. Instrumento musical de viento, se cree que es originario de Mohoza de la Prov. Inquisivi. \n <i><b> siku</b></i>. Zampoña. Flauta de pan. (De seis tubos: ira; de siete tubos: <i>Arka</i>). Zampoña originario de <i>Italaque. Italaki, qantu</i>.<i><b> </b></i> \n <i><b> tarqa</b></i>. Instrumento musical de viento hecho de madera.
phusanukuña	<span foreground="#228B22">verbo transitivo.</span> Soplar para alejar la lluvia, el granizo o algún mal. <span foreground="#228B22">Sinón:</span> <i>phusamukuña, phusamuchuña.</i>
phusaña	<span foreground="#228B22">verbo intransitivo.</span> Soplar. Despedir aire con violencia por la boca.
phusaña	<span foreground="#228B22">sustantivo.</span> Soplador. Soplillo, abanico. Instrumento para soplar el fuego.
phusaña	<span foreground="#228B22">sustantivo.</span> Instrumento de viento para producir música.
phusantaña	<span foreground="#228B22">verbo transitivo.</span> Soplar o inflar aumentando el volumen de un cuerpo.
phusaraña	<span foreground="#228B22">verbo transitivo.</span> Quitar soplando el polvo.
phusarpayaña	<span foreground="#228B22">verbo transitivo.</span> Alejar soplando. Alejar soplando la lluvia.
phuskhalla	<span foreground="#228B22">sustantivo.</span> Fruto de una variedad de cacto muy similar a la tuna, de color amarillo y hasta de color rosado claro.
phusnu	<span foreground="#228B22">sustantivo.</span> Quimo. Pasta homogénea formada en el estómago después de la digestión y antes de pasar al intestino delgado.
phusphuru	<span foreground="#228B22">No estandarizado.</span> <span foreground="#660099">(de castellano)</span>. <span foreground="#228B22">sustantivo.</span> Fósforo <span foreground="#696969">(Fuente: Educación Bilingüe/Puno, Diccionario Aymara-Castellano, Lima 1984)</span>.
phusu	<span foreground="#228B22">adjetivo.</span> Cienagoso. Fango. Pantano.
phuthi	<span foreground="#228B22">sustantivo.</span> Chuño cocido.
phuthiña	<span foreground="#228B22">verbo transitivo.</span> Cocer al vapor.
phuthumiña	<span foreground="#228B22">pronominal.</span> Desbandarse. Desparramarse. <span foreground="#228B22">Sinón:</span> <i>yiririña, chhukjaña.</i>
phuthuña	<span foreground="#228B22">verbo transitivo.</span> Agujerear. Cavar.
phuthunku	<span foreground="#228B22">adjetivo.</span> <span foreground="#228B22">sustantivo.</span> Lugar hondo. <span foreground="#228B22">Sinón:</span> <i>p'ujru.</i>
phuthutiña	<span foreground="#228B22">verbo intransitivo.</span> Vahear. Echar de sí vaho o vapor. <span foreground="#228B22">Sinón:</span> <i>juriña.</i>
phuthutiña	<span foreground="#228B22">verbo intransitivo.</span> Hacer un sofocante calor húmedo.
phuthjaña	<span foreground="#228B22">verbo transitivo.</span> Agujerear a golpes una pared o una tela gastando sólo un lugar.
phuthumiña	<span foreground="#228B22">verbo intransitivo.</span> Correr en desbandada.
phut'i	<span foreground="#228B22">No estandarizado.</span> <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>. <span foreground="#228B22">sustantivo.</span> Caja. Receptáculo portátil.
phuxtsuña	<span foreground="#228B22">verbo transitivo.</span> Extraer con las dos palmas de las manos unidas cosas como productos menudos o parecidos.
phuxtumuchuña	<span foreground="#228B22">verbo transitivo.</span> Abandonar gramíneas o parecidas con las dos palmas de la mano.
phuxtuña	<span foreground="#228B22">verbo transitivo.</span> Llevar en las dos palmas de las manos unidas, granos o harina.
phuxtuqaña	<span foreground="#228B22">verbo transitivo.</span> Apartar gramíneas o tubérculos de un montón con las palmas unidas de las manos.
phuxtxataña	<span foreground="#228B22">verbo transitivo.</span> Adicionar con papas, granos, harina o con productos parecidos llevando en las dos palmas de las manos unidas.
phuya	<span foreground="#228B22">sustantivo.</span> Cabello de choclo. <span foreground="#228B22">Sinón:</span> <i>phuña.</i>
phuyku	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Silbido que se produce colocando las dos manos huecas delante de la boca silbando entre la raíz de los dos pulgares unidos <span foreground="#696969">(Fuente: Juan Luis Ayala Loayza, Diccionario Español-Aymara, Aymara-Español, Lima, 1988)</span>.
phuyu	<span foreground="#228B22">sustantivo.</span> Pluma de ave.
p'	Consonante oclusiva bilabial glotalizada.
p'ajalliña	<span foreground="#228B22">verbo intransitivo.</span> Crecer en un sitio o lugar desde el nacimiento. <span foreground="#228B22">Ejem:</span> <i>Akanpini nayaxa</i> <i>p'ajallitäthxa</i>. Aquí siempre yo había crecido.
p'ajaña	<span foreground="#228B22">verbo intransitivo.</span> Acción de estar abriéndose el surco de las papas por estar con muy buenas y grandes papas.
p'akinta	<span foreground="#228B22">sustantivo.</span> Factura. Quiebra, pérdida. // <span foreground="#228B22">figurado.</span> <i>P'akintaña</i>. Quebrar.
p'akintaña	<span foreground="#228B22">verbo transitivo.</span> Quebrantar. Romper, quebrar o hender una cosa.
p'akinuqaña	<span foreground="#228B22">verbo transitivo.</span> Hacer pedazos los objetos sólidos de uno o varios golpes.
p'akiña	<span foreground="#228B22">verbo transitivo.</span> Fracturar. Quebrar. Romper una cosa sólida.  <span foreground="#228B22">Sinón:</span> <i>p'akjaña.</i>\n <i><b> q'iwjaña</b></i>. Doblar o torcer. \n <i><b> p'akiqaña</b></i>. Quebrar una parte.
p'akiraña	<span foreground="#228B22">verbo transitivo.</span> Fracturar muchas cosas. Romper en serie.
p'akita	<span foreground="#228B22">participio pasivo.</span> Roto, -ta. Se usa para objetos sólidos. \n <i><b> ch'iyjata</b></i>. Roto, -ta. Para tela, papel o cosa parecida. \n <i><b> t'aqjata</b></i>. Roto, -ta. Para cuerdas o cables.
p'akjaña	<span foreground="#228B22">verbo transitivo.</span> Fracturar. Romper una cosa.
p'allqa	<span foreground="#228B22">adjetivo.</span> Que tiene hendido o partido el labio superior. Labio leporino.
p'allqa	<span foreground="#228B22">adjetivo.</span> Bifurca, bifurcado.
p'amp'aña	<span foreground="#228B22">verbo transitivo.</span> <span foreground="#228B22">figurado.</span> Enterrar al muerto. <span foreground="#228B22">Sinón:</span> <i>p'anp'antaña, allintaña, imantaña.</i>
p'amp'aña	<span foreground="#228B22">verbo transitivo.</span> Tapar con la tierra. <span foreground="#228B22">Sinón:</span> <i>p'anp'antaña, allintaña.</i>
p'amp'aña	<span foreground="#228B22">verbo transitivo.</span> Tapar con alguna prenda grande. <span foreground="#228B22">Sinón:</span> <i>imantaña, imxataña.</i>
p'aqart'aña	<span foreground="#228B22">verbo transitivo.</span> Aplaudir. Palmotear en señal de aprobación.
p'aquchi	<span foreground="#228B22">sustantivo.</span> Danza estilizada de esgrima de la época colonial, tiene peluca blanca hecha de la cola de buey, con una máscara blanca con machas rosadas en las mejillas, bombacho español adornado de cascabeles; bailan dos hombres cada uno con su machete, simulando punzarse por la espalda y con una mano en la cadera.
p'ari	<span foreground="#228B22">adjetivo.</span> Uraño. Arisco. Chúcaro.
p'arxtaña	<span foreground="#228B22">verbo intransitivo.</span> Despertar.
p'asanqalla	<span foreground="#228B22">sustantivo.</span> Maíz cubano tostado en máquina.
p'asaqa	<span foreground="#228B22">sustantivo.</span> Una de las formas de marcar o señalar en las orejas del ganado; consiste en cortar un pedazo muy pequeño de media luna en la oreja del animal.
p'asp'a	<span foreground="#228B22">adjetivo.</span> Parte de piel reseca.
p'ataña	<span foreground="#228B22">verbo transitivo.</span> Morder. Clavar los dientes en una cosa. <span foreground="#228B22">Sinón:</span> <i>achuthapiña, jankhiña.</i>
p'ataña	<span foreground="#228B22">verbo transitivo.</span> Picotear las aves de rapiña.
p'atsuña	<span foreground="#228B22">verbo transitivo.</span> Tarascar. Morder o herir con los dientes. Dícese más frecuentemente y es muy usado hablando de los perros. <span foreground="#228B22">Sinón:</span> <i>p'ataqaña.</i>
p'axla	<span foreground="#228B22">adjetivo.</span> <span foreground="#228B22">figurado.</span> Calvicie. Falta de pelo. <span foreground="#228B22">Sinón:</span> <i>p'iqi q'ara.</i>
p'axla	<span foreground="#228B22">adjetivo.</span> Plano, piedra plana.
p'axlt'ata	<span foreground="#228B22">adjetivo.</span> Achatado, -da. Chato. <span foreground="#228B22">Sinón:</span> <i>t'alpht'ata.</i>
p'axp'aku	<span foreground="#228B22">sustantivo.</span> Persona que vende hablando mucho concentrando harta gente. // Payaso.
p'axp'aku	<span foreground="#228B22">adjetivo.</span> Charlatán, embaucador.
p'axra	<span foreground="#228B22">sustantivo.</span> Extensión de piedra en forma plana en un terreno.
p'ikiña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Señalar o marcar el ganado en la oreja <span foreground="#696969">(Fuente: Juan Luis Ayala Loayza, Diccionario Español-Aymara, Aymara-Español, Lima, 1988)</span>.
p'ikhi	<span foreground="#228B22">adjetivo.</span> Contento, -ta. Alegre. <span foreground="#228B22">Sinón:</span> <i>p'ikhi p'ikhi.</i>
p'ikhu	<span foreground="#228B22">adjetivo.</span> Alegre y vivaz. <span foreground="#228B22">Sinón:</span> <i>p'ikhuki p'ikhuki.</i>
p'ila	<span foreground="#228B22">adjetivo.</span> Niña adolescente delgada y ágil.
p'inqa	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Vergüenza. Afrenta. Turbación del ánimo causada por alguna ofensa recibida, por una falta cometida, por temor a la deshonra o al ridículo. <span foreground="#228B22">Sinón:</span> <i>phinq'a, qhaxsi <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.</i>
p'inqachaña	<span foreground="#228B22">verbo transitivo.</span> <span foreground="#228B22">figurado.</span> Avergonzar. Abochornar. Sonrojar. <span foreground="#228B22">Sinón:</span> <i>p'inqasiyaña.</i>
p'inqachjaña	<span foreground="#228B22">verbo transitivo.</span> Difamar. Desacreditar a una persona. <span foreground="#228B22">Sinón:</span> <i>arnaqjaña.</i>
p'inqasiri	<span foreground="#228B22">adjetivo.</span> Vergonsoso. Que tiene vergüenza.
p'inqasiyaña	<span foreground="#228B22">verbo transitivo.</span> Avergonzar. Causar vergüenza. <span foreground="#228B22">Sinón:</span> <i>p'inqachaña.</i>
p'inqasiyata	<span foreground="#228B22">figurado.</span> Abochornado, -da. Sonrojado.
p'inqawisa	<span foreground="#228B22">adjetivo y sustantivo.</span> Descarado, -da. Desvergonzado. Sinvergüenza. Falto de dignidad o vergüenza. <span foreground="#228B22">Sinón:</span> <i>jani p'inqani.</i>
p'iñi	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Preñez de la llama hembra que está a punto de parir <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
p'iñuqiña	<span foreground="#228B22">verbo intransitivo.</span> Mover los ojos y labios vanidosamente para provocar, agradar o de vergüenza.
p'iñuqu	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Trompo de madera de púa pequeña, que se hace bailar con un cordel <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
p'iqi	<span foreground="#228B22">sustantivo.</span> Cabeza.
p'iqi muyuyaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Alienar. Enajenar. <span foreground="#228B22">Sinón:</span> <i>amuyu mayjt'ayaña, yaqhapstayaña.</i>
p'iqi muyuta	<span foreground="#228B22">adjetivo y sustantivo.</span> Alienado, -da. Loco, demente. <span foreground="#228B22">Sinón:</span> <i>jupapachpata, p'inqasita.</i>
p'iqi q'ara	<span foreground="#228B22">figurado.</span> Calvicie. Falta de pelo. <span foreground="#228B22">Sinón:</span> <i>p'axla.</i>
p'iqi q'ara	<span foreground="#228B22">adjetivo.</span> Pollito que está en edad de pelarse las plumas de la cabeza.
p'iqi	<span foreground="#228B22">figurado.</span> <span foreground="#228B22">sustantivo.</span> Caudillo. Cabecilla. Jefe de un gremio o comunidad. // Autoridad de un grupo de personas o de una zona de la comunidad. <span foreground="#228B22">Sinón:</span> <i>p'iqt'iri.</i>
p'iqini	<span foreground="#228B22">adjetivo.</span> <span foreground="#228B22">figurado.</span> Listo, -ta. Inteligente. El que tiene sabiduría. <span foreground="#228B22">Sinón:</span> <i>ch'ikhi.</i>
p'iqt'aña	<span foreground="#228B22">verbo transitivo.</span> Acaudillar. Encabezar. Estar a la cabeza, dirigir.
p'iraña	<span foreground="#228B22">sustantivo.</span> Era. Espacio de terreno mojado, apisonado y secado para trillar.
p'isaqa	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Perdiz.
p'isi	<span foreground="#228B22">adjetivo.</span> Angosto, -ta. Ropa estrecha.
p'isla	<span foreground="#228B22">adjetivo.</span> Niña adolescente de cuerpo delgado y ágil de movimientos <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
p'isñiqu	<span foreground="#228B22">sustantivo.</span> Juguete de madera, a modo de trompo, pero sin púa, que se hace bailar a chicotazos <span foreground="#696969">(Fuente: Pedro Miranda, Diccionario Breve Aymara-Castellano y Castellano-Aymara, La Paz, 1970)</span>.
p'isp'irilla	<span foreground="#228B22">adjetivo.</span> Persona zalamera, que trata de congraciarse con unos y otros haciéndose antipática <span foreground="#696969">(Fuente: Pedro Miranda, Diccionario Breve Aymara-Castellano y Castellano-Aymara, La Paz, 1970)</span>. <i>P'isp'ita</i>.
p'isqi	<span foreground="#228B22">sustantivo.</span> Comida de quinua cocida o graneada y molida con el cucharón en la misma olla.
p'isqi warachi	Ver <i>Karachi</i>.
p'isu	<span foreground="#228B22">sustantivo.</span> Perdiz <span foreground="#660099">(Yungas)</span>. <span foreground="#228B22">Sinón:</span> <i>p'isaqa.</i>
p'itaña	<span foreground="#228B22">verbo transitivo.</span> Sacar espina de alguna parte del cuerpo, especialmente del pie o de las manos.
p'itaña	<span foreground="#228B22">sustantivo.</span> Tejer en palillos.
p'itaña	<span foreground="#228B22">sustantivo.</span> Instrumentos para sacar espina o para tejer.
p'itiki	<span foreground="#228B22">adjetivo.</span> Ceñido, -da.
p'itikilla	<span foreground="#228B22">sustantivo.</span> Una de las variedades de papa del grupo<i> qhini. Wila p'itikilla, janq'u p'itikilla, allqa p'itikilla.</i>
p'itiri	<span foreground="#228B22">adjetivo y sustantivo.</span> Tejedor, -ra. Persona que teje con palillos.
p'itsuña	<span foreground="#228B22">verbo transitivo.</span> Extraer espina del píe o de la mano con una aguja u objeto parecido.
p'itsuña	<span foreground="#228B22">verbo transitivo.</span> Concluir de tejer con palillos.
p'iya	<span foreground="#228B22">sustantivo.</span> Túnel. Paso subterráneo a través de un monte o por debajo de un río. <span foreground="#228B22">Sinón:</span> <i>qaqa, chinkana.</i>
p'iya	<span foreground="#228B22">adjetivo.</span> <span foreground="#228B22">sustantivo.</span> Hueco, -ca. // <span foreground="#228B22">sustantivo.</span> Agujero. Cavidad. Abertura. <span foreground="#228B22">Sinón:</span> <i>qaqa.</i>
p'iyaña	<span foreground="#228B22">verbo transitivo.</span> Horadar. Taladrar. Agujerear con taladro. Perforar. <span foreground="#228B22">Sinón:</span> <i>p'iyjaña.</i>
p'iyaraña	Agujerear varias cosas o en serie.
p'iyjaña	<span foreground="#228B22">verbo transitivo.</span> Agujerear. Poner hueca o cóncava una cosa. <span foreground="#228B22">Sinón:</span> <i>qaqjaña.</i>
p'iysuña	<span foreground="#228B22">verbo transitivo.</span> Hender. Hacer o causar una hendidura. <span foreground="#228B22">Sinón:</span> <i>phutsuña, qaqjaña.</i>
p'ujru	<span foreground="#228B22">adjetivo.</span> Cóncavo, -<span foreground="#228B22">vocablo antiguo.</span>. Lugar con cavidad. // Hondonada. <span foreground="#228B22">Sinón:</span> <i>phuthunku.</i>
p'ujsa	<span foreground="#228B22">adjetivo.</span> Cocimiento blando o harinoso de los tubérculos.
p'ullqu	<span foreground="#228B22">sustantivo.</span> Abarca. // Calzado. Zapato antiguo de cuero. Pantalón. <span foreground="#228B22">Sinón:</span> <i>wisk'u, jiskhu, uxuta.</i>
p'ulthiña	<span foreground="#228B22">verbo intransitivo.</span> Zambullir.
p'ulthintaña	<span foreground="#228B22">verbo intransitivo.</span> Zambullir. Sumergir bruscamente en un líquido.
p'ulthsuña	<span foreground="#228B22">verbo intransitivo.</span> Salir zambullendo. Sumergi
p'unkhintaña	<span foreground="#228B22">verbo transitivo.</span> Golpear a alguien por la espalda.
p'unkhiña	<span foreground="#228B22">verbo transitivo.</span> Golpear la espalda.
p'uñu	<span foreground="#228B22">sustantivo.</span> Tinaja de boca angosta.
p'uqhi	<span foreground="#228B22">sustantivo.</span> Tierra volcánica blanca y compacta que se emplea para pulir o limpiar machas de menajes metálicos. <span foreground="#228B22">Sinón:</span> <i>phuq'i.</i>
p'uqu	<span foreground="#228B22">adjetivo.</span> Cano, -na. Que tiene cano el pelo. Canoso.
p'uquña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Borlas ornamentales que ponen en las bolsas <span foreground="#696969">(Fuente: Pedro Miranda, Diccionario Breve Aymara-Castellano y Castellano-Aymara, La Paz, 1970)</span>.
p'urp'u	<span foreground="#228B22">adjetivo.</span> Caído, -da. Lánguido, -da. Abatido, decaído, sin energía ni valor.
p'urp'uña	<span foreground="#228B22">verbo intransitivo.</span> Languidecer. Padecer languidez.
p'uru	<span foreground="#228B22">adjetivo.</span> Pequeño, desnutrido. // Enano, -na.
p'uruña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Cántaro <span foreground="#696969">(Fuente: Manuel Rigoberto Paredes, Vocabulario de la lengua aymara, La Paz, 1971)</span>. <i>P'uyñu</i>.
p'usnayu	<span foreground="#228B22">sustantivo.</span> Una variedad de habas de tamaño grande.
p'usqu	<span foreground="#228B22">sustantivo.</span> Levadura.
p'usquña	<span foreground="#228B22">verbo intransitivo.</span> Fermentar. <span foreground="#228B22">Sinón:</span> <i>t'amantaña, t'amaña.</i>
p'usu	<span foreground="#228B22">sustantivo.</span> Hematoma. Tumor producido por la acumulación de sangre extravasada. // Hinchazón. <span foreground="#228B22">Sinón:</span> <i>ch'uxñsuta.</i>
p'usulla	<span foreground="#228B22">sustantivo.</span> Ampolla <span foreground="#696969">(Fuente: Educación Bilingüe/Puno, Diccionario Aymara-Castellano, Lima 1984)</span>.
p'usuntaña	<span foreground="#228B22">pronominal.</span> Hincharse.
p'usuña	<span foreground="#228B22">verbo intransitivo.</span> Hinchar.
p'uthi	Turgente. Apretado. <span foreground="#228B22">Ejem:</span> <i>Ñuñuxa p'uthikiwa</i>. <span foreground="#228B22">adjetivo.</span> Los senos turgentes <span foreground="#696969">(Fuente: Juan Luis Ayala Loayza, Diccionario Español-Aymara, Aymara-Español, Lima, 1988)</span>.
p'uthiki	<span foreground="#228B22">sustantivo.</span> Lleno, turgente.
p'uthu	<span foreground="#228B22">adjetivo.</span> Tupido, sea tejidos o sembradíos <span foreground="#660099">(Aroma)</span>.
p'uyu	<span foreground="#228B22">sustantivo.</span> Rombo.
p'uyu	<span foreground="#228B22">adjetivo.</span> Con formas de rumbo matizadas y simétricos, como piel de víbora.
q	Consonante oclusiva postvelar simple.
qacha	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Época de aprovisionamiento <span foreground="#660099">(Oruro)</span>
qacha	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Fresco, pez recién sacado del lago <span foreground="#696969">(Fuentes: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984; Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
qacha ch'uñu	<span foreground="#228B22">No estandarizado.</span> Chuño fresco, papa helada, chuño recién hecho <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>. <span foreground="#228B22">Sinón:</span> <i>qhach'u ch'uñu.</i>
qachaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo transitivo.</span> Aprovisionar <span foreground="#660099">(Oruro)</span>.
qächilla	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo y sustantivo.</span> Dadivoso <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
qachilu	<span foreground="#228B22">adjetivo.</span> Mujeriego <span foreground="#660099">(Oruro)</span>. <span foreground="#228B22">Sinón:</span> <i>q'achilu.</i>
qachu	<span foreground="#228B22">adjetivo.</span> Hembra. (Despectivo para los humanos).
qachuma	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Pepino común, planta comestible de la familia de los cucurbitáceas <span foreground="#696969">(Fuente: Erasmo Tarifa Ascarrunz, Diccionario Aymara-Castellano, La Paz, 1989)</span>.
qachu qachu	<span foreground="#228B22">sustantivo.</span> Sexo de la hembra.
qala	<span foreground="#228B22">sustantivo.</span> Piedra.
qala sunkha	<span foreground="#228B22">sustantivo.</span> Musgo. Nombre genérico de las plantas briofitas que crecen sobre las piedras. <span foreground="#228B22">Sinón:</span> <i>inti sunkha.</i>
qalachaña	<span foreground="#228B22">verbo transitivo.</span> <span foreground="#228B22">figurado.</span> Sacar muchas piedras de una parcela.
qalachaña	<span foreground="#228B22">verbo transitivo.</span> <span foreground="#228B22">figurado.</span> Sacar muchas piedras de granos o parecidos.
qalachi	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo.</span> Granos residuo de la trilla mezclados con arena <span foreground="#696969">(Fuente: Juan Luis Ayala Loayza, Diccionario Español-Aymara, Aymara-Español, Lima, 1988)</span>.
qala chuyma	<span foreground="#228B22">adjetivo.</span> Corazón de piedra. // <span foreground="#228B22">figurado.</span> Insensible.
qalala	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">adjetivo y sustantivo.</span> Tartamudo, que tartamudea. <span foreground="#696969">(Fuentes: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984; Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
qalalaña	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">verbo intransitivo.</span> Tartamudear, pronunciar con trabajo repitiendo las primeras sílabas <span foreground="#696969">(Fuente: Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>.
qalaptaña	<span foreground="#228B22">verbo intransitivo.</span> Convertirse en piedra. // <span foreground="#228B22">figurado.</span> Endurecer.
qalaptayaña	<span foreground="#228B22">verbo transitivo.</span> Petrificar. Transformar en piedra o endurecer una cosa de modo que lo parezca. <span foreground="#228B22">Sinón:</span> <i>qalaru tukuyaña.</i>
qala qala	<span foreground="#228B22">sustantivo.</span> <span foreground="#228B22">adjetivo.</span> Pedregal. Lugar pedregoso.
qalarara	<span foreground="#228B22">adjetivo.</span> Pedregoso, -sa. Lleno de piedras.
Qalasasaya	<span foreground="#660099">proviene de</span> qala saya saya. <span foreground="#228B22">sustantivo.</span> Piedras paradas. Una de las ruinas arqueológicas de <i>Tiwanaku</i>.
qalla	<span foreground="#228B22">sustantivo.</span> Comienzo. Principio. <span foreground="#228B22">Sinón:</span> <i>qallta.</i>
qällachi	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Bienes muebles. <span foreground="#696969">(Fuentes: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984; Manuel de Lucca, Diccionario Aymara-Castellano y Castellano-Aymara, La Paz, 1983)</span>. <span foreground="#228B22">Sinón:</span> <i>yä.</i>
qallantaña	<span foreground="#228B22">verbo transitivo.</span> Comenzar, empezar, principiar con ganas un trabajo.
qallaña	<span foreground="#228B22">verbo transitivo.</span> Comenzar. Empezar. Principiar. <span foreground="#228B22">Sinón:</span> <i>qalltaña.</i>
qallaqaña	<span foreground="#228B22">verbo transitivo.</span> Comenzar, empezar, principiar solo una parte.
qallapi	<span foreground="#228B22">No estandarizado.</span> Variedad de quinua silvestre <span foreground="#696969">(Fuente: Ludovico Bertonio, Vocabulario de la lengua aymara, Juli, 1612, 1984)</span>.
qallaraña	<span foreground="#228B22">verbo transitivo.</span> Comenzar por vez primera. Empezar en serie. <span foreground="#228B22">Sinón:</span> <i>qalltaraña.</i>
qallisaya	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> Luz boreal. // Borrego (con cuatro cuernos) <span foreground="#696969">(Fuente: Educación Bilingüe/Puno, Diccionario Aymara-Castellano, Lima 1984)</span>.
qallpa	<span foreground="#228B22">sustantivo.</span> Barbecho. Campo que se deja de cultivar durante cierto tiempo para que descanse. // Parcela de terreno. <span foreground="#228B22">Sinón:</span> <i>qhanana.</i>
qallqu	<span foreground="#228B22">sustantivo.</span> Cinco. El antiguo cinco perdido durante el dominio incaico, hoy <i>phisqha</i>.
qallta	<span foreground="#228B22">sustantivo.</span> Principio. Primer instante. // Origen. <span foreground="#228B22">Sinón:</span> <i>qalla.</i>
qalltaña	<span foreground="#228B22">verbo transitivo.</span> Inaugurar. Principiar. Iniciar. Empezar. <span foreground="#228B22">Sinón:</span> <i>qallaña.</i>
qalltatpacha	<span foreground="#228B22">adverbio.</span> Desde el principio o desde el tiempo inmemorial. <span foreground="#228B22">Sinón:</span> <i>nayratapacha.</i>
qallu laxra	<span foreground="#228B22">No estandarizado.</span> <span foreground="#228B22">sustantivo.</span> anat. Uvula <span foreground="#696969">(Fuente: Educación Bilingüe/Puno, Diccionario Aymara-Castellano, Lima 1984)</span>.
