a	mew, mu; pvle.
pedir	gijatun; <font color="blue"><i><b>*p. prestado</b></i></font> aretun; <font color="blue"><i><b>*p. ayuda</b></i></font> igkatu; <font color="blue"><i><b>*p. limosna</b></i></font> wvfkvn.
pedo	perkvn.
pedregal	kurantu.
peer	perkvn.
pegamento	vpe.
pegar	(unir) wiban.
pegarse	(adherirse) pvhan.
pelar	lawvmvn; cafvn.
pelear	kewan; (en una guerra) weycan, weycatun.
peligroso	(ser) kuñiwvngen.
pellizcar	ruxetun.
pelo	kab; rvna.
peludo	(armadillo) kofvr.
pena	weñag.
pene	pvnvn.
penosamente	jazkvnkeci.
pensamiento	rakizuam.
pensar	rakizuamvn; (formar animo de) xokitun.
pequeño	pici, pvci; (ser) picin.
pera	(barbilla) kexe.
percibir	juwan.
perder	ñamvmvn; jagkvn.
perderse	ñamvn; gvnan.
perdiz	sijo, fvzv.
perezoso	hape.
permanecer	mvlekan, mvlen; <font color="blue"><i><b>*p. largo tiempo</b></i></font> abvñman.
pero	welu.
perro	xewa.
perseguir	inantukun.
persona	ce.
personalidad	az.
persuadir	gvfetun.
pertenecer	gehgen.
pesado	fanen.
pesar	(dolor) kuxantun; (peso) fanen.
pescado	cajwa.
pestaña	vmi.
petirrojo	joyka.
petróleo	kvxalko, yiwiñko.
pez	cajwa.
pezón	wecuñmoyo, logkomoyo.
picante	fvre.
picar	vpirvn.
pícaro	vñfi.
pico	wvh.
pichi	(pequeño armadillo) kvmxv.
pie	hamuh; <font color="blue"><i><b>*de p.</b></i></font> wixan.
piedra	kura; (de moler) kuzi; (para machacar) xahaxapiwe; (para pulir objetos de greda) vku.
piel	xawa; (de la cabeza) xawalogko <font color="blue"><i><b>*arrancar la p.</b></i></font> solkin.
pierna	cag; (muslo) jike; (parte posterior) furicag.
piñón	(fruto) gvjiw.
piojo	tvh; (del cuerpo) pvxar.
pisar	pvnon.
pitihué	(pájaro) pvtiw.
pitra	(planta) pvxa.
placenta	kvziñ.
planeta	(tierra) wajontu mapu.
plano	laf.
planta	(sembrada) ahvmka; (del pie) pvnowe.
plantar	ahvmvn, anvmvn; (estacas) vgkolvn.
plata	lvqen; <font color="blue"><i><b>*hacer joyas de p.</b></i></font> rvxan.
platero	rvxafe.
plato	rali; (comedero) iwe.
pléyades	<font color="blue"><i><b>*las p.</b></i></font> (constelación) gaw.
plomo	titi.
pluma	picun.
pobre	kuñifaj.
poco	picin; <font color="blue"><i><b>*hace p. rato</b></i></font> cayi, tayi; <font color="blue"><i><b>*por p. tiempo</b></i></font><b> </b>picintu; <font color="blue"><i><b>*p. tiempo</b></i></font> piciñma.
polvareda	xufvr.
polvo	xufvr.
pollo	acawaj.
pómulo	foroge.
poncho	vkvja.
poner	tukun; (dejar) elvn.
por	mew, mu; <font color="blue"><i><b>*por que</b></i></font> cumuelu, cumgelu, cumwelu, cemu.
por favor	fvrenyen.
porción	xokiñ.
poroto	zegvj, zeguj; kvbwi.
posadera	anvwe.
poseer	nien.
poste	vgko; (de la casa) orkon.
pozo	(de agua, aljibe) rvgan ko.
pregunta	ramtun.
preguntar	ramtun.
preguntas	ramtukan.
premonición	perimontun.
prenderse	(encender) vyvn.
prepararse	pepikawvn.
presentación	(intercambiar saludos) pentukun.
prestado	<font color="blue"><i><b>*pedir p.</b></i></font> aretun.
prestar	aregvlvmvn; arelvn.
primavera	pewv.
primero	wvne, une; (el mayor) wvnel; wvnen; (antes) wema.
primo	(materno) mvha.
principal	ñizol.
principio	<font color="blue"><i><b>*al p.</b></i></font> wvnetu.
prisionero	reqge.
probar	(registrar) mabvh, mabvn.
procedencia	(territorial) tuwvn; (familiar) kvpalme.
proceder	(de un lugar) tuwvn.
profesor	kimeltucefe.
promontorio	azkintuwe.
pronto	matu, matuke, arol; awe; mvcay.
provenir	tuwvn.
provisiones	(para un viaje) rokiñ. <b>pudrirse</b> funan.
pudu	puzu.
pueblo	waria.
puerta	(entrada) wvbgiñ, vbgiñ.
pues	ga.
pulga	nervm.
pulido	meyuz.
pulmón	pohoh.
puma	pagi; xapial.
punta	wecuñ; forol.
puntiagudo	yuge.
punto	<font color="blue"><i><b>*cuatro puntos cardinales</b></i></font> meli wixan mapu.
puñado	runa, xuna.
pus	xar.
que	cem; <font color="blue"><i><b>*para q.</b></i></font> cumal, cumael; <font color="blue"><i><b>*por q.</b></i></font><b> </b>cumuelu, cumgelu, cumwelu; <font color="blue"><i><b>*q. mas</b></i></font> ka cem.
quebrado	xafo.
quebrar(se)	waxon, xagon, xafon; (con los dientes) waxalvn.
quedarse	mvlekan.
quejarse	(gemir) eyvtun.
quemar	pvxem; lvpvmvn.
quemarse	lvfvn.
querer	(amar) ayvn; (desear) zuamvn.
quien	iney, iñey, iñi.
quijada	xagaxaga.
quila	kvba.
quillay	kvjay.
quitar	mvntun.
rábano	(dulce) svjgaw.
rabia	(tener) ijkun.
racimo	kvgko.
radal	(árbol) raral.
raíz	folil.
rajarse	(ropa) wicafvn, wicarvn.
rama	row.
rana	pakarwa, jvgki.
rápido	(ser) yewmen.
raro	kageci; (ser) kagen.
rascar	vnan.
rasgarse	wicarvn, wicafvn; wikvrvn.
rasguñar	kawlitun.
raspar	yvfkvn.
rastro	pvnon.
rata	zewv.
rato	<font color="blue"><i><b>*hace poco r.</b></i></font> tayi, cayi; <font color="blue"><i><b>*hace mucho r.</b></i></font> fvxa cayi; <font color="blue"><i><b>*a cada r.</b></i></font> mvcayke.
ratón	zewv.
ratonera	(pasto) cvrvk.
raulí	(árbol) ruyli.
realidad	<font color="blue"><i><b>*en r.</b></i></font> rvf, rvftu.
rebelarse	awkan.
rebelde	awka.
rebuscar	kintukan.
recado	(dar un r.) yefazugun; (llevar un r.) yezugun.
recaída	wiñokuxantun.
recibir	jowvn.
recién	we wvla.
reciente	we.
recipiente	(tinaja) mvñkuwe, meñkuwe.
recobrar	petun, elugetun.
recoger	ñvmin, ñvmitun.
reconocible	kimfalvn.
recordar	konvmpan, kimnien; (de repente) xepezuamvn.
recostado	(de lado) rekvl.
recostarse	(hacia atrás) xvkervn.
recto	nor, wif; (tendido) nvxvg; (persona recta) norce; (el recto) xoxome; <font color="blue"><i><b>*en forma recta</b></i></font> norkeci.
recuerdos	kimniekan.
red	ñewen.
rededor	waj, wajpa, wajon.
redondo	cvgkvz, xvgkvr.
referir	(contar) nvxamyen.
reflejo	(imagen) aywiñ.
reflexionar	xokitun; inazuamvn.
refrescarse	fvskvtun.
regalar	maneluwvn.
regalo	manelun, yewvn.
registrar	(examinar) mabvh, mabvn.
reír	ayen.
reírse	(mofarse) ayetun.
relámpago	jvfke.
relampaguear	jvfken.
relato	(cuento) epew, apew.
relinchar	gaygayvn.
relincho	gaygay.
relumbrar	alofvn.
rellenar	gvriñvn.
remedio	baweh; (experto en remedios) bawehtucefe; (hacer remedios) bawehtun.
remojarse	jozvn.
remolino	(viento) mewbeh; (agua) jufv.
reparar	(observar, tomar en cuenta) inarumen.
reprender	ijkunpen; piyawvlvn.
resbaladizo	meyuz.
rescoldo	awiñ.
reservar	(comida) ecelvn.
resfriarse	cafon.
resistir	newenkvlen.
resolana	pañv.
resonar	ciwawvn.
respetar	ekun.
respiración	heyeh, heyen.
respirar	heyvn.
responder	jowzugun; (obedecer) tagkvn.
restallar	xofvn.
restante	vxo.
restituir	wiñoltun, wvltun.
restregar	gvñkvn.
resuello	heyen, heyeh.
retar	bukatun.
retener	(liquido en la boca) vmun.
retoño	coyvn.
reunión	xawvn.
reunir	xvrvmvn, gvlvmvn, gvlvm.
reventar	pafvn.
revés	<font color="blue"><i><b>*al r.</b></i></font> ka az pvle, wele pvle.
revestir	mvnulvn.
revisar	inarumentukun.
revolver	ziwijvn.
rico	vbmeh, riku.
riñón	kusakusa, kuzakuza, kuzajkiñ.
río	bewfv.
robar	weñen, wigkvn.
roble	koyam.
rocío	mvlum, mulfvn.
rodear	wajvn; cvñkoñman.
rodilla	luku; (parte posterior) gvñunluku.
roer	vgalvn.
rogar	jejipun; gijatun.
rojo	kelv; (oscuro) kum.
romper	(con los dientes) waxalvn.
romperse	cafozvn.
roncar	xalxalvn.
ronco	kafir.
ropa	takun, wesakelu.
rosado	ciwaw.
rostro	age.
rotar	waycvfvn
rotación	waycvf; (terrestre) waycvf mapu.
roto	(un recipiente) weyungen.
ruido	(de mucha gente) wakeñvn; (hacer r. con voces) goygoyvn.
rumiar	kaymvtun.
saber	kimvn; (saber manejar algo) pepilvn.
sabiduría	kimvn.
sabio	kimce.
sacar	entun, nentun; <font color="blue"><i><b>*s. el cuero</b></i></font> rowvn.
sacudir	mvxowvn.
sagrado	(digno de respeto) pijan.
sal	cazi.
salado	koxv.
salida	xipawe, xipalwe; <font color="blue"><i><b>*s. del sol</b></i></font> xipapan antv, xipan antv.
salir	xipan.
saliva	kowvh; tofkvh.
saltar	rvgkvn.
saludar	calin.
saludarse	caliwvn.
saludo	calin.
salvaje	(animal) kayta.
salvar	montulvn.
salvarse	montun.
sanar	xemon, jaftun, jafvn, mogen.
sangre	mojfvñ.
sano	xemo; (estar sano) xemolen.
sapo	bafaxa.
satisfecho	(estar) wezan.
secarse	ñifvn; agkvn.
seco	agken, arken; piwvn, xegkvl.
sed	(tener) wvywvn.
seguir	inan; (con la vista) inakintun.
seis	kayu.
semblante	az.
sembrado	gah.
sembrar	(papas) poñilvn; <font color="blue"><i><b>*s. al voleo</b></i></font> gahvn.
semen	fine.
semilla	fvh, vxar.
sentar	(a una persona) anvmvn.
sentarse	anvn; (despues de estar acostado) anvpvran.
sentir	<font color="blue"><i><b>*s. olor</b></i></font> hvmvtun.
señal	gvnel.
señas	(hacer) vwvmvn.
señora	papay; (no mapuche) ciñura.
separar	kaxvntukun.
separarse	wvzan, pvbtvn.
ser	<font color="blue"><i><b>*s. diferente</b></i></font> kagen; <font color="blue"><i><b>*s. así</b></i></font> femgen, (habitualmente) femken.
serio	(formal) gvnel.
serpiente	filu.
sesos	mvjo, rvpawlogko.
sí	may; fey; <font color="blue"><i><b>*si gustan</b></i></font> ayvlmvn.
siempre	rumel.
siete	reqle.
silbar	wvyweñvn, vweñvn, wikeñvn.
silbido	wvyweñ.
silla	wagku; (de montar) cija.
similar	erke, reke.
sin	geho, geno; <font color="blue"><i><b>*s. embargo</b></i></font> welu; <font color="blue"><i><b>*s. cesar</b></i></font> afkentu.
sobre	wente, wente mew; (acerca de) mew, mu.
sobrino/a	(paterno/a) pabu, maje; (materno/a) weku, koñintu.
soga	mawej, mawvj.
sol	antv; <font color="blue"><i><b>*al bajar el s.</b></i></font><b> </b>naq antv; <font color="blue"><i><b>*al salir el s.</b></i></font> liwen, liweh; <font color="blue"><i><b>*salida del s.</b></i></font><b> </b>xipapan antv, xipan antv.
solamente	mvten.
solo	kisu.
solsticio	(de invierno) wiñoy xipantu, we xipantu, pvrapa gaw.
soltar	haytun, nelvn; (dejar) heykvmvn, hebvmvn.
soltero/a	kawcu.
sombra	jawfeñ.
somnolencia	coñiwvn.
soñar	pewman.
sopa	korv.
sopaipilla	yiwiñkofke.
soplar	pimun.
sorber	ofvlvn.
sordo	pilu.
sosegarse	tvgvn.
sospecha	upezugun.
sospechar	upetun, upezugun.
su(s)	(de usted) mi; (de ustedes dos) mu; (de ustedes) mvn; (de la tercera persona sing. pl. y dual) ñi.
suave	pañus, payus.
subir	pvran; (un cerro) wecun; <font color="blue"><i><b>*hacer s.</b></i></font> pvramvn.
sucio	vkvypuwe.
sudar	arofvn.
suegra	(h. masc.) jaja; (h. fem.) hahvg.
suegro	(h. masc.) cezkuy; (h. fem.) pvñmo.
suelo	pvji.
sueño	pewma; (ganas de dormir) umaq.
sujetar	nvhyen, ñopimvn.
sumamente	kazme, kazel.
superar	<font color="blue"><i><b>*tratar de s. a alguien</b></i></font> hotukan.
superior	(parte superior) ñizo.
sur	wiji; <font color="blue"><i><b>*viento s.</b></i></font> wayweh.
surgir	xipapan.
suspender	(una acción) afelvn.
suspendido	(colgando sobre algo) sencu.
suspirar	weñagkvn.
tabaco	pvxem.
tábano	pvxokiñ.
tal	<font color="blue"><i><b>*t. como</b></i></font> erke, reke; <font color="blue"><i><b>*tener por t.</b></i></font> feyelvn.
talón	rvgkoy.
tallo	kajwe.
también	kafey, ka.
tantear	sumpatun.
tanto	fenxen.
tapar	takun.
taparse	gvfvn.
tardarse	abvñman.
tarde	(la tarde) rupan antv; naq antv.
techo	pvzij.
tejer	(en telar) gvren; (haciendo dibujos) gvpvnkan.
tejido	(con dibujos) gvpvn.
telar	wixal.
temblar	mvbmvlvn, xvnxvnvn.
temblor	(terremoto) nvyvn.
temer	jvkan.
tendido	(en línea recta) nvxvg; (de espaldas) paybalen.
tener	nien; <font color="blue"><i><b>*t. por tal</b></i></font> feyelvn.
teñir	afvlkan.
terminar	zewvn; (consumir) apvmvn.
tero	xeqel, xeqvl, keltewe.
terreno	mapu.
terremoto	nvyvn.
territorio	mapu; (todo el t. mapuche) waj mapu.
testículo	kvxaw.
teta	moyo.
tía	(paterna) pabu; (materna) ñukentu.
tibio	jako, yako.
tiempo	<font color="blue"><i><b>*largo t.</b></i></font> abvñma, abvntu; <font color="blue"><i><b>*mucho t.</b></i></font><b> </b>fenxentu; <font color="blue"><i><b>*poco t.</b></i></font> piciñma, picintu; <font color="blue"><i><b>*hace muchisimo t.</b></i></font> kuyfi, fvxa kuyfi; <font color="blue"><i><b>*con el t.</b></i></font> agkantu; <font color="blue"><i><b>*tanto t.</b></i></font> (saludo) fvta kuyfi, ta kuyfi.
tierra	tuwe; mapu; pvji; (planeta) wajontu mapu.
tinaja	meñkuwe; (cisterna) meseg.
tiniebla	zumiñ.
tío	(paterno) maje; (materno) weku.
tirador	(con arma de fuego) xalkatufe.
tiritar	mvbmvlvn, xvnxvnvn, yafyafvn.
tiuque	ciwkv, xiwke, xiwkv.
tizón	comaz.
tobillo	palipalihamuh.
tocar	(corresponder) xafvn.
tocayo	baku.
todavía	petu, metu.
todo	kom; (cada uno) fij; <font color="blue"><i><b>*por todas partes</b></i></font> muñku.
tomar	(agarrar) tun, nvn; (beber agua) pvtokon; (de un trago) kiñentukun; <font color="blue"><i><b>*t. en brazos</b></i></font> metan; <font color="blue"><i><b>*t. en cuenta</b></i></font> inarumen.
tonto	joy, boy.
toparse	xogkvn.
tope	<font color="blue"><i><b>*al t.</b></i></font> wecuñtu.
torcaza	kono.
torcer	wicvnvn.
torcido	xvmfvn, xvfvl.
tordo	kvrew.
tortafrita	yiwiñkofke.
tórtola	maykoño.
tos	xvfon, cafo.
toser	cafon.
tostado	kobvf.
tostador	leqpe; kotvwe.
tostar	kotvn.
total	felen; (la totalidad) ixo.
trabajador	kvzawfe.
trabajar	kvzawvn.
trabajo	kvzaw.
traer	kvpalvn.
tragar	bvmvn.
trago	<font color="blue"><i><b>*tomar de un t.</b></i></font> kiñentukun.
traicionero	vñfi.
trampa	(de hilo) waci.
trance	(de machi) kvymin.
tranquilizar	(con palabras y caricias) pijeltun.
transcurso	<font color="blue"><i><b>*en el t.</b></i></font> agkantu.
transparente/cia	ayliñ.
traquea	kvbolkvbol.
trasegar	rvfvn.
trasero	anvwe.
trasladar	wiñamvn.
trasquilar	keziñvn.
tratar	(mal) awvkan.
travesura	<font color="blue"><i><b>*como por t.</b></i></font> awkantunkeci.
travieso	weswes.
trazar	wirin.
trenza	capetu.
trenzar	capen.
tres	kvla.
trigo	kacija; (tostado) kotvh; (crudo machacado) tvkvh.
tripas	kvlce, kvjce.
triste	(estar) weñagkvlen, jazkvlen.
tristeza	weñag.
trocar	xafkiñtun.
trompa	wvh.
tronco	muxug.
tropezar	mvxurvn.
trueno	xalkan.
tu	eymi; <font color="blue"><i><b>*¿y tu?</b></i></font> eymi kay.
tu(s)	mi.
tucutuco	(roedor) tunzuku.
tuerto	xawma.
tuétano	vrkvforo.
tullirse	wayfvn.
tupido	xoge; (ser t.) xogen.
ubicación	<font color="blue"><i><b>*tener u.</b></i></font> gvnezuamvn.
ubre	gvja; moyo.
ulmo	(árbol) gulgu.
ultimo	inageci.
unir	wiban.
universo	waj mapu.
uno/a	kiñe.
uña	wili.
usado	juz.
usar	pvhen.
usted	eymi.
ustedes	eymvn; (dual) eymu.
vaca	waka.
vaciar	wejimvn.
vacío	wejin.
vadear	giban.
vado	gibawe.
vagina	kuxi.
vago	cofv; (ser vago) cofvh, cofvn.
vaho	orkvn.
vaina	(de legumbre) kapi.
valer	falin.
valiente	(ser) fvta piwkegen.
valor	fvta piwke.
valle	waw.
vanagloriarse	majmazugun.
vano	<font color="blue"><i><b>*en v.</b></i></font> gvnam.
vapor	wvwan; orkvn.
varas	(para construir) tara.
varón	wenxu.
vaso	pvtokowe, pvtuwe.
vecino	karukace.
vejiga	pafvzkoñ.
vela	kvze.
veloz	yewmewvn.
vello	(púbico) kabca, kalca.
vena	kvnvfvh.
vencer	yerpvn, wewvn.
vender	fenzen.
veneno	fvñapuwe.
venir	kvpan; (de paso) gepan; <font color="blue"><i><b>*v. a buscar algo</b></i></font> yepan.
venus	(planeta) yepuh, uñelfe.
ver	pen, petun; (observar) azkintun; (distinguir, ver claro) pelon.
verse	(mutuamente) pewvn.
verano	walvg.
veras	<font color="blue"><i><b>*de v.</b></i></font><b> </b>rvfkvnu.
verdad	mupiñ zugu; <font color="blue"><i><b>*en v.</b></i></font> rvf, rvftu.
verdaderamente	mupiñkeci; rvf, rvftu.
verdadero	mupiñ, mvcay.
verde	karv; (claro, verde agua) liqkarv.
vergüenza	<font color="blue"><i><b>*tener v.</b></i></font> yewen.
vertiente	wixunko.
vesícula	(biliar) vxum.
vestido	(de mujer) camaj; festiw.
vestimenta	takun.
vez	naq, rupa, rupaci, rvtu; <font color="blue"><i><b>*de v. en cuando</b></i></font> kaxv kaxv; <font color="blue"><i><b>*algunas veces</b></i></font> kiñekemu.
viajar	(al extranjero) hampvlkan.
vicioso	(ser) fijazgen.
vida	mogen.
vieja	kuze.
viejo	(personas) fvca; (animal) magka; (ser viejo) fvcan.
viento	kvrvf; <font color="blue"><i><b>*v. sur</b></i></font> wayweh.
vientre	jawepvxa.
vigilar	gvneytunien.
vincha	xarilogko.
vino	pulku; <font color="blue"><i><b>*beber v.</b></i></font> pulkutun.
violar	nvntun.
violeta	koñoj.
visión	(premonición) perimontun.
visitar	jajitun.
vista	(el sentido) ge; (mirada) kintun; <font color="blue"><i><b>*apartar la v.</b></i></font> kakintun.
vistazo	<font color="blue"><i><b>*dar un v.</b></i></font> kintuwvlvn.
vitoreo	afafan.
vivir	mogen.
vivo	(despierto) ñuwa.
volar	mvpvn.
volcán	zeqiñ, zeqvñ.
voltear	(derribar) xantun.
voluntariamente	kisuzuam.
volver	wiñon; (corriendo) wiñolefvn; <font color="blue"><i><b>*v. a entrar</b></i></font> kontun.
vomitar	rapin; (expulsar algo vomitandolo) rapinentun.
vos	eymi; <font color="blue"><i><b>*¿y v.?</b></i></font> ¿eymi kay?
vosotros	eymvn; (vosotros dos) eymu.
voz	zugun.
vueltas	<font color="blue"><i><b>*dar v.</b></i></font> waycvfvn; (alrededor) wajvn, wajon.
vuestro(s)	(de vosotros) mvn; (de vosotros dos) mu.
vulva	kuxi.
y	ka; kay.
ya	zewma, zew.
yegua	zomo kawej.
yerno	(h. masc.) cezkuy (h. fem.) kulgen.
yo	iñce.
yugo	yuku.
yunta	xanin; <font color="blue"><i><b>*y. de bueyes</b></i></font> xanin mansun.
yuyo	napor.
zambullir	rvlun, rvmvn.
zanjón	lol.
zapallo	pegka.
zapato	sumel, sapatu.
zaranda	ciñvzwe.
zorrino	zañi.
zorro	gvrv.
zorzal	wijki, wilki.
