
achalay	<span fgcolor="#228B22">(r).</span> Sumaq qawakunanpaq allinchay utaq llimpiy. Sumaqchay. <span fgcolor="#ff0000">Adornar, hermosear.</span>\n<span fgcolor="#a403fb">- Yachay wasinchikta achalasun.</span>\n<span fgcolor="#0000ff">- Adornemos nuestra escuela.</span>
putka	<span fgcolor="#228B22">(s).</span> Allpawan qachachasqa yaku. <span fgcolor="#ff0000">Turbio.</span>\n<span fgcolor="#a403fb">- Chakapampa putka yakuqa sachakunata apan.</span>\n<span fgcolor="#0000ff">- El río Chakabamba de agua turbia arrastra árboles.</span>
putquy	<span fgcolor="#228B22">(s).</span> Iskay makiwan kawsaykuna tupusqa. <span fgcolor="#ff0000">Medida.</span>\n<span fgcolor="#a403fb">- Putquy machkata ayniykuway.</span>\n<span fgcolor="#0000ff">- Préstame un puñado de machca.</span>
putu	<span fgcolor="#228B22">(s).</span> Kalawasapa utaq matipa sunqunta hurquspa yaku waqaychanapaq rurasqa. <span fgcolor="#ff0000">Vasija de clabaza o de mate.</span>\n<span fgcolor="#a403fb">- ¡Kalawasa putupi yakuta apamuy!</span>\n<span fgcolor="#0000ff">- ¡Trae el agua en la vasija de calabaza!</span>
puturiy	<span fgcolor="#228B22">(r).</span> Hatunyay. Wakchamanta lluqsiy. Wiñariy. <span fgcolor="#ff0000">Crecer, desarrollarse.</span>\n<span fgcolor="#a403fb">- Wakchayasqa ayllu llamkaywan puturichkanña.</span>\n<span fgcolor="#0000ff">- La familia empobrecida comienza a sobresalir con el trabajo.</span>
pututu	<span fgcolor="#228B22">(s).</span> Qayanapaqpas waqachinapaqpas churumanta rurasqa. <span fgcolor="#ff0000">Trompeta de Caracol.</span>\n<span fgcolor="#a403fb">- Putututa apamuy runakuna qayananchikpaq.</span>\n<span fgcolor="#0000ff">- Trae el pututo para llamar a la gente.</span>
puyllu	<span fgcolor="#228B22">(s).</span> Llukinapaq rurasqa uchuy tantacha. Kispiñu. <span fgcolor="#ff0000">Panecillo.</span>\n<span fgcolor="#a403fb">- Taytankuman puylluta mallichinku.</span>\n<span fgcolor="#0000ff">- Convidan a su padre panecillos.</span>
puyu	<span fgcolor="#228B22">(s).</span> Tuta pawaq uru. Qusñi pillpintuman rikchakuq. Pachata, millwata, qarakunatam ima puchukan. <span fgcolor="#ff0000">Polilla.</span>\n<span fgcolor="#a403fb">- Mamaypa puchkantam puyu tukurqusqa.</span>\n<span fgcolor="#0000ff">- La polilla terminó con el hilado de mi madre.</span>
puyu	<span fgcolor="#228B22">(s).</span> Utkuman rikchakuq wapsisqa yaku. Wayrawan kuska purin. Yana puyu, yuraq puyu, qasa puyukunam kan. <span fgcolor="#ff0000">Nube.</span>\n<span fgcolor="#a403fb">- Puyu intita harkarqun.</span>\n<span fgcolor="#0000ff">- La nube tapó al sol.</span>
qallpa	<span fgcolor="#228B22">(s).</span> Hakuhina kacharisqa allpa. <span fgcolor="#ff0000">Tierra suelta.</span>\n<span fgcolor="#a403fb">- Chakranchikqa qallpam, manam kapkachu.</span>\n<span fgcolor="#0000ff">- La tierra de nuestra chakra es suave, no es dura.</span>
qallu	<span fgcolor="#228B22">(s).</span> Simi ukupi kuyuykachaq aycha mana tulluyuq, chintiq, wiñaq. <span fgcolor="#ff0000">Lengua.</span>\n<span fgcolor="#a403fb">- Uywapa qallun yanusqaqa miski miskim.</span>\n<span fgcolor="#0000ff">- La lengua cocida de los animales es rica.</span>
qamay	<span fgcolor="#228B22">(r).</span> Sasachakuspa kallpachakuy. Quqmay. <span fgcolor="#ff0000">Pujar.</span>\n<span fgcolor="#a403fb">- Warmi wachanapaqqa llumpaytam qaman.</span>\n<span fgcolor="#0000ff">- La mujer puja mucho al dar a luz.</span>
qamya	<span fgcolor="#228B22">(s).</span> Mana miskiyuq mikuy. Pisi miskiyuq, pisi kachiyuq. Qatqi Qayma. <span fgcolor="#ff0000">Insípido.</span>\n<span fgcolor="#a403fb">- Chupiqa qamyam kachkan.</span>\n<span fgcolor="#0000ff">- La sopa está desabrida.</span>
qañiwa	<span fgcolor="#228B22">(s).</span> Kinuwa ruruman rikchakuq mikuy. <span fgcolor="#ff0000">Cañihua.</span>\n<span fgcolor="#a403fb">- Qañiwata mikuspaqa allin kallpayuqmi wawakuna qispin.</span>\n<span fgcolor="#0000ff">- Comiendo la cañihua los bebés crecen muy saludables.</span>
qanra	<span fgcolor="#228B22">(s).</span> Imapas qupayuq; mana chuyachu. <span fgcolor="#ff0000">Sucio.</span>\n<span fgcolor="#a403fb">- Qanra pachakunata taqsamusun.</span>\n<span fgcolor="#0000ff">- Vamos a lavar las ropas sucias.</span>
qantu	<span fgcolor="#228B22">(s).</span> Sumaq llimpi waytayuq sacha. <span fgcolor="#ff0000">Cantuta.</span>\n<span fgcolor="#a403fb">- Qantupa waytanta sumirunpi apan.</span>\n<span fgcolor="#0000ff">- Lleva una flor de cantuta en el sombrero.</span>
qapariy	<span fgcolor="#228B22">(r).</span> Kallpachakuspa rimay. <span fgcolor="#ff0000">Gritar.</span>\n<span fgcolor="#a403fb">- Runa churinta qaparin.</span>\n<span fgcolor="#0000ff">- El hombre le gritonea a su hijo.</span>
qapiy	<span fgcolor="#228B22">(r).</span> Kallpawan qapispa imapa yakunpas hurquy. <span fgcolor="#ff0000">Exprimir.</span>\n<span fgcolor="#a403fb">- Limunchata uchuman qapiykuy.</span>\n<span fgcolor="#0000ff">- Exprime el limón en el ají.</span>
qaqa	<span fgcolor="#228B22">(s).</span> Hatunkaray anaq rumi. <span fgcolor="#ff0000">Roca.</span>\n<span fgcolor="#a403fb">- Qaqapa uchkunpi anka uqllachkan.</span>\n<span fgcolor="#0000ff">- En la oquedad de la roca está empollando el gavilàn.</span>
qaqchay	<span fgcolor="#228B22">(r).</span> Pitapas piñaspa sinchi rimay; pitapas anyay. <span fgcolor="#ff0000">Reprender, resondrar.</span>\n<span fgcolor="#a403fb">- ¡Ama wawata qaqchaychu!</span>\n<span fgcolor="#0000ff">- ¡No reprendas al niño!</span>
qaquy	<span fgcolor="#228B22">(r).</span> Makiwan llapchapayaspa llampuyachiy. Iskay makiwan qaquspa wiswi qurquy. <span fgcolor="#ff0000">Frotar, sobar.</span>\n<span fgcolor="#a403fb">- Akuta tanta ruranapaq qaquy.</span>\n<span fgcolor="#0000ff">- Soba la masa para hacer el pan.</span>
qara	<b>1.</b> <span fgcolor="#228B22">(s).</span> Runapa hawa aychan.<span fgcolor="#ff0000"> Piel.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Uywakunapa hawa qatan.<span fgcolor="#ff0000"> Cuero.</span> <b>3.</b> <span fgcolor="#228B22">(s).</span> Mikuykunapa hawan. <span fgcolor="#ff0000">Cáscara.</span>\n<span fgcolor="#a403fb">1. Runapa qaranmanta yawar lluqsimun.</span>\n<span fgcolor="#0000ff">- De la piel del hombre sale sangre.</span>\n<span fgcolor="#a403fb">2. Wakapa qaranmanta siquyta ruranku.</span>\n<span fgcolor="#0000ff">- Del cuero de la vaca hacen ojotas.</span>\n<span fgcolor="#a403fb">3. Papapa qaranqa allinmi ruru nanaypaq.</span>\n<span fgcolor="#0000ff">- La cáscara de la papa es buena para el dolor de los riñones.</span>
qaracha	<span fgcolor="#228B22">(s).</span> Siqsiq unquy, runapa qaranpi rikurimun uchuy uruchapa kirichasqanrayku. <span fgcolor="#ff0000">Sarna.</span>\n<span fgcolor="#a403fb">- Mana mayllakusqaqa uyapipas makipipas qaracha rikurimun.</span>\n<span fgcolor="#0000ff">- Si no se lavan la cara o las manos aparece la sarna.</span>
qara chupa	<span fgcolor="#228B22">(s).</span> Atuqhina umayuq, hatun lasuhina chupayuq. China kaqqa wiksanpi apan wawankunata. Riqsinkutaqmi unkakawan. <span fgcolor="#ff0000">Zarigüeya, muca.</span>\n<span fgcolor="#a403fb">- Qara chupaqa sachantapas, pampantapas purinmi.</span>\n<span fgcolor="#0000ff">- La zarigüeya camina tanto en los árboles como en la tierra.</span>
qaray	<b>1.</b> <span fgcolor="#228B22">(r).</span> Mikunankupaq mikuy qayway.<span fgcolor="#ff0000"> Servir comida.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Kuska yachaspa hukninpa kusikuyninta yanapaspa maskay. Qawapayay. <span fgcolor="#ff0000">Servir.</span>\n<span fgcolor="#a403fb">1. Mikunankupaq qarakamuy.</span>\n<span fgcolor="#0000ff">- Sirve la comida para que coman.</span>\n<span fgcolor="#a403fb">2. Mana riqsisqa runata qarayqa sasam kasqa.</span>\n<span fgcolor="#0000ff">- Servir a una persona desconocida habìa sido difìcil.</span>
qaraywa	<span fgcolor="#228B22">(s).</span> Amaruhina umayuq, tawa chaki uru. Sukullukuy, sukulluway. <span fgcolor="#ff0000">Lagarto, lagartija.</span>\n<span fgcolor="#a403fb">- Qaraywaqa ranra ranrakunapim kawsan.</span>\n<span fgcolor="#0000ff">- La lagartija vive en los cascajales.</span>
qari	<span fgcolor="#228B22">(s).</span> Yuyayniyuq rimaq runa, qurutayuq. <span fgcolor="#ff0000">Hombre.</span>\n<span fgcolor="#a403fb">- Allinnin kaq qarita pusamunki.</span>\n<span fgcolor="#0000ff">- Traes al mejor hombre.</span>
qasa	<span fgcolor="#228B22">(s).</span> Iskay urqupa chawpinpi wayqu. <span fgcolor="#ff0000">Abra.</span>\n<span fgcolor="#a403fb">- Qasaman chayarquspaqa uraytañam qallaykusun.</span>\n<span fgcolor="#0000ff">- Cuando lleguemos al abra comenzaremos a bajar.</span>
qasa	<span fgcolor="#228B22">(s).</span> Llumpay chiriwan tikasqa yaku. Chullunku. <span fgcolor="#ff0000">Helada.</span>\n<span fgcolor="#a403fb">- Qasa papata yanurqusqa.</span>\n<span fgcolor="#0000ff">- La helada había &quot;sancochado&quot; las matas de papa.</span>
qasqu	<span fgcolor="#228B22">(s).</span> Kunkapa uranpi, wiksapa hanayninpi ukupa chiqtan. <span fgcolor="#ff0000">Pecho.</span>\n<span fgcolor="#a403fb">- Qasquypim anacha kan.</span>\n<span fgcolor="#0000ff">- En mi pecho hay un lunar.</span>
qata	<span fgcolor="#228B22">(s).</span> Hanayniyuq urayniyuq allpa. <span fgcolor="#ff0000">Ladera, pendiente.</span>\n<span fgcolor="#a403fb">- Chay qatapi manam tarpuymanchu.</span>\n<span fgcolor="#0000ff">- En esa ladera no podría sembrar.</span>
qatiy	<span fgcolor="#228B22">(r).</span> Uywa wayralla purinanpaq kallpachachina asutiwanpas, rimaspapas rimapayaspapas. <span fgcolor="#ff0000">Arrear.</span>\n<span fgcolor="#a403fb">- ¡Uywakuna mikunanpaq qatiy!</span>\n<span fgcolor="#0000ff">- ¡Arrea a los animales para que coman!</span>
qatqi	<span fgcolor="#228B22">(s).</span> Qallupa musyasqan hayaq hayaq. Puchqu. <span fgcolor="#ff0000">Amargo.</span>\n<span fgcolor="#a403fb">- Wiksa nanaypaqqa qatqi qurachata upyay.</span>\n<span fgcolor="#0000ff">- Debes tomar yerbita amarga contra el dolor de estómago.</span>
qatu	<span fgcolor="#228B22">(s).</span> Huñunasqa rantikuqkunapa tiyanan, rantinapaqpas rantikunapaqpas hatun wasi. <span fgcolor="#ff0000">Mercado, plaza.</span>\n<span fgcolor="#a403fb">- Wanka Willka llaqtaqa sumaq qatuyuqmi.</span>\n<span fgcolor="#0000ff">- La ciudad de Huancavelica tiene un buen mercado.</span>
qaway	<span fgcolor="#228B22">(r).</span> Ñawiwan imapas hapichiy. Rikuy. <span fgcolor="#ff0000">Mirar, observar.</span>\n<span fgcolor="#a403fb">- Runakuna imayna purisqanta qawanki.</span>\n<span fgcolor="#0000ff">- Verás cómo camina la gente.</span>
qayakuy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Hukkuna uyarinanpaq rimapayay.<span fgcolor="#ff0000"> Llamar.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Yanapawananchikpaq, llampu sunquwan, pitapas mañakuy. <span fgcolor="#ff0000">Invocar.</span>\n<span fgcolor="#a403fb">1. Runakuna huñunakunanpaq qayay.</span>\n<span fgcolor="#0000ff">- Llama a la gente a una reunión.</span>\n<span fgcolor="#a403fb">2. Mana mikunanpaq kaptin runa masinkunata qayakun.</span>\n<span fgcolor="#0000ff">- Al no tener que comer invoca a sus semejantes.</span>
qaykuy	<span fgcolor="#228B22">(r).</span> Wichqanapaq qinchaman yaykuchiy. <span fgcolor="#ff0000">Acorralar, arrear los animales al corral.</span>\n<span fgcolor="#a403fb">- ¡Chitakunata qinchanman qaykuramuy!</span>\n<span fgcolor="#0000ff">- ¡ Arrea las ovejas al corral!</span>
qayllan	<span fgcolor="#228B22">(s).</span> Hukwan tinkuq. Iskay llaqta rakiq siqi. Qurpa. <span fgcolor="#ff0000">Límite, lindero.</span>\n<span fgcolor="#a403fb">- Chakrapa qayllan rikurimuchkan.</span>\n<span fgcolor="#0000ff">- Se ve el límite de la chacra.</span>
qayna	<span fgcolor="#228B22">(s).</span> Ñawpa pacha. <span fgcolor="#ff0000">Antes.</span>\n<span fgcolor="#a403fb">- Qaynaqa allintam mikurqaku awilunchikkuna.</span>\n<span fgcolor="#0000ff">- Antes se alimentaban muy bien nuestros abuelos.</span>
qayna punchaw	<span fgcolor="#228B22">(s).</span> Kay punchawmanta qipa qatiqnin. <span fgcolor="#ff0000">Ayer.</span>\n<span fgcolor="#a403fb">- Manam qayna punchaw kasqanchikmanta yuyakunchikchu.</span>\n<span fgcolor="#0000ff">- No nos acordamos de lo que fuimos ayer.</span>
qayninpa punchaw	<span fgcolor="#228B22">(s).</span> Kunan punchawmanta iskay punchaw qipa qatiqnin. <span fgcolor="#ff0000">Antes de ayer.</span>\n<span fgcolor="#a403fb">- Qayninpa punchawmi Ayakuchuman illarqa.</span>\n<span fgcolor="#0000ff">- Antes de ayer viajó hacia Ayacucho.</span>
qaytu	<span fgcolor="#228B22">(s).</span> Millwamanta, utkumanta imapas qiwisqapas kawpusqapas watu. <span fgcolor="#ff0000">Hilo.</span>\n<span fgcolor="#a403fb">- ¡Yana qaytuta haywamuway!</span>\n<span fgcolor="#0000ff">- ¡Alcánzame el hilo negro!</span>
qaywiy	<span fgcolor="#228B22">(r).</span> Manka taqwiy, Wisllawan yaku taqwiypas kuyuchiypas, imapas kuyuchiy . <span fgcolor="#ff0000">Remover, batir.</span>\n<span fgcolor="#a403fb">- ¡Mankata mana tasnumunanpaq qaywiy!</span>\n<span fgcolor="#0000ff">- ¡Bate la olla para que no rebalse!</span>
qicha	<span fgcolor="#228B22">(s).</span> Yakurikuq akakuy unquy. Kursus. <span fgcolor="#ff0000">Diarrea.</span>\n<span fgcolor="#a403fb">- Kuchinchik qichawan kachkan.</span>\n<span fgcolor="#0000ff">- Nuestro chancho está con diarrea.</span>
qichincha	<span fgcolor="#228B22">(s).</span> Yana allpahina qusnipa yanachasqan. <span fgcolor="#ff0000">Tizne.</span>\n<span fgcolor="#a403fb">- Qichincha kirusiniwan llumpayta rikurimun.</span>\n<span fgcolor="#0000ff">- Se forma mucha tizne con el kerosene.</span>
qichinchasqa	<span fgcolor="#228B22">(s).</span> Yanachasqa, ninapa qusninwan yanachasqa. <span fgcolor="#ff0000">Tiznado.</span>\n<span fgcolor="#a403fb">- Chukllaqa qichinchasqam kachkan.</span>\n<span fgcolor="#0000ff">- La choza está tiznada por el humo.</span>
qichipra	<span fgcolor="#228B22">(s).</span> Ñawipa muyuriyninpi chukcha. <span fgcolor="#ff0000">Pestañas.</span>\n<span fgcolor="#a403fb">- Qichipraqa ñawitam amachan imamantapas.</span>\n<span fgcolor="#0000ff">- Las pestañas defienden a los ojos de cualquier objeto.</span>
qichuy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Hukpa kaqta piñarikuqhina hapikuy.<span fgcolor="#ff0000"> Quitar.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Pisiyachiy, lliwmanta wakin hurquy. <span fgcolor="#ff0000">Restar, sustraer.</span>\n<span fgcolor="#a403fb">1. Qillqananta qichurqapun.</span>\n<span fgcolor="#0000ff">- Le quitaron su lapicero.</span>\n<span fgcolor="#a403fb">2. Kimsamanta hukta qichuptinchikqa iskayllañam.</span>\n<span fgcolor="#0000ff">- Si restamos uno de tres sólo queda dos.</span>
qichwa	<b>1.</b> <span fgcolor="#228B22">(s).</span> Quñiniraq allpa.<span fgcolor="#ff0000"> Valle interandino.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Kay quñi allpakunapi yachaq runakunapa simin. Runa simi. <span fgcolor="#ff0000">Lengua quechua.</span>\n<span fgcolor="#a403fb">1. Qichwapiqa sara wiñanmi.</span>\n<span fgcolor="#0000ff">- En el valle crece el maíz.</span>\n<span fgcolor="#a403fb">2. Qichwaqa miski simim.</span>\n<span fgcolor="#0000ff">- El quechua es una lengua afectiva.</span>
qilla	<span fgcolor="#228B22">(s).</span> Mana llamkay munaq, puñuylla puñuq, pukllakuqlla mana yanapakuq. <span fgcolor="#ff0000">Ocioso, flojo.</span>\n<span fgcolor="#a403fb">- Qilla runa upyaylla upyan.</span>\n<span fgcolor="#0000ff">- Hombre ocioso solamente bebe y bebe.</span>
qillay	<span fgcolor="#228B22">(s).</span> Qusñi anqasniraq mital. <span fgcolor="#ff0000">Hierro.</span>\n<span fgcolor="#a403fb">- Qillaymanta kuchunata rurachisun.</span>\n<span fgcolor="#0000ff">- Mandemos hacer cuchillo de hierro.</span>
qillichay	<span fgcolor="#228B22">(s).</span> Quntikunawan qusñikunawan asnaykunawan ima qachayasqa wayra. <span fgcolor="#ff0000">Contaminación, suciedad.</span>\n<span fgcolor="#a403fb">- Qillichayqa manam allinchu, unquchiwanchikmi.</span>\n<span fgcolor="#0000ff">- No es bueno contaminar; nos causa enfermedad.</span>
qilliy	<span fgcolor="#228B22">(r).</span> Imaymana qupakunawan, qusñikunawan mama pacha qachachay. <span fgcolor="#ff0000">Contaminar.</span>\n<span fgcolor="#a403fb">- Llaqta runakunam mayuta qillinku.</span>\n<span fgcolor="#0000ff">- Los habitantes de las ciudades contaminan el río.</span>
qillpa	<span fgcolor="#228B22">(s).</span> Kullu chiqtasqa, chapra waqtaypi ñawchi umachayuq pawaq kaspichakuna. <span fgcolor="#ff0000">Astilla.</span>\n<span fgcolor="#a403fb">- Kullu qillpam makiyman satikurqun.</span>\n<span fgcolor="#0000ff">- Una astilla se introdujo en mi mano.</span>
qillqana	<span fgcolor="#228B22">(s).</span> Llimpinapaqpas siqinapaqpas kaspipa chawpinpi killinsa. <span fgcolor="#ff0000">Lápiz, lapicero.</span>\n<span fgcolor="#a403fb">- Qillqanawan rikchakuyta llimpiy.</span>\n<span fgcolor="#0000ff">- Dibuja mi retrato con el lápiz.</span>
qillqay	<span fgcolor="#228B22">(r).</span> Imaymana qillqanakunawan yachaykuna raprapi takyachiy. <span fgcolor="#ff0000">Escribir.</span>\n<span fgcolor="#a403fb">- Rimasqanchikta qillqana panqapi qillqay.</span>\n<span fgcolor="#0000ff">- Escribe en el cuaderno lo que hablamos.</span>
qillqa	<span fgcolor="#228B22">(s).</span> Llapa simipa manaña rakiy atina luqyanakunapas luqyanayuqkunapas. <span fgcolor="#ff0000">Letra.</span>\n<span fgcolor="#a403fb">- Chanka qichwa simipaqa kimsallam luqyanankuna, luqyanayuqkunañataqmi chunka pichqayuq.</span>\n<span fgcolor="#0000ff">- En el quechua chanka hay tres vocales y quince consonantes.</span>
qillu	<span fgcolor="#228B22">(s).</span> Ritama waytaman rikchakuq llimpi. <span fgcolor="#ff0000">Amarillo.</span>\n<span fgcolor="#a403fb">- Sunchu waytaqa qillu llimpiyuqmi.</span>\n<span fgcolor="#0000ff">- La flor del suncho es de color amarillo.</span>
qimchiy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Qichipra wichqariy kichariy.<span fgcolor="#ff0000"> Parpadear.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Pitapas piñasqa ñawita hukllata wichqaspa qawachiy. <span fgcolor="#ff0000">Guiñar los ojos con cólera.</span>\n<span fgcolor="#a403fb">1. Ñawinman qupa yaykurquptin qimchiykachachkan.</span>\n<span fgcolor="#0000ff">- Debido a la basura que le entró en sus ojos viene parpadeando.</span>\n<span fgcolor="#a403fb">2. Warmapura qimchinakunku.</span>\n<span fgcolor="#0000ff">- Entre niños se guiñan los ojos.</span>
qina	<span fgcolor="#228B22">(s).</span> Tullumantapas, suqusmantapas, kullumantapas waqachinapaq rurasqa. Ñawpa antikunapa waqachinan uchkuyuq kaspi. <span fgcolor="#ff0000">Quena.</span>\n<span fgcolor="#a403fb">- Takinaypaq qinawan yanapawanki.</span>\n<span fgcolor="#0000ff">- Me acompañarás con tu quena para cantar.</span>
qinti	<span fgcolor="#228B22">(s).</span> Qinchu, luli; chuspi pisqu ninkutaqmi. Hatun llañu tuspayuq, waytakunapa miskinwan kawsaq. Waytan waytan pawaq uchuy pisqu. <span fgcolor="#ff0000">Picaflor.</span>\n<span fgcolor="#a403fb">- Qumirwan anqasniraq llimpiyuqmi qintiqa kan.</span>\n<span fgcolor="#0000ff">- El picaflor es de color verde azulado.</span>
qiñwa	<span fgcolor="#228B22">(s).</span> Qusñi llimpi ñutu rapiyuq sacha, kullunpi achka patarasqa llañu rapikuna laqasqa kan. Qiwña. Arbol nativo del Perú. <span fgcolor="#ff0000">Queuña.</span>\n<span fgcolor="#a403fb">- Chiri allpakunapim qiñwa sachaqa wiñan.</span>\n<span fgcolor="#0000ff">- El quinual crece en tierras frìas.</span>
qipa	(s.). Llapa ima wasa kayninpi tarikuqkuna. <span fgcolor="#ff0000">Parte posterior.</span>\n<span fgcolor="#a403fb">- Ama qipaman qawaychu.</span>\n<span fgcolor="#0000ff">- No mires hacia atrás.</span>
qista	<span fgcolor="#228B22">(s).</span> Tapa. Pisqukunapa wallpakunapa wachanan uqllanan. Qisa. <span fgcolor="#ff0000">Nido.</span>\n<span fgcolor="#a403fb">- Urpiqa qistanpim kachkan.</span>\n<span fgcolor="#0000ff">- La paloma está en su nido.</span>
qipi	<span fgcolor="#228B22">(s).</span> Llikllapi, pullupi, suysunapi imapas qipichasqa wasapi apanapaq. <span fgcolor="#ff0000">Atado, bulto, quipe.</span>\n<span fgcolor="#a403fb">- Warmi qipinta qunqarqun.</span>\n<span fgcolor="#0000ff">- La mujer se olvidó su bulto.</span>
qipichay	<b>1.</b> <span fgcolor="#228B22">(r).</span> Qipi allichakuy. <span fgcolor="#ff0000">Preparar un bulto.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Qurakunawan, waytakunawan rurasqa hampiwan wankuy. <span fgcolor="#ff0000">Emplastar.</span>\n<span fgcolor="#a403fb">1. Qipichakuyña rikunanchikpaq.</span>\n<span fgcolor="#0000ff">- Alista tu bulto para irnos.</span>\n<span fgcolor="#a403fb">2. Wawata waytawan qipichay.</span>\n<span fgcolor="#0000ff">- Emplasta al bebé con flores.</span>
qiru	<span fgcolor="#228B22">(s).</span> Kullumanta rurasqa upyana. <span fgcolor="#ff0000">Vaso incaico de madera.</span>\n<span fgcolor="#a403fb">- Qirupi aqata qaray.</span>\n<span fgcolor="#0000ff">- Sirve chicha en el quero.</span>
qisa	<span fgcolor="#228B22">(s).</span> Pisqukunapa wasichakuynin, chaypi runtunankupaqpas uqllanankupaqpas. Qista. Tapa. <span fgcolor="#ff0000">Nido.</span>\n<span fgcolor="#a403fb">- Urpiqa qisanpi tiyarqunñam.</span>\n<span fgcolor="#0000ff">- La paloma ya está empollando en su nido.</span>
qispi	<span fgcolor="#228B22">(s).</span> Chuya yakuhina mana akchi qarkakuq, imawanpas takaykachisqaqa pakiqpuni. <span fgcolor="#ff0000">Cristal, vidrio.</span>\n<span fgcolor="#a403fb">- Kuchurqusuptikitaq chay qispi.</span>\n<span fgcolor="#0000ff">- No vaya a ser que te corte ese vidrio.</span>
qispichiq	<span fgcolor="#228B22">(s).</span> Apu runakunapa ñakachisqan allinyachiq, mana kikinkuhina kawsaqkunata kachaykachiq. <span fgcolor="#ff0000">Libertador.</span>\n<span fgcolor="#a403fb">- Piru suyunchik qispichiqmi José de San Martín karqa.</span>\n<span fgcolor="#0000ff">- José de San Martín fue el libertador del Perú.</span>
qispiy	<b>1.</b> <span fgcolor="#228B22">(r).</span> Hapisqahina tarikuspa sasachakuykunamanta lluqsiy.<span fgcolor="#ff0000"> Liberar, zafar.</span> <b>2.</b> <span fgcolor="#228B22">(r).</span> Wichay waqta puriy. <span fgcolor="#ff0000">Subir, escalar.</span>\n<span fgcolor="#a403fb">1. Ñakakuyninta qispirqachinñam.</span>\n<span fgcolor="#0000ff">- Ya se liberó de sus problemas.</span>\n<span fgcolor="#a403fb">2. Pata patata siqay.</span>\n<span fgcolor="#0000ff">- Sube las escaleras.</span>
qisqis	<span fgcolor="#228B22">(s).</span> Tutaykuchkaptin qumirwan qilluyasqa llimpiyuq pawaq uru. Pawaspanqa sinchitam qaparkachan. Qisqintu. <span fgcolor="#ff0000">Cigarra.</span>\n<span fgcolor="#a403fb">- Qisqisqa chisinkuytaqa pawaytam qallaykun.</span>\n<span fgcolor="#0000ff">- La cigarra comienza a volar al comenzar la noche.</span>
qiswa	<span fgcolor="#228B22">(s).</span> Ichumanta rurasqa waska. Qichwa. <span fgcolor="#ff0000">Soga de paja.</span>\n<span fgcolor="#a403fb">- Qiswawan kaspikunata wasi qatanapaq watay.</span>\n<span fgcolor="#0000ff">- Amarra los palos con soga de ichu para techar la casa.</span>
qiwa	<span fgcolor="#228B22">(s).</span> Uywakuna mikunanpaq qura, riqsinkutaqmi qachuwan. <span fgcolor="#ff0000">Hierba, pasto.</span>\n<span fgcolor="#a403fb">- Qiwata pallamuy quwi mikunanpaq.</span>\n<span fgcolor="#0000ff">- Coge pasto para que coman los cuyes.</span>
qiwlla	<span fgcolor="#228B22">(s).</span> Yuraq puruyuq, qusñiyasqa wasayuq pawaysapa pisqu. <span fgcolor="#ff0000">Gaviota.</span>\n<span fgcolor="#a403fb">- Qiwllaqa imaymana yakupi kaq urukunawanmi kawsan.</span>\n<span fgcolor="#0000ff">- La gaviota se alimenta de todo tipo de gusanos que encuentra en el agua.</span>
qiya	<span fgcolor="#228B22">(s).</span> Kirichasqa ismu aychapi rikurimun yuraq qilluyasqa apihina yaku. <span fgcolor="#ff0000">Pus.</span>\n<span fgcolor="#a403fb">- Warmapa makinmanta qiya lluqsirqa.</span>\n<span fgcolor="#0000ff">- Salió pus de la mano del niño.</span>
qucha	<span fgcolor="#228B22">(s).</span> Urqukunapa chawpinpi hatun takyasqa yaku. Kuntu. <span fgcolor="#ff0000">Lago, laguna, estanque.</span>\n<span fgcolor="#a403fb">- Hatun hatun qucham Titikakaqa.</span>\n<span fgcolor="#0000ff">- El lago Titicaca es muy grande.</span>
qullana	<b>1.</b> <span fgcolor="#228B22">(s).</span> Ayllunmanta yawarninrayku llaqtapa chaninchasqa runa.<span fgcolor="#ff0000"> Nobleza.</span> <b>2.</b> <span fgcolor="#228B22">(s).</span> Lliw runakunamanta rakikuspa allin umayuq kasqanrayku llaqta umanchaq runa. <span fgcolor="#ff0000">Autoridad local.</span>\n<span fgcolor="#a403fb">1. Inka qullanakunaqa allin qawasqam karqa.</span>\n<span fgcolor="#0000ff">- La nobleza Inca fue muy considerada.</span>\n<span fgcolor="#a403fb">2. Akllasqanchik qullanam llaqtanchikta wiñachichkan.</span>\n<span fgcolor="#0000ff">- La autoridad que elegimos hace posible el desarrollo de nuestro pueblo.</span>
qullpa	<span fgcolor="#228B22">(s).</span> Qallpa allpa, puchquniraq allpa. <span fgcolor="#ff0000">Salitre.</span>\n<span fgcolor="#a403fb">- Uywakunaqa sapa punchawmi qullpan waqtapi.</span>\n<span fgcolor="#0000ff">- Los animales lamen el salitre en la pendiente todos los días.</span>
