a	Vocal baja central.
phullku	<i>s.</i> Fleco.
phullpuy, phullulluy, t'impuy, phulluqiy	<i>intr.</i> Borbollar. Borbollear, borbollonear.
phullpuy	<i>intr. y tr.</i> Manar. Brotar o salir de una parte un líquido.
phullu	<i>s.</i> Manta. Prenda suelta de abrigo.
phullu	<i>s.</i> Mantilla con que se cubren las mujeres. Suele ser de variados y atrayentes colores. || Cobertor. Manta o cobertera de abrigo para la cama. Qhata.
phuñi, achallqu	<i>s.</i> Cabello de maíz.
phupa	<i>adj.</i> Esponjoso y suave. Este pan está bien blando: Kay tantaqa allin phupa. || Blando. Suave, que cede fácilmente al tacto. Llamp'u. || Manso, de carácter apacible. Llamp'u. || Muelle. T'ikmu.
phupachay	<i>tr.</i> Esponjar, hacer más fofo un cuerpo.
phuqchiy, phullchiy	<i>intr.</i> Rebosar. Derramarse un líquido de una vasija muy llena.
phuqi	<i>s.</i> Calostro. Primera secreción mamaria de la hembra, poco antes o después del parto.
phuqpu	<i>s.</i> Burbuja. Ampolla que hace el agua al llover.
phurmuy (	<i>intr.</i> Rebosar, derramarse un líquido de una vasija muy llena al hervir.
phuru	<i>s.</i> Pluma. // Pluma de pato: Pili phuru.
phurunchay	<i>tr.</i> Emplumar. Poner plumas a algo.
phurunnay, phuruy, lluphiy	<i>tr.</i> Desplumar. Quitar las plumas.
phusa, phupa	<i>adj.</i> Fofo, -fa. Blando, poco consistente, esponjoso, fungoso.
phusan	<i>s.</i> Pulmón (<i>sinón:</i> surk'an, surq'an).
phusayachiy	<i>tr.</i> Volver fofo, fungoso.
phuska, PHUCHKA, puska	<i>s.</i> Huso. Rueca.
phuskay, PHUCHKAY	Qanquy. <i>tr.</i> Hilar. Reducir a hilo.
phusnu	<i>s.</i> Quimo del animal sacado al momento de carnear.
phuspu	<i>s.</i> Manjar de haba tostada y cocida en agua. || Haba. Planta de la familia de papilionáceas. Jawas (<i>&lt;C</i>).
phusra	<i>s.</i> Hollejo. Piel de frutas leguminosas.
phusullu	<i>s.</i> Ampolla. Vejiga formada por la elevación de la epidermis.
phusuqu	<i>s.</i> Espuma. Conjunto de burbujas que se forman en la superficie de los líquidos.
phusuqusapa	<i>adj.</i> Espumoso, -sa.
phusuquy	<i>intr.</i> Espumar, hacer espuma.
phuti manay, phuti, watisanka, wat'isanka	<i>s.</i> Congoja, angustia. || <i>fig.</i> Zozobra. Intranquilidad, desasosiego, inquietud. Ch'irma.
phuti, llaki, llakiy	<i>s.</i> Pena. Aflicción, tristeza.
phuti, phutiy manay, watisanka, wat'isanka	<i>s.</i> Congoja, angustia. || <i>fig.</i> Zozobra. Intranquilidad, desasosiego, inquietud. Ch'irma.
phuti, wat'isanka, ñak'ari	<i>s.</i> Angustia. aflicción.
phutichiy, llakichiy	Ch'irmachiy. <i>tr.</i> Afligir. Causar pena.
phutichiy, llakichiy	<i>tr.</i> Atribular.
phutichiy, Wat'isankay, watisankachiy	<i>tr.</i> Acongojar. Angustiar, afligir.
phutikuy, llakikuy	<i>prnl.</i> Acongojarse, afligirse. || <i>intr.</i> Zozobrar. Hundirse la embarcación. Sinqarkutamuy.
phutikuy, llakikuy	<i>prnl.</i> Entristecerse. Ponerse triste y melancólico.
phutikuy, ñak'ariy, ullphukuy	<i>prnl.</i> Angustiarse.
phutirayay	<i>intr.</i> Hallarse melancólico.
phutirayay	s Melancolía, tristeza acompañada de nostalgia.
phutisqa, ullphu, wat'isankasqa	<i>adj.</i> Angustiado. Afligido.
phutiy, phutikuy	<i>intr.</i> Acongojarse.
phutun, asnaq	<i>adj.</i> Apestoso. Que despide mal olor.
phutuniy, asnay, phutunyay	<i>intr.</i> Heder. Despedir mal olor.
phutunyay, asnay, phutuniy	<i>intr.</i> Heder. Despedir mal olor.
phuyu	<i>s.</i> Nube. Masa de vapor de agua suspendida en la atmósfera.
phuyunku	<i>s.</i> Remolino de agua. || Remolino que arrastra el polvo. Pillunkuy (2).
phuyuray	<i>intr.</i> Desencapotarse el cielo.
phuyusqa, phuyusa	<i>adj.</i> Nublado, -da. Cubierto de nubes.
phuyuy, phuyuykuy	<i>intr.</i> Nublarse, cubrirse de nubes el cielo.
p'	Consonante oclusiva bilabial glotalizada.
p'acha	<i>s.</i> Ropa.
p'acha	<i>s.</i> Vestido. Ropa que cubre el cuerpo de la mujer y el hombre.
p'achallichiy	<i>tr.</i> Vestir. Cubrir el cuerpo con el vestido. || <i>prnl. y r.</i> Vestirse. P'achallikuy.
p'achallikuy	<i>prnl. y r.</i> Vestirse.
p'akcha	<i>adj.</i> Volcado, boca abajo, embrocado.
p'akchay	<i>tr.</i> Embrocar, colocar una vasija boca abajo. || Volcar. Colocar por el revés una cosa. Voltear, volver contrariamente una cosa, poner la parte interna de algo por cara principal. Tikray, t'ikray.
p'akchi	<i>adj.</i> Agobiado. Inclinado.
p'akchikuy	<i>prnl.</i> Inclinarse, agobiarse.
p'akchiy, k'umuchiy	<i>tr. y prnl.</i> Agobiar. Doblar la parte superior de un cuerpo.
p'akikuy	<i>prnl.</i> Quebrarse. || <i>tr.</i> Quebrar. Romper. P'akiy.
p'akinchay, juchallikuy, q'umallikuy	<i>intr.</i> Delinquir. Cometer delito.
p'akinchay, saruchay, sarunchay	<i>tr.</i> Profanar. Tratar sin respeto lo sagrado.
p'akinchay	<i>tr.</i> Violar. Quebrantar la ley.
p'akisqa	<i>adj.</i> Quebrado, -da. Quebrantado.
p'akisqa	<i>adj.</i> Roto, -ta. Quebrado. || Tela rota u otra lámina flexible en el mismo estado. Uik'isqa.
p'akiy	<i>tr.</i> Fracturar. Romper, quebrar.
p'akiy	<i>tr.</i> Romper objetos. || Romper telas o cosas parecidas. Llik'iy.
p'akiy	<i>tr.</i> Romper. || Partir. Dividir en partes, dividir. Rak'iy. || Separar. T'aqay. || Rebanar, tajar en partes delgadas una cosa. Q'alluy, q'allay. || <i>intr.</i> Emprender la marcha. Puririy.
p'allchay	<i>intr.</i> Estallar un recipiente lleno de líquido.
p'allta	<i>adj.</i> Apaisado, más ancho que alto. || Plano, -na. Llano. Pampa.
p'altay, ñat'uy	<i>tr.</i> Aplastar. Deformar una cosa aplastándola.
p'ampa	<i>s.</i> Entierro, acción y efecto de enterrar.
p'amparay	<i>tr.</i> Desenterrar. Exhumar, sacar lo que está debajo de la tierra.
p'ampay	<i>tr.</i> Enterrar. Cubrir con tierra. || Cubrir. Tapar, abrigar con frazada. Qatay, qhatay. || Cubrir con una manta. P'istuy. || <i>r.</i> Cubrirse con la frazada. Qatakuy, qhatakuy. || Cubrirse con la manta. P'istukuy.
p'ana, q'asu	<i>s.</i> Garrotazo. Golpe dado con garrote.
p'ana, q'asu	<i>s.</i> Porrazo. Golpe dado con la porra.
p'anay, q'asuy	<i>tr.</i> Apalear. Pegar con un palo.
p'anay, q'asuy	<i>tr. e intr.</i> Golpear con el garrote. || Golpear. Dar uno o repetidos golpes. Takay. || Pegar. Maqay. || Dar golpes o azotes en las costillas. Waqtay. || <i>rec.</i> Golpearse, topetarse. Takanakuy.
p'anay, q'asuy	<i>tr.</i> <i>fig. y fam.</i> Zurrar. Castigar a uno especialmente con azotes o golpes. || Ahorcar, estrangular. Siq'uy.
p'anchu	<i>s.</i> <i>Anat.</i> Cuajar. Última de las cuatro cavidades en que se divide el estómago de los rumiantes.
p'anku, qullu	Khurpu. <i>s.</i> Coágulo de la sangre. Grumo de líquido coagulado.
p'anku	<i>adj.</i> Mojado y guardado.
p'anku	<i>s.</i> Fiambre o cualquier manjar que se lleva envuelto en chala o en hojas de plátano, maíz, etc. (JL).
p'ankuy	<i>tr.</i> Mojar y guardar.
p'ankuy	<i>tr.</i> Preparar fiambe y envolverlo en hojas de vegetales (JL).
p'anqa (	<i>s.</i> Panca. Hoja que cubre la mazorca del maíz.
p'anqa	<i>s.</i> Libro. Obra de determinada extensión, cuyo contenido es científico o literario. || Manual, vademécum. P'anqa.
p'anra, t'anra	<i>adj.</i> Torpe. Que no tiene movimiento libre o es tardo. || Rudo, brusco. Wasu.
p'anra	<i>adj.</i> Estúpido, tonto. || Rústico, tosco.
p'anta	<i>s.</i> Especie de mantilla con que se cubren la cabeza las muchachas jóvenes.
p'aqa raphi	<i>s.</i> Copo de nieve.
p'aqa	<i>adj.</i> Condensado. Dícese de la pasta o sustancia formada por condensación.
p'aqayay	<i>intr.</i> Condensarse, reducirse el volumen de una cosa y darse más consistencia.
p'aqla	<i>adj.</i> Calvo.
p'aqlayay	<i>intr.</i> Encalvecer. Perder el pelo.
p'aqpaku, qamchu	<i>neol.</i> <i>s.</i> Payaso. Persona de poca seriedad, propensa a hacer reír con sus dichos o hechos. || Bribón, -na. Pícaro, bellaco. Challi.
p'aqra, p'aqla, t'uqlu	Luqsu. <i>adj. y s.</i> Calvo, -va. Que ha perdido el pelo de la cabeza.
p'aqu	<i>adj.</i> Rubio, -bia. De color rojo claro parecido al del oro.
p'arpana	<i>s.</i> Instrumento que sirve para aplanar.
p'arpasqa	<i>p.p.</i> Aplanado, apisonado.
p'arpay	<i>tr.</i> Apisonar. Apretar el piso o pavimento.
p'arqa	<i>adj.</i> Deforme, contrahecho, mal formado. // Nariz tosca: P'arqa senqa. || Feo, -a. Falto de belleza. Millay, millana.
p'arqay, t'aqtay, pampachay	<i>tr.</i> Aplanar. Hacer plano.
p'arway	<i>tr. e intr.</i> Rezumar, filtrar, exudar.
p'asña	<i>adj. y s. f.</i> Moza, muchacha, mujer adolescente. || Joven. Mujer que está en la juventud. Sipas.
p'aspa	<i>s.</i> Agrietadura y secamiento de la piel por efecto del frío.
p'aspay	<i>intr.</i> Secarse y agrietarse la cara o las manos por el frío.
p'ata	<i>adj.</i> Dícese de las cosas de un mismo color. P'ata ch'iqchi: Los grises nomás.
p'atay, janch'ay	<i>tr.</i> Tarascar. Morder o herir con los dientes. || Morder. Asir con los dientes. Kaniy, khaniy, khachuy. || Dar mordiscos un animal que pelea o ataca. Qhamsay.
p'atku	<i>s.</i> Dolor que suele sentirse en el omoplato (JL).
p'atma	<i>s.</i> Mitad (<i>sinón:</i> Khuskan, kuskan).
p'atmay	<i>tr.</i> Dividir una cosa en dos partes iguales.
p'atpay, pharaqiy, pharpay	<i>intr.</i> Aletear. Mover mucho las alas o aletas.
p'ikay	<i>tr.</i> Coger flores o frutos. || Quitar las hojas de las ramas.
p'ikwachiy, usqay, usqhay, sinchichiy	<i>tr.</i> Acelerar. Aumentar la velocidad.
p'inqachikusqa	<i>adj.</i> <i>fig.</i> Abochornado. Sonrojado.
p'inqachiy, pukayachiy	<i>tr.</i> Abochornar. Sonrojar. || Causar bochorno el excesivo calor. K'ajachiy, sansachiy. || <i>prnl.</i> Sonrojarse. P'inqakuy.
p'inqachiy	<i>tr.</i> Avergonzar. Afrentar, causar vergüenza. || <i>prnl.</i> Tener vergüenza. P'inqakuy.
p'inqakuy	<i>prnl.</i> Ruborizarse. Sentir vergüenza. Sonrojarse.
p'inqay	<i>s.</i> Vergüenza. Turbación del ánimo, ocasionada por temor a la afrenta, al ridículo, etc.
p'intuna, aya p'intuna	<i>s.</i> Mortaja. Sudario.
p'intuy, p'istuy	<i>tr.</i> Adaptar en torno de una cosa una tela, papel, arpillera, etc. para cubrir o protegerla. || Envolver. Enovillar, arrollar. Mayt'uy, khiwiy. || Hacer envoltorio. Mintuy, mint'uy.
p'intuy	<i>tr.</i> Envolver al niño en sus pañales. || Amortajar a un difunto.
p'iqta	<i>s.</i> Arco para tirar flechas.
p'iqtay	<i>tr.</i> Tirar flechas con el arco.
p'isaq, yuthu, p'isaqa	<i>s.</i> Perdiz. Ave galliforme, cuya carne es muy estimada.
p'isqi	<i>s.</i> Guiso de quinua, comida de quinua cocida.
p'isqu chaki	<i>s.</i> Zanca. Pata de las aves. || <i>fig.</i> Pierna del hombre o de cualquier animal cuando es muy larga. Chanka, chakara.
p'isqu manchachi, manchachi	<i>s.</i> Espantapájaros. Espantajo para ahuyentar pájaros.
p'isqu	<i>s.</i> Pájaro. Nombre genérico de las aves.
p'isquyllu, wisq'uyllu	<i>s.</i> Trompo. Peonza.
p'istukuy	<i>prnl.</i> Cubrirse con la manta. || <i>tr.</i> Cubrir. Tapar, abrigar con frazada. Qatay, qhatay. || Cubrir con tierra. P'ampay. || Cubrir con una manta. P'istuy. || <i>r.</i> Cubrirse con la frazada. Qatakuy, qhatakuy.
p'istuy, pintuy	<i>tr.</i> Adaptar en torno de una cosa una tela, papel, arpillera, etc. para cubrir o protegerla. || Envolver. Enovillar, arrollar. Mayt'uy, khiwiy. || Hacer envoltorio. Mintuy, mint'uy.
p'istuy	<i>tr.</i> Cubrir con una manta. || Cubrir. Tapar, abrigar con frazada. Qatay, qhatay. || Cubrir con tierra. P'ampay. || <i>r.</i> Cubrirse con la frazada. Qatakuy, qhatakuy. || Cubrirse con la manta. P'istukuy.
p'ita, phinki	<i>s.</i> Salto. Acción de saltar. || Salto sobre un pie. Thunku.
p'itay (JL), t'ipay	<i>tr.</i> Tejer con crochet o palillos. || Tejer. Formar la tela con la trama y la urdimbre. Away.
p'itay, phinkiy	<i>intr.</i> Saltar. || Saltar sobre un pie. Thunkuy.
p'iti	<i>s.</i> Acción de dividir tirando con violencia por los extremos. || Interrupción. Acción de interrumpir. Allqa, tati.
p'itikay, wañuy ñak'ariy, k'aywiy, wañuy p'itiy	<i>intr.</i> Agonizar. Estar en la agonía.
p'itikuy	<i>tr. y prnl.</i> Aspirar, ansiar vehementemente una cosa.
p'itinayaq, wañunayaq	<i>adj. y s.</i> Moribundo, -da. Próximo a morir.
p'itita	<i>s.</i> Alcoba. Aposento para dormir.
p'itiy	<i>tr.</i> Romper o arrancar una hebra. || Interrumpir. Cortar la continuación de una acción en el lugar o en el tiempo. Allqachiy, tatichiy.
p'itu, p'itulli, k'uchi, wallpaywana	<i>adj.</i> Activo. Que obra o tiene virtud de obrar.
p'ituy, allpariy	<i>intr.</i> Afanarse. Bregar, trabajar con ahínco.
p'itwiy	<i>tr.</i> Procurar, intentar, pretender. Tratar de lograr algo.
p'uchuka	<i>s.</i> Extinción. Fin.
p'uchuka	<i>adj.</i> Final. Relativo al fin o término de una acción o cosa. || Que se puede acabar o terminar. Tukukuq.
p'uchukakuy	<i>prnl.</i> Terminarse, tener fin.
p'uchukay, tukuy, tukukuy	<i>s.</i> Fin. Término, remate.
p'uchukay, tukuy, tukupuy	<i>tr.</i> Terminar. Acabar, poner fin a una cosa.
p'ukchiy	<i>s.</i> Pleamar, plenamar. Fin de la creciente del mar.
p'ukru, jarata	<i>s.</i> Hoyo. Hueco en una superficie.
p'ukruchay, ukhuchay	<i>tr.</i> Ahondar. Cavar profundizando.
p'uktaki	<i>s.</i> Caja.
p'ukti	<i>s.</i> Canasta circular casi plana, con bordes cerrados y sin asa, utilizada para transportar frutas (JAL).
p'uktu kay, p'ukru kay	<i>s.</i> Concavidad. El hueco que forma cualquier superficie.
p'uktu, p'uktucha	<i>s.</i> Cesta. Canasta pequeña y flexible. || Sikra.
p'uku, chuwa	<i>s.</i> Escudilla. Vasija ancha y de forma de media esfera.
p'uku, chuwa	<i>s.</i> Plato. Vasija baja redonda.
p'ukuru	<i>s.</i> Horno. Cavidad en que se cuece algo.
p'ukutay	<i>s.</i> Nubarrón. Nube grande y densa separada de las otras.
p'uli	<i>adj.</i> Abombado, avejigado.
p'ulin	<i>s.</i> Volumen.
p'ulu	<i>s.</i> Pelota. Balón.
p'ullchu, k'umpu	<i>adj.</i> Convexo, -xa. Con prominencia esférica.
p'ulltikuy	<i>prnl.</i> Sumergirse. || <i>tr.</i> Sumergir. Meter una cosa debajo de un líquido. Challpuy. || Sumergir algo en el agua haciendo murmullo. P'ultiy, p'ultichiy.
p'ulltiy	<i>tr. e intr.</i> Chapuzar. Meter a uno de cabeza en el agua. || Empapar en agua. Chhapuy.
p'ulltiy, p'ultichiy	<i>tr.</i> Sumergir algo en el agua haciendo murmullo. || Sumergir. Meter una cosa debajo de un líquido. Challpuy. || <i>prnl.</i> Sumergirse. P'ultikuy.
p'umpu, ch'upu	<i>s.</i> Tumor. Hinchazón, bulto en el cuerpo.
p'umpu, punki	<i>adj.</i> Hinchado, -da. Abultado.
p'umpu	<i>s.</i> Congestión. Acumulación de algo en algún punto.
p'umpuyay	<i>prnl.</i> Congestionarse, acumularse, aglomerarse.
p'unchaw chayamuy, sawlliy	Paqariy, illariy, yuraqyay. <i>intr.</i> Alborear. Amanecer o rayar el día.
p'unchay, P'UNCHAW	<i>s.</i> Día. // Día lunes: killachaw p'unchay. || Día grande: Apu p'unchay. || Todo el día. P'unchaynintin.
p'unqu, pukyu	<i>s.</i> Pozo. Hoyo en la tierra.
p'unqu, p'uyunqu	<i>s.</i> Remanso. Estanque, detención o suspensión de la corriente del agua.
p'unqu, p'uyunqu	<i>s.</i> Represa. Lugar donde las aguas están detenidas o almacenadas.
p'unqu	<i>s.</i> Charco. Agua detenida en un hoyo de la tierra o del piso. || Pozo hondo en el río. P'uytu.
p'unru	<i>adj.</i> Abotagado. Hinchado o entumecido el cuerpo.
p'unruyay	<i>prnl.</i> Abotagarse. Hincharse o entumecerse el cuerpo.
p'upuy	<i>tr.</i> Rociar soplando el agua que se tiene en la boca.
p'uru, phukuchu	<i>s.</i> Vejiga. Bolsa orgánica de la orina.
p'urunku	<i>s.</i> Cantarillo de arcilla de cuello largo.
p'uruña, ch'illami	<i>s.</i> Barreño. Recipiente para fregar y para otros usos semejantes.
p'uruña, puruña	<i>s.</i> Palangana. Vasija para lavarse.
p'usqu, P'UCHQU	K'allku, k'arku. Satkhu. <i>adj.</i> Agrio. Ácido, acerbo.
p'usqu, P'UCHQU	<i>s.</i> Levadura. Fermento.
p'usquchiy, P'UCHQUCHIY, k'allkuchiy, k'arkuchiy, siqiyachiy	<i>tr.</i> Agriar. Poner agrio.
p'usquy, P'UCHQUY, satkhuyay	<i>prnl.</i> Agriarse.
p'usquy, P'UCHQUY	<i>intr.</i> Fermentar. Sufrir fermentación las materias como la levadura, la chicha, el queso fresco, etc.
p'usta	<i>s.</i> Pantorrilla (<i>sinón:</i> Ch'upa, t'usu).
p'uti	<i>adj. y s.</i> <i>fam.</i> Aplícase al niño barrigudo.
p'utku, p'ukru	<i>adj.</i> Cóncavo, -va. Hueco, hundido. || Plato (Pot.).
p'utuy	<i>intr.</i> Brotar. Nacer o salir la planta de la tierra. || Nacer renuevos en las plantas. Ijiy. || Filtrar o exudar el agua u otro líquido. Ch'illchiy.
p'uyñu, p'uñu	<i>s.</i> Cántaro. Vasija grande de barro con asas. || Cántaro pequeño. Yuru. || Cantarillo de barro. P'uytula.
p'uytu	<i>s.</i> Pozo hondo en el río. || Charco. Agua detenida en un hoyo de la tierra o del piso. P'unqu.
p'uytula	<i>s.</i> Cantarillo de barro. || Cántaro. Vasija grande de barro con asas. P'uyñu, p'uñu. || Cántaro pequeño. Yuru.
p'uyunqu, p'unqu	<i>s.</i> Remanso. Estanque, detención o suspensión de la corriente del agua.
p'uyunqu, p'unqu	<i>s.</i> Represa. Lugar donde las aguas están detenidas o almacenadas.
p'uyunquyay	<i>intr.</i> Remansarse. Detenerse el curso de un líquido.
q	Consonante oclusiva postvelar simple, que no tiene su sonido equivalente en castellano e inglés, pero sí en aimará y quechua. Este sonido oclusivo particular del quechua ocurre en la posición inicial y se fricativiza cuando ocurre en posición final de una sílaba o palabra en muchas variantes regionales como en Bolivia.
qachay	<i>tr.</i> hacer secar hortalizas al sol.
qalla, khallki	<i>s.</i> Adoquín. Piedra labrada para empedrados, etc.
qalla	<i>s.</i> Disco o pieza circular del huso (<i>sinón:</i> Phiruru).
qalla	<i>s.</i> Mejilla.
qallanchay, ch'aqllay, t'aqllay, k'akllanchay	<i>tr.</i> Abofetear. Dar de bofetadas.
qallar, tiksi, TIQSI	<i>s.</i> Origen. Principio, causa, nacimiento.
qallar	<i>s.</i> Principio. Primer instante; punto que se considera como primero en una extensión o cosa. || Origen, base, fundamento. <span variant="smallcaps"><b>tiqsi,</b></span> tiksi.
qallarina	<i>adj.</i> Inicial.
qallariq	<i>adj. y s.</i> El que empieza.
qallariy	<i>s.</i> Iniciación. Comienzo. Acto de iniciar. || <i>tr.</i> Iniciar. Comenzar, empezar. Qallariy.
qallariy	<i>tr. e intr.</i> Empezar. Comenzar, principiar.
qallariyninmanpacha	Ab initio. Locución adverbial latina (JL).
qallcha, KALLCHA	<i>s.</i> Mies segada y agavillada en forma erguida con los tallos puestos de píe.
qallchay, KALLCHAY	<i>tr.</i> Formar gavillas erguidas. || Chullikuy. Agavillar la mies segada, la paja o la leña. || Payaqay. Agavillar. Formar o atar gavillas para cargar.
qallpa	<i>s.</i> Terreno que queda después de la cosecha, especialmente de la papa.
qallquy (Perú)	Wayay, wikch'uy, ayqichiy. <i>tr.</i> Ahuyentar. Hacer huir. <span variant="smallcaps"><b>qharquy</b></span><b>.</b>
qallu chawpi	<i>Fon.</i> Dorso, parte central de la lengua.
qallu ñawpa	<i>Fon.</i> Región predorsal de la lengua.
qallu qhipa	<i>Fon.</i> Postdorso. Región postdorsal de la lengua.
qallu	<i>s.</i> Lengua. Órgano móvil de la boca. || Idioma. Simi, runa simi. <i>fig.</i> Qallu.
qallunnaq	<i>adj.</i> Deslenguado, -da. Quitada o sacada la lengua.
qalluykuy	<i>tr.</i> Engañar con astucia.
qallwa	<i>s.</i> Instrumento de madera o de hueso que usan los tejedores para tupir los hilos del tejido.
qallwa	<i>s.</i> Ramilla, rama pequeña. || Renuevos de una planta.
qawi (JL), [qan]	<i>pron.</i> <i>pers.</i> de segunda persona singular. Tú. Vos.
qama, amlla	<i>adj.</i> Insípido, soso. || Desabrido, -da. Sin sabor, desagradable por falta de sabor. Q'ayma, laq'a.
qamaña	<i>s.</i> Bolso. Bolsa pequeña para llevar dinero o ropa.
qamayay	<i>intr.</i> Volverse insípido, soso.
qamchu, asichiq, sawka rimaq	<i>adj. y s.</i> Bufón, -na. Persona que servilmente hace reír a otros.
qamchu, p'aqpaku	<i>neol.</i> <i>s.</i> Payaso. Persona de poca seriedad, propensa a hacer reír con sus dichos o hechos.
qamchuy	<i>tr.</i> y <i>intr.</i> Decir chuscadas o chanzas.
qamkuna (JL)	[qankuna]. <i>pron.</i> <i>pers.</i> de segunda persona plural. Vosotros, tras. Ustedes.
qamkunap [qankunaq], qankunaqpa, qankunaqpata	Vuestro, -tra. Posesivo de segunda persona.
qamkunappa, qankunaq, qankunaqpata	Vuestro, -tra. Posesivo de segunda persona.
qampa	Tuyo, -ya. Posesivo de segunda persona.
qan	<i>ver</i> <span variant="smallcaps"><b>qam.</b></span>
qanchis chunka	<i>adj.</i> Setenta.
qanchis	<i>adj.</i> Siete.
qanchisñiqi, qanchisñiqin	<i>adj.</i> Séptimo, -ma.
qanchisñiqin	<i>adj.</i> Séptimo, -ma. Que sigue en orden al o a lo sexto.
qaninpa, qayninpa, qayninpa p'unchaw	<i>adv.</i> Anteayer.
qanqiy, qanqay	<i>tr.</i> Exponer al calor.
qanquy	Phuskay, phuchkay. <i>tr.</i> Hilar. Reducir a hilo.
qantuta, qantus, qantu	(<i>&lt;Q-A</i>). <i>s.</i> Kantuta. Cantuta, clavellina. Flor tricolor, símbolo nacional de Bolivia.
qañawa, qañiwa	<i>s.</i> Cañahua. Especie de mijo del que se hace gofio y chicha.
qapa, kusi, chama	<i>s.</i> Alegría. Júbilo, contento.
qapa	<i>adj.</i> Alegre, gracioso.
qapachay, jawkay, jawkachiy, q'uchuchiy	<i>tr.</i> Divertir. Entretener, recrear. || <i>prnl.</i> Divertirse. Q'uchukuy, jawkakuy.
qapachay, kusichiy	<i>tr.</i> Alegrar. Causar alegría. || <i>prnl.</i> Alegrarse. Kusikuy, qapakuy.
qapakuy, kusikuy	<i>prnl.</i> Alegrarse. || Qapachay, kusichiy. <i>tr.</i> Alegrar. Causar alegría.
qapariy, QHAPARIY	<i>intr.</i> Gritar. Levantar la voz fuera de lo acostumbrado.
qaqa qaqa	<i>s.</i> Roquedal, peñascal.
qaqa	<i>s.</i> Peña. Piedra grande sin labrar, peñasco. || Roca. Piedra muy dura. Sallu rumi.
qaqapana	<i>s.</i> Despeñadero. Precipicio, sitio riesgoso donde es fácil precipitarse.
qaqapay	<i>tr.</i> Despeñar. Arrojar de lo alto, precipitar.
qaqinqura	<i>s.</i> Ave bandurria de plumaje blanco-anaranjado y ceniciento más grande que la perdiz.
qaqñin pacha, paqar, paqariy pacha, illariy	<i>s.</i> Alborada. Aurora, amanecer.
qaqya, jap'a, japa, khasa, [khakya]	<i>s. </i>Eructo. Acto de eructar.
qaqyay, japay	<i>intr.</i> Regoldar. Eructar.
qaqyay, japay	<i>s.</i> Regüeldo.
qaqyay, jap'ay, japay, khasay, [khakyay]	<i>intr.</i> Eructar. Expeler con ruido gases por la boca.
qara wayaqa	<i>s.</i> Zurrón. Cualquier bolsa de cuero.
qara	<i>s.</i> Cascara. Corteza o cubierta exterior de frutas, tubérculos y otras cosas.
qara	<i>s.</i> Cuero. Piel de los animales.
qara	<i>s.</i> <i>fig.</i> Cutis. Pellejo del cuerpo humano.
qaracha	<i>s.</i> Sarna, enfermedad del ganado lanar.
qaranchay	<i>tr.</i> Encorar. Cubrir con cuero una cosa.
qarannay, CH'UTKIY, ch'uskiy, ch'utiy, lluch'uy	<i>tr.</i> Despellejar. Quitar el pellejo.
qarapa	<i>s.</i> Cutícula, epidermis.
qarapati, qarap'ati, kukhi	<i>s.</i> Caspa. Escama del cuero cabelludo.
qaray	<i>tr.</i> Servir la comida.
qarayay	<i>intr.</i> Cerrarse la herida y cubrirse de epidermis.
qaraywa, ararankha	<i>s.</i> Lagartija. Reptil de pequeño tamaño de la familia lacértidos. || Lagartija de listas longitudinales de colores plomo, verde, amarillo u otros afines. Sut'ukullu.
qarmin, kharmin	<i>s.</i> Omoplato. Omóplato.
qarpay	<i>tr.</i> Regar. Esparcir agua sobre una superficie, para beneficiarla o refrescarla. || Regar para limpiar. Ch'aqchuy.
qarquy, QHARQUY	<i>tr.</i> Despedir del empleo. || Arrojar, botar. Wikch'uy, chuqay, ch'amqay.
qarwa runa, umphu, wañuq wañuq	<i>adj.</i> Achacoso. Que padece achaque habitual. || Chullchu, chullchuq, tunuku (JL).
qarwaray, qarwayay, qarway	<i>intr.</i> Agostarse. Secar el excesivo calor las plantas.
qarway, qarwayay, qarwaray	<i>intr.</i> Agostarse. Secar el excesivo calor las plantas.
qarway, qarwayay	<i>intr.</i> Madurar, ponerse amarillenta y seca la mies. || Marchitarse, agostarse.
qasa, QHASA	<i>s.</i> Helada. Congelación por baja temperatura.
qasa, qhupa, qhasa	<i>s.</i> Escarcha. Rocío congelado. || Rocío. Gotitas menudas de lluvia condensadas en las mañanas o en las noches sobre las plantas, pero no congeladas. Chhulla.
qasawi	<i>s.</i> Anemia. Pobreza de la sangre.
qasay, QHASAY	<i>tr. e intr.</i> Helar. Congelar. || <i>tr.</i> Preparar helados, exponer algo a la acción del hielo, dejar congelar.
qasi kay, QHASI kay	<i>s.</i> Estar en paz.
qasi kay	<i>s.</i> Quietud. Sosiego, inmovilidad, tranquilidad.
qasi p'unchaw, [qasi p'unchay]	<i>s.</i> Día de descanso.
qasi simi	<i>s.</i> Chachara. Abundancia de palabras inútiles.
qasi	<i>adj.</i> Desocupado. || Libre. Que goza de libertad. Qhispisqa.
qasichiy	<i>tr.</i> Desocupar. Dejar vacío o libre, abandonar un sitio, sacar las cosas que lo ocupan.
qasiy	<i>intr.</i> Tranquilizarse, quedar en sosiego. || Vivir muellemente, transcurrir en una vida descansada. T'iqmuy. || Holgar. Descansar, tomar aliento después de una fatiga. Samay, samariy.
qasiy	<i>prnl.</i> Desocuparse. Abandonar un quehacer, dejar de obrar, entrar en sosiego.
