Árbol de guapomó	Que crece en los llanos orientales de Bolivia. <font color=ForestGreen><b>bot.s.:</b></font> A'gi
Tatú	Animal silvestre que habita en las pampas y selvas amazónicas. <font color=ForestGreen><b>zool.:</b></font> Moto
Trompa de tatú	Nombre originario en Mojeño trinitario que se da a una variedad de planta de yuca. <font color=ForestGreen><b>n.f.:</b></font> Motosumu
Trabajo	Actividad o trabajo que la persona realiza. <font color=ForestGreen><b>n.m.:</b></font> 'Motneko
Azotar	Persona que da azotes a otra persona como castigo. (chicotear o guasquear). <font color=ForestGreen><b>vtr.:</b></font> Muestako
Siempre	En todas las ocasiones en que es posible o se dan las circunstancias apropiadas, o con mucha frecuencia pasa lo mismo. <font color=ForestGreen><b>adv.t.:</b></font> 'Muirijinve
Identifica	Persona que reconoce a otra persona o cosa. <font color=ForestGreen><b>vtr.:</b></font> Muemoti
Desentendido	Persona que no entiende o escucha consejo o enseñanza de alguien. <font color=ForestGreen><b>adj.:</b></font> Muechemrekko
Su abuela	<font color=ForestGreen><b>adj.dem.:</b></font> Matse
Matico	Nombre de ave silvestre de las pampas. <font color=ForestGreen><b>zool.:</b></font> Matiku
Soplar	Persona que sopla un instrumento musical como ser flauta, trompeta, fifano, etc. <font color=ForestGreen><b>vtr.:</b></font> Máchuko.  <font color=purple>Ej.</font> <font color=blue>Machuko to yuku.</font> <font color=purple>/</font> Sopló el fuego.
Su cabeza	Persona que sopla un instrumento musical como ser flauta, trompeta, fifano, etc. <font color=ForestGreen><b>adj.dem.:</b></font> Machuti.  <font color=purple>Ej.</font> <font color=blue>Machuko to yuku.</font> <font color=purple>/</font> Sopló el fuego.
Chupar	Persona que extrae líquido con la boca.  <font color=purple>Ej.</font> Un lactante. <font color=ForestGreen><b>vtr.:</b></font> Machuchko
Su talón	<font color=ForestGreen><b>adj.dem.:</b></font> Machuksipewo
Atrevido	Que se comporta con descaro, insolencia, falta de respeto. <font color=ForestGreen><b>adj.:</b></font> Mueperáji
Ambicioso	Persona que tiene ambición. <font color=ForestGreen><b>adj.n.m.:</b></font> Mamuepesirawo
Su frente	<font color=ForestGreen><b>adj.dem.:</b></font> Mano'si
¡Se quedó!	Persona que no pudo continuar. <font color=ForestGreen><b>vtr.imper.:</b></font> ¡Manosi!
¡Que se quede!	Persona que ordena a otra a que se quede. <font color=ForestGreen><b>vtr.imper.:</b></font> Mánosi.  <font color=purple>Ej.</font> Que se quede cuidando la casa. <font color=purple>/</font> <font color=blue>Mánosi majañoka to peti.</font> 
¿Se quedó?	Integorración a otra persona si se quedo alguien. <font color=ForestGreen><b>vtr.interrog.:</b></font> ¿manosí?
¿Lo colocó?	Pregunta a una persona colocó o puso en su lugar a alguien u objeto. <font color=ForestGreen><b>vtr.interrog.:</b></font> Manoko
Ganó	Persona que gana alguna competencia, apuesta o pelea <font color=purple>/</font> acción de ganar. <font color=ForestGreen><b>vtr.afirm.:</b></font> Mueto'ako
Su esposa	afirmación que es su mujer. <font color=ForestGreen><b>adj.dem.:</b></font> Mayeno
Lo suspendió	Acción de levantar, colgar una cosa en algo o en el aire. <font color=ForestGreen><b>vtr.:</b></font> Makangiecho
Montar	Persona que se sube al lomo de un caballo, buey, toro, etc. <font color=purple>/</font> Acción de montar. <font color=ForestGreen><b>vintr.:</b></font> Mawgiecho
Lo abrió	Persona que en cierta circunstancia realiza la acción de abrir las piernas (juego deportivo, sexo). <font color=ForestGreen><b>vtr.:</b></font> Makajagicho
Enrectar	Enderezar algo que esta doblado o torcido. <font color=ForestGreen><b>vtr.:</b></font> Makajapeko
Estado de preocupación, intranquilidad	<font color=ForestGreen><b>n.f.:</b></font> Makoponreru
Compadrerio	Reunión familiar de presentación de una unión de pareja hacia ambos familiares. <font color=ForestGreen><b>n.m.:</b></font> Matnare
Lo encontropersona	Que encuentra a otra persona o animal. <font color=ForestGreen><b>vtr.:</b></font> Makpojko
¿Lo encontró?	<font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Makpojko?
Aprovechar	Persona que en el momento oportuno aprovecha la oportunidad como ser en la cosecha, pesca, acoso. <font color=ForestGreen><b>vtr.:</b></font> Mano'okpo
Lo atrapó	Afirmación de una persona a otra de coger fuertemente con la mano o, de cualquier modo. <font color=ForestGreen><b>vtr.afirm.:</b></font> Makootoko
Aprovecharse	Persona que en el momento oportuno aprovecha de lo que existe en esa ocasión. <font color=ForestGreen><b>vtr.prnl.:</b></font> Mano'oko
Ocasión	persona que aprovecha en cierta ocasión de sacar provecho en su beneficio. <font color=ForestGreen><b>n.f.:</b></font> Makompura
Retear	Persona que regaña a otra persona o como también a un animal. <font color=ForestGreen><b>vtr.:</b></font> Makojcho
Su pestaña	<font color=ForestGreen><b>adj.dem.:</b></font> Mamotsipa
Su tronco	<font color=ForestGreen><b>adj.dem.:</b></font> Machupu'i
Su amante	persona afirma que aquella mujer es amante de otra. <font color=ForestGreen><b>adj.dem.:</b></font> Makóyepe
Lo (la) quiere	Persona que estima a otra persona, objeto u animal por algún motivo o circunstancia. art.deter.: Mawoo'o
Lo besó	Persona que afirma que la otra persona acaricia a la mujer besándola. <font color=ForestGreen><b>vtr.:</b></font> Matsuko
¡Ya lo besó!	Afirmación de una persona a otra persona que le dió un beso. <font color=ForestGreen><b>vtr.afirm.interj.:</b></font> Matsukpo
Manso	Animal que no ataca ni actúa con agresividad, sino que se muestra dócil en compañía de las personas y se deja tomar o acariciar. <font color=ForestGreen><b>adj.:</b></font> Masu
Enema	Instrumento propio de los pueblos originarios hecho de tripa seca que sirve para introducir el liquido desinflamatorio a través del ano <font color=purple>/</font> liquido que se inyecta en el intestino por el ano con fines laxantes. <font color=ForestGreen><b>n.m.:</b></font> Masuurupi
Lo frita/o	Afirmación de freír alimentos. <font color=ForestGreen><b>vtr.:</b></font> Masuu'o
Curubina	Nombre que se le da a un pez de los ríos y lagunas trinitarias. <font color=ForestGreen><b>zool.:</b></font> 'Mu'i
Invencible	Que no se le puede ganar o vencer. <font color=ForestGreen><b>adj.:</b></font> Muito'a
Se atoró	Quedársele a alguien algo detenido o atravesado en la garganta, obstruyéndola e impidiendo que se pueda tragar. <font color=ForestGreen><b>vtr.:</b></font> Masu'o
Pez sin sangre	Pez de agua dulce, de la familia de la sardina. <font color=ForestGreen><b>zool.:</b></font> Muitnerepe
Boca de vieja	Pez de agua dulce, que tiene la boca grande. <font color=ForestGreen><b>zool.:</b></font> Mneneru
Utensilio de cocina plano de color morado	<font color=ForestGreen><b>n.:</b></font> Mrarupe
Consejera	Persona adulta de sexo femenino que da consejo a otras personas. <font color=ForestGreen><b>n.f.:</b></font> Memenajriore
Su papel higiénico	<font color=ForestGreen><b>adj.dem.:</b></font> Majmere
Su brazo	<font color=ForestGreen><b>adj.dem.:</b></font> Mapowgi
Ciego	Que no ve por estar privado del sentido de la vista. <font color=ForestGreen><b>adj.n.m.f.:</b></font> Ma'u
Su voz	<font color=ForestGreen><b>adj.dem.:</b></font> Ma'u
Su escrito	<font color=ForestGreen><b>adj.dem.:</b></font> Majre
Lo que se escribió	Escrituras ancestrales históricas. <font color=ForestGreen><b>vtr.:</b></font> Majumeru
Su rosario	Afirmación de una persona que el material elaborado de madera fraganciosa llamado tijiyequi le pertenece. <font color=ForestGreen><b>adj.dem.:</b></font> Marusaa'o
Comedor	Habitación de una vivienda o de un establecimiento que dispone de lo necesario para servir comidas. <font color=ForestGreen><b>n.m.:</b></font> Manisrare
Su preferido	Comida favorita. <font color=ForestGreen><b>adj.dem.n.m.:</b></font> Mani'o
Conejo	Animal silvestre que habita diferentes geografias. Comestible. <font color=ForestGreen><b>zool.:</b></font> Myuku
Color Café, marrón	Color para distinguir objetos cosas y animales. <font color=ForestGreen><b>adj.:</b></font> Myo'u
Su cuerpo	<font color=ForestGreen><b>adj.dem.:</b></font> Mag'e
Lo lanzó	<font color=ForestGreen><b>vtr.afirm.:</b></font> Mag'o
Su ojo	<font color=ForestGreen><b>adj.dem.:</b></font> Mag'a
Su testículo	<font color=ForestGreen><b>adj.dem.:</b></font> Magi
Hilo de pescar	Prolongación de la tarrafa de pescar. <font color=ForestGreen><b>n.m.:</b></font> Magierepi
Hombre o animal sin testículos	<font color=ForestGreen><b>adj.:</b></font> Mágire
Paleta	Pez de agua dulce de la especie del surubí. <font color=ForestGreen><b>zool.:</b></font> Myupi
Máscaras	Diferentes tipos de máscaras que usan en diferentes danzas. <font color=ForestGreen><b>n.f.pl.:</b></font> Mírore
Fruta del tarumá	Fruta comestible para las aves y animales, tambien se utiliza como medicina tradicional. <font color=ForestGreen><b>bot.:</b></font> Mitu'i
Inútil	Sinónimo de suteji. <font color=ForestGreen><b>adj.:</b></font> Muitujegne
Gato	Animal doméstico diurno y nocturno. <font color=ForestGreen><b>zool.n.m.f.:</b></font> Mitsi
Dinero	Plata que se utiliza para la compra o venta de cosas. <font color=ForestGreen><b>n.m.:</b></font> Meriope
Retrasado mental	<font color=ForestGreen><b>adj.:</b></font> Meriope
Caimán	Reptil acuático. Muy similar al cocodrilo en forma y color, pero de hocico más corto <font color=ForestGreen><b>zool.:</b></font> Merómero
Olla	Utensilio de la cocina para la cocción de los alimentos. <font color=ForestGreen><b>n.f.:</b></font> Met-si
Silleta	Persona, animal que tiene el espinaso simbrado. <font color=ForestGreen><b>adj.:</b></font> Metemitsgi
Lo transformó	Objeto cambiado de forma por otra. <font color=ForestGreen><b>vtr.:</b></font> Muekyechpo
Su caminar	Forma particular de caminar de la persona. <font color=ForestGreen><b>n.f.:</b></font> Mapuisra
Entidad financiera	Banco.  <font color=purple>Ej.</font> El banco Unión. <font color=ForestGreen><b>n.m.:</b></font> Meriowkure
Lo salvó	Persona que salvó de morir a otra. <font color=ForestGreen><b>vtr.afirm.:</b></font> Muepucho
Lo curó	Persona que hacer desaparecer una enfermedad, una herida o un daño físico a otra persona, un animal o un organismo. <font color=ForestGreen><b>vtr.afirm.:</b></font> Mueprujcho
Martillo	Herramienta fabricada de fierro que sirve para clavar y extraer clavos. <font color=ForestGreen><b>n.m.:</b></font> Maatiyu
Martina	Nombre de mujer. <font color=ForestGreen><b>n.:</b></font> Maatina
Sarnoso	Animal enfermo de sarna. <font color=ForestGreen><b>adj.:</b></font> Mójomo
Leche de majo	Palmera de la selva con frutos comestibles. <font color=ForestGreen><b>n.f.bot.:</b></font> Majomo
Mayordomo	Autoridad que ocupa una cartera dentro del cabildo indígenal. <font color=purple>/</font> También se utiliza para nombrar a un encargado de una estancia. <font color=ForestGreen><b>n.m.:</b></font> Myóromo
Manzana	Fruta dulce comestible. <font color=ForestGreen><b>n.f.bot.:</b></font> Maasana
Moco	Sustancia espesa y pegajosa segregada por una membrana mucosa, especialmente por la mucosa nasal. <font color=ForestGreen><b>n.m.:</b></font> Muchji
Entero, cosa redonda completa	<font color=ForestGreen><b>adj.:</b></font> 'Muirisi
Resistente	Objeto que soporta peso y resistente al tiempo. <font color=ForestGreen><b>adj.:</b></font> Mraka
Colectividad	Conjunto de personas que tienen problemas e intereses comunes. <font color=ForestGreen><b>n.f.:</b></font> Mriji
Bárbaro	Que no está en contacto con los pueblos organizados. Concepto que dieron los colonizadores españoles a los pueblos originarios. <font color=ForestGreen><b>adj.n.f.:</b></font> Muikchosiono
Sin bautizo	Persona que no ha sido bautizada. <font color=ForestGreen><b>prep.:</b></font> Muikchosi
Manga	Fruta del árbol del mango que es comestible y dulce. <font color=ForestGreen><b>bot.:</b></font> Manka
Maíz tostado	Harina molina del maíz que sirve para elaborar chicha. <font color=ForestGreen><b>bot.n.m.:</b></font> Maskapa
Esta aquí	Su utiliza para afirmar que una persona que ya llegó. <font color=ForestGreen><b>adv.l.:</b></font> Makapripo
Irse directo	Persona que indica que le diga a la otra persona que se vaya al lugar indicado. <font color=ForestGreen><b>vintr.prnl.:</b></font> Matpiru
Se bajó	Persona que recientemente acaba de bajar de un avión, barranco, canoa, auto, caballo o carretón. <font color=ForestGreen><b>vtr.:</b></font> Makpuiru
Se fué directo	Persona que comenta a otra que alguien se fue directo a algún lugar. <font color=ForestGreen><b>vtr.prnl.:</b></font> Matúpiru.  <font color=purple>Ej.</font> El señor se fue directo a su casa <font color=purple>/</font> <font color=blue>Ma tata matupiru te mapeno.</font> 
Se pasó directo	Afirmación de una persona que alguien se pasó directo sin parar. <font color=ForestGreen><b>vtr.prnl.:</b></font> Matupiirichu
Su pecho	<font color=ForestGreen><b>adj.dem.:</b></font> Matupo
¡Oiga!	Expresión propia originaria empleada para llamar la atención de alguien. <font color=ForestGreen><b>interj.:</b></font> Makje'e
¡Que se agache!	<font color=ForestGreen><b>vtr.imper.:</b></font> Muetpuegia
¡Que le pegue!	Orden de una persona a otra persona a que le de golpes. <font color=ForestGreen><b>vtr.imper.:</b></font> Mue'a
Su suegro	Afirmación de una persona a otra de que es su suegro. <font color=ForestGreen><b>adj.dem.:</b></font> Muemchuko
Su semen	<font color=ForestGreen><b>deter.poses.:</b></font> Mayogiomo
Su adulado	Que solo estima y adula a una sola persona, que puede ser por cariño o interés. <font color=ForestGreen><b>deter.poses.:</b></font> Muemnaru
Orador	Persona que utiliza la elocuencia oral en público. <font color=ForestGreen><b>n.m.:</b></font> Mkata
Se proteje	Persona que se resguarda de alguien, algo peligroso o daño. <font color=ForestGreen><b>vtr.prnl.:</b></font> Makósiña
Loco	Que tiene poco juicio o se comporta de forma disparatada, imprudente o temeraria, sin pensar en las consecuencias. <font color=ForestGreen><b>adj.:</b></font> Muemnanasko
Lo mezclo	Acción de mesclar los alimentos con otros ingredientes. <font color=ForestGreen><b>vtr.:</b></font> Muemsiigicho
Su trabajo	detrer.poses.: Muemtone
Su juguete	<font color=ForestGreen><b>deter.poses.:</b></font> Maye'eru
Su pene	<font color=ForestGreen><b>deter.poses.:</b></font> Mayogi
Su pala	<font color=ForestGreen><b>deter.poses.:</b></font> Makaeicha
Su acha	<font color=ForestGreen><b>deter.poses.:</b></font> Mayowo
Su machete	<font color=ForestGreen><b>deter.poses.:</b></font> Muesaviipe
Su cuchillo	<font color=ForestGreen><b>deter.poses.:</b></font> Matumra
Su flecha	Arma de cacería que pertenece a alguien. <font color=ForestGreen><b>deter.poses.:</b></font> Matagrigi
Su chaco	Chaco que le pertenece a una persona. <font color=ForestGreen><b>deter.poses.:</b></font> Muesane
Su barbecho	Afirmación de que el barbecho es de una persona. <font color=ForestGreen><b>deter.poses.:</b></font> Muesanereji
Sin oficio	Persona que no trabaja. Es vago, flojo. <font color=ForestGreen><b>adj.:</b></font> Muemtonere
Lo bebió	Persona que afirma que tomó un líquido, refresco, vino, etc. <font color=ForestGreen><b>pron.pers.:</b></font> Muero
Su bebida favorita	<font color=ForestGreen><b>deter.poses.:</b></font> Muerosare
Se lo tomó	Persona que se tomó una bebida, agua, etc. <font color=ForestGreen><b>vtr.:</b></font> Mueropo
Testarudo	Que se mantiene firme en su actitud, aunque se le den razones en contra. <font color=ForestGreen><b>adj.n.f.m.:</b></font> Muechorekko
Su sangre	<font color=ForestGreen><b>deter.poses.:</b></font> Muetne
Invisible	Animal o cosa que no se puede percibir, notar o ver. <font color=ForestGreen><b>adj.:</b></font> Muechoroji
Sin carne	Comida o alimento preparado sin carne. <font color=ForestGreen><b>prep.:</b></font> Mneji
Sin olor	Se utiliza para referirse a persona, animal o cosa que carece de olor. <font color=ForestGreen><b>prep.:</b></font> Muijyere
Voy a tomar	Persona que afirma que va tomar o beber, refresco, agua, etc. <font color=ForestGreen><b>vintr.ind.:</b></font> Neroyo
Ya bebí	Afirmación de la persona que ya bebió agua, refresco, chicha, etc <font color=ForestGreen><b>vtr.afirm.:</b></font> Neroripo
Estoy bebiendo	Persona que afirma que está consumiendo bebida alcohólica. <font color=ForestGreen><b>vtr.ger.:</b></font> Neeriko
Mi chicha	Persona que afirma que la bebida elaborada de maíz, yuca, plátano, camote y arroz es suya. <font color=ForestGreen><b>deter.poses.:</b></font> Neesa
Su chicha	Afirmación que la chicha es de ellos. <font color=ForestGreen><b>deter.poses.:</b></font> Neesa
Te amo	Persona que afirma que ama, quiere, estima a otra persona. <font color=ForestGreen><b>vtr.afirm.:</b></font> Nemnakvi
¡Tengo sed!	Expresión de tener sed. <font color=ForestGreen><b>vtr.imper.:</b></font> Netarako
¡Que lo claven!	<font color=ForestGreen><b>vtr.imper.:</b></font> Nettáka
¿Lo clavó?	<font color=ForestGreen><b>vtr.interrog.:</b></font> ¿Nettáka?
Su señal	Elementos tangibles o intangibles que el hombre utiliza para guiarse. <font color=ForestGreen><b>deter.poses.:</b></font> Naemotyora
Soy chismoso	Persona que le gusta el chisme. <font color=ForestGreen><b>adj.afirm.:</b></font> Nechjikra'i
Doy discurso	Persona que ofrece su servicio de dar un discurso. <font color=ForestGreen><b>vintr.afirm.:</b></font> Nechoriko
Hago rodar	Persona que afirma que hace rodar un objeto. <font color=ForestGreen><b>vintr.afirm.:</b></font> Nechoriko
Lo llamaron	Afirmación de una persona a otra que ha sido invitada o convocado. <font color=ForestGreen><b>pron.pers.:</b></font> Nechoriko
Me cuido	Acción de cuidarse, protegerse y conservarse. <font color=ForestGreen><b>vtr.:</b></font> Nechpojrikwo
Precavido	Persona cautelosa, que anda siempre con mucho cuidado. <font color=ForestGreen><b>adj.:</b></font> Nechpopokwo
Soy loco	Persona despistada, negligente, que no toma precaución. <font color=ForestGreen><b>adj.:</b></font> Nemnanasko
Soy bueno	Persona agradable, amable, que comparte y es cordial. <font color=ForestGreen><b>adj.:</b></font> Nemna'i
Soy celoso	Persona que siente celos a algo o alguien. <font color=ForestGreen><b>adj.:</b></font> Netyora'i
Madrugador	Persona que se levanta muy temprano a realizar su actividad laboral. <font color=ForestGreen><b>adj.:</b></font> Nechpukowne
Mentiroso	Persona que acostumbra mentir. <font color=ForestGreen><b>adj.:</b></font> Nepya'ra'i
Te hago acuerdo	Persona que le hace acuerdo sobre algo para que no se olvide. <font color=ForestGreen><b>vtr.:</b></font> Nemechapi
Mi abuelo	<font color=ForestGreen><b>deter.poses.:</b></font> Nochko
Mi abuela	<font color=ForestGreen><b>deter.poses.:</b></font> Notse
Bebí	Persona que acaba de tomar alguna bebida. <font color=ForestGreen><b>vtr.:</b></font> Néropo
Lo llevo	Persona que afirma que lleva a alguien o algo. <font color=ForestGreen><b>pron.pers.:</b></font> Nomo
Lo llevaron	<font color=ForestGreen><b>vtr.:</b></font> Nompo
¡Ahí vienen!	Persona que afirma que un grupo se aproxima. <font color=ForestGreen><b>interj.:</b></font> Noniripo
Le eché agua	Acción de echar agua a alguien o a un animal. <font color=ForestGreen><b>vtr.:</b></font> Nocho'okpo
Yo lo llevaré	Persona que afirma que por algún motivo va llevar a alguien, animal o cosa. <font color=ForestGreen><b>vtr.:</b></font> Nomarine
Que lo lleven	Afirmación de una persona de que ellos lo van a llevar a la persona, animal o cosa. <font color=ForestGreen><b>vtr.:</b></font> Nomarine
Lo voy a llevar/traer	Persona que afirma que lo va llevar o traer a alguien, animal o cosa. <font color=ForestGreen><b>vtr.afirm.:</b></font> Nomyóre
¡Ya vienen por ahí!	Persona que afirma que un grupo de persona se viene acercando. <font color=ForestGreen><b>vtr.interj.:</b></font> Noñoppo
¡Otra vez Están por aquí!	art.indef.: Noniri'ojnopo
Estorbo	Persona que pone un obstáculo a la ejecución de algo. <font color=ForestGreen><b>adj.:</b></font> Noomiruchpo
Lo Chamuscaron	<font color=ForestGreen><b>adj.:</b></font> Nochoro'okpo
Soplé	Persona que sopló algo con la boca. <font color=ForestGreen><b>vtr.:</b></font> Nochukpo
Lo encontré	Afirmación de encotrar a una persona o animal. <font color=ForestGreen><b>vtr.:</b></font> Nokpojkopo
¡Que lo soplen!	Orden de una persona a otras de que tienen que soplar. <font color=ForestGreen><b>vtr.imper.:</b></font> Nochuka
¡Lo voy a cargar!	Afirmación de una persona de llevar o cargar continuamente una cosa por necesidad. <font color=ForestGreen><b>vtr.imper.:</b></font> Nompookoyre
Soy pateador	Persona que agrede físicamente a otro proporcionándole patadas. <font color=ForestGreen><b>adj.:</b></font> Nokchu'i
¿Lo llevo?	Pregunta que si puedo llevar a una persona, animal o cosa. <font color=ForestGreen><b>vtr.interrog.:</b></font> Noma
Remojar / ¿Lo puedo remojar?	Remojar algo solido con un líquido.  <font color=purple>Ej.</font> Agua con chivé. <font color=purple>/</font> También se utiliza como pregunta. <font color=ForestGreen><b>vtr.interrog.:</b></font> Nochopaka
¿Puedo verlo?	<font color=ForestGreen><b>vtr.interrog.:</b></font> Nim'a
Lo voy a ver	Persona que afirma que verá a alguien o algo. <font color=ForestGreen><b>vtr.afirm.:</b></font> Nim'oyre
Te mostraré	Persona que muestra algo a alguien. <font color=ForestGreen><b>vtr.afirm.:</b></font> Nimechviyre <font color=purple>/</font> nimekviyre
¡Estoy pariendo!	Dicho de una mujer que está dando a luz. <font color=ForestGreen><b>vintr.ger.imper.:</b></font> Nínako
Voy a parir	Persona que afirma que dará a luz. <font color=ForestGreen><b>vtr.afirm.:</b></font> Ninakoyre
Suposición	Persona que considera una deducción de algo como cierto. <font color=ForestGreen><b>n.f.:</b></font> Nimijroko.  <font color=purple>Ej.</font> Me imagino que así será.
Te daré	Acción entregar o dar una cosa de una persona a otra de lo que necesita o insiste. <font color=ForestGreen><b>vtr.:</b></font> Nijrokviyre
Yo me encargo	Situación que asume una persona que encuentra por casualidad o situación de emergencia. <font color=ForestGreen><b>vtr.:</b></font> Nim'aprine
Te voya ganar	Afirmación de una persona que asegura ganarle en la competencia a la otra. <font color=ForestGreen><b>vtr.:</b></font> Nito'akviyre
Lo hice llamar	Persona que hace o manda llamar a alguien. <font color=ForestGreen><b>vtr.:</b></font> Nichorikri'i
Yo estoy vivo	Persona que afirma que esta con vida. <font color=ForestGreen><b>v.cop.:</b></font> Nitoriko
Yo visito	Pimera persona en singular. <font color=ForestGreen><b>vtr.:</b></font> Nimoriko
Me encuentro bien	Afirmación de encontrarse sin ningun problema. <font color=ForestGreen><b>vtr.afirm.:</b></font> Nitotijwo
Voy a comer	Persona que afirma que va comer algún alimento. <font color=ForestGreen><b>vtr.:</b></font> Nnikyo
Comeré	<font color=ForestGreen><b>vtr.:</b></font> Nnikyore
Yo como	<font color=ForestGreen><b>vtr.res.:</b></font> Nniko.  <font color=purple>Ej.</font> Yo como carne. <font color=purple>/</font> <font color=blue>Nuti nniko wakaeche.</font>
Soy pescador	Ser pescador o suertudo. <font color=ForestGreen><b>adj.:</b></font> Nenwo'u
Me gusta pescar	Persona que afirma que le gusta pescar. <font color=ForestGreen><b>vtr.:</b></font> Nenkora'i
Me muestro	Persona que voluntariamente se presenta ante un grupo o persona. <font color=ForestGreen><b>vtr.prnl.dem.:</b></font> Nimerikwo
Bostezo	Acto reflejo que consiste en abrir la boca ampliamente, esta relacionado con el sueño, cansancio, aburrimiento. <font color=ForestGreen><b>vintr.:</b></font> Niiyarakwo
Bailo	Persona que danza en un grupo de danzarines. <font color=ForestGreen><b>vtr.:</b></font> Niimuiko
Estoy hilando	Persona que elabora hilo de algodón. <font color=ForestGreen><b>vtr.ger.:</b></font> Nijruriko
Gané	Persona que afirma que gano alguna competencia, apuesta, etc. <font color=ForestGreen><b>vtr.:</b></font> Nito'areko
Estoy tejiendo	Persona que teje en hilo de algodón, hoja de chuchio. <font color=ForestGreen><b>vtr.ger.:</b></font> Nitsmeriko
Cambio de vida	Persona que cambia de estilo de vida. <font color=ForestGreen><b>vtr.:</b></font> Nitswochapo
Trueque	Acción de dar una cosa y recibir otra a cambio. Intercambiar animal, alimento, o cosa por otro sin intervención del dinero. <font color=ForestGreen><b>n.m.:</b></font> Nitswochapi
Lo aparto	Separar de un lugar a otro como ser: vaca, caballo, chancho y objeto. <font color=ForestGreen><b>vtr.:</b></font> Niptsiko
Yo silbo	Persona que silba. <font color=ForestGreen><b>vintr.:</b></font> Nissiko
Sacar todo	<font color=ForestGreen><b>vtr.:</b></font> Niijiko
Apresurado	Persona que se encuentra a prisa o apurado. <font color=ForestGreen><b>adj.:</b></font> Nviijako
¡Ya voy!	Ya estoy de ida, llego enseguida. <font color=ForestGreen><b>interj.:</b></font> Nutyopo
Tengo buen pensamiento	Buena idea. <font color=ForestGreen><b>n.m.:</b></font> Nuuponreru
Mi plato	Palabra posesiva en Mojeño trinitario. <font color=ForestGreen><b>deter.poses.:</b></font> Nkuujo
Estoy zambullendo y nadando	<font color=ForestGreen><b>vtr.pres.:</b></font> Nutsareko
Soy juguetón	Me gusta jugar. <font color=ForestGreen><b>adj.:</b></font> Nutsarusi
Ya me voya salir	<font color=ForestGreen><b>vtr.afirm.:</b></font> Nuchku'yórepo
Me baño	Acción de bañarse. <font color=ForestGreen><b>vtr.prnl.:</b></font> Nkowo
Ya Salí	Persona que afirma haber salido de una reunion, asamblea, formación Acedémica, de prisión. <font color=ForestGreen><b>vtr.:</b></font> Nuchku'ripo
Ya Salí	Persona que afirma haber salido de un lugar a otro determinado lugar. <font color=ForestGreen><b>vtr.:</b></font> Nuchkoripo
Soy cabelludo	Que tiene mucho cabello. <font color=ForestGreen><b>adj.:</b></font> Núpasi
Soy velludo	Que tiene muchos los vellos corporales. <font color=ForestGreen><b>adj.:</b></font> Nupajiyo'o
Lo dejaron	<font color=ForestGreen><b>vtr.:</b></font> Nanokiko.  <font color=purple>Ej.</font> <font color=blue>Nanokiko to pkure te kwooku.</font> <font color=purple>/</font> Lo dejaron la canoa en el puerto.
Lo pusieron. / Lo colocaron.	<font color=ForestGreen><b>vtr.obj.direc.:</b></font> Nanoko
Lo designaron	Persona sido designado a otra como autoridad, representante. <font color=ForestGreen><b>vtr.obj.direc.:</b></font> Nanoko.  <font color=purple>Ej.</font> <font color=blue>Nanoko tparaako ma Kristyan.</font> <font color=purple>/</font> Lo designaron a Cristian como autoridad. 
Nadó	<font color=ForestGreen><b>vintr.:</b></font> Nowreko
Su charque	Tambien se refiere a la parte de la pierna de una persona (incordiera). <font color=ForestGreen><b>deter.poses.:</b></font> Nacharagi
Se lo comieron	Comer algún alimento guardado por otra persona. <font color=ForestGreen><b>vtr.:</b></font> Nanikpo
Centro	Prenda de vestir de la mujer que se utiliza anteriormente debajo del vestido o blusa. <font color=ForestGreen><b>n.f.:</b></font> Najmirioowo
Pensamiento	Capacidad que tienen las personas de formar ideas y representaciones de la realidad. <font color=ForestGreen><b>n.m.:</b></font> Naponreepochu
Lo aprovecharon	Aprovechar el momento oportuno de cosechar. <font color=purple>/</font> Violar, pegar, chicotear, apalear, maltratar. <font color=ForestGreen><b>vtr.:</b></font> Nano'okpo
Están cerquita	<font color=ForestGreen><b>adv.l.:</b></font> Nakochkoyo
Lo encontraron	Persona que afirma a otro que encontraron a alguien, animal o cosa. <font color=ForestGreen><b>vtr.:</b></font> Narótopo
Lo vistieron	Persona que cubre o adorna el cuerpo de otro con vestidos. <font color=ForestGreen><b>vtr.:</b></font> Namuiriocho
Se vistieron	<font color=ForestGreen><b>vtr.pl.:</b></font> Nakomuii'o.  <font color=purple>Ej.</font> Los deportistas se vistieron de color rojo.
Sus Máscaras	<font color=ForestGreen><b>deter.poses.:</b></font> Namimro
¡Que se lo coman nomás!	Persona que autoriza se coman la comida de otro. <font color=ForestGreen><b>vtr.interj.:</b></font> Nanigiarine
Lo agarraron	Lo atraparon. <font color=ForestGreen><b>vtr.:</b></font> Nakootoko
Fueron sus amantes	Persona que afirma haber tenido amoríos con personas casadas. <font color=ForestGreen><b>adj.:</b></font> Nakóyepe
Ellos tuvieron Sexo	Tuvieron unión sexual. <font color=ForestGreen><b>vintr.:</b></font> Nakóyeno
Lo pillaron	Persona que sorprende a otra en un acto o situación "in fraganti". <font color=ForestGreen><b>adv.mod.:</b></font> Nachimroko
Los visitaron	Personas que visitan a otras. <font color=ForestGreen><b>vtr.pl.:</b></font> Nachimracho
