acjjz	<font color=#2E8B57>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=#FF8C00>ENG:</font> to herd
pari	<font color=#2E8B57>ESP:</font> hilo poco torcido\n<font color=blue>AYM:</font> partata, pari k'antita, liawchha\n<font color=#FF8C00>ENG:</font> slightly twisted thread
parijiiz	<font color=#2E8B57>ESP:</font> nivelar un terreno\n<font color=blue>AYM:</font> khuskhachaña, parijt'aña\n<font color=#FF8C00>ENG:</font> to level land
pariju	<font color=#2E8B57>ESP:</font> plano, parejo, bien cocido\n<font color=blue>AYM:</font> pariju, khuskha, chiktata, chika\n<font color=#FF8C00>ENG:</font> flat, level, even, well-cooked
parina	<font color=#2E8B57>ESP:</font> flamenco\n<font color=blue>AYM:</font> parina, pariwana\n<font color=#FF8C00>ENG:</font> flamingo
parinti	<font color=#2E8B57>ESP:</font> parientes\n<font color=blue>AYM:</font> parinti (yuwani)\n<font color=#FF8C00>ENG:</font> relatives
pariz	<font color=#2E8B57>ESP:</font> aparecer\n<font color=blue>AYM:</font> instaña\n<font color=#FF8C00>ENG:</font> to appear
pariza	<font color=#2E8B57>ESP:</font> par\n<font color=blue>AYM:</font> parisa, yanani\n<font color=#FF8C00>ENG:</font> equal, pair
parliz	<font color=#2E8B57>ESP:</font> conversar\n<font color=blue>AYM:</font> parlaña\n<font color=#FF8C00>ENG:</font> to talk
parliziñi	<font color=#2E8B57>ESP:</font> mediador\n<font color=blue>AYM:</font> unanchiri\n<font color=#FF8C00>ENG:</font> mediator
parliz̈inz	<font color=#2E8B57>ESP:</font> hablar por parte de otra persona\n<font color=blue>AYM:</font> parlayaña\n<font color=#FF8C00>ENG:</font> to speak on behalf of, to speak for
parpa	<font color=#2E8B57>ESP:</font> tuétano\n<font color=blue>AYM:</font> parpa\n<font color=#FF8C00>ENG:</font> marrow
parti nacami	<font color=#2E8B57>ESP:</font> los otros\n<font color=blue>AYM:</font> partinaka\n<font color=#FF8C00>ENG:</font> the others
parti nacami	<font color=#2E8B57>ESP:</font> parte por parte\n<font color=blue>AYM:</font> partinaka\n<font color=#FF8C00>ENG:</font> bit by bit
partillakas	<font color=#2E8B57>ESP:</font> repartir\n<font color=blue>AYM:</font> jaljaña\n<font color=#FF8C00>ENG:</font> to divide, to distribute
parwaya	<font color=#2E8B57>ESP:</font> variedad de pasto\n<font color=blue>AYM:</font> parwaya\n<font color=#FF8C00>ENG:</font> type of grass
parwaya	<font color=#2E8B57>ESP:</font> espiga de cereales\n<font color=blue>AYM:</font> ispiju\n<font color=#FF8C00>ENG:</font> top part of graines/cereals
pasaji	<font color=#2E8B57>ESP:</font> pasaje, pasar los ríos\n<font color=blue>AYM:</font> pasaji\n<font color=#FF8C00>ENG:</font> river ford, to ford
pasarz	<font color=#2E8B57>ESP:</font> pasar la juventud (personas), pasar la madurez (frutas)\n<font color=blue>AYM:</font> pasarata\n<font color=#FF8C00>ENG:</font> to pass youth (people), to pass the time of ripeness/blossom (fruits)
paspaz	<font color=#2E8B57>ESP:</font> perder, perdido\n<font color=blue>AYM:</font> chhaqhata\n<font color=#FF8C00>ENG:</font> to lose, lost
paspaz	<font color=#2E8B57>ESP:</font> desorientado\n<font color=blue>AYM:</font> paytayasiña\n<font color=#FF8C00>ENG:</font> disoriented
pastu	<font color=#2E8B57>ESP:</font> pasto\n<font color=blue>AYM:</font> qura\n<font color=#FF8C00>ENG:</font> pasture, grass
pata	<font color=#2E8B57>ESP:</font> lomita\n<font color=blue>AYM:</font> pata, churu\n<font color=#FF8C00>ENG:</font> hillock
patilla	<font color=#2E8B57>ESP:</font> cama de adobe\n<font color=blue>AYM:</font> iki patilla\n<font color=#FF8C00>ENG:</font> adobe bed
patilla	<font color=#2E8B57>ESP:</font> grada\n<font color=blue>AYM:</font> patilla\n<font color=#FF8C00>ENG:</font> step
patinti	<font color=#2E8B57>ESP:</font> ver a alma o espíritu\n<font color=blue>AYM:</font> alma injaña\n<font color=#FF8C00>ENG:</font> to see a soul or spirit
patkiña	<font color=#2E8B57>ESP:</font> cuatro estacas del telar\n<font color=blue>AYM:</font> pusi ch'akura\n<font color=#FF8C00>ENG:</font> four corner posts of loom
patruna	<font color=#2E8B57>ESP:</font> patrón, dueño\n<font color=blue>AYM:</font> patruna\n<font color=#FF8C00>ENG:</font> boss, owner
pats	<font color=#2E8B57>ESP:</font> canasta\n<font color=blue>AYM:</font> walaya\n<font color=#FF8C00>ENG:</font> basket of straw
pawila	<font color=#2E8B57>ESP:</font> mecha\n<font color=blue>AYM:</font> pawila, micha\n<font color=#FF8C00>ENG:</font> wick
pawks	<font color=#2E8B57>ESP:</font> destapar canal\n<font color=blue>AYM:</font> lluparpayaña\n<font color=#FF8C00>ENG:</font> to open canal
pawkz	<font color=#2E8B57>ESP:</font> cortar paja\n<font color=blue>AYM:</font> llawiña\n<font color=#FF8C00>ENG:</font> to cut hay
payi	<font color=#2E8B57>ESP:</font> desierto\n<font color=blue>AYM:</font> payi, wasa, wasarxa\n<font color=#FF8C00>ENG:</font> desert
payla	<font color=#2E8B57>ESP:</font> de cobre\n<font color=blue>AYM:</font> payla\n<font color=#FF8C00>ENG:</font> made of copper
paynaktiz	<font color=#2E8B57>ESP:</font> titubear, dudar\n<font color=blue>AYM:</font> paynaqtaña, ayllinkiña\n<font color=#FF8C00>ENG:</font> to hesitate, to doubt
payz	<font color=#2E8B57>ESP:</font> ver de lejos, espejismo\n<font color=blue>AYM:</font> payi\n<font color=#FF8C00>ENG:</font> to see from a distance, mirage
paz	<font color=#2E8B57>ESP:</font> sufrir\n<font color=blue>AYM:</font> t'aqisiña\n<font color=#FF8C00>ENG:</font> to suffer
pazaquipz̈	<font color=#2E8B57>ESP:</font> demasiado tarde para curar\n<font color=blue>AYM:</font> pasakiraña\n<font color=#FF8C00>ENG:</font> to be too late to cure
paziiz	<font color=#2E8B57>ESP:</font> pasear\n<font color=blue>AYM:</font> sarnaqaña\n<font color=#FF8C00>ENG:</font> to go for a walk
pazta	<font color=#2E8B57>ESP:</font> lapicero, bolígrafo\n<font color=blue>AYM:</font> puntawula\n<font color=#FF8C00>ENG:</font> pencil, pen
pazuma tsatz	<font color=#2E8B57>ESP:</font> temblar con enfermedad, escalofrío\n<font color=blue>AYM:</font> kharkhatiña\n<font color=#FF8C00>ENG:</font> to have chills, to shiver (sickness)
peckz	<font color=#2E8B57>ESP:</font> moler\n<font color=blue>AYM:</font> iyuña, piqaña, qhunaña\n<font color=#FF8C00>ENG:</font> to grind, to mill
pecunz	<font color=#2E8B57>ESP:</font> preguntar, averiguar\n<font color=blue>AYM:</font> chhikinuqaña\n<font color=#FF8C00>ENG:</font> to ask, to inquire
pecz	<font color=#2E8B57>ESP:</font> querer\n<font color=blue>AYM:</font> munaña\n<font color=#FF8C00>ENG:</font> to like, to want
pejkz	<font color=#2E8B57>ESP:</font> prender fuego\n<font color=blue>AYM:</font> lakt'ayaña\n<font color=#FF8C00>ENG:</font> to light fire
pejkz	<font color=#2E8B57>ESP:</font> instrumento\n<font color=blue>AYM:</font> jiraminta\n<font color=#FF8C00>ENG:</font> instrument
pekaña	<font color=#2E8B57>ESP:</font> molino de piedra, batán\n<font color=blue>AYM:</font> piqaña\n<font color=#FF8C00>ENG:</font> grinding stone
persuna	<font color=#2E8B57>ESP:</font> propio\n<font color=blue>AYM:</font> pirsuna, -pa\n<font color=#FF8C00>ENG:</font> own, -self
persunpacha	<font color=#2E8B57>ESP:</font> su mismo, él mismo\n<font color=blue>AYM:</font> jupapacha\n<font color=#FF8C00>ENG:</font> himself, the person himself
pertiz	<font color=#2E8B57>ESP:</font> perder\n<font color=blue>AYM:</font> chhaqhayaña\n<font color=#FF8C00>ENG:</font> to lose
pertuna	<font color=#2E8B57>ESP:</font> perdone, disculpe\n<font color=blue>AYM:</font> pirtuna\n<font color=#FF8C00>ENG:</font> excuse me
pewcz	<font color=#2E8B57>ESP:</font> preguntar\n<font color=blue>AYM:</font> chhikt'aña\n<font color=#FF8C00>ENG:</font> to ask
pewz	<font color=#2E8B57>ESP:</font> limpiar\n<font color=blue>AYM:</font> pichaña\n<font color=#FF8C00>ENG:</font> to clean
pewz	<font color=#2E8B57>ESP:</font> barrer\n<font color=blue>AYM:</font> pichaña\n<font color=#FF8C00>ENG:</font> to sweep
picz	<font color=#2E8B57>ESP:</font> ir a lugar donde no se debe, desviarse\n<font color=blue>AYM:</font> k'ita\n<font color=#FF8C00>ENG:</font> to be out of place, to wander off
pich lajk = pichu	<font color=#2E8B57>ESP:</font> el/la hermano/a menor\n<font color=blue>AYM:</font> ch'uli, pichull\n<font color=#FF8C00>ENG:</font> youngest brother/sister
picha	<font color=#2E8B57>ESP:</font> ¡venga!\n<font color=blue>AYM:</font> jutam\n<font color=#FF8C00>ENG:</font> come!
pichaña = pjijchaña	<font color=#2E8B57>ESP:</font> escoba\n<font color=blue>AYM:</font> pichaña\n<font color=#FF8C00>ENG:</font> broom
pichu = pich lajk	<font color=#2E8B57>ESP:</font> el/la hermano/a menor\n<font color=blue>AYM:</font> ch'uli, pichull\n<font color=#FF8C00>ENG:</font> youngest brother/sister
pichut	<font color=#2E8B57>ESP:</font> saludo de niños a su tío menor\n<font color=blue>AYM:</font> pichull\n<font color=#FF8C00>ENG:</font> child's greeting to youngest uncle
piichi	<font color=#2E8B57>ESP:</font> vagina\n<font color=blue>AYM:</font> chinqi\n<font color=#FF8C00>ENG:</font> vagina
piiz	<font color=#2E8B57>ESP:</font> pecho\n<font color=blue>AYM:</font> ñuñu\n<font color=#FF8C00>ENG:</font> breast
pijc	<font color=#2E8B57>ESP:</font> represa para desviar agua, tajamar\n<font color=blue>AYM:</font> uma pantaqa\n<font color=#FF8C00>ENG:</font> diversion dam
pilpinti	<font color=#2E8B57>ESP:</font> mariposa\n<font color=blue>AYM:</font> pilipintu\n<font color=#FF8C00>ENG:</font> butterfly
piluta	<font color=#2E8B57>ESP:</font> pelota\n<font color=blue>AYM:</font> piluta\n<font color=#FF8C00>ENG:</font> ball
pilz	<font color=#2E8B57>ESP:</font> sacar plumas\n<font color=blue>AYM:</font> phuyu apsuña\n<font color=#FF8C00>ENG:</font> to pluck feathers
pilz	<font color=#2E8B57>ESP:</font> trasquilar (animales)\n<font color=blue>AYM:</font> llawiraña\n<font color=#FF8C00>ENG:</font> to shear (animals)
pilz	<font color=#2E8B57>ESP:</font> pelar\n<font color=blue>AYM:</font> pilaña\n<font color=#FF8C00>ENG:</font> to cut, to strip
pillu	<font color=#2E8B57>ESP:</font> corona de pan entregado por ahijado a padrino/madrina\n<font color=blue>AYM:</font> pillu\n<font color=#FF8C00>ENG:</font> round bread given to godfather/godmother by godchild
pinaziz	<font color=#2E8B57>ESP:</font> sufrir de pena\n<font color=blue>AYM:</font> llakisiña\n<font color=#FF8C00>ENG:</font> to suffer from sorrow/pain
pincallu	<font color=#2E8B57>ESP:</font> flauta\n<font color=blue>AYM:</font> pinkillu\n<font color=#FF8C00>ENG:</font> flute
pinchi	<font color=#2E8B57>ESP:</font> traba\n<font color=blue>AYM:</font> trawa, chaktata\n<font color=#FF8C00>ENG:</font> tie, bond
pino	<font color=#2E8B57>ESP:</font> telar de madera de pino\n<font color=blue>AYM:</font> pinu\n<font color=#FF8C00>ENG:</font> loom made of pine wood
pinta	<font color=#2E8B57>ESP:</font> de varios colores\n<font color=blue>AYM:</font> pinta\n<font color=#FF8C00>ENG:</font> of different colors
pinta	<font color=#2E8B57>ESP:</font> inestable con sus ideas\n<font color=blue>AYM:</font> pinta\n<font color=#FF8C00>ENG:</font> with changing ideas
pintacama	<font color=#2E8B57>ESP:</font> sólo los animales de dos colores\n<font color=blue>AYM:</font> pinta kama\n<font color=#FF8C00>ENG:</font> only animals of two colors
pinti	<font color=#2E8B57>ESP:</font> de varios colores (animales hembras)\n<font color=blue>AYM:</font> pinta\n<font color=#FF8C00>ENG:</font> of different colors (female animals)
pintiru	<font color=#2E8B57>ESP:</font> uno que hace estatuas, escultor\n<font color=blue>AYM:</font> lluch'itanak luriri\n<font color=#FF8C00>ENG:</font> one who makes statues, sculptor
pintita	<font color=#2E8B57>ESP:</font> pintado, pintura\n<font color=blue>AYM:</font> pintata\n<font color=#FF8C00>ENG:</font> painted, painting
pintiz	<font color=#2E8B57>ESP:</font> pintar\n<font color=blue>AYM:</font> pintaña\n<font color=#FF8C00>ENG:</font> to paint
pinziz	<font color=#2E8B57>ESP:</font> pensar\n<font color=blue>AYM:</font> lup'iña\n<font color=#FF8C00>ENG:</font> to think
pira	<font color=#2E8B57>ESP:</font> raíz gruesa\n<font color=blue>AYM:</font> pira\n<font color=#FF8C00>ENG:</font> thick root
pirantura	<font color=#2E8B57>ESP:</font> prendedor, gancho\n<font color=blue>AYM:</font> phich'i\n<font color=#FF8C00>ENG:</font> pin, safety pin
pirasu	<font color=#2E8B57>ESP:</font> pedazo\n<font color=blue>AYM:</font> k'uchjallu\n<font color=#FF8C00>ENG:</font> piece
pirimiraqui = primiraqui	<font color=#2E8B57>ESP:</font> primero\n<font color=blue>AYM:</font> layrankiri\n<font color=#FF8C00>ENG:</font> first
piriya	<font color=#2E8B57>ESP:</font> tapón de lata\n<font color=blue>AYM:</font> piriya\n<font color=#FF8C00>ENG:</font> stopper for cans
piriya	<font color=#2E8B57>ESP:</font> grasa negra del cuero, alquitrán\n<font color=blue>AYM:</font> piriya, alkitrana\n<font color=#FF8C00>ENG:</font> black grease/fat of animal, tar
pirka	<font color=#2E8B57>ESP:</font> pared\n<font color=blue>AYM:</font> pirqa\n<font color=#FF8C00>ENG:</font> wall
pirkiz	<font color=#2E8B57>ESP:</font> construir muro\n<font color=blue>AYM:</font> pirqaña\n<font color=#FF8C00>ENG:</font> to build a wall
pirkiz	<font color=#2E8B57>ESP:</font> cerrar con tepe/piedra\n<font color=blue>AYM:</font> pirqaña\n<font color=#FF8C00>ENG:</font> to close off with sod blocks/stones
pirsata = pjullu = tjajjzquiti	<font color=#2E8B57>ESP:</font> frazada, cama\n<font color=blue>AYM:</font> ikiña, phullu\n<font color=#FF8C00>ENG:</font> blanket, bed
pirwa	<font color=#2E8B57>ESP:</font> almacén pequeño en forma de bóveda\n<font color=blue>AYM:</font> pirwa\n<font color=#FF8C00>ENG:</font> small warehouse in the form of a vault
pirwiz	<font color=#2E8B57>ESP:</font> recoger\n<font color=blue>AYM:</font> aptapiña\n<font color=#FF8C00>ENG:</font> to gather
pirz	<font color=#2E8B57>ESP:</font> recoger hojas de legumbres\n<font color=blue>AYM:</font> pirst'aña\n<font color=#FF8C00>ENG:</font> to harvest vegetable leaves
pitaja	<font color=#2E8B57>ESP:</font> maleta, petaca\n<font color=blue>AYM:</font> pitaka\n<font color=#FF8C00>ENG:</font> briefcase, suitcase, pouch
pitajana	<font color=#2E8B57>ESP:</font> oveja para la venta\n<font color=blue>AYM:</font> uja alxañataki\n<font color=#FF8C00>ENG:</font> sheep for sale
pitz	<font color=#2E8B57>ESP:</font> fumar\n<font color=blue>AYM:</font> p'itaña\n<font color=#FF8C00>ENG:</font> to smoke
piwuna	<font color=#2E8B57>ESP:</font> peón\n<font color=blue>AYM:</font> piwuna\n<font color=#FF8C00>ENG:</font> peon, laborer
piyara	<font color=#2E8B57>ESP:</font> línea\n<font color=blue>AYM:</font> siqi, linta\n<font color=#FF8C00>ENG:</font> line
piz	<font color=#2E8B57>ESP:</font> aumentar la tela para alcanzar la medida\n<font color=blue>AYM:</font> awmintaña\n<font color=#FF8C00>ENG:</font> to add a piece of cloth to make big enough
pizc	<font color=#2E8B57>ESP:</font> dos\n<font color=blue>AYM:</font> paya\n<font color=#FF8C00>ENG:</font> two
pizti	<font color=#2E8B57>ESP:</font> catarro (enfermedad)\n<font color=blue>AYM:</font> pisti\n<font color=#FF8C00>ENG:</font> cold, catarrh (illness)
pjaajquizkatñi	<font color=#2E8B57>ESP:</font> paz, pacificación\n<font color=blue>AYM:</font> sumankaña, k'achankaña\n<font color=#FF8C00>ENG:</font> peace, pacification
pjajch = pjajz	<font color=#2E8B57>ESP:</font> hígado\n<font color=blue>AYM:</font> k'iwcha\n<font color=#FF8C00>ENG:</font> liver
pjajcha	<font color=#2E8B57>ESP:</font> barro mojado\n<font color=blue>AYM:</font> phaxcha llawch'i\n<font color=#FF8C00>ENG:</font> damp mud
pjajcha	<font color=#2E8B57>ESP:</font> comida espesa\n<font color=blue>AYM:</font> thasa\n<font color=#FF8C00>ENG:</font> thick food
pjajcha	<font color=#2E8B57>ESP:</font> pegajoso\n<font color=blue>AYM:</font> katushthapi\n<font color=#FF8C00>ENG:</font> sticky
pjajkjalla	<font color=#2E8B57>ESP:</font> flor\n<font color=blue>AYM:</font> phaqhara, t'ika\n<font color=#FF8C00>ENG:</font> flower
pjajkjallt'ish	<font color=#2E8B57>ESP:</font> florear\n<font color=blue>AYM:</font> t'ikachaña, t'ikanchaña\n<font color=#FF8C00>ENG:</font> to flower, to decorate with flowers
pjajz = pjajch	<font color=#2E8B57>ESP:</font> hígado\n<font color=blue>AYM:</font> k'iwcha\n<font color=#FF8C00>ENG:</font> liver
pjalanz	<font color=#2E8B57>ESP:</font> sudar\n<font color=blue>AYM:</font> jump'iña\n<font color=#FF8C00>ENG:</font> to sweat
pjalaquiya	<font color=#2E8B57>ESP:</font> ¿vás a separar (los animales mezclados)?\n<font color=blue>AYM:</font> jaljaña, lakiña, t'aqaña\n<font color=#FF8C00>ENG:</font> are you going to separate (the animals)?
pjalñi	<font color=#2E8B57>ESP:</font> sudor\n<font color=blue>AYM:</font> jumpi\n<font color=#FF8C00>ENG:</font> sweat
pjalt'a	<font color=#2E8B57>ESP:</font> cubo rectangular\n<font color=blue>AYM:</font> p'alta\n<font color=#FF8C00>ENG:</font> rectangular cube
pjalz	<font color=#2E8B57>ESP:</font> apartar, separar, sacar\n<font color=blue>AYM:</font> t'aqaraña, apsuña\n<font color=#FF8C00>ENG:</font> to put aside, to separate
pjalla	<font color=#2E8B57>ESP:</font> trigo mote\n<font color=blue>AYM:</font> pilata\n<font color=#FF8C00>ENG:</font> stewed wheat
pjamilla = jamilla	<font color=#2E8B57>ESP:</font> familia\n<font color=blue>AYM:</font> phamiliya\n<font color=#FF8C00>ENG:</font> family
pjanapjana	<font color=#2E8B57>ESP:</font> Pato colorado (pájaro acuático)\n<font color=blue>AYM:</font> wila unkhayllu\n<font color=#FF8C00>ENG:</font> Cinnamon Teal (waterbird)
pjanch'u	<font color=#2E8B57>ESP:</font> blando\n<font color=blue>AYM:</font> jasa\n<font color=#FF8C00>ENG:</font> soft, squishy
pjanz	<font color=#2E8B57>ESP:</font> fontanela\n<font color=blue>AYM:</font> phuju\n<font color=#FF8C00>ENG:</font> soft spot on baby's head
pjapza	<font color=#2E8B57>ESP:</font> gordo\n<font color=blue>AYM:</font> lankhu, phatu, lik'i\n<font color=#FF8C00>ENG:</font> fat, big
pjarastiru	<font color=#2E8B57>ESP:</font> extranjero\n<font color=blue>AYM:</font> phurastiru\n<font color=#FF8C00>ENG:</font> foreigner
pjasankalla	<font color=#2E8B57>ESP:</font> cereal tostado\n<font color=blue>AYM:</font> phasanqalla\n<font color=#FF8C00>ENG:</font> toasted cereals
pjasara	<font color=#2E8B57>ESP:</font> quinua/arroz graneado\n<font color=blue>AYM:</font> phisara\n<font color=#FF8C00>ENG:</font> granulated quinua/rice
pjaticaz	<font color=#2E8B57>ESP:</font> no poder dormir, fatigarse\n<font color=blue>AYM:</font> ch'axrapiyasiña\n<font color=#FF8C00>ENG:</font> to be unable to sleep, to get tired
pjats	<font color=#2E8B57>ESP:</font> reventarse\n<font color=blue>AYM:</font> phallantasiña\n<font color=#FF8C00>ENG:</font> to burst
pjatz	<font color=#2E8B57>ESP:</font> reventar\n<font color=blue>AYM:</font> phallaña\n<font color=#FF8C00>ENG:</font> to burst
pjawz	<font color=#2E8B57>ESP:</font> ofrecer coca/alcohol a deidades\n<font color=blue>AYM:</font> phawxataña\n<font color=#FF8C00>ENG:</font> to offer coca/alcohol to deities
pjaya	<font color=#2E8B57>ESP:</font> champa, tepe\n<font color=blue>AYM:</font> ch'ampa\n<font color=#FF8C00>ENG:</font> sod cut for building
pjayapjaya	<font color=#2E8B57>ESP:</font> terminar de comer toda la carne\n<font color=blue>AYM:</font> phayaña\n<font color=#FF8C00>ENG:</font> to finish all the meat
pjayna	<font color=#2E8B57>ESP:</font> trabajo comunal\n<font color=blue>AYM:</font> phayna\n<font color=#FF8C00>ENG:</font> communal work
pjayniz	<font color=#2E8B57>ESP:</font> trabajar en comunidad\n<font color=blue>AYM:</font> phagnaña\n<font color=#FF8C00>ENG:</font> to work with the community
pjazacana	<font color=#2E8B57>ESP:</font> fruta de cacto\n<font color=blue>AYM:</font> pasakana\n<font color=#FF8C00>ENG:</font> cactus fruit
pjazi	<font color=#2E8B57>ESP:</font> pluma\n<font color=blue>AYM:</font> phuyu\n<font color=#FF8C00>ENG:</font> feather
pjazila	<font color=#2E8B57>ESP:</font> fácil\n<font color=blue>AYM:</font> phasila\n<font color=#FF8C00>ENG:</font> easy
pjeta	<font color=#2E8B57>ESP:</font> agujero\n<font color=blue>AYM:</font> qaqa\n<font color=#FF8C00>ENG:</font> hole
pjetpuju	<font color=#2E8B57>ESP:</font> río Lacajawira\n<font color=blue>AYM:</font> Lakajawira\n<font color=#FF8C00>ENG:</font> The Lacajawira River
pjetz	<font color=#2E8B57>ESP:</font> perforar, agujerar\n<font color=blue>AYM:</font> qaqaraña\n<font color=#FF8C00>ENG:</font> to perforate, to pierce
pjewi	<font color=#2E8B57>ESP:</font> rocío\n<font color=blue>AYM:</font> chhulla chhulla\n<font color=#FF8C00>ENG:</font> dew
pjewñi	<font color=#2E8B57>ESP:</font> escarcha\n<font color=blue>AYM:</font> juyphi\n<font color=#FF8C00>ENG:</font> frost
pjewz	<font color=#2E8B57>ESP:</font> escarchar\n<font color=blue>AYM:</font> juyphiraña\n<font color=#FF8C00>ENG:</font> to frost
pjicz	<font color=#2E8B57>ESP:</font> hartarse de comida\n<font color=blue>AYM:</font> phuqhantata, sisart'ata\n<font color=#FF8C00>ENG:</font> to have enough food, to be stuffed
pjijchaña = pichaña	<font color=#2E8B57>ESP:</font> escoba\n<font color=blue>AYM:</font> pichaña\n<font color=#FF8C00>ENG:</font> broom
pjijllz = wjijllz	<font color=#2E8B57>ESP:</font> suavizar lana para hilar\n<font color=blue>AYM:</font> quñart'aña\n<font color=#FF8C00>ENG:</font> to pull apart matted, crude wool to spin
pjijra	<font color=#2E8B57>ESP:</font> cuerda para hacer soga\n<font color=blue>AYM:</font> lankhu wiskha\n<font color=#FF8C00>ENG:</font> cord to make rope
pjijrz	<font color=#2E8B57>ESP:</font> torcelar lana para soga\n<font color=blue>AYM:</font> mismiña\n<font color=#FF8C00>ENG:</font> to twist wool to make rope
pjijsa	<font color=#2E8B57>ESP:</font> angosto\n<font color=blue>AYM:</font> juch'usu, k'allka, k'ullku\n<font color=#FF8C00>ENG:</font> narrow, tight
pjijsa	<font color=#2E8B57>ESP:</font> agujero pequeño\n<font color=blue>AYM:</font> sik'a qaqalla\n<font color=#FF8C00>ENG:</font> small hole
pjijska	<font color=#2E8B57>ESP:</font> cinco\n<font color=blue>AYM:</font> phisqa\n<font color=#FF8C00>ENG:</font> five
pjiju	<font color=#2E8B57>ESP:</font> yatiri que acierta sus pronósticos\n<font color=blue>AYM:</font> phiju (yatiri)\n<font color=#FF8C00>ENG:</font> diviner whose predictions are correct
pjijzka	<font color=#2E8B57>ESP:</font> lagartija\n<font color=blue>AYM:</font> jararunkha\n<font color=#FF8C00>ENG:</font> small lizard
pjijzkura	<font color=#2E8B57>ESP:</font> Juez de agua (pájaro)\n<font color=blue>AYM:</font> p'isqura\n<font color=#FF8C00>ENG:</font> Bar-winged Cinclodes (small bird, cream color or brownish white)
pjijzpiz	<font color=#2E8B57>ESP:</font> cuchichear, susurrar\n<font color=blue>AYM:</font> jinchu k'uchulla parlaña\n<font color=#FF8C00>ENG:</font> to whisper
pjijzta	<font color=#2E8B57>ESP:</font> fiesta, día de descanso\n<font color=blue>AYM:</font> phista\n<font color=#FF8C00>ENG:</font> fiesta, holiday
pjila	<font color=#2E8B57>ESP:</font> arena\n<font color=blue>AYM:</font> ch'alla\n<font color=#FF8C00>ENG:</font> sand
pjina	<font color=#2E8B57>ESP:</font> alcohol puro\n<font color=blue>AYM:</font> puru, q'ayru\n<font color=#FF8C00>ENG:</font> pure alcohol
pjina	<font color=#2E8B57>ESP:</font> almacén de papa bajo la tierra\n<font color=blue>AYM:</font> q'ayru\n<font color=#FF8C00>ENG:</font> root cellar
pjiñu	<font color=#2E8B57>ESP:</font> tipo de papa\n<font color=blue>AYM:</font> phiñu, quyllu chuqi\n<font color=#FF8C00>ENG:</font> type of potato
pjiri	<font color=#2E8B57>ESP:</font> harina tostada y revuelta en agua\n<font color=blue>AYM:</font> phiri, chuchumiri\n<font color=#FF8C00>ENG:</font> toasted flour mixed with water
pjirizcu	<font color=#2E8B57>ESP:</font> fresco\n<font color=blue>AYM:</font> phrisku\n<font color=#FF8C00>ENG:</font> fresh
pjiru	<font color=#2E8B57>ESP:</font> feo, malo\n<font color=blue>AYM:</font> ñaxu\n<font color=#FF8C00>ENG:</font> ugly, bad
pjirz	<font color=#2E8B57>ESP:</font> preparar harina tostada y revuelta en agua\n<font color=blue>AYM:</font> phiriña\n<font color=#FF8C00>ENG:</font> to make toasted flour mixed with water
pjit	<font color=#2E8B57>ESP:</font> paja\n<font color=blue>AYM:</font> wichhu\n<font color=#FF8C00>ENG:</font> straw
pjiti	<font color=#2E8B57>ESP:</font> lejía\n<font color=blue>AYM:</font> llijt'a\n<font color=#FF8C00>ENG:</font> substance made of quinoa and flour to chew with coca
pjizcallu	<font color=#2E8B57>ESP:</font> planta espinosa\n<font color=blue>AYM:</font> pulli, phuskallu, ch'api\n<font color=#FF8C00>ENG:</font> small spiny plant
pjojkz	<font color=#2E8B57>ESP:</font> cancelar\n<font color=blue>AYM:</font> ayni phuqhaña\n<font color=#FF8C00>ENG:</font> to cancel
pjojkz	<font color=#2E8B57>ESP:</font> cumplir\n<font color=blue>AYM:</font> phuqhaña\n<font color=#FF8C00>ENG:</font> to fulfill, to carry out, to finish
pjoma	<font color=#2E8B57>ESP:</font> pozo con mucha agua\n<font color=blue>AYM:</font> phuju phuqha\n<font color=#FF8C00>ENG:</font> well with a lot of water
pjucz	<font color=#2E8B57>ESP:</font> tapar\n<font color=blue>AYM:</font> qhapaña\n<font color=#FF8C00>ENG:</font> to cover, to block
pjuch	<font color=#2E8B57>ESP:</font> estómago\n<font color=blue>AYM:</font> puruka\n<font color=#FF8C00>ENG:</font> stomach
pjuch cora	<font color=#2E8B57>ESP:</font> estómago vacío, cintura delgada\n<font color=blue>AYM:</font> puraka t'uxruntata\n<font color=#FF8C00>ENG:</font> empty stomach, slender waist
pjuch pjeta	<font color=#2E8B57>ESP:</font> aprovechador\n<font color=blue>AYM:</font> manq'a q'ara\n<font color=#FF8C00>ENG:</font> opportunist
pjujculchi	<font color=#2E8B57>ESP:</font> tierra levantada por frío o sequedad\n<font color=blue>AYM:</font> sillp'i\n<font color=#FF8C00>ENG:</font> raised earth due to frost/dryness
pjujculchi	<font color=#2E8B57>ESP:</font> ampolla\n<font color=blue>AYM:</font> phusulli\n<font color=#FF8C00>ENG:</font> blister
pjuju	<font color=#2E8B57>ESP:</font> vertiente\n<font color=blue>AYM:</font> jalsuri, umajalsu\n<font color=#FF8C00>ENG:</font> spring
pjujz	<font color=#2E8B57>ESP:</font> soplar\n<font color=blue>AYM:</font> phusaña\n<font color=#FF8C00>ENG:</font> to blow
