a	Aka arsuxa laka manqhata arsuña sallawa.
inkuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Maya q'ipi jani ukaxa q'ipiru uñtasiri paypacha amparampi kawkharuti wakiski ukaru inkuña. 
inkuña	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Inkuñaxa awayuru, mantiyuru, tantiyu tariruwa sata, uka yänakaxa waña juyranaka apnaqañatakiwa sañani: ch'uqi, apilla, ch'uñu, tunta inktañana yanapt'asi.
inkuntaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Manqha chiqaru maya q'ipi jani ukaxa q'ipiru uñtasiri yänaka apantaña, uta manqhiru inkuntaña. <font color=blue>// Uka jach'a q'ipinakaxa utaru inkuntañawa.</font>
inkuqaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Maynixa alaya chiqana jikxatasisa q'ipinaka aptasina aynachankiriru churani inkuqañapataki, inkuqiristi paypacha amparampi katuraki.
inkuraña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Mayni jaqixa q'ipipa suma inkt'ataskipana yaqha jani wali jaqiwa ch'amapampiki q'ipipa aparaspa ukawa inkuraña. <font color=blue>// Uka lunthataxa qullqini q'ipixa inkuraña munitu.</font>
inkuyaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Q'ipixa jathispa, jani ukaxa phisnaspa ukawa yaqharu achikt'asisa inkuyaña apayaña sataraki.
inkxarayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Taykaxa wawanakapana jayata utaru purinitapatxa juyranaka munasiñata amparanakaparu inkxarayaña yatiraki.
inkxaruña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jiwaspacha paypacha amparasampi q'ipi inkxaruña.
inkxasiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Inkxasiñaxa mayawja chiqana sayt'ata q'ipi paypacha amparampi katuñawa.
inkxataña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Inkxatañaxa kunapachati suma askinjama uskt'ataki yänakaxa uka patxaru maya q'ipimpi uskt'añawa.
inqi	<font color=purple>[May.: KUTU]</font> <font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Wallpanaka ukhamaraki taqi kasta jamach'inakawa kunka nayraxapana maya jisk'a wayaqanipxi, ukaruwa uru manq'asitapa tantasi. Kutu phuqaki uka pachawa suma manq'asitapa amuyasi. (1)
inti	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Jach'a nina muruq'u, aka pachpacha qhaniri. Alaxa pachata walpini uru jurnäla lupi qhanatatayankixa ukawa. <font color=blue>// Qhanjtaxa intixa jalsunikipuniwa. Inti tataxa taqiniruwa lupipampi junt'uchapxistu.</font>
inti jalanta	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Uka chiqaruwa inti tataxa aka pacharu qhananiwsina jithintixa. Inti chhaqanta pacha. <font color=blue>// Inti jalantaxa uywa anthapiña pachawa.</font>
inti jalsu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Inti tatana uñstaniñapa pacha. <font color=blue>// Inti jalsu tuqirupuniwa t'inkaxa ch'allt'asiña.</font>
inti lupi	<font color=ForestGreen>st.</font> Intina junt'upa. <font color=blue>// Inti lupixa jaqiruxa qhatjaspawa.</font>
inti uru	<font color=ForestGreen>st.</font> Taypinkiri uru <font color=ForestGreen>/</font> Kurmi urumpi phaxsi urumpi. <font color=ForestGreen>/</font> Inti uruxa taqiniwa qhaturu yänaka chhalt'asiri sarapxtana.
inti willjta	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Pachana janira inti jalsunkipana k'achata k'achata qhanatatatapa. <font color=blue>// Inti willjta pachaxa chiwankunakaxa jisk'a jamach'inakaru wali q'uchurayi.</font>
iñasu	<font color=ForestGreen>st.</font> Asu wawa. <font color=ForestGreen>/</font> Iña, iña ukhama jachiri ñuñuri asu wawa, niya kimsa phaxsinkama ukaruwa asu wawa sapxi.
iñu	<font color=ForestGreen>st.</font> Wajcha. <font color=ForestGreen>/</font> Iñuxa jani taykani, jani awkini wawawa. Iñu wawanakaruxa khuyapt'añapuniwa, sapxiwa. Jusiya yatiqiri masijaxa taykatsa awkitsa iñuwa. Wajcha wawatakixa qalasa pirqasa arsuriwa, jawira umasa wañt'iriwa ukanaka uñjasawa jaqjama sartaraki. (2)
ipa	<font color=ForestGreen>st.</font> Wawatakixa awkipana kullakapaxa ipa ukhamarakiwa. <font color=purple>[Am.: Khiyatu]</font>
ipala	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Wawatakixa taykapana kullakapaxa ipalapaxiwa.
ipasari	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Chacha warmita, warmina jilapana wawanakapawa.
ipasiri	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Warmina jilanakapa kullakanakapana wawanakapa, ukhamaraki chachana jilanaka kullakanakapana wawanakapa.
ipi	<font color=ForestGreen>st.</font> Chuyma pisi <font color=ForestGreen>/</font> Ipixa jani kunsa amuyt'asiri, kunsa kunjamsa luranuqakiri jaqiwa.  Ipixa punku, uta uñjäta, sataxa q'ipsuwayxirïtayna, llakisiñatsa jupaxa k'uchikisa sarnaqaspa kunasa pachpakikaspa ukhamawa jupatakixa. <font color=purple>[Am.: Ipiku, T'axmara]</font> <font color=purple>[Aa.: Ch'ikhi]</font>
ipi	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> T'una ajara ch'uqi, k'itha ch'uqi ukaruwa ipi sapxi.
ipikuptayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Kuna qullanakampi, kunaymani kasta llakitakipana irnaqayana jani samart'asa ukhamata usuntayasina ipiru tukuyaña.
ipiraña	<font color=ForestGreen>ar.</font> Tuxpantaña.  <font color=ForestGreen>/</font> Mayni jaqiru ikiwita sartkipana, taqi kasta jiskt'anaka jiskt'ataxa jani yatkchi ukaxa khursa aksa uñanaqasini, janiwa kunankatapsa amuyasxiti ukawa ipiraña.
ipirata	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Jilïri jaqiru, wayna tawaqunakaru, wawanakarusa p'iqipata usuchjasisaxa lixwisa unxtaspa ukata janiwa suma amuyxaspati ukawa ipirataxa.
ipu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Awkina jilapa ukhamaraki taykana jilapa wawatakixa ipu ukaxiwa.
iqanukuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Iqanukuñaxa niya isinakaru uñtari yänaka  jaytamuchuña armasiñata jaytjaña ukawa.
iqaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Iqañaxa isi, wiska, ikiña, ukanakaru uñtata yänaka amparampi apañawa. <font color=blue>// Awayu iqasiñawa q'ipi qipxarusiñataki. </font><b>2.</b> Iqaña, uriqa qawqhch'atapa yatiñatakixa wiskhampi iqt'añawa. <font color=blue>// Qawqhch'arakisti iqt'aniwayasmaya yatiñatakixa.</font>
iqantaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Iqantañaxa isispa, wiskhaspa jani ukaxa isiru uñtasiri ukanakawa uta anqaxata uta manqhiru iqantaña.
iqiqu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Iqiquxa jisk'a taña, lunqhu qamiri jaqiwa, aka pachana utjiri jisk'a yänaka manq'aña juyranaka q'ipxaruta ukhama uñt'atawa. Iqiquruxa Chuqi Apu manqhanxa paya tunka pusini uru chinuqa phaxsina sapa mara uruyapxiri. Alasita uru puriñapatakixa taqiniwa suyapxi, kunti munapki jikxataña, kunaymani yänakaniña munataki, ukhamaraki marpacha juyranaka jikt'añapataki uka chikürupuniwa alasiña suma phuqhasiñapataki. Yaqhipasti yatirinakampi ch'allt'ayasipxi. Alasita qhathunxa taqi kunapuniwa jisk'akamaki utanaka, uraqinaka, awtunaka, qullqi, isinaka, juyranaka, isinaka, utachaña yänaka, utjaraki. Khithinakati sapakisipki jupanakaxa k'anka urqu wallpa alasipxaraki, uywanaka munirinakaxa uka pacha jisk'a uywanaka alasipxaraki.
irama	<font color=purple>[May.: IRANA]</font> <font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Iramaxa mä qulluna thiyanakapa jani ukaxa parki aynachchiqaxa  niya muyjama ukawa. <font color=ForestGreen>/</font> Qullu iramana wali chhijchhintaski. Qarwaxa irana muytawayxi.
iraña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Irañaxa mä amparampi kuna jisk'a yäsa, kuna achsa ampara qutaru apañawa. <font color=blue>// Wallpa k'awna iraña.</font>
iraqaña	<font color=ForestGreen>ar.</font> Apaqaña. <font color=ForestGreen>/</font> Iraqañaxa alayata ampara luk'ananakampi jisk'a muruq'u kasta yänaka apaqañawa. <font color=blue>// Suma puqurt'ata muxsa achunakawa iraqaña. </font>
iraqaña	<font color=ForestGreen>ar.</font> Ichuqaña. <font color=ForestGreen>/</font> Iraqañaxa jakhuqaña jila chani mayt'ipana, pisiqtayaña juk'pacha apaqt'aña ukawa iraqañaxa. <font color=blue>// Wiskhuna chanipaxa jilawa, iraqt'itaya. </font><b>2.</b> <font color=ForestGreen>/</font> Iraqañaxa alinakata niya muxsa achu q'illuxipana achunakaxa apaqañawa iraqañaxa.
iraya	<font color=ForestGreen>st.</font> Apaya. <font color=ForestGreen>/</font> Irayaxa kuna yänaksa achunaksa kunsa alaniwayañapataki qullqi irayasiñawa.
irjaña	<font color=ForestGreen>ar.</font> Tukjaña. <font color=ForestGreen>/</font> Irjaña kuna nuwasiñansa anatañansa q'ala atipjañawa. <font color=blue>// Q'ala p'iquta anatañanxa irjaniwayapxtha. </font>
irnaqaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Irnaqañaxa ch'amampi kuna jikikiptayañataki kunsa jikxatañataki amta phuqañataki alwata jayp'ukama lurañawa. <font color=blue>// Jichhüruxa irnaqiriwa sarä. </font><b>2.</b> <font color=ForestGreen>/</font> Irnaqaña amparana jisk'a niya muruqjama, ampara qutaru mantkiri yänaka apnaqaña. <font color=blue>// Sullka kullakajaxa jisk'a anatañanaka irnaqaski.</font>
irpaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Irpañaxa thaki uñachayasa amparampi katt'asa, jani katt'asasa, wawaru, chuymani jaqiru, jani uñjiri, jayata jutiri jaqirusa kawkharu amtatasa ukaru sarayañawa. Mä munata uywasa irparaksnawa.  Jisk'a wawanakaxa yatiña utaru aliqata irpañawa. <font color=blue>// Jilïri jilajaxa janiwa jach'a marka uñjkiti; ukata nayawa irpäxa.</font>
irxata	<font color=ForestGreen>st.</font> Mirinta jaqt'a. <font color=ForestGreen>/</font> Irxataxa  manq'a wakt'ayata patxaru sumañapataki uskt'ataki ukawa, mä manq'a phayataru jani ukaxa  mirintaru  kuna wali suma  manq'ampi apxatt'ataxa ukawa. <font color=blue>// Apthapi mirintawinxa jaqt'ampipuniwa manq'axa suma manti.</font>
iru	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Suni tuqina jiliri ali. Qawranakana manq'apa. Iruxa qaqa ch'uxña ch'aphintiri jichhuwa.  Iru jichhuxa ch'allawjana achuri. <font color=ForestGreen>/</font> Iru jichhuxa ch'apintasina usuyasiriwa.
isaña	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Isañaxa niya apilljama uraqi manqhana ch'uqjama achuriwa. <font color=blue>// Isaña thayacha manq't'asipxañani.</font>
isch'ukiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Isch'ukiñaxa qhanatsa jamasatsa taqi amuyumpi isch'ukiñawa. <font color=blue>// Khä jaqixa kunsa khuchjama isch'ukpacha.</font>
isi	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Isixa thaya, lupi janchisata jark'aqasiñataki uskusiña yäwa suma p'itt'ata, sawt'ata ukhamaraki ch'ukt'atawa. <font color=blue>// Nayra pachaxa sapa jaqiwa isi lurasiritayna.</font>
isisu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Isisuxa q'ayachasjama anuru jawsaña aruwa. Isisu sataxa anuxa uñtanisa laqawa jutiri.
isliru	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Isliruxa asinta pachanakana jach'a markaru patrunana utaparu pichiri, kunanaksa luriri saraña mit'änwa. <font color=blue>// Nayraxa patrunana utaparu isliruta sarapxiritayna.</font>
ispa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ispaxa mä taykata mä uruki panini yuriri wawanakawa. <font color=blue>// Ispa wawanakaxa kikpakïriwa.</font>
ispalla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ispallaxa ch'uqiru uruyaña, ch'allaña, tarqampi, quyqumpi jayllintañawa. <font color=blue>// Ispalla thuqhuñasa jaylliñasa janiwa utxiti.</font>
ispi	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ispixa jisk'a kasta qutana jakasiri challwawa. <font color=blue>// Tata Juwanchu, qhatuta ispi alt'aniwayäta.</font>
ispilma	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ispilmaxa nina qhantayañataki jisk'a lawaru uñtata lik'iru uñtatjama lurt'awa. Jaqi jiwipanxa jank'akiwa ispilma  nakhtayapxi. Nayra pachanakaxa qawra lik'impi pawilumpi nakhayañataki ukst'apxiritayna. <font color=blue>// Ispilmaxa amayanakana urupa uruwa qhanayañaxa.</font>
ispillu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ispilluxa lakana araxtuqina manqhatuqina pä wila sayt'u janchinakawa. Jani ispilluniksnaxa janiwa mama saña atipksnati.
istalla	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Istallaxa kunaymana walja kasta samini ch'ankhata jisk'a awayjama, kuka inknaqañataki, sawutawa. <font color=blue>// Mama t'allaxa kukasa istallaru inkt'atapiniwa sarnaqiri. Anata phaxsi urunxa warminakaxa kukxa k'acha istallaruwa apapxi.</font>
ist'aña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Taqi chuymampi maynina arsutapa aru katuqaña, jinchumpi ist'asina  amuyañawa. <font color=blue>// Kuna iwxasa taqi chuymampiwa ist'asina katuqañawa. Jani wali arunaka ist'añatakixa jinchunakawa wali junt'untiri, ukata jank'akiwa thusunqallampi jawirasiña qullu qullu sasa jani phuqhasiñapataki. </font><b>2.</b> <font color=ForestGreen>/</font> Ist'añaxa kuna lurma satasa iyawa sasa lurañawa.  Awki taykaruxa ist'añapuniwa.
itapallu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Itapalluxa, laphinakaru jisk'a jani amuykaya ch'aphinakani, uka ch'aphinakampi qhathirasiri qurawa, ukhamarusa itapalluxa qullawa sapxiwa. <font color=blue>// Urqu itapalluxa chupika panqaraniwa.</font>
itayuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Itayuñaxa juyranaka, kuna manq'aña achunaksa taqichiriru kayuta ch'uphunjama usuntayiri usuwa. <font color=blue>// Janiwa manq'aña achunakaxa takichasiñäkiti, itayurtiwa siwa.</font>
ituña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Ituñaxa jathi ch'ullqhi yänaka paya amparampi apañawa. <font color=blue>// Uka iwija p'iqi itunma.</font>
iwija	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Iwijaxa <i>España</i> markata apanita tantiypacha, t'arwani ñuñuri kasta uywa, pusi kayuni, uta uywa. <font color=blue>// Qachu iwijaxa suma p'iku urqu iwisqallu wawachatayna.</font>
iwxaña	<font color=ForestGreen>ar.</font> Sumata qhanañchaña. <font color=ForestGreen>/</font> Iwxañaxa janira kunsa jani wali lurkipana, sumata qhanañcht'asina ch'ikhi amuyumpi arunakampi aruskipt'asa jaqjama jani pantjasisa sartañatakiwa. <font color=blue>// Wawanakaruxa iwxañapuniwa.</font>
iwxaña	<font color=ForestGreen>ar.</font> Kunxatsa yatiyaña. <font color=ForestGreen>/</font> Iwxañaxa kunsa, walitakisa jani walitakisa, ukhamawa sasa maynimpi yatiyañawa. <font color=blue>// Ch'uqiwa qawaña sasawa iwxaniwayäta.</font>
ixpa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Kustalata ch'uqi jani warstañapatakixa jaya jaya ixpa ch'ukt'añawa.  
ixra	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Ixraxa quta thiya yapunakawa. <font color=blue>// Ixrana ch'uqixa wali sumawa panqaraski siwa.</font>
iyawsaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Kuna mayitasa, kuna satasa churañawa. <font color=blue>// Kuna, jumasti jani utjkïpana iyawsaskaktati.</font>
j	j.\n/j/ Ñaqa qhiphaxampi arsu.
¡ja!	Jaqina nayriri p'arxtaña arsu. <font color=ForestGreen>/</font> Jaqixa ja sasapuniwa jujt'asa samstana, kuna llaki, muspha, kusisitasa ja sasa samsu. ¡Ja! ukawa nayriri jaka arsu aruxa. Ajayuni aruwa jaqi japhalla jaka. <font color=blue>// Jisk'a yuqalla wawaxa ja, ja sasawa ikita sartasa much'arasi.</font>
¡ja!	Uywa awatiña aru. <font color=ForestGreen>/</font> Ja aruxa uywa awatiriwa ja ja sasa uywa anakiri. Ja, ja chiqapa chiqapa sasawa qarwanaka, iwijanaka thaknama, tupnama anakipxi.
¡ja!	Ist'aña, jaysaña, jiskt'aña arurakiwa. 
jacha	<font color=ForestGreen>st.</font> Jacha aruxa umjama nayrata jalaqani. <font color=ForestGreen>/</font> Chuyma ch'allxtayasisa, chuyma usuta jacha jalaqayasi. Llakitsa, chijitsa jaqixa jachaspawa, wali suma kusisitatsa chuyma ch'allxtasisa jacharakispa. <font color=blue>// Uka wawaru jachaxa waraqtakchi.</font>
jachaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jachaña aruxa mayniru chuyma usuchjañawa. Janchi usupana, nuwasa, chijiru purisa ukanakata jachañaxa utji. Kunasa jani walikxïpana amukisa jani ukaxa wali wararisasa jachañawa. <font color=blue>// Jisk'a imilla wawaxa uywa chhaqhayatana wali uywapatjama jachi.</font>
jachawalla	<font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jachawallaxa jisk'a chuymani, kunatsa jachaskaki kuna satasa jachxaki ukawa. Jachawalla jaqixa jachjtaña chuymanipuniwa kuna satasa mäkiwa jachjtaña yati. Jachawallaxa janiwa wawakïkiti jani ukaxa jach'a jaqitsa jachawalla jaqixa utjarakiwa. <font color=blue>// Uka wawaxa ancha jachawallawa, kunatsa jachaskakiwa. </font>
jachayaña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Mayniru aliqata jachayañawa. Jisk'a wawaruxa anataña aparasa jachaña. <font color=blue>// Taykapawa jisk'a imilla wawaruxa jachayatayna. Uka jaqinakaxa uraqi aparasawa jaqinakaru jachayapxi.</font>
jachakana	<font color=purple>[May.: ACHAKANA]</font> <font color=ForestGreen>st.</font> Jachakana aruxa mä achuna sutipawa. <font color=ForestGreen>/</font> Jachakanaxa tantiypacha muruq'u wali ch'aphirara waraquwa. Achakana achuxa wali k'allk'uwa, suni uraqina achuraki. Yaqhipawjanakanxa achakana sapxarakiwa. <font color=blue>// Laqakiwa jutäta, nayaxa achakana phaykaxa.</font>
jachjaña	<font color=ForestGreen>ar.</font> Jani wali luratapata jachjaña. <font color=ForestGreen>/</font> Mayniru kuna luratapatsa jani walt'añapataki jachjañawa. Janiwa jisk'a uywanakaru usuchjañäkiti jachjasiriwa, saña utjaraki. Taqi kuna lurañansa mayniruxa jiwasarjama yäqasiña chuymampi uñjaña utjañapa. Yamakisa janiwa alqamari, juku ukanakaru usuchjañäkiti jachjasiriwa, jani uñt'ata usuwa katuña sapxiwa. <font color=blue>// Janiwa kuna laq'unakasa, jamach'inakasa, uywanakasa, achunakasa usuchjañäkiti, jachiriwa siwa.</font>
jach'a	<font color=ForestGreen>sm.</font> Jach'a aruxa suti mayt'ayaña aruwa. <font color=ForestGreen>/</font> Kunanakasa jach'äspa: jaqi, yänaka, uywa, qullunaka, quqanaka, juk'ampinaka jach'äspa. <font color=blue>// Jach'atansa, lunqhu jaqixa markana wali uñt'atawa. Uka tiyuxa taqita jach'apiniwa.</font>
jach'a	<font color=ForestGreen>st.</font> Jach'a aruxa walt'ata suti aruwa. <font color=ForestGreen>/</font> Pata markanxa jach'a tantachawina walt'atani markachiriwa marka jark'antañataki tantachasipxi <font color=blue>// Jach'a urunakana Pacha Mamaru amtasipuniwa. Jach'a phunchhawina suma k'uchirt'aniñawa.</font>
jach'atansa	<font color=purple>[May.: JACH'ATAÑSA]</font> <font color=ForestGreen>sm.</font> <font color=ForestGreen>/</font> Jach'a tansa aruxa mä jaqixa janchita jisk'a, tantiyu, jach'atansa, ukawa. <font color=ForestGreen>/</font> Taqi uywanakata, jaqinakata jach'axa utjapuniwa, taqita jilatarata ukaruwa jach'atañsa sata. <font color=ForestGreen>/</font> Jaqita wali jach'a jaqiwa jach'atansa, sataxa. <font color=blue>// Nayra pachanxa jaqixa jach'atansa jaqinakachispanxaya ukhama qillqatanakana yatisi.</font>
jach'i	<font color=purple>[May.: JICH'I]</font> <font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Jach'i aruxa mä ampara phuqha kunsa aptañawa. Jachixa ampara qutañaru kuna achunaka phuqht'añawa. <font color=blue>// Tunqu, jupha, qañawa juk'ampi achunakawa mä amparampi aptañawa. </font>
janch'u	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Janch'u aruxa lakampi kunsa akhullita muruq'uwa. Kuka, inala mama lakana akhullt'asa ch'amsuña, ukawa. Tantachawina jilïri irpirinakaxa akhullt'ayasa mächiqarukiwa kuka janch'unaka uskuyapxi. <font color=blue>// Achachilaxa kuka jach'u imasitayna.</font>
jakasiña	<font color=ForestGreen>ar.</font> Jakasiña aruxa panini qamañawa. <font color=ForestGreen>/</font> Awichaxa allchhinakampi yanapt'ayasisa jakasiski. <font color=purple>[Am.: Qamaña, utjasiña]</font>
jakasiña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Jakasiñaxa kawkha uraqina jakañansa irnaqañawa. Jisk'atpacha wawanakaruxa kuna luririsa yatichaña, ukampixa kawkhansa jakapxakispawa. <font color=blue>// Mamaxa awayu sawjasisakipuniwa jakasixa.</font>
jakaña	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Pacha aru)</font> wawa uywiripawa. <font color=ForestGreen>/</font> Jakañaxa taykana purakapana wawaru llawuntatäki ukawa, kawkhanti wawaxa tayka puraka manqhina jilaski yuriñkama ukawa ukhama sutini uñt'ataraki. Taykana wawa jakañapaxa niya wawa ususxïpana suma uraqiru imantxaña. Jakani jaka amuyuxa aka pacha jaqina jakañapawa, aka pachana sarnaqaña, manq'iri umiri jaqina jakawipawa, jaqixa jakhuta maraki jaki, wawata chuymaniptañkama, jaqixa jiwxi ukjaxa janiwa jakxiti, jaqina jakañapaxa jiwañampiwa tukusi, janchipa tukusxi, laq'aru tukxi ukjaxa janchi jakañaxa tukusirakiwa. Aka pachana jaktana ukaruwa jakaña sata. Jakañaxa manq'ampiwa jaktana manq'ampirakiwa sarnaqtana, manq'añxa pachawa awtjayi ina ch'usatxa manq'añaxa janiwa utjkaspati. Uywanakanxa parisa satarakiwa. <font color=purple>[Am.: Ithapa]</font>
jakaña	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Pacha aru)</font> Jakaña. <font color=ForestGreen>/</font> Suti aruwa jakaña sutïchi ukaxa kunjamasa aka jakañaxa, ukaruwa k'umara jakaña sata. Jaqisa, uywasa, laq'usa kuna yänakasa jakañanïwa. Jakaña utji ukata kuna chijtañasa utjaraki, jakañaxa jani jiwatawa. Samsuski, manq'aski, sarnaqasiriwa. <font color=blue>// Tumpiri jutatawa janiwa jiwatäkiti markajana jakasisktha, ukhama jilïri chuymaninakaxa sapxi. Achachilaxa suma achunaka manq'asaxa k'umara jakaña jikxati.</font>
jakaña	<font color=ForestGreen>st.</font> <font color=ForestGreen>(Ajayu aru)</font> Ajayu. <font color=ForestGreen>/</font> Jakawixa ajayumpi chikawa utjaraki, jakaña jani utjaspa ajayuxa janiwa utjkarakispati, jakañaxa ajayuruwa ch'amanchi. <font color=blue>// Mama asu wawa ajayu jalaqayasawa jakawipa apt'atayna.</font>
jakaña	<font color=ForestGreen>ar.</font> Utjasiña. <font color=ForestGreen>/</font> Jaqixa kunanaksa luri, kunjamsa jaki, kawkinsa jaki, khitimpisa jaki, ukawa. Saraksnawa markana jakaña. <font color=blue>// Jichha maranakanxa markachirixa patatuqina markana jakaña amtankamakïpxiwa.</font>
jakaña parisa	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Purakana wawa uywiri, jakaña parisa sata,  wawa ususisaxa jakañaxa tukusikirakiwa, wawa yuriwimpi chika. Jakaña ukaxa parisa satarakiwa wawani warmina purakapana niya marawa wawa uywi, mara uywsusaxa jakañaxa yuriri wawampi chika purakata mistxi. Ukaruxa jakaña sasa sutichatarakiwa. Jakañaxa taykana purakapana wawaru llawuntataxa ukawa. Taykana wawa jakañapaxa niya wawa ususxïpana suma uraqiru imantxaña. Uywanakanxa parisa satarakiwa. <font color=blue>// Usiri mamaxa ususisaxa wawa parisapa janiwa uñstaykxataynati. </font>
jakima	<font color=purple>[May.: JAKIMU]</font> <font color=ForestGreen>st.</font> Jakima aruxa khumuña achuyiri sutiwa. <font color=ForestGreen>/</font> Jakimaxa asnu, qaqilu, mula atipataru khumu acht'añapataki uchatawa. <font color=blue>// Asnuru khumuntañatakixa jakimawa khumu acht'ayañapataki uskuñawa.</font>
jakhuña	<font color=ForestGreen>ar.</font> Mayata mayata tumpañawa. <font color=ForestGreen>/</font> Jakhuñaxa qawqhasa uka yatiñatakiwa, mayata mayata kuna yänakasa, uywanakasa, jaqinakasa tumpthapiñawa. <font color=blue>// Qawqha qarwa qallusa utji, jakht'antati. </font>
jakhuña	<font color=ForestGreen>ar.</font> <font color=ForestGreen>/</font> Awkiru taykaru jani jachayaña, jani ukaxa mä qhipha urunaxa juk'ampi aynacht'añïri. Ukaxa jichha qhipha maranakanxa jank'akiwa jakhuqatäxi. <font color=blue>// Awkiru taykarusa janiwa aynisiñäkiti.</font>
jakhu	<font color=ForestGreen>st.</font> <font color=ForestGreen>/</font> Mä kuna jani wali luriri jaqixa juchapa jakhuñapa, mutuña sapxarakiwa. <font color=blue>// Sisku jaqiruxa k'arisitapata juchapa jakhuyapxatayna. <font color=purple>[Am.: Chinu]</font></font>
jakhuqaña	<font color=ForestGreen>ar.</font> Yaqha iraqaña. <font color=ForestGreen>/</font> Kuna jakt'atatsa mä qawqha jakhusa apaqañawa. Taqpacha mä chikatasa kuna alañataki jakhuqasa yaqha iraqañawa. Waka aljata qullqitxa, siwara alañataki jakhuqaña. <font color=purple>[Am.: Apaqaña]</font>
jak'a	<font color=ForestGreen>am.</font> Jak'a aruxa chiqawja yatiyaña aruwa. <font color=ForestGreen>/</font> Pachasa, kuna yäsa, chiqawjasa jak'ankiti jayankicha uka yatiya aruwa. <font color=blue>// Utajaxa, utasaxa janiwa jayankiti jak'ankakiwa. Chuq'i sata pachaxa jak'ankxakiwa. <font color=purple>[Aa.: Jaya]</font></font>
jak'aña	<font color=ForestGreen>st.</font> Sawu jiksuña lawa. <font color=ForestGreen>/</font> Jak'añaxa sawu jiksuña juch'usa lawa khithutawa. <font color=blue>// Sawuri mamaxa awayu jak'aña sawu lawa p'akjatayna. </font>
