acjjz	<font color=green>ESP:</font> arrear\n<font color=blue>AYM:</font> anaña, anakiña\n<font color=orange>ENG:</font> to herd
llaquiz	<font color=green>ESP:</font> tener pena, preocuparse\n<font color=blue>AYM:</font> llakisiña\n<font color=orange>ENG:</font> to suffer, to worry
llatunca	<font color=green>ESP:</font> nueve\n<font color=blue>AYM:</font> llatunka\n<font color=orange>ENG:</font> nine
llatuncani	<font color=green>ESP:</font> diecinueve\n<font color=blue>AYM:</font> llatunkani\n<font color=orange>ENG:</font> nineteen
llawi	<font color=green>ESP:</font> llave\n<font color=blue>AYM:</font> llawi\n<font color=orange>ENG:</font> key
llawkz	<font color=green>ESP:</font> patear (animales)\n<font color=blue>AYM:</font> takintaña\n<font color=orange>ENG:</font> to kick (animals)
llawsa	<font color=green>ESP:</font> saliva\n<font color=blue>AYM:</font> llawsa, thusunqaña\n<font color=orange>ENG:</font> saliva
llijñi	<font color=green>ESP:</font> brillante\n<font color=blue>AYM:</font> k'ajir qhuyala, lliju\n<font color=orange>ENG:</font> brilliant, bright, shiny
llijpji	<font color=green>ESP:</font> piel gruesa del cuello (camélidos)\n<font color=blue>AYM:</font> kunka lip'ichi\n<font color=orange>ENG:</font> thick skin of the neck (cameloids)
llilli	<font color=green>ESP:</font> infección en la piel de bebés\n<font color=blue>AYM:</font> llilli\n<font color=orange>ENG:</font> infection of babies' skin
llillz	<font color=green>ESP:</font> infectarse la piel de bebés\n<font color=blue>AYM:</font> llillisiña\n<font color=orange>ENG:</font> to become infected (babies' skin)
llipinz	<font color=green>ESP:</font> brillar\n<font color=blue>AYM:</font> k'ajaniña, qhaxalliña, llijt'aña\n<font color=orange>ENG:</font> to shine, to sparkle
lliwjlliwjñi	<font color=green>ESP:</font> relámpago\n<font color=blue>AYM:</font> llijulliju, illapa, arnaqiri\n<font color=orange>ENG:</font> lightning
llok'i	<font color=green>ESP:</font> música inarmónica\n<font color=blue>AYM:</font> ñaxu, uxu\n<font color=orange>ENG:</font> disharmonious music
llok'iz parliz̈	<font color=green>ESP:</font> todos hablando a la vez\n<font color=blue>AYM:</font> uxuña\n<font color=orange>ENG:</font> everybody talking at the same time
lluch'uta	<font color=green>ESP:</font> madeja quitada de la rueca\n<font color=blue>AYM:</font> lluch'uta\n<font color=orange>ENG:</font> skein taken off of distaff
llullu = llullulla	<font color=green>ESP:</font> recién nacido, débil\n<font color=blue>AYM:</font> llullu wawa\n<font color=orange>ENG:</font> newborn, weak
llullz	<font color=green>ESP:</font> atraer con regalos\n<font color=blue>AYM:</font> sunsajaña, munayaña, munas iyawsayaña\n<font color=orange>ENG:</font> to attract with gifts
llumpaka	<font color=green>ESP:</font> color blanco de animales/cereales\n<font color=blue>AYM:</font> llumpaqa\n<font color=orange>ENG:</font> white color of animals/cereals
llumpaka	<font color=green>ESP:</font> ceremonia de purificación\n<font color=blue>AYM:</font> llumpaqa\n<font color=orange>ENG:</font> purification ceremony
llumpakziz	<font color=green>ESP:</font> purificarse por medio de un rito\n<font color=blue>AYM:</font> llumpaqasiña\n<font color=orange>ENG:</font> to become ritually purified
llump'urz	<font color=green>ESP:</font> migar\n<font color=blue>AYM:</font> mansuña\n<font color=orange>ENG:</font> to crumble
llup'a	<font color=green>ESP:</font> plano, nivelado, llenado\n<font color=blue>AYM:</font> lluk'a, palala, phuqhtata\n<font color=orange>ENG:</font> level, even
llust'a	<font color=green>ESP:</font> resbaloso\n<font color=blue>AYM:</font> llust'a\n<font color=orange>ENG:</font> slippery
llust'iz	<font color=green>ESP:</font> resbalar\n<font color=blue>AYM:</font> llust'aña\n<font color=orange>ENG:</font> to slip
llut'a	<font color=green>ESP:</font> muy gordo\n<font color=blue>AYM:</font> llut'a\n<font color=orange>ENG:</font> very fat
maa	<font color=green>ESP:</font> madre\n<font color=blue>AYM:</font> mama\n<font color=orange>ENG:</font> mother
maas	<font color=green>ESP:</font> otra mujer a la que se llama mamá\n<font color=blue>AYM:</font> mama\n<font color=orange>ENG:</font> other woman that is called mother
maataka	<font color=green>ESP:</font> mujer\n<font color=blue>AYM:</font> warmi\n<font color=orange>ENG:</font> woman
macja	<font color=green>ESP:</font> tiempo de luna nueva\n<font color=blue>AYM:</font> phaxsi anu injatiri, ari phaxsi, machaq phaxsi\n<font color=orange>ENG:</font> period of new moon
macjatiz	<font color=green>ESP:</font> acercarse\n<font color=blue>AYM:</font> makhatiña\n<font color=orange>ENG:</font> to approach
macjatz	<font color=green>ESP:</font> acercar\n<font color=blue>AYM:</font> jak'achaña, makhataña\n<font color=orange>ENG:</font> to bring near
macjurt'iz = macjura	<font color=green>ESP:</font> dolor de músculos después de esfuerzo\n<font color=blue>AYM:</font> chakt'ata, makhurkaña, makhurata\n<font color=orange>ENG:</font> soreness of muscles after effort
mach'a	<font color=green>ESP:</font> año de crisis\n<font color=blue>AYM:</font> mach'a mara\n<font color=orange>ENG:</font> year of crisis
machura = marimachu	<font color=green>ESP:</font> estéril, infertil, persona/animal que no tiene hijos/crías\n<font color=blue>AYM:</font> machura, iwa\n<font color=orange>ENG:</font> sterile, infertile, person/animal without children/offspring
majcz	<font color=green>ESP:</font> poner adentro\n<font color=blue>AYM:</font> manqhar uchaña\n<font color=orange>ENG:</font> to put inside
majch	<font color=green>ESP:</font> hijo\n<font color=blue>AYM:</font> yuqa, wawa lluqalla\n<font color=orange>ENG:</font> son
majiñ	<font color=green>ESP:</font> de día\n<font color=blue>AYM:</font> uru\n<font color=orange>ENG:</font> during the day
majiñjapa	<font color=green>ESP:</font> h a 10h de la mañana\n<font color=blue>AYM:</font> uru inti pata\n<font color=orange>ENG:</font> to 10 o'clock in the morning
majiñta chacwa	<font color=green>ESP:</font> estrella del amanecer y del atardecer\n<font color=blue>AYM:</font> uru achachi ch'aska\n<font color=orange>ENG:</font> morning and evening star
majña	<font color=green>ESP:</font> una o dos horas antes de la entrada del sol\n<font color=blue>AYM:</font> jayp'untjaña\n<font color=orange>ENG:</font> one or two hours before sunrise
majt	<font color=green>ESP:</font> hija\n<font color=blue>AYM:</font> phucha, imill wawa\n<font color=orange>ENG:</font> daughter
majtz	<font color=green>ESP:</font> dar a luz\n<font color=blue>AYM:</font> wawachaña\n<font color=orange>ENG:</font> to give birth
majtz̈na	<font color=green>ESP:</font> encender fósforo\n<font color=blue>AYM:</font> qhissuña\n<font color=orange>ENG:</font> to strike a match
majuyla	<font color=green>ESP:</font> retoño\n<font color=blue>AYM:</font> aliqani, alsuni\n<font color=orange>ENG:</font> sprout, shoot
majuyliz	<font color=green>ESP:</font> retoñar\n<font color=blue>AYM:</font> alintaña\n<font color=orange>ENG:</font> to grow a shoot, to sprout
majz	<font color=green>ESP:</font> insistir pidiendo\n<font color=blue>AYM:</font> tirawmayji\n<font color=orange>ENG:</font> to insist in asking something
malaka	<font color=green>ESP:</font> saludo de niñas a tía\n<font color=blue>AYM:</font> tiya, mama\n<font color=orange>ENG:</font> girl's greeting to aunt
malamantaru	<font color=green>ESP:</font> irresponsable, malmandado\n<font color=blue>AYM:</font> wixru\n<font color=orange>ENG:</font> irresponsible, disobedient
malarz	<font color=green>ESP:</font> desaparecer un olor\n<font color=blue>AYM:</font> qhapjir chhaqhayaña\n<font color=orange>ENG:</font> to lose its odor
malawira	<font color=green>ESP:</font> mala vida (no vivir bien con su pareja)\n<font color=blue>AYM:</font> janwalinkaña\n<font color=orange>ENG:</font> bad life (to live poorly with partner)
malayñi = layka	<font color=green>ESP:</font> brujo/bruja, hechicero, persona que maldice\n<font color=blue>AYM:</font> layqa\n<font color=orange>ENG:</font> sorcerer, witch
maltuna	<font color=green>ESP:</font> chancho/llama de dos años\n<font color=blue>AYM:</font> maltuna\n<font color=orange>ENG:</font> two year old pig/llama
mallcu	<font color=green>ESP:</font> autoridad originaria\n<font color=blue>AYM:</font> mallku\n<font color=orange>ENG:</font> traditional authority figure
mallcu	<font color=green>ESP:</font> sitio ceremonial\n<font color=blue>AYM:</font> mallku\n<font color=orange>ENG:</font> ceremonial site
mallz	<font color=green>ESP:</font> saborear\n<font color=blue>AYM:</font> mallt'aña, mallirpayaña\n<font color=orange>ENG:</font> to taste
mamac	<font color=green>ESP:</font> agradecimiento a la madre\n<font color=blue>AYM:</font> mamä\n<font color=orange>ENG:</font> gratitude to mother
mamani	<font color=green>ESP:</font> halcón\n<font color=blue>AYM:</font> mamani\n<font color=orange>ENG:</font> hawk
mamanilla	<font color=green>ESP:</font> iris\n<font color=blue>AYM:</font> mamanilla\n<font color=orange>ENG:</font> iris
mamañica	<font color=green>ESP:</font> planta hedionda\n<font color=blue>AYM:</font> thuska thuska\n<font color=orange>ENG:</font> a plant with foul odor
mancasa	<font color=green>ESP:</font> manga\n<font color=blue>AYM:</font> mankasa\n<font color=orange>ENG:</font> sleeve
maniiz	<font color=green>ESP:</font> atar las patas delanteras\n<font color=blue>AYM:</font> manyaña\n<font color=orange>ENG:</font> to tie front feet together
mantacamachu	<font color=green>ESP:</font> responsable, que cumple mandato\n<font color=blue>AYM:</font> kamachita\n<font color=orange>ENG:</font> responsible, one who carries out an order
mantapaaz	<font color=green>ESP:</font> cumplir una orden, ayudar\n<font color=blue>AYM:</font> camach luriri, yanapt'aña\n<font color=orange>ENG:</font> to fulfill an order, to help
mantaru	<font color=green>ESP:</font> responsable, que cumple mandato\n<font color=blue>AYM:</font> jaqi\n<font color=orange>ENG:</font> responsible, who carries out an order
mantita	<font color=green>ESP:</font> mandamiento, mandado\n<font color=blue>AYM:</font> kamachita\n<font color=orange>ENG:</font> command, commanded
mantiz	<font color=green>ESP:</font> ordenar, mandar\n<font color=blue>AYM:</font> kamachiña\n<font color=orange>ENG:</font> to order, to command
manucu	<font color=green>ESP:</font> hombre (nombre antiguo)\n<font color=blue>AYM:</font> chullpa\n<font color=orange>ENG:</font> man (ancient name)
manz	<font color=green>ESP:</font> escoger\n<font color=blue>AYM:</font> jajlliña\n<font color=orange>ENG:</font> to choose
manz	<font color=green>ESP:</font> buscar pareja\n<font color=blue>AYM:</font> warmi/chacha thaqhaña\n<font color=orange>ENG:</font> to look for a spouse
mañuru	<font color=green>ESP:</font> pícaro (personas)\n<font color=blue>AYM:</font> wixru lawa\n<font color=orange>ENG:</font> wicked, sly (persons)
mañusu	<font color=green>ESP:</font> mañoso (animales)\n<font color=blue>AYM:</font> mañuru\n<font color=orange>ENG:</font> malicious, tricky (animals)
marcaturu	<font color=green>ESP:</font> cortapluma para marcar animales en la oreja\n<font color=blue>AYM:</font> kurtapluma\n<font color=orange>ENG:</font> small knife to mark animals' ears
marimachu = machura	<font color=green>ESP:</font> estéril, infertil, persona/animal que no tiene hijos/crías\n<font color=blue>AYM:</font> machura, iwa\n<font color=orange>ENG:</font> sterile, infertile, person/animal without children/offspring
mascara	<font color=green>ESP:</font> máscara\n<font color=blue>AYM:</font> kasku, maskara\n<font color=orange>ENG:</font> mask
matill	<font color=green>ESP:</font> saludo a abuela\n<font color=blue>AYM:</font> jach'a mamay\n<font color=orange>ENG:</font> greeting to grandmother
matilla	<font color=green>ESP:</font> abuela\n<font color=blue>AYM:</font> jach'amala, jach'amama\n<font color=orange>ENG:</font> grandmother
matja	<font color=green>ESP:</font> callo\n<font color=blue>AYM:</font> kalluchata\n<font color=orange>ENG:</font> corn
matjwaki	<font color=green>ESP:</font> a punto de dar a luz\n<font color=blue>AYM:</font> niya usuri, niya wawachiri\n<font color=orange>ENG:</font> ready to give birth
matñill	<font color=green>ESP:</font> saludo a abuelo\n<font color=blue>AYM:</font> tatay\n<font color=orange>ENG:</font> greeting to grandfather
matñilla	<font color=green>ESP:</font> abuelo\n<font color=blue>AYM:</font> jach'atala, jach'atata\n<font color=orange>ENG:</font> grandfather
matrina	<font color=green>ESP:</font> dolor de espalda inferior\n<font color=blue>AYM:</font> jikhin usu\n<font color=orange>ENG:</font> pain in the lower back
matsja.	<font color=green>ESP:</font> masa\n<font color=blue>AYM:</font> chaput ñatt'ata, ch'uqi t'ant'a\n<font color=orange>ENG:</font> dough
mayiziz	<font color=green>ESP:</font> orar\n<font color=blue>AYM:</font> mayisiña, mayiña\n<font color=orange>ENG:</font> to pray
mayja	<font color=green>ESP:</font> algunas (personas)\n<font color=blue>AYM:</font> mayja, qaqhijya, kawchapirinaka\n<font color=orange>ENG:</font> some (people)
mayjan	<font color=green>ESP:</font> a veces\n<font color=blue>AYM:</font> maykipaña, yaqhipjana\n<font color=orange>ENG:</font> sometimes
maymaya	<font color=green>ESP:</font> disperso\n<font color=blue>AYM:</font> may maya\n<font color=orange>ENG:</font> dispersed
maysipatu	<font color=green>ESP:</font> desobediente\n<font color=blue>AYM:</font> wixru, jani iyaw siri, jankasuri\n<font color=orange>ENG:</font> disobedient
mayt'az	<font color=green>ESP:</font> orar de rodillas\n<font color=blue>AYM:</font> mayt'asiña\n<font color=orange>ENG:</font> to pray on one's knees
mayt'iz	<font color=green>ESP:</font> orar para otro, interceder\n<font color=blue>AYM:</font> mayt'aña\n<font color=orange>ENG:</font> to pray for another, to intercede
mayz	<font color=green>ESP:</font> pedir\n<font color=blue>AYM:</font> mayiña\n<font color=orange>ENG:</font> to ask for
mayz̈u	<font color=green>ESP:</font> tono de baile antiguo tocado con zampoña pequeña\n<font color=blue>AYM:</font> layra wayli\n<font color=orange>ENG:</font> old dance tune played on small pan pipes
maz	<font color=green>ESP:</font> avisar\n<font color=blue>AYM:</font> yatiyaña\n<font color=orange>ENG:</font> to warn, to tell
maz	<font color=green>ESP:</font> piedra\n<font color=blue>AYM:</font> qala\n<font color=orange>ENG:</font> stone
maz kaka	<font color=green>ESP:</font> cueva\n<font color=blue>AYM:</font> qaqa\n<font color=orange>ENG:</font> cave
mazi	<font color=green>ESP:</font> congénere\n<font color=blue>AYM:</font> masi\n<font color=orange>ENG:</font> fellow, from the same group
mazincha	<font color=green>ESP:</font> colocar algo dentro de ira (vestido de hombre) o urcju (vestido de mujer)\n<font color=blue>AYM:</font> imaña\n<font color=orange>ENG:</font> to put something in man's dress or woman's dress
mazk'a	<font color=green>ESP:</font> dulce\n<font color=blue>AYM:</font> misk'i, musq'a\n<font color=orange>ENG:</font> sweet, candy
mazta	<font color=green>ESP:</font> avisado\n<font color=blue>AYM:</font> parlata\n<font color=orange>ENG:</font> warned
mazu	<font color=green>ESP:</font> palo grande\n<font color=blue>AYM:</font> k'ullu\n<font color=orange>ENG:</font> large pole
maz̈a	<font color=green>ESP:</font> costal\n<font color=blue>AYM:</font> kustala\n<font color=orange>ENG:</font> sack
mertuma	<font color=green>ESP:</font> mayordomo\n<font color=blue>AYM:</font> mayur tumu\n<font color=orange>ENG:</font> majordomo
micha	<font color=green>ESP:</font> vela, lámpara\n<font color=blue>AYM:</font> micha, ispiluma\n<font color=orange>ENG:</font> candle, lamp
michi	<font color=green>ESP:</font> piedra de boleadoras\n<font color=blue>AYM:</font> qala liwi\n<font color=orange>ENG:</font> bolas stone
milli = millji	<font color=green>ESP:</font> herida en los labios/en la boca\n<font color=blue>AYM:</font> phispi phallarata, millji\n<font color=orange>ENG:</font> sore on lips/inside mouth
millk'u	<font color=green>ESP:</font> torcido\n<font color=blue>AYM:</font> millk'u\n<font color=orange>ENG:</font> crooked, bent
millu	<font color=green>ESP:</font> mineral de color beige\n<font color=blue>AYM:</font> millu\n<font color=orange>ENG:</font> beige mineral
min q'uiz	<font color=green>ESP:</font> contratar\n<font color=blue>AYM:</font> mink'aña\n<font color=orange>ENG:</font> to hire
mincallu	<font color=green>ESP:</font> mitad de urcju (traje de mujer)\n<font color=blue>AYM:</font> chikat urkhu\n<font color=orange>ENG:</font> half of woman's dress
miranz	<font color=green>ESP:</font> terminar\n<font color=blue>AYM:</font> tukuña\n<font color=orange>ENG:</font> to finish
mirawaña	<font color=green>ESP:</font> que tiene muchos hijos/que da mucha cría\n<font color=blue>AYM:</font> mira kasta\n<font color=orange>ENG:</font> person with a lot of children/animal with a lot of offspring
mircja	<font color=green>ESP:</font> manchas oscuras en cara de mujer embarazada\n<font color=blue>AYM:</font> mirkha\n<font color=orange>ENG:</font> dark blemishes on face of pregnant women
miria wara	<font color=green>ESP:</font> medida del codo a la punta del dedo\n<font color=blue>AYM:</font> mirya wara\n<font color=orange>ENG:</font> measurement from elbow to fingertip
miriasa	<font color=green>ESP:</font> medias\n<font color=blue>AYM:</font> miryasa\n<font color=orange>ENG:</font> socks
mirz	<font color=green>ESP:</font> terminar\n<font color=blue>AYM:</font> tukuña\n<font color=orange>ENG:</font> to finish
mirz	<font color=green>ESP:</font> multiplicar\n<font color=blue>AYM:</font> miräña\n<font color=orange>ENG:</font> to multiply
misq'ui	<font color=green>ESP:</font> miel\n<font color=blue>AYM:</font> misk'i\n<font color=orange>ENG:</font> honey
misq'ui	<font color=green>ESP:</font> resina dulce\n<font color=blue>AYM:</font> misk'i\n<font color=orange>ENG:</font> sweet resin
mita	<font color=green>ESP:</font> orgulloso\n<font color=blue>AYM:</font> jila jila, p'iqi wayt'ata\n<font color=orange>ENG:</font> proud
mitiz	<font color=green>ESP:</font> interrumpir, meterse\n<font color=blue>AYM:</font> qhinqhuyaña\n<font color=orange>ENG:</font> to interrupt, to intervene
miza	<font color=green>ESP:</font> mesa\n<font color=blue>AYM:</font> misa\n<font color=orange>ENG:</font> table
mizi	<font color=green>ESP:</font> gato\n<font color=blue>AYM:</font> misi\n<font color=orange>ENG:</font> cat
mizirara	<font color=green>ESP:</font> que levanta cosas sin permiso\n<font color=blue>AYM:</font> lusu\n<font color=orange>ENG:</font> person who takes things without asking
miz̈	<font color=green>ESP:</font> doler\n<font color=blue>AYM:</font> usuña, t'ajaña\n<font color=orange>ENG:</font> to ache, to hurt
mojkchi	<font color=green>ESP:</font> podrido\n<font color=blue>AYM:</font> ñusantata, thuskhantata, muxch'intata\n<font color=orange>ENG:</font> rotten
mojkkatz	<font color=green>ESP:</font> hacer pudrir\n<font color=blue>AYM:</font> muxch'iyaña, ñusayaña\n<font color=orange>ENG:</font> to make to rot
mojkz	<font color=green>ESP:</font> pudrir\n<font color=blue>AYM:</font> ñusaña\n<font color=orange>ENG:</font> to rot
moko	<font color=green>ESP:</font> puño\n<font color=blue>AYM:</font> muqu\n<font color=orange>ENG:</font> fist
moko	<font color=green>ESP:</font> nudo de las extremidades (codo, rodilla...) del cuerpo\n<font color=blue>AYM:</font> muqu\n<font color=orange>ENG:</font> knot of the extremities (elbow, knee...) of the body
mok'o	<font color=green>ESP:</font> odio, envidia\n<font color=blue>AYM:</font> iñisisiña, t'uru\n<font color=orange>ENG:</font> hatred, envy
mokomoko	<font color=green>ESP:</font> áspero\n<font color=blue>AYM:</font> khankha, muqu muqu\n<font color=orange>ENG:</font> rough
mokomoko	<font color=green>ESP:</font> terreno accidentado\n<font color=blue>AYM:</font> t'uqu t'uqu, chhakha chhankha\n<font color=orange>ENG:</font> rough, uneven land
mokurata	<font color=green>ESP:</font> mal trenzado, con nudos\n<font color=blue>AYM:</font> khankha, muqurata, llawqhak'anata\n<font color=orange>ENG:</font> poorly braided, with knots
mokz	<font color=green>ESP:</font> amarrar\n<font color=blue>AYM:</font> yapintaña, chinuña\n<font color=orange>ENG:</font> to tie, to fasten
mollarjatz	<font color=green>ESP:</font> rodear para agarrar de cerca\n<font color=blue>AYM:</font> rutiyt'aña, muyt'aña\n<font color=orange>ENG:</font> to surround to catch
mora	<font color=green>ESP:</font> en medio de\n<font color=blue>AYM:</font> taypina\n<font color=orange>ENG:</font> in the middle of
moratu	<font color=green>ESP:</font> morado\n<font color=blue>AYM:</font> siljiruna, sajuna\n<font color=orange>ENG:</font> purple
mork'o	<font color=green>ESP:</font> usado\n<font color=blue>AYM:</font> murqurata\n<font color=orange>ENG:</font> used
morok'o	<font color=green>ESP:</font> objeto redondo, piedra redonda para moler\n<font color=blue>AYM:</font> muruq'u\n<font color=orange>ENG:</font> round object, round stone for grinding
mosk'ullu	<font color=green>ESP:</font> grumos\n<font color=blue>AYM:</font> qulu qulu\n<font color=orange>ENG:</font> lumps (of flour in soup)
muc'una	<font color=green>ESP:</font> pan de quinua\n<font color=blue>AYM:</font> muk'una\n<font color=orange>ENG:</font> bread made of quinua
mucz	<font color=green>ESP:</font> masticar para hacer chicha\n<font color=blue>AYM:</font> muk'uña\n<font color=orange>ENG:</font> to chew to make chicha (corn beer)
muchasñi	<font color=green>ESP:</font> topetar\n<font color=blue>AYM:</font> waxrtapiña\n<font color=orange>ENG:</font> to butt
muchji	<font color=green>ESP:</font> espinilla\n<font color=blue>AYM:</font> muchi\n<font color=orange>ENG:</font> blackhead
muchñi	<font color=green>ESP:</font> cabecear (fútbol)\n<font color=blue>AYM:</font> p'iqint jaquña\n<font color=orange>ENG:</font> to head a ball (soccer, football)
mujcz	<font color=green>ESP:</font> oler\n<font color=blue>AYM:</font> mukhiña\n<font color=orange>ENG:</font> to smell
mujtiz	<font color=green>ESP:</font> carne pudrida\n<font color=blue>AYM:</font> thuskaña, mukht'aña\n<font color=orange>ENG:</font> rotten meat
muju	<font color=green>ESP:</font> semilla\n<font color=blue>AYM:</font> muju\n<font color=orange>ENG:</font> seed
mujuna	<font color=green>ESP:</font> mojón\n<font color=blue>AYM:</font> mujuna\n<font color=orange>ENG:</font> boundary marker
mulat'una = mulut'una	<font color=green>ESP:</font> soga trenzada de cuatro hilos\n<font color=blue>AYM:</font> wiskha\n<font color=orange>ENG:</font> rope of four threads
multi	<font color=green>ESP:</font> molde\n<font color=blue>AYM:</font> tika, multi\n<font color=orange>ENG:</font> mold
mulut'una = mulat'una	<font color=green>ESP:</font> soga trenzada de cuatro hilos\n<font color=blue>AYM:</font> wiskha\n<font color=orange>ENG:</font> rope of four threads
mullich'i	<font color=green>ESP:</font> combinación de dos colores de llama (blanco y beige)\n<font color=blue>AYM:</font> milluta\n<font color=orange>ENG:</font> combination of two colors on llama (white and beige)
munti	<font color=green>ESP:</font> árbol\n<font color=blue>AYM:</font> quqa\n<font color=orange>ENG:</font> tree
muntiz	<font color=green>ESP:</font> pelar\n<font color=blue>AYM:</font> nuwasiña\n<font color=orange>ENG:</font> to peel
munupaaz	<font color=green>ESP:</font> embromar\n<font color=blue>AYM:</font> k'usqhayaña, sawkasiña\n<font color=orange>ENG:</font> to make fun of
munz	<font color=green>ESP:</font> querer, desear\n<font color=blue>AYM:</font> munaña\n<font color=orange>ENG:</font> to want
muricha	<font color=green>ESP:</font> maíz duro de color amarillo\n<font color=blue>AYM:</font> q'illu tunqu\n<font color=orange>ENG:</font> hard yellow corn
murmurzi	<font color=green>ESP:</font> huella\n<font color=blue>AYM:</font> sarnaqata\n<font color=orange>ENG:</font> footprint, track
murmurzi	<font color=green>ESP:</font> fango\n<font color=blue>AYM:</font> ñiqi\n<font color=orange>ENG:</font> mud, mire
muru	<font color=green>ESP:</font> oreja pequeña\n<font color=blue>AYM:</font> muru\n<font color=orange>ENG:</font> small ear
muru	<font color=green>ESP:</font> cortado (pelo, planta)\n<font color=blue>AYM:</font> muru\n<font color=orange>ENG:</font> cut (hair, plant)
muru	<font color=green>ESP:</font> sin cubrirse la cabeza\n<font color=blue>AYM:</font> muru\n<font color=orange>ENG:</font> uncovered head
muru	<font color=green>ESP:</font> sin mango/asa\n<font color=blue>AYM:</font> muru\n<font color=orange>ENG:</font> without handle
murumuru	<font color=green>ESP:</font> moteado/cortado irregularmente\n<font color=blue>AYM:</font> muru muru\n<font color=orange>ENG:</font> irregularly cut
muruta	<font color=green>ESP:</font> casa sin techo, casa abandonada\n<font color=blue>AYM:</font> murüta, jurüta\n<font color=orange>ENG:</font> roofless house, abandoned house
murz	<font color=green>ESP:</font> cortar\n<font color=blue>AYM:</font> mururaña, khuchuqaña\n<font color=orange>ENG:</font> to cut
mus = muz	<font color=green>ESP:</font> mirar/escuchar secretamente, espiar\n<font color=blue>AYM:</font> inch'ukiña, iñakipaña, jamasat ist'aña\n<font color=orange>ENG:</font> to eavesdrop, to spy
musca	<font color=green>ESP:</font> mosca\n<font color=blue>AYM:</font> chhichhillinka\n<font color=orange>ENG:</font> fly
muspa	<font color=green>ESP:</font> muchos\n<font color=blue>AYM:</font> muspa, walja, sinti\n<font color=orange>ENG:</font> a lot of, many
musparatz	<font color=green>ESP:</font> estar confundido\n<font color=blue>AYM:</font> musparaña\n<font color=orange>ENG:</font> to be confused
mutju	<font color=green>ESP:</font> desafilado, sin punto\n<font color=blue>AYM:</font> mut'u\n<font color=orange>ENG:</font> dull, blunt
mut'unca	<font color=green>ESP:</font> capullo de flor\n<font color=blue>AYM:</font> mut'unqa\n<font color=orange>ENG:</font> flower bud
mutuni	<font color=green>ESP:</font> preguntar algo que ya se sabe\n<font color=blue>AYM:</font> mutuni, yatir injatata\n<font color=orange>ENG:</font> to ask something you already know
mutuni	<font color=green>ESP:</font> encubrir su culpa preguntando\n<font color=blue>AYM:</font> imantaña\n<font color=orange>ENG:</font> to conceal one's guilt by asking
mutuni peweczic̈ha	<font color=green>ESP:</font> tantear\n<font color=blue>AYM:</font> tantiyaña\n<font color=orange>ENG:</font> to test, to consider
mutz	<font color=green>ESP:</font> ser castigado\n<font color=blue>AYM:</font> kastiyata\n<font color=orange>ENG:</font> to be punished
mutz	<font color=green>ESP:</font> sufrir\n<font color=blue>AYM:</font> t'aqisiña, mutuña\n<font color=orange>ENG:</font> to suffer
mutz	<font color=green>ESP:</font> acurrucarse\n<font color=blue>AYM:</font> jipjatata\n<font color=orange>ENG:</font> to crouch
mutz̈	<font color=green>ESP:</font> topetar\n<font color=blue>AYM:</font> waxraña\n<font color=orange>ENG:</font> to bump
muya	<font color=green>ESP:</font> corral de pasto\n<font color=blue>AYM:</font> muya, qura\n<font color=orange>ENG:</font> corral with feed, pasture
muyacama	<font color=green>ESP:</font> cuidador de chacras\n<font color=blue>AYM:</font> muya kamachita\n<font color=orange>ENG:</font> person who guards the fields
muyta	<font color=green>ESP:</font> dar vuelta\n<font color=blue>AYM:</font> muytaña\n<font color=orange>ENG:</font> to go around
muytata	<font color=green>ESP:</font> alrededor de\n<font color=blue>AYM:</font> muyt'ata\n<font color=orange>ENG:</font> around
muyt'iz	<font color=green>ESP:</font> juntar el ganado\n<font color=blue>AYM:</font> muythapiña, muyt'aña\n<font color=orange>ENG:</font> to herd together cattle
muyu	<font color=green>ESP:</font> camino serpenteado\n<font color=blue>AYM:</font> muyu muyu, llink'u llink'u\n<font color=orange>ENG:</font> windy/curvy road
muyumuyu	<font color=green>ESP:</font> mareado\n<font color=blue>AYM:</font> muyu muyu\n<font color=orange>ENG:</font> dizzy
muyumuyu	<font color=green>ESP:</font> dar vueltas (enfermedad parasitaria)\n<font color=blue>AYM:</font> muyu muyu\n<font color=orange>ENG:</font> going around in circles (parasitic disease)
muyuntiz	<font color=green>ESP:</font> rodear para agarrar animales\n<font color=blue>AYM:</font> muyuntaña\n<font color=orange>ENG:</font> to surround animals to catch them
muyuzu	<font color=green>ESP:</font> enfermedad parasitaria\n<font color=blue>AYM:</font> muyüsu\n<font color=orange>ENG:</font> parasitic disease
muz = mus	<font color=green>ESP:</font> mirar/escuchar secretamente, espiar\n<font color=blue>AYM:</font> inch'ukiña, iñakipaña, jamasat ist'aña\n<font color=orange>ENG:</font> to eavesdrop, to spy
naa	<font color=green>ESP:</font> ella\n<font color=blue>AYM:</font> jupa\n<font color=orange>ENG:</font> she
naalta = naaz̈a	<font color=green>ESP:</font> de ella, para ella\n<font color=blue>AYM:</font> jupata, jupataki\n<font color=orange>ENG:</font> hers, for her
naanacalta	<font color=green>ESP:</font> de ellas, para ellas, entre ellas\n<font color=blue>AYM:</font> jupanakataki, jupanakata\n<font color=orange>ENG:</font> theirs, for them, among them (f.)
naasti	<font color=green>ESP:</font> esa\n<font color=blue>AYM:</font> uka\n<font color=orange>ENG:</font> that
