abadesa	Aware:sa.
hamaca	Se:le.
hambre	Maw'i.
hambruna	Maw'iwa:wa.
harapiento	Ralba'ojeł.
harina	Vabaskwa.
harina de chive	Mo'incho:vas.
harina de maíz tostado	Du'cham.
hasta ahí	Ka'de'a.
hasta el tronco	Ya:bajel.
hasta luego	Joyda'.
hay agua	Tomina:kwa.
hazme un favor	Juma'pojdo'.
hechizar a alguien	Ukwanna.
hecho el malo	Dońkatotołni.
hediondo	Beyesni.
hediondo	Pu:sa.
hembra parida	Tami:poy.
herboso	Duyuḿmoł.
herencia psicológica	Jalo:maj.
herido	Daylo:va.
hermana	Alkwe:ya.
hermana mayor	Ke'e.
hermanita	(en saludo) Ke'chita.
hermano(a) mayor	A:kay.
hermano(a) menor	A:na.
hermano de mentira	A:nana'ni.
hermano mayor	(saludo de respeto) Ope'.
hermoso	Ja:yaw.
herramienta	Rimni:wa.
herramientas	Tijkaka:ra.
hervir	Łoko:koń.
hetore	Polababachiya:pa.
hiel	Dońsese:wa.
hieloso	Jiliwni.
hígado	Sondo.
hijo(a)	Majni.
hilar	Davulna.
hilar	Javu'na.
hilo	Bujdi.
hilvanado	Do'ka:łe.
hilvanarlo	Do'kałe:na.
hincharse	Wotosni.
hocico	Chuskwa.
hoja de motacú	Chujańmuń.
hoja de palmera	Mumuńkwa.
hoja de un árbol	Lorankwa.
hombre	Itila:kwa.
hombro	Do'la:la.
homosexual	Paluyres.
hondo profundo	Ku:si.
hongo	Woloto:to.
honrado	Wa:yes.
hora	O:ra.
horadar	Tokacho:ra.
horadar algo con el dedo	Juyna.
horcón	Cha'ła.
horizonte	Jela:ba.
hormiga	Chi:jeł.
hormiga brava	Chonjeł.
hormiga cazadora	Chikaba:ba.
hormiga chotota	Dichiyenjeł.
hormiga chotota	Tu:we.
hormiga culilarga	Mamipanjeł.
hormiga de ambaibo	Wo'wojeł.
hormiga de palo diablo	Rumlo:jeł.
hormiga grande	Powjeł.
hormiga hedionda	Pusa:jeł.
hormiga loca	Jayka'asnapanjeł.
hormiga loca	Sabaycho:jeł.
hormiga orebaré	Wusayjeł.
hormiguero	Chuya:ła.
hormiguero	Ikamba.
hoy	Kwey.
hoyar	(por ejemplo en el chaco) Chaka:cho.
huaracachi	Wada:ka.
huasca	Wa:ka:di.
huatoco	Tedo:woj.
hueco	Woscho.
huella	Barinwaj.
huérfano	Bata:yaj.
hueso	Nun'i.
hueso de humano	Juyeni:nun.
huevo	Jołkwa.
huevo de gallina	Matawarenjoł.
huevo de gaviota	Letosjoł.
huevo de la golondrina	Chikilo:joł.
huevo de loro	Awaro:joł.
huevo del serere	Chamba:joł.
huevo de mosca	Dumuychi:ya.
huevo de pescado	Bilawjoł.
huevo de peta	Sono:ba.
huevo quebrado	Baychojoł.
huevos de lagarto	Karamjoł.
huevos del piojo	De:kwes.
huevos de toro de ganado	Lotodinkwa.
huir dos personas	Jayi:łe.
huirse	Desayni.
humear algo	Chumayna.
humo	Bujru.
hundimiento de la tierra	Yańsi:łe.
hundirse	Ya:ba:kwa.
hundirse en el barro o el fango	Jolobuteł.
hurgar	Chu:na.
hurgar con un palo	(por ejemplo una fruta para que caiga) Chu'na.
huso	Javu'chonawanra.
idioma	Iwaniwansi.
idioma	Iwansi.
idioma nativo	Chonsineł.
iglesia	Ele:siya.
igual que otra persona	Jenni:kwa.
Ilcha	(apellido) Ilcha.
imagen	Lava:bał.
imagen	Lava:bał.
imitar	Ijikapa:na.
imitarlo	Impa:na.
imitar una acción	Ijikapane:łe.
incluyendo el oyente	I:de.
indica que la acción no a realizado todavía	Dis.
indicar la modalidad	Vatolo:wes.
indígena	Alle.
infierno	Chocho:łim.
inflado	Javułcho.
inflamarse	Wotosni.
inflar algo	Javułcho:na.
ingibre	Vusu'dul.
ingiere	Wusu'duł.
iniciar	Nayalo:wes.
inició algo	Nawaja'.
inmediatamente	Loyka.
inmediatamente	Ya'łe.
inmediatamente	Ya'łeka.
insecto como el mosquito de color blanco	Rokoroko.
insignificante	Kila'moka.
insistir	Alka:va.
insistir	Batejni.
insistir	Bo'tej.
insistir en tener algo	Dińbaychovałna.
instrumento para trabajar	Tijkarimwanra.
insultar a alguien	Donna.
intercambiar	Bawpa:na.
interior	To:ro'.
interior de un tejido	Chodo:wi.
inundado	Ya:loł.
inventar	Vańna.
invitar a alguien a hacer algo	Loyełe:na.
ir a	Loy.
ir a la abra	Ba'mayasna.
ir a la punta	Churo:na.
ir al baño	Tori:na.
ir al monte	Chaḿmo:na.
ir al otro lado	Aldi:na.
ir al pueblo	Lolosna.
ir a pescar pacú	Noto:ti'.
ir a un entierro	Wulakochaye.
ir a un pueblo	Jo:be.
ir dando vueltas	Polkaba:ba.
ir directo	Chonlo.
ir en ancas	Amcho:łe.
ir escogiendo	Jote:łe.
ir por arena	Wi'wisti'.
ir por barro	Bubuńkwanti'.
ir por gualusa	Butułti'.
ir por jarca	Chaladiti'.
ir por leña	Ko'o:ti'.
irse	Joycheł.
irse	Nandu'.
irse inmediatamente	Joykał.
irse lejos	Kilajni.
ir tras de alguien	Kweye:łe.
isla de monte	Payłim.
jabón	Ja:wo.
jachi	Mova:kwa.
jacuú	Se:kem.
jajo	Dinła.
jalar	Łowa:piń.
jalar algo	Łowna.
jalar algo de donde casi no se nota	Kosna.
jane	Chapunkwa.
japutamo	Dommo.
jarajorechi	Tululu:si.
jarca	(árbol) Chala:di.
jarcal	Chaladimmo.
jasayé	Sandinłewmo.
jasayé pequeño	Bovemo:ba.
jase	Suḿsuḿpi.
jausi	Po'ros.
jeta	Dosła.
jipurí	Dulwe:kwa.
jocal	Rarismo.
jochi colorado	Punsi.
jochi pintado	Lume'.
joco	Wa:ris.
jopo	Burankwi.
joven	Oveniwankwa.
jueves	We:wes.
jugar	Kuyna:na'.
jugo	Lolołkwa.
jugo de naranja	Narasa:lo.
jugo de piña	Mayuse:mi.
juguete	Ji:sa.
juguete	Ji:sawanrani.
juicio final	Ba:kalomajwa:nas.
juntar	Ińna.
juntar el fuego	Ita:ba.
juntar el fuego	Naylese:łe.
juntarse	Alu'cheł.
juntos en el río	Albijraneł.
la	Isnos.
la	(presente) I'nes.
labio	Dosła.
labrar	Wara:day.
labrar madera	Dasachocha:vos.
la carne de un humano o un animal	Chapunkwa.
lado derecho	Cho:ni.
lado opuesto	Aldi.
ladrillo	Lari:ya.
ladrón	Tolkarana:pa.
lagartija chupacoto	Siko:ya.
lagarto	Ka:ram.
lago misterioso que se dice era una ciudad	Wawanlo.
lagrimas	Ji:wanlo.
laguna	Bijra.
laguna	Powlo.
laguna del tajibo	Tawułmo:lo.
laguna o de una calle	Aldi.
la llegada	Na:va.
la materia que se encuentra debajo de la cascara de una fruta	Chapunkwa.
lamer algo	Doyna.
lanudo	Chamu:yas.
la papde la planta	Babakwakwa'a.
la parte blanda de la cabeza de un bebé	Jasłabakwanina.
la parte recta después de una curva	Kurakapojsi.
largar	Nana:ra.
largo	Ku:lowes.
largo	Ku:ra.
largo y delgado	Ku:piń.
lastimado	Daylo:va.
lastimado	Le:ra.
lastimar o herir a alguien	Daylova:na.
la tela	Lavińkwa.
la tela	Lavińkwa.
lavar algo	Lojna.
lavar platos	Lojacha:do.
lavar ropa	Loja:'oj.
lavarse la cabeza	Lojba:kwa.
lavarse las manos	Lojcho:pa.
lavarse los pies	Lojba:ri.
lavar utensilios	Lojka:rim.
leche	Nonlo.
lechuza	Suwuwunta.
leer	Lewa:beń.
le hago chupar teta	Nonna.
lejía	Rońlo.
lejos	Jeywaj.
lejos	Ki'laj.
lengua	Iwaniwansi.
lengua	(separada del cuerpo) Rułkwa.
lengua	Rul'i.
lengua de panza	Bosi'.
lenguaje	Iwaniwansi.
lenguaje	Iwansi.
lentes	Antipa:ra.
lento	Ji:bal.
leña	Ko'o.
leña del caricari	Kotitinra.
león	Donto:kwa.
leque	(ave) Tayla'a.
letrina	Momowandi.
levantado	De'łe.
levantar de dormir	Pota:mo.
levantarse de dormir	Pońmo.
levantarse de madrugada	Łuvu:ye.
levantar un objeto pesado	Pe'na.
liar algo	Jaḿna.
liar algo	Pilna.
liarlo	Pila:cho.
liendre	De:kwes.
ligero	Po:ra.
ligero	So:riń.
Limaíca	(apellido) Limayka.
limarse los dientes	Tajłacheł.
limón	Li:mo.
limonada	Limo:mi.
limpiar con trapo	Nisna.
limpio	Bancho.
limpio	Kolojni.
limpio	Ko'loj.
lindo	Ma'nes.
linterna	Jelełwamba.
liña	Davuldi.
liquido guardado	Meme:lo.
liso	Ti:łoy.
lista la parrilla	Loycho.
liviano	Sa:doy.
llamar a alguien	Jaya:moł.
llamar a personas	Jayamołcha:ye.
llanura extensa	Beń'i.
llegar	Jo'yaj.
llegar al destino	Ya:pa:na.
llegar a saber	Bispa:ni.
llegar a su pueblo de origen	Di:rał.
llegar con algo al pueblo	Dirałe:na.
llegar tarde	Ya'ko.
llenar algo con agua	Dola:mi.
llenar algo con algo	Dola:ra.
llenar completamente	Pelna.
llenarse con agua	Jidammi:na.
lleno	Sińcho:cho.
lleno de tierra	Nuyvuseł.
llevado por el viento	Kavujłe.
llevar a cabo una actividad	Bisa:pa.
llevar consigo algo o a alguien	Joya:łe.
llevarlo lejos	Kilajna.
llorar	Ji:yi.
llorar agrito	Waraylos.
llorón	Jiwamba.
llorona	Jiwamba.
llover	Lu'ti'.
llovizna	Ridisti'.
lloviznar	Vubujti'.
lluvia	Lu'lu'.
lluvia torrencial	Yełamimilu'.
lobo	Ku:le.
locro	Lo:kwa.
locura	Sabaychowa:nas.
lo extraño	Dayimkay.
loma	Dudu'kwa.
loma donde hay altos palitos	Koridimba.
lombriz intestinal	Pi:wa.
londra	Ja'lala.
lo que no es el cielo	Ya'lo.
lo que no se ve	Chodo:wi.
lo que queda del maíz	Voboskwa.
lo que uno tiene que hacer	Kemlo:maj.
lorito cotorrita	Sikwi:li.
loro	Awaro.
loro come arroz	Chi:tań.
loro medio verde	Tori:ka.
loro pequeño	Awaro:di.
los	Isos.
lucero de la noche	Imayniwandi.
lucha cuerpo a cuerpo	Jamba.
Lucú	(apellido) Luku'.
lúcumo	(árbol) Ti:chol.
lugar de reunión	Ińlobawa:nas.
lugar donde está parado	Enna.
lugar donde se colocan utensilios	Bańkarinwanra:ni.
lugar donde se come	Kayna.
lugar donde se encontró	Manaye:na.
lugar donde uno asienta	Penna.
lugares marginales	To:ri.
luna	Yejcho.
luna nueva	Polayejcho.
lunes	Lu:nes.
machete	Pitełkwi.
machete	Sawi:pa.
machete pequeño	Sawipanto.
machinarse	Vanuyni.
machucar	Nika:ba.
madera	Ko'o.
madera	Todankwa.
madera de ambaibo	Wo'wovos.
madera o hueso	Kojamutelwambes.
madre	Ma'a.
madre de familia	Ma'wawankwa.
madrugada	Łu:vuy.
madrugar	Łuvu:ye.
madurar	Bewni.
magulladura	Dijoyni.
Maileva	(apellido) Mayle:wa.
maíz	Kwajta'.
maizal	Kwajta'mo.
maíz en grano	Kwajta'di.
maíz tierno	Dochi'ta'.
majlo	Voboskwa.
mal acostumbrado	Oncho:ni.
Malale	(apellido) Mala:le.
mal colocado	Jeyra.
mal del estomago	Cho'eskakaye.
mal del estomago	Dońreskwa:ni.
malgastar	Ba:kalomajna.
mal hecho	Jeylo:wes.
mallugado	Sibo'ni.
malo	Dońtoł.
malquerer a una persona	Dona:ye.
malquererse	Jarachijni.
mal sueño	Rujsi:kwa.
mal tiempo	Ruja:jas.
maltratar a alguien	Jańna.
Malue	(apellido) Malu:we.
mamuri	Tono:ko.
manchar algo	Achichi:na.
manchar algo con resina	Jemalo:si.
mancornar	Waya:łe.
mandato	Kemlo:maj.
mandíbula	Kwinto:nun.
manea	Supa:ba.
manga	(fruto) Manka.
manga caballo	Kawayo:ba.
mango	Banełkwa.
mango o cabo del hacha	Layłapiteł.
mango o cabo del hacha	Layłapiteł.
manguarí	Wayape:ra.
maní	Chi'chi.
mano	Cho:pa.
mano derecha	Cho:ni.
mano de tatú	Barinkwa.
mano izquierda	Jo:li.
manteca	Meskwa.
manzanilla	Lochiwamba.
mapajo	Wa:se:na.
maquina fotográfica	Chipojlababałkwanra:ni.
marchito	Dovayni.
mareo	Samayra.
marigui	Chichi'ła.
marimono	Pato:re.
mariposa	Deltoveń.
mariposa nocturna	Su:ba.
martes	Ma:retes.
martín pescador	(ave) Cha:da.
masa	Bubuńkwa.
masa de chive	Mo'incho:buń.
masajear	Romna.
masajear algo	Romkacho:na.
masajear a personas	Birińcha:ye.
mascara de torito	Mosi:kwa.
mascar algo para saborearlo y escupirlo después	Lela:ba.
más grave que lo esperado	Kwajlo:maj.
más o menos	Me:kaka.
más peor	Kwajlo:maj.
más tarde	Nokowa.
masticar	Eła:di.
masticar algo	Danna.
más todavía	Ła:kwa.
matarlo	Tikoyna.
matarse	Tikoycheł.
mate	(fruto) Sawa'bo.
mate de naranja	Narasa:mi.
materlo al agua	Yaja:loł.
matico	Cho:dis.
matrimonio	Nayewa:nas.
mauri del chico	U:liḿ.
mauri del grande	Bonko.
Mayapo	(apellido) Maya:pu.
Mazaro	(apellido) Masa:ro.
me agrada	Jirampojkay.
me anda	Welayni.
me arde	Wewewni.
me causa temor	Ewejpojkway.
mecer a alguien	Leke:na.
mecerse	Leke:cheł.
mechero	(árbol) Kulujdi.
me da asco	Cho'espojkay.
me da rabia	Jalaypojkay.
me da vergüenza	Chajampojkay.
media noche	Teres'im.
mediodía	Chonsi.
medir	Pa'na.
médula	Tava:lo.
me gusta	Jirampojkay.
me hace calor	Ewelni:wa.
me hace sentir triste	Dayimkay.
mejilla	Pojra.
mejor	Wa:watoł.
melero	Tavojchodinła.
mellizo	Jo'ya:łe.
me maltrata	Ke'arani:kay.
mentira	Tija:si.
mentira	Tijka:choł.
mentirle a una persona	Tijkachołna.
mentiroso	Tijasi:pa.
menudos de una res u otro animal	Babawankwa.
me pica	Chukulni.
me preocupa	Rujałkay.
me rodean las abejas	Muele:kay.
mes	Yejcho.
mesa	Me:sa.
meter algo en otra cosa	Kojna.
meter caña altrapiche	Koja'as.
meterle en la boca	Uya:kwa.
meterse al agua	Penlo:łe.
meterse en el agua	Amlo:łe.
meterse en el barro	Ambute:łe.
meterse en la tierra	Amłaba:łe.
meter una cosa dentro de otra cosa	Ama'poj.
metido en el agua	Amloł.
metido en el barro	Ambuteł.
metido en la tierra	Amłabal.
mezclado	Poskwa.
mezquinar	Koyikaye:cheł.
mezquinar	Uye:na.
mezquino	Dońlo:wa dombaycho.
miedoso	Tino'si.
miel de abeja	Chuydinlo.
mi nombre	Eł'i.
mi ojo	Cho:ra.
mira!	Łań.
mira!	Velti.
mirar	Vaye:łe.
mirar algo	Para:na.
mirar hacia atrás	Volye.
mirarle su altura	Olo:na.
mirar mal a alguien	Kuna:nay.
misa	Mi:sa.
mi seno	Chaj'i.
misterioso lago de que se cree que haya sido una ciudad	Banwa:wa.
mis viejos	Bija:jaw.
moco	Noro'chichimba.
mohoso	Mutełni.
mojado(a)	Lu:day.
mojar	Poyna.
mojarse	Ludayni.
mojarse	Wa:choye.
molde	Chocho:kwi.
molde para tejer sombrero	Mila:cho.
Mole	(apellido) Mo:le.
moler	Duke:łe.
moler	Du'na.
moler	Tajna.
moler arroz	Dukaro:so.
moler granos	Duka:di.
moles	Tajna.
molestar	Ke'a:ra.
molestar	Rujapanłe.
molestar	Tijna.
molestar a alguien	Bawiłna.
molestar a una mujer	Tijakwe:ya.
mondar granos	Eła:di.
mono	(mono silbador) Si:doj.
mono chichilo	Kachi:chi.
mono león	Dokado:ka.
mono manechi	Ju:di.
mono nocturno	Despu.
montar a caballo	Aspoye:łe.
montar a caballo	Selcheł.
monte	Chaḿmo.
monte del rapulo	Rapu'lo:mo.
morder	Lape:łe.
morder algo o alguien	Laḿna.
mosca	Du:muy.
mosca diminuta	Chojlolo:muy.
mosquitero	Tordeta.
mosquito	Ka:wuḿ.
mosquito grande	Tumvuń.
mosquito medio morito	Wo:ja.
mosquito puguilla	Chuydimsi.
mostrar algo	Chusa:pa.
mostrar un lugar	Chusa:waj.
motacú	Chu:jań.
motacusal	Chujammo.
moverse repentinamente en un lugar	Iye:kani.
movima	Mowi:maj.
muchacha	Tolkosya.
muchas vueltas	Kawpojsi.
mucho	Tojeł.
mucho antes	Kwil.
muchos	Kawra.
mucho tiempo atrás	Lajań.
mudar algo	Dowajna.
mudarse	Dowa'waj.
muela	Kwinto:ła.
muerte	Kayniwa:nas.
muerto	Kayni.
mujer	Kwe:ya.
mujeriego	Kweyayammo.
mujer joven	Tolkosya.
mujer que no puede tener hijos	Jo:li.
mujer que tiene hijos	Ma'wawankwa.
multiplicarse	Eyajni.
muñeca	Bakwanyiń.
murciélago	Bo:siń.
música	Mu:sika.
muslo	Di:noj.
mutun	(ave) Mama:ku.
muy	Tojeł.
nacer	Donłe.
nacer	Paḿpaḿ.
nacido	Tami:łe.
naciente	Jata'.
nadar	Koma:lo.
nalga	Dinsi.
nalga	Kwansi.
naranja	Nara:sa.
naranja agria	Chasoyba.
naranjal	Narasa:mo.
nariz	Ba:chi.
narrar algo	Ajalo:maj.
Navala	(apellido) Nawa:la.
navidad	Paskwa.
necesitar	Jumara:ni.
necesitar a alguien o algo	Juma:ra.
negativo	Kwajka.
negro	Tunni.
ni aun cuando	Nawan.
nido	Babalkwa.
nido de tejón	Bichichiḿma:bał.
niel de caña	Charape:lo.
nieto(a)	Ona:cho.
nigua	Ku:duḿ.
niña	Kweyanchi:ye.
niñera	Velaye:pa.
niño(a)	Dichi:ye.
niño varón	Itilakwanchi:ye.
nivelado	Imkato:ni.
nivelar algo que contiene una basija	Parajna.
no	Kas.
no	Ka'i.
noche	I:may.
noche entera	Pe'im.
noche oscura	Paya'im.
no decir nada	Jana'kwa.
no haber nada	Ełe:ni.
no haber saciado el apetito	Momoyeskwa.
no importa	Wadi'.
nomás	Ja'.
nombre de una persona no identificada	Ełwanra.
no querer	Jana'pa.
no querer volver	Volbaycho.
noria	Lu:ve.
no sabe nada de ello	Pakuka'as.
no se	Joydi'.
no sirve	Jeysi.
no sirve	Kemaka'ra'a.
no sirve	Ura*be.
nosotros	I:de.
nosotros	Ił.
nosotros	(menos el oyente) I'łi.
nos vamos	Joydajay'łi.
no tener nada	Ełe:ni.
no tener nada	Je'ka:ka'.
no todavía	Mo:ka.
nové	Jeje:.
novelear	Wuru:na.
nube	Be:yas.
nuca	Dinełbakwa.
nuevo	Pola:ra.
número	Pakełwanra.
nunca	Eła'lomajniwa.
ñandú	Da'ra.
o	Kabo.
obedece	Pe'nira'a.
obedecer	Jaywane:łe.
objeto para defenderse	Borewanra.
objeto para pegar	Jatełwanra.
objeto que da luz	Jelra.
observar	Para:na.
observar la conducta de otra persona	Palomajna.
observar su propia conducta	Palomajcheł.
ochoo	Kana:wa.
ocultado(a)	Kwalra.
ocultar	Kwala:ra.
ocultarse	Kwale:łe.
oculto	Bo'we.
odiar	Dona:ye.
odiarse aborrecerse	Doncheł.
oído	Chochobakwa.
oír voces	Onlolomajni.
ojalá	Disłańwa.
ojalá	Ła'wa.
ola	Papawła.
oler	Senna.
oler algo agradable	Jirannesni.
oler a quemado	Sekayni.
oler a rancio	Site'ni.
olerlo	Payesna.
olla	Wu'tu.
olla de barro	Bubuńkwambij.
olla grande de barro cocido	Tomo:re.
ollita	Wu'tuba.
olor	Mujełkwa.
olor a fruta madura	Vuwa:ni.
olor agradable al olfato	Jowesni.
olor fuerte	Di:tes.
olvidadizo(a)	Kilayniba:kwa.
olvidarse	Kilayni.
ombligo	Dimmo.
Onarry	(apellido) Onajri.
orar por alguien	Dajkwanasłena.
ordenarle a alguien	China:cho.
ordeñar	Roma:lo.
oreja	Loto:to.
oreja de palo	Woloto:to.
oreja de vaca	Loto:kwa.
orevaré	Vusayjeł.
orientarse	Pawaje:łe.
orificio o hueco negro	Tuntunsi:ni.
origen	Nalomajna.
orilla	Tori:di.
orilla de la noria	Luvenbijra.
orilla del lago	Bijra.
orilla de una laguna	Powlobijra.
orilla de un objeto	Łała:kwa.
orina	Chojlo.
orina	Sa:ray.
orinar	Chojkwa.
orinón	Chojsi.
oro	O:ro.
oscuro	Paya'ni.
o será	Kabo di'.
oso bandera	Bana:maj.
oso hormiga	Wayewaye.
otra cosa	Kaka:ra.
otra cosa	Sońra.
otra cosa	So:taj.
otra persona	So:te.
otra ropa	Kaka:'oj.
otra vez	Reyka.
otra vez	Sońlo:maj.
otro	Sońra.
otro día	Kakaye:mes.
otro día	Sońne:mes.
Ovale	(apellido) Owa:le.
oveja	Ma:sa.
oxidarse	Momo:cheł.
pacaí	(árbol) Chusbo'.
pacú	(pez) No:to.
pacú pequeño	Noto:di.
padecer de una enfermedad	Batesna.
padre	Pa'a.
padre	Pa'wawankwa.
padrino	Łiyeni:kay.
pagar a un trabajador	Rima:ye.
pagarle	Bawa:ra.
paicahne	(arbusto) Kawmoł.
paire	Chapa:ye.
paisano	Alle.
pajal espeso	Duḿmo.
paja que se usa para techar	Di:mas.
pájaro carpintero	Ya'ya:ma.
pájaro pequeño	Chirwła.
pala	Chakatora:wa.
pala	Dineła'a.
palabra	Sinełkwa.
palabra de cariño	Bito'.
palabra larga	Ku:lopitel.
palabra que es un nombre pero sin referir a ninguna persona en especial	Ełwawankwa.
palabra que se pronuncia cuando a la persona no le agrada lo que le dicen	Achapu'u.
paladar	Cho'vaj.
paleta	Tovaykwa.
palideció	Kovela'ni.
pálido	Kovelni.
pálido	Serejawa:di.
palito	Kori:di.
palito	Tolejkwa.
palo	Ko'o.
palo diablo	Rumlo.
palo encebado	Upavaswanra:ni.
palomaría	(árbol) Lajni:ye.
palometa	Lala'kwa.
palo santo	Rumlo.
pam grande	Powba.
pampa	Beń'i.
pan	Pamba.
pan de arroz	Aroso:ba.
pantalón	Karso:ne.
panza	Chokwammo.
pañuelo	Panwe:lo.
papaya	Maropa.
papel de cuaderno	Alwambeń.
paquió	(árbol) Vo:sim.
paraba	Kara'.
paraba barba azul	Sari:di.
parabachi	Seya:mo.
parado(a) en la orilla	Enbijraneł.
para que	Bo.
para qué es?	Kemara'a.
para referirse a personas o cosas que no están presentes	Isko.
pararse	Encheł.
pararse	Tajpo.
parásito	Rum'i.
parece ser	Jaysoń.
parecido a	O:be.
pared de ladrillo	Łavałkwa.
pareja de casados	Alwajni.
pariente	Alkaka:ye.
pariente	Alle.
parpado	Mołra.
parrilla	Chocho:kwi.
parte del tronco	Bojełkwa.
parte trasera de una embarcación	Bo:boj.
partido	Ra:cho.
partido	Ra:kwa.
partir	Paja:cho.
partir algo	Racho:na.
partir la sandia	Daka:cho.
partir leña	Pajachocha:ra.
partir o cortar	Daka:cho.
partirse	Racho:cho.
pasanca	Kule:ma.
pasar	Toje:łe.
pasar así	Janlo:maj.
pasar la mano sobre algo	Pałna.
pasarlo en agua herviente	Yaku'na.
pasar por un lugar donde siempre se pasa	Tojełna.
pasearse de un lado para otro	Marka:kwa.
pasó la fiesta	Baloweskwiwa:wa nas pieyesta.
pasó todo el día	Pe'yemeskwi.
pata del animal separada	Barinkwa.
pateador	Łekełpa.
patio	Lo:los.
pato	(palabra desconocida para algunos hablantes Kodo:si.
pato	Końko:re.
pato cuervo	Kele:le.
pato puga	Kele:le.
pato putirí	Wi'lili.
pato roncador	Torada'.
pato vichichí	Wi:sisi.
patujú	Ovempoj.
patujú del grande	(parecido al plátano) Pe:rena:na'.
patujusillo	Tawasdi.
pavi	Wa:wos.
pecado	Peka:to.
pecador	Pekato:pa.
pececillo	Bilawła.
pecho	Be'łała.
pedacito	Bojchinkwa.
pedacito de astilla	Todankwa.
pedazo de carne	Wa:kato:da.
pedir	Dajkwanasłena.
pedir algo	Daja:ja.
pedir un favor	Karaye:na.
pega	Tijkarimwa:nas.
pegar	Jańna.
pegar	Jate:łe.
peine	E:ła.
pelado	Beschoł.
pelar	Tosna.
pelarlo	Besna.
pelar los dientes	Pulchinła.
pelea	Jarawa:nas.
peleador	Jara:pa.
pelear	Ja:rał.
pelear con alguien	Jarałe:na.
pelearse	Ba:kawanne:cheł.
pelecho o cascara del huevo	Momołkwa.
peligroso	Ewejni.
pellizcar	Łi'na.
pellizcar algo o a alguien	Bińna.
pellizcar ligeramente	Bite:łe.
pelo	Risa:kwa.
pelo de gato	Michiri:sa.
pelo de perro	Pa:kori:sa.
pelota	Powojlolo:ba.
pendiente de la mujer	Mońlo:to.
pene	Tey'i.
pene del niño	Chuchu'.
pene pelado	Tosba.
penga	Mo'los.
peni	(reptil) Ja:ma.
pensar	Pabaycho.
pensar en alguien o algo	Pabaychovałna.
pensar en una actividad	Pabaychova:na.
pensar mal	Kwalbaycho.
peor	Ła:kwa.
pequeñito	Toti'.
pequeño	Tochi'.
percibir	Owa:na.
perder algo	Kwale:na.
perder el conocimiento	Sońte'.
perdiz	Tolwsi.
perdonarle	Tojełpojnakwa:na.
perdonárselo	Tatabalkwa:na.
perdurar	I:lolomajni.
perezoso	No:nopa.
perforar algo	Tokacho:ra.
perfume o aceite fragancioso para untarse al cuerpo	Chi:ra.
perjudicar	Rujapanłe.
permitirle algo	Ka'pojna.
permutar algo	Bawra:na.
pero	Ban.
pero no	Didi'.
peroquí	(ave) Sańlo.
perro	Pa:ko.
perseguirlo	Kweyasełna.
persinarse	Chuscheł.
persistir	Jempiteł.
persistir hasta lograr lo que uno quiere	Tija:łe.
persona	Juyeni.
persona alcohólica	Layakwampa.
persona alcohólica	Layakwampa.
persona blanca	Baraya:na.
persona bonita	Jayawwe.
persona celosa	Kemayełewamba.
persona con barba	Chuskamo:ra.
persona con instinto animal	Popoykwanlo:maj.
persona de baja estatura	Tedowojye.
persona del campo	Beń'immajye.
persona del pueblo	Lolosmajye.
persona del sexo femenino ausente	Isne.
persona del sexo femenino en tiempo pasado	Isnos.
persona de otro lugar o de otra raza	Jeyye.
persona de piel clara	Jelewwe.
persona enfermisa	Teranini:ye.
persona extranjera de otra lengua y que no es indígena	Ita:na'.
persona fea	Cho'esye.
persona flaca	Beyeye:ye.
persona friolenta	Jilo'si.
persona gorda	Mesye.
persona hábil para contar	Pakełpa.
persona mayor que uno	Bijawwe.
persona morena	Tu:ne.
persona no bautizada	Lolba'eł.
persona picarosa	Kilmomo:ye.
persona puntera	Bisi'ne.
persona pura	Jemme.
persona que come mucho	Kaypa.
persona que cura mediante masajes	Birińchaye:pa.
persona que hace de papá	Pa'wawankwa.
persona que pega a otras	Jatełchaye:pa.
persona que tiene	Ninninła.
persona que tiene habilidad	Biso'.
persona que ya tiene nietos	Nono'wawankwa.
persona retada	Juwankwa.
pertenecías	Tijkaka:ra.
pertenencia	Dayajna.
pesado	De'łe.
pesado	Dino'.
pesar	Pa'na.
pescado	Bi:law.
pescador	Bilawpa.
pescar	Ba:yeł.
pescuezo	Popojmo.
pestaña	Lowadinra.
pestañear	Liḿra.
peta del agua	So:no.
peto	O:mayle.
petoabeja	Chuydimayle.
peto chuturubí	Domba:chi.
picaflor	Chimili.
picante	Vusu'.
picao de yuca	Lokwampiń.
picapica	Isełlowa.
picardía	Kilmowa:nas.
picaro	Kilmo.
picazón	Chu:kul.
pichiró	(sabor a fruta por madura) Talumni.
pico	Chuskwa.
pico cerrado	Wuychuskwa.
pico de la ave	Tu'ła.
picotear	Dupe:łe.
pie	Ba:ri.
piedra	Champa.
piel	Tobeńkwa.
piel belluda	Chuskabeń.
piel blanca	Tavojveń.
piel suave de una fruta	Lavińkwa.
piel suave de una fruta	Lavińkwa.
pierna	Ła:ri.
pífano	Pi:kolo.
pillar a alguien haciendo algo	Chika:pa.
pillar a alguien o algo	Mana:ye.
pilotear una embarcación	Tuka:boj.
pintado	Si:vil.
pintar	Piłe:łe.
pintar	Ri'na.
pintoneado el sembradío	Sejni.
piña	Ma:yuse.
piñal	Mayuse:mo.
