anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=green>ESP:</font> arrear\n<font color=orange>ENG:</font> to herd
lankhu, phatu, lik'i	<font color=red>CHP:</font> pjapza\n<font color=green>ESP:</font> gordo\n<font color=orange>ENG:</font> fat, big
phurastiru	<font color=red>CHP:</font> pjarastiru\n<font color=green>ESP:</font> extranjero\n<font color=orange>ENG:</font> foreigner
phasanqalla	<font color=red>CHP:</font> pjasankalla\n<font color=green>ESP:</font> cereal tostado\n<font color=orange>ENG:</font> toasted cereals
phisara	<font color=red>CHP:</font> pjasara\n<font color=green>ESP:</font> quinua/arroz graneado\n<font color=orange>ENG:</font> granulated quinua/rice
ch'axrapiyasiña	<font color=red>CHP:</font> pjaticaz\n<font color=green>ESP:</font> no poder dormir, fatigarse\n<font color=orange>ENG:</font> to be unable to sleep, to get tired
phallantasiña	<font color=red>CHP:</font> pjats\n<font color=green>ESP:</font> reventarse\n<font color=orange>ENG:</font> to burst
phallaña	<font color=red>CHP:</font> pjatz\n<font color=green>ESP:</font> reventar\n<font color=orange>ENG:</font> to burst
phawxataña	<font color=red>CHP:</font> pjawz\n<font color=green>ESP:</font> ofrecer coca/alcohol a deidades\n<font color=orange>ENG:</font> to offer coca/alcohol to deities
ch'ampa	<font color=red>CHP:</font> pjaya\n<font color=green>ESP:</font> champa, tepe\n<font color=orange>ENG:</font> sod cut for building
phayaña	<font color=red>CHP:</font> pjayapjaya\n<font color=green>ESP:</font> terminar de comer toda la carne\n<font color=orange>ENG:</font> to finish all the meat
phayna	<font color=red>CHP:</font> pjayna\n<font color=green>ESP:</font> trabajo comunal\n<font color=orange>ENG:</font> communal work
phagnaña	<font color=red>CHP:</font> pjayniz\n<font color=green>ESP:</font> trabajar en comunidad\n<font color=orange>ENG:</font> to work with the community
pasakana	<font color=red>CHP:</font> pjazacana\n<font color=green>ESP:</font> fruta de cacto\n<font color=orange>ENG:</font> cactus fruit
phuyu	<font color=red>CHP:</font> pjazi\n<font color=green>ESP:</font> pluma\n<font color=orange>ENG:</font> feather
phasila	<font color=red>CHP:</font> pjazila\n<font color=green>ESP:</font> fácil\n<font color=orange>ENG:</font> easy
qaqa	<font color=red>CHP:</font> pjeta\n<font color=green>ESP:</font> agujero\n<font color=orange>ENG:</font> hole
Lakajawira	<font color=red>CHP:</font> pjetpuju\n<font color=green>ESP:</font> río Lacajawira\n<font color=orange>ENG:</font> The Lacajawira River
qaqaraña	<font color=red>CHP:</font> pjetz\n<font color=green>ESP:</font> perforar, agujerar\n<font color=orange>ENG:</font> to perforate, to pierce
chhulla chhulla	<font color=red>CHP:</font> pjewi\n<font color=green>ESP:</font> rocío\n<font color=orange>ENG:</font> dew
juyphi	<font color=red>CHP:</font> pjewñi\n<font color=green>ESP:</font> escarcha\n<font color=orange>ENG:</font> frost
juyphiraña	<font color=red>CHP:</font> pjewz\n<font color=green>ESP:</font> escarchar\n<font color=orange>ENG:</font> to frost
phuqhantata, sisart'ata	<font color=red>CHP:</font> pjicz\n<font color=green>ESP:</font> hartarse de comida\n<font color=orange>ENG:</font> to have enough food, to be stuffed
pichaña	<font color=red>CHP:</font> pjijchaña = pichaña\n<font color=green>ESP:</font> escoba\n<font color=orange>ENG:</font> broom
quñart'aña	<font color=red>CHP:</font> pjijllz = wjijllz\n<font color=green>ESP:</font> suavizar lana para hilar\n<font color=orange>ENG:</font> to pull apart matted, crude wool to spin
lankhu wiskha	<font color=red>CHP:</font> pjijra\n<font color=green>ESP:</font> cuerda para hacer soga\n<font color=orange>ENG:</font> cord to make rope
mismiña	<font color=red>CHP:</font> pjijrz\n<font color=green>ESP:</font> torcelar lana para soga\n<font color=orange>ENG:</font> to twist wool to make rope
juch'usu, k'allka, k'ullku	<font color=red>CHP:</font> pjijsa\n<font color=green>ESP:</font> angosto\n<font color=orange>ENG:</font> narrow, tight
sik'a qaqalla	<font color=red>CHP:</font> pjijsa\n<font color=green>ESP:</font> agujero pequeño\n<font color=orange>ENG:</font> small hole
phisqa	<font color=red>CHP:</font> pjijska\n<font color=green>ESP:</font> cinco\n<font color=orange>ENG:</font> five
phiju (yatiri)	<font color=red>CHP:</font> pjiju\n<font color=green>ESP:</font> yatiri que acierta sus pronósticos\n<font color=orange>ENG:</font> diviner whose predictions are correct
jararunkha	<font color=red>CHP:</font> pjijzka\n<font color=green>ESP:</font> lagartija\n<font color=orange>ENG:</font> small lizard
p'isqura	<font color=red>CHP:</font> pjijzkura\n<font color=green>ESP:</font> Juez de agua (pájaro)\n<font color=orange>ENG:</font> Bar-winged Cinclodes (small bird, cream color or brownish white)
jinchu k'uchulla parlaña	<font color=red>CHP:</font> pjijzpiz\n<font color=green>ESP:</font> cuchichear, susurrar\n<font color=orange>ENG:</font> to whisper
phista	<font color=red>CHP:</font> pjijzta\n<font color=green>ESP:</font> fiesta, día de descanso\n<font color=orange>ENG:</font> fiesta, holiday
ch'alla	<font color=red>CHP:</font> pjila\n<font color=green>ESP:</font> arena\n<font color=orange>ENG:</font> sand
puru, q'ayru	<font color=red>CHP:</font> pjina\n<font color=green>ESP:</font> alcohol puro\n<font color=orange>ENG:</font> pure alcohol
q'ayru	<font color=red>CHP:</font> pjina\n<font color=green>ESP:</font> almacén de papa bajo la tierra\n<font color=orange>ENG:</font> root cellar
phiñu, quyllu chuqi	<font color=red>CHP:</font> pjiñu\n<font color=green>ESP:</font> tipo de papa\n<font color=orange>ENG:</font> type of potato
phiri, chuchumiri	<font color=red>CHP:</font> pjiri\n<font color=green>ESP:</font> harina tostada y revuelta en agua\n<font color=orange>ENG:</font> toasted flour mixed with water
phrisku	<font color=red>CHP:</font> pjirizcu\n<font color=green>ESP:</font> fresco\n<font color=orange>ENG:</font> fresh
ñaxu	<font color=red>CHP:</font> pjiru\n<font color=green>ESP:</font> feo, malo\n<font color=orange>ENG:</font> ugly, bad
phiriña	<font color=red>CHP:</font> pjirz\n<font color=green>ESP:</font> preparar harina tostada y revuelta en agua\n<font color=orange>ENG:</font> to make toasted flour mixed with water
wichhu	<font color=red>CHP:</font> pjit\n<font color=green>ESP:</font> paja\n<font color=orange>ENG:</font> straw
llijt'a	<font color=red>CHP:</font> pjiti\n<font color=green>ESP:</font> lejía\n<font color=orange>ENG:</font> substance made of quinoa and flour to chew with coca
pulli, phuskallu, ch'api	<font color=red>CHP:</font> pjizcallu\n<font color=green>ESP:</font> planta espinosa\n<font color=orange>ENG:</font> small spiny plant
ayni phuqhaña	<font color=red>CHP:</font> pjojkz\n<font color=green>ESP:</font> cancelar\n<font color=orange>ENG:</font> to cancel
phuqhaña	<font color=red>CHP:</font> pjojkz\n<font color=green>ESP:</font> cumplir\n<font color=orange>ENG:</font> to fulfill, to carry out, to finish
phuju phuqha	<font color=red>CHP:</font> pjoma\n<font color=green>ESP:</font> pozo con mucha agua\n<font color=orange>ENG:</font> well with a lot of water
qhapaña	<font color=red>CHP:</font> pjucz\n<font color=green>ESP:</font> tapar\n<font color=orange>ENG:</font> to cover, to block
puruka	<font color=red>CHP:</font> pjuch\n<font color=green>ESP:</font> estómago\n<font color=orange>ENG:</font> stomach
puraka t'uxruntata	<font color=red>CHP:</font> pjuch cora\n<font color=green>ESP:</font> estómago vacío, cintura delgada\n<font color=orange>ENG:</font> empty stomach, slender waist
manq'a q'ara	<font color=red>CHP:</font> pjuch pjeta\n<font color=green>ESP:</font> aprovechador\n<font color=orange>ENG:</font> opportunist
sillp'i	<font color=red>CHP:</font> pjujculchi\n<font color=green>ESP:</font> tierra levantada por frío o sequedad\n<font color=orange>ENG:</font> raised earth due to frost/dryness
phusulli	<font color=red>CHP:</font> pjujculchi\n<font color=green>ESP:</font> ampolla\n<font color=orange>ENG:</font> blister
jalsuri, umajalsu	<font color=red>CHP:</font> pjuju\n<font color=green>ESP:</font> vertiente\n<font color=orange>ENG:</font> spring
phusaña	<font color=red>CHP:</font> pjujz\n<font color=green>ESP:</font> soplar\n<font color=orange>ENG:</font> to blow
ikiña, phullu	<font color=red>CHP:</font> pjullu = pirsata = tjajjzquiti\n<font color=green>ESP:</font> frazada, cama\n<font color=orange>ENG:</font> blanket, bed
jupuqiyaña	<font color=red>CHP:</font> pjullunquiz\n<font color=green>ESP:</font> agua burbujeando en vertiente\n<font color=orange>ENG:</font> water bubbling in spring
kuka, anqhuñuq phura	<font color=red>CHP:</font> pjura\n<font color=green>ESP:</font> parte inferior de ancañoco (raíz parásita de tola)\n<font color=orange>ENG:</font> lower part of ancañoco (parasitic root of bush)
ñitthapita	<font color=red>CHP:</font> pjura\n<font color=green>ESP:</font> coca aplastada\n<font color=orange>ENG:</font> pressed coca
ch'utu, mujina	<font color=red>CHP:</font> pjurna\n<font color=green>ESP:</font> parte superior, cumbre\n<font color=orange>ENG:</font> upper part, peak, top
ch'amanti	<font color=red>CHP:</font> pjursanti\n<font color=green>ESP:</font> fuerte, con fuerza\n<font color=orange>ENG:</font> strong, with force
ch'axwa	<font color=red>CHP:</font> pjurti\n<font color=green>ESP:</font> fuerte (sonido)\n<font color=orange>ENG:</font> loud
phurtuna	<font color=red>CHP:</font> pjurtuna\n<font color=green>ESP:</font> suerte, fortuna\n<font color=orange>ENG:</font> luck, fortune
phruta, musq'a achu	<font color=red>CHP:</font> pjuruta\n<font color=green>ESP:</font> fruta\n<font color=orange>ENG:</font> fruit
jat'tapiña	<font color=red>CHP:</font> pjurz\n<font color=green>ESP:</font> agarrar con garras, asegurar con gancho\n<font color=orange>ENG:</font> to grab with the claws, to pin
t'aktata	<font color=red>CHP:</font> pjuta\n<font color=green>ESP:</font> calma, quietud (del tiempo)\n<font color=orange>ENG:</font> calm, tranquil (weather)
qanuña	<font color=red>CHP:</font> pjuyaziz\n<font color=green>ESP:</font> rumiar\n<font color=orange>ENG:</font> to ruminate
mallku, t'alla, pukara	<font color=red>CHP:</font> pocara = kontawi\n<font color=green>ESP:</font> pilón de piedras como efigie\n<font color=orange>ENG:</font> pile of rocks as an effigy
puku puku	<font color=red>CHP:</font> poco poco\n<font color=green>ESP:</font> Pucu pucu (ave)\n<font color=orange>ENG:</font> Gray-breasted Seedsnipe (bird)
yaq'allachi	<font color=red>CHP:</font> pocuchi\n<font color=green>ESP:</font> vejiga\n<font color=orange>ENG:</font> bladder
pansa, purapa, paypacha	<font color=red>CHP:</font> pocultan = porap\n<font color=green>ESP:</font> los dos, ambos\n<font color=orange>ENG:</font> both
wila sayt'ata	<font color=red>CHP:</font> pocullchi\n<font color=green>ESP:</font> sangre coagulada\n<font color=orange>ENG:</font> coagulated blood
thasa, sankhu	<font color=red>CHP:</font> poki = tacja\n<font color=green>ESP:</font> comida espesa\n<font color=orange>ENG:</font> thick food
tuntirata	<font color=red>CHP:</font> pompiz\n<font color=green>ESP:</font> descolorar/quemar por el sol\n<font color=orange>ENG:</font> to discolor/to burn from the sun
puquyaña	<font color=red>CHP:</font> pookz\n<font color=green>ESP:</font> producir\n<font color=orange>ENG:</font> to produce
khariña, kharisiña	<font color=red>CHP:</font> pootz\n<font color=green>ESP:</font> cortar, cortarse\n<font color=orange>ENG:</font> to cut, to cut oneself
puraka	<font color=red>CHP:</font> poracalla\n<font color=green>ESP:</font> estómago, primer estómago de rumiantes\n<font color=orange>ENG:</font> stomach, first stomach of ruminants
pansa, purapa, paypacha	<font color=red>CHP:</font> porap = pocultan\n<font color=green>ESP:</font> los dos, ambos\n<font color=orange>ENG:</font> both
purapata	<font color=red>CHP:</font> porapat\n<font color=green>ESP:</font> entre sí\n<font color=orange>ENG:</font> between one another
puri, wajcha	<font color=red>CHP:</font> pori\n<font color=green>ESP:</font> pobre\n<font color=orange>ENG:</font> poor
layrankiri	<font color=red>CHP:</font> primiraqui = pirimiraqui\n<font color=green>ESP:</font> primero\n<font color=orange>ENG:</font> first
chhama	<font color=red>CHP:</font> pucuta\n<font color=green>ESP:</font> montón de ramas no desgranadas\n<font color=orange>ENG:</font> sheaves
t'uq t'uq, putj putj	<font color=red>CHP:</font> pujtpujtz\n<font color=green>ESP:</font> sonido de golpe/de pasos\n<font color=orange>ENG:</font> sound of a hit/of steps
phatu	<font color=red>CHP:</font> pujtza\n<font color=green>ESP:</font> gordo\n<font color=orange>ENG:</font> fat, big
phatu	<font color=red>CHP:</font> pujtza\n<font color=green>ESP:</font> adobe grueso\n<font color=orange>ENG:</font> thick, coarse adobe
ch'ina	<font color=red>CHP:</font> pujtza\n<font color=green>ESP:</font> nalgas, ancas\n<font color=orange>ENG:</font> buttock, behind
jawira	<font color=red>CHP:</font> puju\n<font color=green>ESP:</font> río\n<font color=orange>ENG:</font> river
payuru	<font color=red>CHP:</font> pukmajj\n<font color=green>ESP:</font> dos días\n<font color=orange>ENG:</font> two days
chuyma	<font color=red>CHP:</font> pulmuna\n<font color=green>ESP:</font> pulmón\n<font color=orange>ENG:</font> lungs
janq'u purakan khuchi	<font color=red>CHP:</font> pulsana\n<font color=green>ESP:</font> chancho con vientre blanco\n<font color=orange>ENG:</font> pig with white belly
pulu	<font color=red>CHP:</font> pulu\n<font color=green>ESP:</font> borde de tela\n<font color=orange>ENG:</font> hem of cloth
wulsa, wayaqa	<font color=red>CHP:</font> pulza\n<font color=green>ESP:</font> bolsa para plata\n<font color=orange>ENG:</font> money-bag
ilastiku, q'awchi, puma	<font color=red>CHP:</font> puma\n<font color=green>ESP:</font> goma, borrador\n<font color=orange>ENG:</font> rubber, eraser
wankara, pumpu	<font color=red>CHP:</font> pumpo\n<font color=green>ESP:</font> bombo\n<font color=orange>ENG:</font> bass drum
punchu	<font color=red>CHP:</font> punchu\n<font color=green>ESP:</font> poncho\n<font color=orange>ENG:</font> poncho
punta, walipunta	<font color=red>CHP:</font> punta = walipunta\n<font color=green>ESP:</font> animal más grande, animal líder\n<font color=orange>ENG:</font> biggest animal, lead animal
chhuqtas waytaña	<font color=red>CHP:</font> puntalz\n<font color=green>ESP:</font> apuntalar, sujetar\n<font color=orange>ENG:</font> to prop up, to fasten
kurta pluma	<font color=red>CHP:</font> puntillu\n<font color=green>ESP:</font> cortaplumas para marcar animales en la oreja\n<font color=orange>ENG:</font> small knife to mark animals' ears
suti	<font color=red>CHP:</font> puntuni\n<font color=green>ESP:</font> hábil\n<font color=orange>ENG:</font> capable, skillful
phinti	<font color=red>CHP:</font> puriña\n<font color=green>ESP:</font> bañador\n<font color=orange>ENG:</font> washbasin
purjataña	<font color=red>CHP:</font> purjjatz\n<font color=green>ESP:</font> llegar con abundancia (agua, viento)\n<font color=orange>ENG:</font> to come abundantly (water, wind)
wurlasiña	<font color=red>CHP:</font> purlaz\n<font color=green>ESP:</font> burlar\n<font color=orange>ENG:</font> to make fun of
awirwiyt'aña	<font color=red>CHP:</font> purwiiz\n<font color=green>ESP:</font> averiguar\n<font color=orange>ENG:</font> to inquire, to verify
liwi anatañataki	<font color=red>CHP:</font> puti\n<font color=green>ESP:</font> boleadoras para jugar\n<font color=orange>ENG:</font> bolas for play
phatu phisphi	<font color=red>CHP:</font> puti ata\n<font color=green>ESP:</font> labio grueso\n<font color=orange>ENG:</font> big lip
wutilla	<font color=red>CHP:</font> putilla\n<font color=green>ESP:</font> botella\n<font color=orange>ENG:</font> bottle
luqiri	<font color=red>CHP:</font> putira\n<font color=green>ESP:</font> guía especialista en el ritual\n<font color=orange>ENG:</font> specialized guide in rituals
yuru, wasinika	<font color=red>CHP:</font> putiza = wasinica\n<font color=green>ESP:</font> jarra, bacín\n<font color=orange>ENG:</font> jar, jug, pitcher, chamber pot
putuku	<font color=red>CHP:</font> putucu\n<font color=green>ESP:</font> casa de estancia\n<font color=orange>ENG:</font> house in the field
wutuna	<font color=red>CHP:</font> putuna\n<font color=green>ESP:</font> botón\n<font color=orange>ENG:</font> button
yawri	<font color=red>CHP:</font> putunira\n<font color=green>ESP:</font> aguja para poner arretes a los animales\n<font color=orange>ENG:</font> needle to put earrings in animals' ears
puytu	<font color=red>CHP:</font> puytu\n<font color=green>ESP:</font> cría destetada\n<font color=orange>ENG:</font> weaned offspring
pirintjaña	<font color=red>CHP:</font> puzitiz\n<font color=green>ESP:</font> empeñar\n<font color=orange>ENG:</font> to pawn
ch'umpi ch'amak	<font color=red>CHP:</font> puz̈i\n<font color=green>ESP:</font> color de café oscuro\n<font color=orange>ENG:</font> dark brown color of animals
p'axpaku	<font color=red>CHP:</font> p'ajjpacu\n<font color=green>ESP:</font> persona que no cumple\n<font color=orange>ENG:</font> person that makes promises but never fulfills them
p'axpaña	<font color=red>CHP:</font> p'ajjpaquiiz\n<font color=green>ESP:</font> no cumplir (promesa, pacto)\n<font color=orange>ENG:</font> not to fulfill, to break (promise, agreement)
t'iqi	<font color=red>CHP:</font> p'ata\n<font color=green>ESP:</font> bulto muy lleno y apretado\n<font color=orange>ENG:</font> full, tight bundle
p'iqinchaña	<font color=red>CHP:</font> p'ekinchayz\n<font color=green>ESP:</font> animar\n<font color=orange>ENG:</font> to encourage
p'iqintasiña	<font color=red>CHP:</font> p'ektiz\n<font color=green>ESP:</font> animarse\n<font color=orange>ENG:</font> to be stimulated, to be encouraged, to be excited
p'isqi	<font color=red>CHP:</font> p'iske\n<font color=green>ESP:</font> sopa de quinua\n<font color=orange>ENG:</font> quinoa soup
ch'api p'itsusiña	<font color=red>CHP:</font> p'itz\n<font color=green>ESP:</font> sacar (espina)\n<font color=orange>ENG:</font> to pull out (thorn)
p'itsuña	<font color=red>CHP:</font> p'itz\n<font color=green>ESP:</font> terminar un tejido\n<font color=orange>ENG:</font> to finish weaving a textile
p'iyaña, jatsuña	<font color=red>CHP:</font> p'itz\n<font color=green>ESP:</font> escarbar con los dedos\n<font color=orange>ENG:</font> to scrape with the fingers
p'isaqa	<font color=red>CHP:</font> p'izaka\n<font color=green>ESP:</font> perdiz\n<font color=orange>ENG:</font> partridge
waynalla	<font color=red>CHP:</font> p'iztjooa\n<font color=green>ESP:</font> jovencito\n<font color=orange>ENG:</font> male teenager
tawaqu	<font color=red>CHP:</font> p'iztur\n<font color=green>ESP:</font> jovencita\n<font color=orange>ENG:</font> female teenager
waynaña	<font color=red>CHP:</font> p'izurazzi\n<font color=green>ESP:</font> ser joven\n<font color=orange>ENG:</font> to be a teenager
muqu	<font color=red>CHP:</font> p'utu\n<font color=green>ESP:</font> grano (en cuerpo)\n<font color=orange>ENG:</font> pimple
p'uyruntata	<font color=red>CHP:</font> p'uyru\n<font color=green>ESP:</font> con estómago hinchado\n<font color=orange>ENG:</font> swollen stomach
p'uti	<font color=red>CHP:</font> p'uyru\n<font color=green>ESP:</font> petizo\n<font color=orange>ENG:</font> short, small
mutu	<font color=red>CHP:</font> queca\n<font color=green>ESP:</font> pecho\n<font color=orange>ENG:</font> chest
wañachiña	<font color=red>CHP:</font> queez\n<font color=green>ESP:</font> poner a secar\n<font color=orange>ENG:</font> to lay out to dry
jak'alla	<font color=red>CHP:</font> queez̈ulla\n<font color=green>ESP:</font> cerquita\n<font color=orange>ENG:</font> very near
muytaña	<font color=red>CHP:</font> quejps\n<font color=green>ESP:</font> volcar, dar vuelta\n<font color=orange>ENG:</font> to turn over
kutt'aniña	<font color=red>CHP:</font> quejpz̈quiz\n<font color=green>ESP:</font> regresar\n<font color=orange>ENG:</font> to return
axmachjaña, usuchjaña	<font color=red>CHP:</font> quejras\n<font color=green>ESP:</font> maltratar\n<font color=orange>ENG:</font> to mistreat
q'iwiña	<font color=red>CHP:</font> quejrñi\n<font color=green>ESP:</font> pellizcar, torcer\n<font color=orange>ENG:</font> to pinch (skin), to twist
millk'taña	<font color=red>CHP:</font> quejrquejrz\n<font color=green>ESP:</font> torcer, arrugar\n<font color=orange>ENG:</font> to twist, to bend, to wrinkle
llawqha k'anata	<font color=red>CHP:</font> quejrquejrzi\n<font color=green>ESP:</font> hilo ondulado, soga mal trenzada\n<font color=orange>ENG:</font> coiled thread, poorly braided rope
mismiña, k'antiña, qapuña	<font color=red>CHP:</font> quejrz\n<font color=green>ESP:</font> torcelar\n<font color=orange>ENG:</font> to twist
q'ala liq'iña	<font color=red>CHP:</font> quejz\n<font color=green>ESP:</font> tallar piedras\n<font color=orange>ENG:</font> to shape rocks
wayaqa	<font color=red>CHP:</font> quelz\n<font color=green>ESP:</font> bolsa tejida\n<font color=orange>ENG:</font> woven bag
saraña k'uttaña	<font color=red>CHP:</font> quepin c̈hjaki\n<font color=green>ESP:</font> ida y vuelta\n<font color=orange>ENG:</font> round trip
yaqha amtaña, may amtaña	<font color=red>CHP:</font> quepsic̈ha\n<font color=green>ESP:</font> cambiar de plan\n<font color=orange>ENG:</font> to change plans
samana, ch'isi	<font color=red>CHP:</font> quera\n<font color=green>ESP:</font> aire, brisa\n<font color=orange>ENG:</font> air, breeze
khirkhinchu	<font color=red>CHP:</font> querca\n<font color=green>ESP:</font> quirquincho\n<font color=orange>ENG:</font> quirquincho (type of armadillo)
urqu	<font color=red>CHP:</font> quero\n<font color=green>ESP:</font> macho\n<font color=orange>ENG:</font> male
urqu urqu	<font color=red>CHP:</font> querquero\n<font color=green>ESP:</font> constelación de Orión\n<font color=orange>ENG:</font> The Constellation Orion
urqu urqu	<font color=red>CHP:</font> querquero\n<font color=green>ESP:</font> muy macho (animales)\n<font color=orange>ENG:</font> very masculine (animals)
k'ank'a	<font color=red>CHP:</font> querwallpa\n<font color=green>ESP:</font> gallo\n<font color=orange>ENG:</font> rooster
wayräña	<font color=red>CHP:</font> querz\n<font color=green>ESP:</font> ventilar, ventear\n<font color=orange>ENG:</font> to air out
taqi chaqat wayra juthi	<font color=red>CHP:</font> querz̈quiñi\n<font color=green>ESP:</font> viento que viene de todos los lados al mismo tiempo\n<font color=orange>ENG:</font> wind that blows from all directions at once
pirwa	<font color=red>CHP:</font> quetala\n<font color=green>ESP:</font> pequeño recinto para guardar alimentos\n<font color=orange>ENG:</font> small place in the house to keep food
pampa quwi	<font color=red>CHP:</font> quetwana\n<font color=green>ESP:</font> conejo silvestre\n<font color=orange>ENG:</font> wild rabbit
yaqha marka	<font color=red>CHP:</font> quewajtja\n<font color=green>ESP:</font> otro pueblo\n<font color=orange>ENG:</font> another town
p'uñu	<font color=red>CHP:</font> quewi\n<font color=green>ESP:</font> tipo de cántaro\n<font color=orange>ENG:</font> large clay jug
k'usa	<font color=red>CHP:</font> quezi\n<font color=green>ESP:</font> chicha\n<font color=orange>ENG:</font> chicha, alcoholic drink from fermented corn
k'usa jama	<font color=red>CHP:</font> quezi cherchi\n<font color=green>ESP:</font> parecido a la chicha\n<font color=orange>ENG:</font> similar to chicha (corn beer)
kija	<font color=red>CHP:</font> quija\n<font color=green>ESP:</font> queja, demanda\n<font color=orange>ENG:</font> complaint, demand
kijiri	<font color=red>CHP:</font> quijñi\n<font color=green>ESP:</font> demandante\n<font color=orange>ENG:</font> plaintiff
kijata	<font color=red>CHP:</font> quijta\n<font color=green>ESP:</font> demandado\n<font color=orange>ENG:</font> defendant
ch'akuña	<font color=red>CHP:</font> quijtz\n<font color=green>ESP:</font> clavar\n<font color=orange>ENG:</font> to nail
k'ijasiña	<font color=red>CHP:</font> quijz\n<font color=green>ESP:</font> quejar, reclamar, demandar\n<font color=orange>ENG:</font> to make a complaint, to claim, to demand
killjataña	<font color=red>CHP:</font> quilljjatz\n<font color=green>ESP:</font> arrodillarse antes de una persona\n<font color=orange>ENG:</font> to kneel before a person
killjaña	<font color=red>CHP:</font> quillz\n<font color=green>ESP:</font> arrodillarse, hincarse\n<font color=orange>ENG:</font> to kneel down
kimsaqallqu	<font color=red>CHP:</font> quinsakalku\n<font color=green>ESP:</font> ocho\n<font color=orange>ENG:</font> eight
arjasiña, kuñtu q'ipiña	<font color=red>CHP:</font> quint'iñi = yatiiñi\n<font color=green>ESP:</font> chismear\n<font color=orange>ENG:</font> to gossip
awqa	<font color=red>CHP:</font> quintra\n<font color=green>ESP:</font> contra\n<font color=orange>ENG:</font> against
parlata	<font color=red>CHP:</font> quintrariu\n<font color=green>ESP:</font> contrario\n<font color=orange>ENG:</font> opposite, adverse
t'uruña	<font color=red>CHP:</font> quintraz\n<font color=green>ESP:</font> envidiar, guardar rencor\n<font color=orange>ENG:</font> to envy, to bear a grudge
kuñtu	<font color=red>CHP:</font> quintu\n<font color=green>ESP:</font> cuento, leyenda\n<font color=orange>ENG:</font> tale, legend
awqa	<font color=red>CHP:</font> quira\n<font color=green>ESP:</font> guerra\n<font color=orange>ENG:</font> war
ukanpinin qamiri	<font color=red>CHP:</font> quiriwillu\n<font color=green>ESP:</font> persona/animal que siempre vive en el mismo lugar\n<font color=orange>ENG:</font> person/animal who stays in one place
iyaqaña	<font color=red>CHP:</font> quiriyz\n<font color=green>ESP:</font> creer\n<font color=orange>ENG:</font> to believe
jalaqtaña, kirasiña	<font color=red>CHP:</font> quirz\n<font color=green>ESP:</font> quedarse\n<font color=orange>ENG:</font> to stay
qalantaña	<font color=red>CHP:</font> quirz\n<font color=green>ESP:</font> hacer piso, empedrar\n<font color=orange>ENG:</font> to lay a floor, to pave
tupu	<font color=red>CHP:</font> quits\n<font color=green>ESP:</font> prendedor, topo\n<font color=orange>ENG:</font> (hair)pin, bronze spoon used as adornment
pantjasiña	<font color=red>CHP:</font> quiwcs\n<font color=green>ESP:</font> equivocarse\n<font color=orange>ENG:</font> to be mistaken
kiwla	<font color=red>CHP:</font> quiwla\n<font color=green>ESP:</font> ave parecida al perdiz\n<font color=orange>ENG:</font> bird similar to partridge (green eggs)
kiwrantaña	<font color=red>CHP:</font> quiwrantiz\n<font color=green>ESP:</font> tener desgracia, tener quebranto, tener mala suerte\n<font color=orange>ENG:</font> to encounter adversity, to be in trouble, to have bad luck
khasaña	<font color=red>CHP:</font> quiwtizquiz\n<font color=green>ESP:</font> tener acidez del estómago\n<font color=orange>ENG:</font> to have heartburn
kiwu	<font color=red>CHP:</font> quiwu\n<font color=green>ESP:</font> dientes caninos\n<font color=orange>ENG:</font> canine teeth
k'illpha	<font color=red>CHP:</font> q'uijllpa\n<font color=green>ESP:</font> corte en oreja de animales para señalarlos\n<font color=orange>ENG:</font> cut in animal's ear to mark ownership
k'illphaña	<font color=red>CHP:</font> q'uillpjiz\n<font color=green>ESP:</font> cortar oreja de animales para señalarlos\n<font color=orange>ENG:</font> to make a cut in animal's ear to mark ownership
ayru, ali	<font color=red>CHP:</font> q'uipja\n<font color=green>ESP:</font> planta que de por sí se vuelve a producir el segundo año\n<font color=orange>ENG:</font> plant that grows a second year in an old patch
juyra laphilla	<font color=red>CHP:</font> q'uiri\n<font color=green>ESP:</font> hoja pequeña y seca de quinua\n<font color=orange>ENG:</font> small, dry quinua leaf
juyra sillp'a, juyra sillp'i	<font color=red>CHP:</font> q'uiri\n<font color=green>ESP:</font> cáscara de quinua\n<font color=orange>ENG:</font> crude quinua husk
chuxru kisu phayata	<font color=red>CHP:</font> q'uiriñi\n<font color=green>ESP:</font> queso cocido y duro\n<font color=orange>ENG:</font> cooked, hard cheese
k'ita	<font color=red>CHP:</font> q'uita\n<font color=green>ESP:</font> silvestre\n<font color=orange>ENG:</font> wild
wichhu	<font color=red>CHP:</font> q'uizi\n<font color=green>ESP:</font> paja suave\n<font color=orange>ENG:</font> soft, pliable straw
k'isimira, k'isimiri	<font color=red>CHP:</font> q'uizimiri\n<font color=green>ESP:</font> hormiga\n<font color=orange>ENG:</font> ant
ralu, may maya	<font color=red>CHP:</font> ralu\n<font color=green>ESP:</font> ralo\n<font color=orange>ENG:</font> thin, sparse
ramusa	<font color=red>CHP:</font> ramuz̈a\n<font color=green>ESP:</font> palma\n<font color=orange>ENG:</font> palm
ramaña	<font color=red>CHP:</font> ramz\n<font color=green>ESP:</font> aportar cuota\n<font color=orange>ENG:</font> to pay a quota, to contribute
