anaña, anakiña	<font color=red>CHP:</font> acjjz\n<font color=#2E8B57>ESP:</font> arrear\n<font color=#FF8C00>ENG:</font> to herd
pirst'aña	<font color=red>CHP:</font> pirz\n<font color=#2E8B57>ESP:</font> recoger hojas de legumbres\n<font color=#FF8C00>ENG:</font> to harvest vegetable leaves
pitaka	<font color=red>CHP:</font> pitaja\n<font color=#2E8B57>ESP:</font> maleta, petaca\n<font color=#FF8C00>ENG:</font> briefcase, suitcase, pouch
uja alxañataki	<font color=red>CHP:</font> pitajana\n<font color=#2E8B57>ESP:</font> oveja para la venta\n<font color=#FF8C00>ENG:</font> sheep for sale
p'itaña	<font color=red>CHP:</font> pitz\n<font color=#2E8B57>ESP:</font> fumar\n<font color=#FF8C00>ENG:</font> to smoke
piwuna	<font color=red>CHP:</font> piwuna\n<font color=#2E8B57>ESP:</font> peón\n<font color=#FF8C00>ENG:</font> peon, laborer
siqi, linta	<font color=red>CHP:</font> piyara\n<font color=#2E8B57>ESP:</font> línea\n<font color=#FF8C00>ENG:</font> line
awmintaña	<font color=red>CHP:</font> piz\n<font color=#2E8B57>ESP:</font> aumentar la tela para alcanzar la medida\n<font color=#FF8C00>ENG:</font> to add a piece of cloth to make big enough
paya	<font color=red>CHP:</font> pizc\n<font color=#2E8B57>ESP:</font> dos\n<font color=#FF8C00>ENG:</font> two
pisti	<font color=red>CHP:</font> pizti\n<font color=#2E8B57>ESP:</font> catarro (enfermedad)\n<font color=#FF8C00>ENG:</font> cold, catarrh (illness)
sumankaña, k'achankaña	<font color=red>CHP:</font> pjaajquizkatñi\n<font color=#2E8B57>ESP:</font> paz, pacificación\n<font color=#FF8C00>ENG:</font> peace, pacification
k'iwcha	<font color=red>CHP:</font> pjajch = pjajz\n<font color=#2E8B57>ESP:</font> hígado\n<font color=#FF8C00>ENG:</font> liver
phaxcha llawch'i	<font color=red>CHP:</font> pjajcha\n<font color=#2E8B57>ESP:</font> barro mojado\n<font color=#FF8C00>ENG:</font> damp mud
thasa	<font color=red>CHP:</font> pjajcha\n<font color=#2E8B57>ESP:</font> comida espesa\n<font color=#FF8C00>ENG:</font> thick food
katushthapi	<font color=red>CHP:</font> pjajcha\n<font color=#2E8B57>ESP:</font> pegajoso\n<font color=#FF8C00>ENG:</font> sticky
phaqhara, t'ika	<font color=red>CHP:</font> pjajkjalla\n<font color=#2E8B57>ESP:</font> flor\n<font color=#FF8C00>ENG:</font> flower
t'ikachaña, t'ikanchaña	<font color=red>CHP:</font> pjajkjallt'ish\n<font color=#2E8B57>ESP:</font> florear\n<font color=#FF8C00>ENG:</font> to flower, to decorate with flowers
k'iwcha	<font color=red>CHP:</font> pjajz = pjajch\n<font color=#2E8B57>ESP:</font> hígado\n<font color=#FF8C00>ENG:</font> liver
jump'iña	<font color=red>CHP:</font> pjalanz\n<font color=#2E8B57>ESP:</font> sudar\n<font color=#FF8C00>ENG:</font> to sweat
jaljaña, lakiña, t'aqaña	<font color=red>CHP:</font> pjalaquiya\n<font color=#2E8B57>ESP:</font> ¿vás a separar (los animales mezclados)?\n<font color=#FF8C00>ENG:</font> are you going to separate (the animals)?
jumpi	<font color=red>CHP:</font> pjalñi\n<font color=#2E8B57>ESP:</font> sudor\n<font color=#FF8C00>ENG:</font> sweat
p'alta	<font color=red>CHP:</font> pjalt'a\n<font color=#2E8B57>ESP:</font> cubo rectangular\n<font color=#FF8C00>ENG:</font> rectangular cube
t'aqaraña, apsuña	<font color=red>CHP:</font> pjalz\n<font color=#2E8B57>ESP:</font> apartar, separar, sacar\n<font color=#FF8C00>ENG:</font> to put aside, to separate
pilata	<font color=red>CHP:</font> pjalla\n<font color=#2E8B57>ESP:</font> trigo mote\n<font color=#FF8C00>ENG:</font> stewed wheat
phamiliya	<font color=red>CHP:</font> pjamilla = jamilla\n<font color=#2E8B57>ESP:</font> familia\n<font color=#FF8C00>ENG:</font> family
wila unkhayllu	<font color=red>CHP:</font> pjanapjana\n<font color=#2E8B57>ESP:</font> Pato colorado (pájaro acuático)\n<font color=#FF8C00>ENG:</font> Cinnamon Teal (waterbird)
jasa	<font color=red>CHP:</font> pjanch'u\n<font color=#2E8B57>ESP:</font> blando\n<font color=#FF8C00>ENG:</font> soft, squishy
phuju	<font color=red>CHP:</font> pjanz\n<font color=#2E8B57>ESP:</font> fontanela\n<font color=#FF8C00>ENG:</font> soft spot on baby's head
lankhu, phatu, lik'i	<font color=red>CHP:</font> pjapza\n<font color=#2E8B57>ESP:</font> gordo\n<font color=#FF8C00>ENG:</font> fat, big
phurastiru	<font color=red>CHP:</font> pjarastiru\n<font color=#2E8B57>ESP:</font> extranjero\n<font color=#FF8C00>ENG:</font> foreigner
phasanqalla	<font color=red>CHP:</font> pjasankalla\n<font color=#2E8B57>ESP:</font> cereal tostado\n<font color=#FF8C00>ENG:</font> toasted cereals
phisara	<font color=red>CHP:</font> pjasara\n<font color=#2E8B57>ESP:</font> quinua/arroz graneado\n<font color=#FF8C00>ENG:</font> granulated quinua/rice
ch'axrapiyasiña	<font color=red>CHP:</font> pjaticaz\n<font color=#2E8B57>ESP:</font> no poder dormir, fatigarse\n<font color=#FF8C00>ENG:</font> to be unable to sleep, to get tired
phallantasiña	<font color=red>CHP:</font> pjats\n<font color=#2E8B57>ESP:</font> reventarse\n<font color=#FF8C00>ENG:</font> to burst
phallaña	<font color=red>CHP:</font> pjatz\n<font color=#2E8B57>ESP:</font> reventar\n<font color=#FF8C00>ENG:</font> to burst
phawxataña	<font color=red>CHP:</font> pjawz\n<font color=#2E8B57>ESP:</font> ofrecer coca/alcohol a deidades\n<font color=#FF8C00>ENG:</font> to offer coca/alcohol to deities
ch'ampa	<font color=red>CHP:</font> pjaya\n<font color=#2E8B57>ESP:</font> champa, tepe\n<font color=#FF8C00>ENG:</font> sod cut for building
phayaña	<font color=red>CHP:</font> pjayapjaya\n<font color=#2E8B57>ESP:</font> terminar de comer toda la carne\n<font color=#FF8C00>ENG:</font> to finish all the meat
phayna	<font color=red>CHP:</font> pjayna\n<font color=#2E8B57>ESP:</font> trabajo comunal\n<font color=#FF8C00>ENG:</font> communal work
phagnaña	<font color=red>CHP:</font> pjayniz\n<font color=#2E8B57>ESP:</font> trabajar en comunidad\n<font color=#FF8C00>ENG:</font> to work with the community
pasakana	<font color=red>CHP:</font> pjazacana\n<font color=#2E8B57>ESP:</font> fruta de cacto\n<font color=#FF8C00>ENG:</font> cactus fruit
phuyu	<font color=red>CHP:</font> pjazi\n<font color=#2E8B57>ESP:</font> pluma\n<font color=#FF8C00>ENG:</font> feather
phasila	<font color=red>CHP:</font> pjazila\n<font color=#2E8B57>ESP:</font> fácil\n<font color=#FF8C00>ENG:</font> easy
qaqa	<font color=red>CHP:</font> pjeta\n<font color=#2E8B57>ESP:</font> agujero\n<font color=#FF8C00>ENG:</font> hole
Lakajawira	<font color=red>CHP:</font> pjetpuju\n<font color=#2E8B57>ESP:</font> río Lacajawira\n<font color=#FF8C00>ENG:</font> The Lacajawira River
qaqaraña	<font color=red>CHP:</font> pjetz\n<font color=#2E8B57>ESP:</font> perforar, agujerar\n<font color=#FF8C00>ENG:</font> to perforate, to pierce
chhulla chhulla	<font color=red>CHP:</font> pjewi\n<font color=#2E8B57>ESP:</font> rocío\n<font color=#FF8C00>ENG:</font> dew
juyphi	<font color=red>CHP:</font> pjewñi\n<font color=#2E8B57>ESP:</font> escarcha\n<font color=#FF8C00>ENG:</font> frost
juyphiraña	<font color=red>CHP:</font> pjewz\n<font color=#2E8B57>ESP:</font> escarchar\n<font color=#FF8C00>ENG:</font> to frost
phuqhantata, sisart'ata	<font color=red>CHP:</font> pjicz\n<font color=#2E8B57>ESP:</font> hartarse de comida\n<font color=#FF8C00>ENG:</font> to have enough food, to be stuffed
pichaña	<font color=red>CHP:</font> pjijchaña = pichaña\n<font color=#2E8B57>ESP:</font> escoba\n<font color=#FF8C00>ENG:</font> broom
quñart'aña	<font color=red>CHP:</font> pjijllz = wjijllz\n<font color=#2E8B57>ESP:</font> suavizar lana para hilar\n<font color=#FF8C00>ENG:</font> to pull apart matted, crude wool to spin
lankhu wiskha	<font color=red>CHP:</font> pjijra\n<font color=#2E8B57>ESP:</font> cuerda para hacer soga\n<font color=#FF8C00>ENG:</font> cord to make rope
mismiña	<font color=red>CHP:</font> pjijrz\n<font color=#2E8B57>ESP:</font> torcelar lana para soga\n<font color=#FF8C00>ENG:</font> to twist wool to make rope
juch'usu, k'allka, k'ullku	<font color=red>CHP:</font> pjijsa\n<font color=#2E8B57>ESP:</font> angosto\n<font color=#FF8C00>ENG:</font> narrow, tight
sik'a qaqalla	<font color=red>CHP:</font> pjijsa\n<font color=#2E8B57>ESP:</font> agujero pequeño\n<font color=#FF8C00>ENG:</font> small hole
phisqa	<font color=red>CHP:</font> pjijska\n<font color=#2E8B57>ESP:</font> cinco\n<font color=#FF8C00>ENG:</font> five
phiju (yatiri)	<font color=red>CHP:</font> pjiju\n<font color=#2E8B57>ESP:</font> yatiri que acierta sus pronósticos\n<font color=#FF8C00>ENG:</font> diviner whose predictions are correct
jararunkha	<font color=red>CHP:</font> pjijzka\n<font color=#2E8B57>ESP:</font> lagartija\n<font color=#FF8C00>ENG:</font> small lizard
p'isqura	<font color=red>CHP:</font> pjijzkura\n<font color=#2E8B57>ESP:</font> Juez de agua (pájaro)\n<font color=#FF8C00>ENG:</font> Bar-winged Cinclodes (small bird, cream color or brownish white)
jinchu k'uchulla parlaña	<font color=red>CHP:</font> pjijzpiz\n<font color=#2E8B57>ESP:</font> cuchichear, susurrar\n<font color=#FF8C00>ENG:</font> to whisper
phista	<font color=red>CHP:</font> pjijzta\n<font color=#2E8B57>ESP:</font> fiesta, día de descanso\n<font color=#FF8C00>ENG:</font> fiesta, holiday
ch'alla	<font color=red>CHP:</font> pjila\n<font color=#2E8B57>ESP:</font> arena\n<font color=#FF8C00>ENG:</font> sand
puru, q'ayru	<font color=red>CHP:</font> pjina\n<font color=#2E8B57>ESP:</font> alcohol puro\n<font color=#FF8C00>ENG:</font> pure alcohol
q'ayru	<font color=red>CHP:</font> pjina\n<font color=#2E8B57>ESP:</font> almacén de papa bajo la tierra\n<font color=#FF8C00>ENG:</font> root cellar
phiñu, quyllu chuqi	<font color=red>CHP:</font> pjiñu\n<font color=#2E8B57>ESP:</font> tipo de papa\n<font color=#FF8C00>ENG:</font> type of potato
phiri, chuchumiri	<font color=red>CHP:</font> pjiri\n<font color=#2E8B57>ESP:</font> harina tostada y revuelta en agua\n<font color=#FF8C00>ENG:</font> toasted flour mixed with water
phrisku	<font color=red>CHP:</font> pjirizcu\n<font color=#2E8B57>ESP:</font> fresco\n<font color=#FF8C00>ENG:</font> fresh
ñaxu	<font color=red>CHP:</font> pjiru\n<font color=#2E8B57>ESP:</font> feo, malo\n<font color=#FF8C00>ENG:</font> ugly, bad
phiriña	<font color=red>CHP:</font> pjirz\n<font color=#2E8B57>ESP:</font> preparar harina tostada y revuelta en agua\n<font color=#FF8C00>ENG:</font> to make toasted flour mixed with water
wichhu	<font color=red>CHP:</font> pjit\n<font color=#2E8B57>ESP:</font> paja\n<font color=#FF8C00>ENG:</font> straw
llijt'a	<font color=red>CHP:</font> pjiti\n<font color=#2E8B57>ESP:</font> lejía\n<font color=#FF8C00>ENG:</font> substance made of quinoa and flour to chew with coca
pulli, phuskallu, ch'api	<font color=red>CHP:</font> pjizcallu\n<font color=#2E8B57>ESP:</font> planta espinosa\n<font color=#FF8C00>ENG:</font> small spiny plant
ayni phuqhaña	<font color=red>CHP:</font> pjojkz\n<font color=#2E8B57>ESP:</font> cancelar\n<font color=#FF8C00>ENG:</font> to cancel
phuqhaña	<font color=red>CHP:</font> pjojkz\n<font color=#2E8B57>ESP:</font> cumplir\n<font color=#FF8C00>ENG:</font> to fulfill, to carry out, to finish
phuju phuqha	<font color=red>CHP:</font> pjoma\n<font color=#2E8B57>ESP:</font> pozo con mucha agua\n<font color=#FF8C00>ENG:</font> well with a lot of water
qhapaña	<font color=red>CHP:</font> pjucz\n<font color=#2E8B57>ESP:</font> tapar\n<font color=#FF8C00>ENG:</font> to cover, to block
puruka	<font color=red>CHP:</font> pjuch\n<font color=#2E8B57>ESP:</font> estómago\n<font color=#FF8C00>ENG:</font> stomach
puraka t'uxruntata	<font color=red>CHP:</font> pjuch cora\n<font color=#2E8B57>ESP:</font> estómago vacío, cintura delgada\n<font color=#FF8C00>ENG:</font> empty stomach, slender waist
manq'a q'ara	<font color=red>CHP:</font> pjuch pjeta\n<font color=#2E8B57>ESP:</font> aprovechador\n<font color=#FF8C00>ENG:</font> opportunist
sillp'i	<font color=red>CHP:</font> pjujculchi\n<font color=#2E8B57>ESP:</font> tierra levantada por frío o sequedad\n<font color=#FF8C00>ENG:</font> raised earth due to frost/dryness
phusulli	<font color=red>CHP:</font> pjujculchi\n<font color=#2E8B57>ESP:</font> ampolla\n<font color=#FF8C00>ENG:</font> blister
jalsuri, umajalsu	<font color=red>CHP:</font> pjuju\n<font color=#2E8B57>ESP:</font> vertiente\n<font color=#FF8C00>ENG:</font> spring
phusaña	<font color=red>CHP:</font> pjujz\n<font color=#2E8B57>ESP:</font> soplar\n<font color=#FF8C00>ENG:</font> to blow
ikiña, phullu	<font color=red>CHP:</font> pjullu = pirsata = tjajjzquiti\n<font color=#2E8B57>ESP:</font> frazada, cama\n<font color=#FF8C00>ENG:</font> blanket, bed
jupuqiyaña	<font color=red>CHP:</font> pjullunquiz\n<font color=#2E8B57>ESP:</font> agua burbujeando en vertiente\n<font color=#FF8C00>ENG:</font> water bubbling in spring
kuka, anqhuñuq phura	<font color=red>CHP:</font> pjura\n<font color=#2E8B57>ESP:</font> parte inferior de ancañoco (raíz parásita de tola)\n<font color=#FF8C00>ENG:</font> lower part of ancañoco (parasitic root of bush)
ñitthapita	<font color=red>CHP:</font> pjura\n<font color=#2E8B57>ESP:</font> coca aplastada\n<font color=#FF8C00>ENG:</font> pressed coca
ch'utu, mujina	<font color=red>CHP:</font> pjurna\n<font color=#2E8B57>ESP:</font> parte superior, cumbre\n<font color=#FF8C00>ENG:</font> upper part, peak, top
ch'amanti	<font color=red>CHP:</font> pjursanti\n<font color=#2E8B57>ESP:</font> fuerte, con fuerza\n<font color=#FF8C00>ENG:</font> strong, with force
ch'axwa	<font color=red>CHP:</font> pjurti\n<font color=#2E8B57>ESP:</font> fuerte (sonido)\n<font color=#FF8C00>ENG:</font> loud
phurtuna	<font color=red>CHP:</font> pjurtuna\n<font color=#2E8B57>ESP:</font> suerte, fortuna\n<font color=#FF8C00>ENG:</font> luck, fortune
phruta, musq'a achu	<font color=red>CHP:</font> pjuruta\n<font color=#2E8B57>ESP:</font> fruta\n<font color=#FF8C00>ENG:</font> fruit
jat'tapiña	<font color=red>CHP:</font> pjurz\n<font color=#2E8B57>ESP:</font> agarrar con garras, asegurar con gancho\n<font color=#FF8C00>ENG:</font> to grab with the claws, to pin
t'aktata	<font color=red>CHP:</font> pjuta\n<font color=#2E8B57>ESP:</font> calma, quietud (del tiempo)\n<font color=#FF8C00>ENG:</font> calm, tranquil (weather)
qanuña	<font color=red>CHP:</font> pjuyaziz\n<font color=#2E8B57>ESP:</font> rumiar\n<font color=#FF8C00>ENG:</font> to ruminate
mallku, t'alla, pukara	<font color=red>CHP:</font> pocara = kontawi\n<font color=#2E8B57>ESP:</font> pilón de piedras como efigie\n<font color=#FF8C00>ENG:</font> pile of rocks as an effigy
puku puku	<font color=red>CHP:</font> poco poco\n<font color=#2E8B57>ESP:</font> Pucu pucu (ave)\n<font color=#FF8C00>ENG:</font> Gray-breasted Seedsnipe (bird)
yaq'allachi	<font color=red>CHP:</font> pocuchi\n<font color=#2E8B57>ESP:</font> vejiga\n<font color=#FF8C00>ENG:</font> bladder
pansa, purapa, paypacha	<font color=red>CHP:</font> pocultan = porap\n<font color=#2E8B57>ESP:</font> los dos, ambos\n<font color=#FF8C00>ENG:</font> both
wila sayt'ata	<font color=red>CHP:</font> pocullchi\n<font color=#2E8B57>ESP:</font> sangre coagulada\n<font color=#FF8C00>ENG:</font> coagulated blood
thasa, sankhu	<font color=red>CHP:</font> poki = tacja\n<font color=#2E8B57>ESP:</font> comida espesa\n<font color=#FF8C00>ENG:</font> thick food
tuntirata	<font color=red>CHP:</font> pompiz\n<font color=#2E8B57>ESP:</font> descolorar/quemar por el sol\n<font color=#FF8C00>ENG:</font> to discolor/to burn from the sun
puquyaña	<font color=red>CHP:</font> pookz\n<font color=#2E8B57>ESP:</font> producir\n<font color=#FF8C00>ENG:</font> to produce
khariña, kharisiña	<font color=red>CHP:</font> pootz\n<font color=#2E8B57>ESP:</font> cortar, cortarse\n<font color=#FF8C00>ENG:</font> to cut, to cut oneself
puraka	<font color=red>CHP:</font> poracalla\n<font color=#2E8B57>ESP:</font> estómago, primer estómago de rumiantes\n<font color=#FF8C00>ENG:</font> stomach, first stomach of ruminants
pansa, purapa, paypacha	<font color=red>CHP:</font> porap = pocultan\n<font color=#2E8B57>ESP:</font> los dos, ambos\n<font color=#FF8C00>ENG:</font> both
purapata	<font color=red>CHP:</font> porapat\n<font color=#2E8B57>ESP:</font> entre sí\n<font color=#FF8C00>ENG:</font> between one another
puri, wajcha	<font color=red>CHP:</font> pori\n<font color=#2E8B57>ESP:</font> pobre\n<font color=#FF8C00>ENG:</font> poor
layrankiri	<font color=red>CHP:</font> primiraqui = pirimiraqui\n<font color=#2E8B57>ESP:</font> primero\n<font color=#FF8C00>ENG:</font> first
chhama	<font color=red>CHP:</font> pucuta\n<font color=#2E8B57>ESP:</font> montón de ramas no desgranadas\n<font color=#FF8C00>ENG:</font> sheaves
t'uq t'uq, putj putj	<font color=red>CHP:</font> pujtpujtz\n<font color=#2E8B57>ESP:</font> sonido de golpe/de pasos\n<font color=#FF8C00>ENG:</font> sound of a hit/of steps
phatu	<font color=red>CHP:</font> pujtza\n<font color=#2E8B57>ESP:</font> gordo\n<font color=#FF8C00>ENG:</font> fat, big
phatu	<font color=red>CHP:</font> pujtza\n<font color=#2E8B57>ESP:</font> adobe grueso\n<font color=#FF8C00>ENG:</font> thick, coarse adobe
ch'ina	<font color=red>CHP:</font> pujtza\n<font color=#2E8B57>ESP:</font> nalgas, ancas\n<font color=#FF8C00>ENG:</font> buttock, behind
jawira	<font color=red>CHP:</font> puju\n<font color=#2E8B57>ESP:</font> río\n<font color=#FF8C00>ENG:</font> river
payuru	<font color=red>CHP:</font> pukmajj\n<font color=#2E8B57>ESP:</font> dos días\n<font color=#FF8C00>ENG:</font> two days
chuyma	<font color=red>CHP:</font> pulmuna\n<font color=#2E8B57>ESP:</font> pulmón\n<font color=#FF8C00>ENG:</font> lungs
janq'u purakan khuchi	<font color=red>CHP:</font> pulsana\n<font color=#2E8B57>ESP:</font> chancho con vientre blanco\n<font color=#FF8C00>ENG:</font> pig with white belly
pulu	<font color=red>CHP:</font> pulu\n<font color=#2E8B57>ESP:</font> borde de tela\n<font color=#FF8C00>ENG:</font> hem of cloth
wulsa, wayaqa	<font color=red>CHP:</font> pulza\n<font color=#2E8B57>ESP:</font> bolsa para plata\n<font color=#FF8C00>ENG:</font> money-bag
ilastiku, q'awchi, puma	<font color=red>CHP:</font> puma\n<font color=#2E8B57>ESP:</font> goma, borrador\n<font color=#FF8C00>ENG:</font> rubber, eraser
wankara, pumpu	<font color=red>CHP:</font> pumpo\n<font color=#2E8B57>ESP:</font> bombo\n<font color=#FF8C00>ENG:</font> bass drum
punchu	<font color=red>CHP:</font> punchu\n<font color=#2E8B57>ESP:</font> poncho\n<font color=#FF8C00>ENG:</font> poncho
punta, walipunta	<font color=red>CHP:</font> punta = walipunta\n<font color=#2E8B57>ESP:</font> animal más grande, animal líder\n<font color=#FF8C00>ENG:</font> biggest animal, lead animal
chhuqtas waytaña	<font color=red>CHP:</font> puntalz\n<font color=#2E8B57>ESP:</font> apuntalar, sujetar\n<font color=#FF8C00>ENG:</font> to prop up, to fasten
kurta pluma	<font color=red>CHP:</font> puntillu\n<font color=#2E8B57>ESP:</font> cortaplumas para marcar animales en la oreja\n<font color=#FF8C00>ENG:</font> small knife to mark animals' ears
suti	<font color=red>CHP:</font> puntuni\n<font color=#2E8B57>ESP:</font> hábil\n<font color=#FF8C00>ENG:</font> capable, skillful
phinti	<font color=red>CHP:</font> puriña\n<font color=#2E8B57>ESP:</font> bañador\n<font color=#FF8C00>ENG:</font> washbasin
purjataña	<font color=red>CHP:</font> purjjatz\n<font color=#2E8B57>ESP:</font> llegar con abundancia (agua, viento)\n<font color=#FF8C00>ENG:</font> to come abundantly (water, wind)
wurlasiña	<font color=red>CHP:</font> purlaz\n<font color=#2E8B57>ESP:</font> burlar\n<font color=#FF8C00>ENG:</font> to make fun of
awirwiyt'aña	<font color=red>CHP:</font> purwiiz\n<font color=#2E8B57>ESP:</font> averiguar\n<font color=#FF8C00>ENG:</font> to inquire, to verify
liwi anatañataki	<font color=red>CHP:</font> puti\n<font color=#2E8B57>ESP:</font> boleadoras para jugar\n<font color=#FF8C00>ENG:</font> bolas for play
phatu phisphi	<font color=red>CHP:</font> puti ata\n<font color=#2E8B57>ESP:</font> labio grueso\n<font color=#FF8C00>ENG:</font> big lip
wutilla	<font color=red>CHP:</font> putilla\n<font color=#2E8B57>ESP:</font> botella\n<font color=#FF8C00>ENG:</font> bottle
luqiri	<font color=red>CHP:</font> putira\n<font color=#2E8B57>ESP:</font> guía especialista en el ritual\n<font color=#FF8C00>ENG:</font> specialized guide in rituals
yuru, wasinika	<font color=red>CHP:</font> putiza = wasinica\n<font color=#2E8B57>ESP:</font> jarra, bacín\n<font color=#FF8C00>ENG:</font> jar, jug, pitcher, chamber pot
putuku	<font color=red>CHP:</font> putucu\n<font color=#2E8B57>ESP:</font> casa de estancia\n<font color=#FF8C00>ENG:</font> house in the field
wutuna	<font color=red>CHP:</font> putuna\n<font color=#2E8B57>ESP:</font> botón\n<font color=#FF8C00>ENG:</font> button
yawri	<font color=red>CHP:</font> putunira\n<font color=#2E8B57>ESP:</font> aguja para poner arretes a los animales\n<font color=#FF8C00>ENG:</font> needle to put earrings in animals' ears
puytu	<font color=red>CHP:</font> puytu\n<font color=#2E8B57>ESP:</font> cría destetada\n<font color=#FF8C00>ENG:</font> weaned offspring
pirintjaña	<font color=red>CHP:</font> puzitiz\n<font color=#2E8B57>ESP:</font> empeñar\n<font color=#FF8C00>ENG:</font> to pawn
ch'umpi ch'amak	<font color=red>CHP:</font> puz̈i\n<font color=#2E8B57>ESP:</font> color de café oscuro\n<font color=#FF8C00>ENG:</font> dark brown color of animals
p'axpaku	<font color=red>CHP:</font> p'ajjpacu\n<font color=#2E8B57>ESP:</font> persona que no cumple\n<font color=#FF8C00>ENG:</font> person that makes promises but never fulfills them
p'axpaña	<font color=red>CHP:</font> p'ajjpaquiiz\n<font color=#2E8B57>ESP:</font> no cumplir (promesa, pacto)\n<font color=#FF8C00>ENG:</font> not to fulfill, to break (promise, agreement)
t'iqi	<font color=red>CHP:</font> p'ata\n<font color=#2E8B57>ESP:</font> bulto muy lleno y apretado\n<font color=#FF8C00>ENG:</font> full, tight bundle
p'iqinchaña	<font color=red>CHP:</font> p'ekinchayz\n<font color=#2E8B57>ESP:</font> animar\n<font color=#FF8C00>ENG:</font> to encourage
p'iqintasiña	<font color=red>CHP:</font> p'ektiz\n<font color=#2E8B57>ESP:</font> animarse\n<font color=#FF8C00>ENG:</font> to be stimulated, to be encouraged, to be excited
p'isqi	<font color=red>CHP:</font> p'iske\n<font color=#2E8B57>ESP:</font> sopa de quinua\n<font color=#FF8C00>ENG:</font> quinoa soup
ch'api p'itsusiña	<font color=red>CHP:</font> p'itz\n<font color=#2E8B57>ESP:</font> sacar (espina)\n<font color=#FF8C00>ENG:</font> to pull out (thorn)
p'itsuña	<font color=red>CHP:</font> p'itz\n<font color=#2E8B57>ESP:</font> terminar un tejido\n<font color=#FF8C00>ENG:</font> to finish weaving a textile
p'iyaña, jatsuña	<font color=red>CHP:</font> p'itz\n<font color=#2E8B57>ESP:</font> escarbar con los dedos\n<font color=#FF8C00>ENG:</font> to scrape with the fingers
p'isaqa	<font color=red>CHP:</font> p'izaka\n<font color=#2E8B57>ESP:</font> perdiz\n<font color=#FF8C00>ENG:</font> partridge
waynalla	<font color=red>CHP:</font> p'iztjooa\n<font color=#2E8B57>ESP:</font> jovencito\n<font color=#FF8C00>ENG:</font> male teenager
tawaqu	<font color=red>CHP:</font> p'iztur\n<font color=#2E8B57>ESP:</font> jovencita\n<font color=#FF8C00>ENG:</font> female teenager
waynaña	<font color=red>CHP:</font> p'izurazzi\n<font color=#2E8B57>ESP:</font> ser joven\n<font color=#FF8C00>ENG:</font> to be a teenager
muqu	<font color=red>CHP:</font> p'utu\n<font color=#2E8B57>ESP:</font> grano (en cuerpo)\n<font color=#FF8C00>ENG:</font> pimple
p'uyruntata	<font color=red>CHP:</font> p'uyru\n<font color=#2E8B57>ESP:</font> con estómago hinchado\n<font color=#FF8C00>ENG:</font> swollen stomach
p'uti	<font color=red>CHP:</font> p'uyru\n<font color=#2E8B57>ESP:</font> petizo\n<font color=#FF8C00>ENG:</font> short, small
mutu	<font color=red>CHP:</font> queca\n<font color=#2E8B57>ESP:</font> pecho\n<font color=#FF8C00>ENG:</font> chest
wañachiña	<font color=red>CHP:</font> queez\n<font color=#2E8B57>ESP:</font> poner a secar\n<font color=#FF8C00>ENG:</font> to lay out to dry
jak'alla	<font color=red>CHP:</font> queez̈ulla\n<font color=#2E8B57>ESP:</font> cerquita\n<font color=#FF8C00>ENG:</font> very near
muytaña	<font color=red>CHP:</font> quejps\n<font color=#2E8B57>ESP:</font> volcar, dar vuelta\n<font color=#FF8C00>ENG:</font> to turn over
kutt'aniña	<font color=red>CHP:</font> quejpz̈quiz\n<font color=#2E8B57>ESP:</font> regresar\n<font color=#FF8C00>ENG:</font> to return
axmachjaña, usuchjaña	<font color=red>CHP:</font> quejras\n<font color=#2E8B57>ESP:</font> maltratar\n<font color=#FF8C00>ENG:</font> to mistreat
q'iwiña	<font color=red>CHP:</font> quejrñi\n<font color=#2E8B57>ESP:</font> pellizcar, torcer\n<font color=#FF8C00>ENG:</font> to pinch (skin), to twist
millk'taña	<font color=red>CHP:</font> quejrquejrz\n<font color=#2E8B57>ESP:</font> torcer, arrugar\n<font color=#FF8C00>ENG:</font> to twist, to bend, to wrinkle
llawqha k'anata	<font color=red>CHP:</font> quejrquejrzi\n<font color=#2E8B57>ESP:</font> hilo ondulado, soga mal trenzada\n<font color=#FF8C00>ENG:</font> coiled thread, poorly braided rope
mismiña, k'antiña, qapuña	<font color=red>CHP:</font> quejrz\n<font color=#2E8B57>ESP:</font> torcelar\n<font color=#FF8C00>ENG:</font> to twist
q'ala liq'iña	<font color=red>CHP:</font> quejz\n<font color=#2E8B57>ESP:</font> tallar piedras\n<font color=#FF8C00>ENG:</font> to shape rocks
wayaqa	<font color=red>CHP:</font> quelz\n<font color=#2E8B57>ESP:</font> bolsa tejida\n<font color=#FF8C00>ENG:</font> woven bag
saraña k'uttaña	<font color=red>CHP:</font> quepin c̈hjaki\n<font color=#2E8B57>ESP:</font> ida y vuelta\n<font color=#FF8C00>ENG:</font> round trip
yaqha amtaña, may amtaña	<font color=red>CHP:</font> quepsic̈ha\n<font color=#2E8B57>ESP:</font> cambiar de plan\n<font color=#FF8C00>ENG:</font> to change plans
samana, ch'isi	<font color=red>CHP:</font> quera\n<font color=#2E8B57>ESP:</font> aire, brisa\n<font color=#FF8C00>ENG:</font> air, breeze
khirkhinchu	<font color=red>CHP:</font> querca\n<font color=#2E8B57>ESP:</font> quirquincho\n<font color=#FF8C00>ENG:</font> quirquincho (type of armadillo)
