abajo	Uray.
horadar	Hutk'uy, uchkuy.
horca	Warkuna.
horcón	Kallapa.
hormiga	Sisi.
hospedar	Qurpachay, samaykachiy.
hostigar	Amichiy.
hostil	Awqa.
hoy	Kunan, kanan.
hoya	Wayq'u, p'ukru.
hoz	Rutuna.
hozar	Uksiy, untiy.
hueco	T'uqu, hutk'u, uchku.
huella	Yupi.
huérfano	Wakcha.
huero	Lluqllu, luqlu.
huerta	Muya.
hueso	Tullu.
huésped	Qurpachakuq, samapakuq.
huevo	Runtu.
huir	Ayqiy, qispiy.
humanidad	Runa kay.
humear	Q'usñiy.
humedad	Huq'u, nuyasqa.
humillar	K'umuchikuy, ullpuykachiy.
humo	Q'usñi, wapsi.
hurtar	Suway, suwakuy.
husmear	Mutkipakuy, muskikachay.
huso	Puchkha.
idear	Yuyay, yuyaykuy.
idéntico	Kaqlla, paqtalla, kuskalla.
idioma	Simi, rimay.
idiota	P'anra, mana yachaq.
ignorar	Mana yachay.
igual	Kuska, hinalla.
igualar	Kuskachay.
iluminar	K'anchachiy.
ilustrar	Yachachiy.
imagen	Rikch'ay.
imaginar	Yuyaykuy.
imborrable	Mana pichakuq, mana chinkaq.
imitar	Qatichiy, yachapakuy.
impar	Ch'ullan.
impedir	Hark'ay, mich'akuy.
imperecedero	Mana tukukuq.
implorar	Mañay, mañarikuy.
impotente	Qumi, urwa.
imputar	Huchachay.
inacabable	Mana tukuq.
inamovible	Mana kuyuchina.
inaudito	Mana uyarisqa.
incansable	Mana sayk'uq, mana pisipaq.
incapaz	Mana atiq.
incendiar	Ruphachiy, kañay.
incinerar	Uchphayachiy.
incipiente	Qallariq.
incitar	Yachachiy.
inclinarse	K'umukuy.
incomodar	Phiñachiy.
incompleto	Mana hunt'asqa, mana tukusqa.
incomprensible	Mana hamutana. (hamut'ana?)
inconsciente	Mana hamutaq. (hamut'aq?)
incontable	Mana yupana.
incorregible	Mana wanaq.
incremento	Miray.
incubar	Uqllay.
inculcar	Willapayay, kunapayay.
inculpar	Huchachay, tumpay.
incurable	Mana alliyaq.
indagar	Tapuykachay.
ndecible	Mana rimana.
indeleble	Mana pichakuq, mana chinkariq.
indemnizar	Kutichipuy, qupuy.
indicar	Riqsichiy, rikuchiy.
indigente	Wakcha.
indignado	Phiñasqa.
indisponer	Chiqnipachiy.
indocto	Mana yachaq.
indolente	Mana llakikuq.
indomable	Sallqa.
inducir	Tanqay.
indulto	Pampachay.
inequívoco	Mana pantana.
inexistente	Mana kawsaq.
infamar	Wasan rimay.
infante	Wawa.
inferior	Sullk'a, urayninpi.
infinito	Mana tukuq, tupunnaq.
inflamar	Rawray.
inflar	Phukurquy.
informar	Willay.
infringir	Sarunchay, p'akiy.
ingenioso	Hamutaq, yachaysapa.
inhumación	P'ampay.
injuriar	Allquchay, qamiy.
inmiscuirse	Chhaqrukuy.
inmortal	Mana wañuq.
inmundo	Qhilli, qanra.
inocente	Mana huchayuq.
inolvidable	Mana qunqana.
inquirir	Tapuykachay.
insaciable	Mana saksaq.
insecto	Uru.
inseparable	Mana rakikuq.
insignia	Unancha.
insípido	Q'ayma, qamya.
insoluble	Mana chulluq.
inspector	Qhawaq.
instruir	Yachachiy.
insultar	Q'amiy.
intacto	Kaqlla, chaynalla.
íntegro	Lliw, llapan.
inteligente	Umayuq, yuyayniyuq.
intercalar	Chawpichay.
interceder	Mañapuy, rimapuy.
interés	Wachaynin.
interior	Ukhu.
intermedio	Chawpin.
interminable	Mana tukuq.
internar	Yaykuchiy.
interpelar	Tapupayay.
interrogar	Tapuy.
interrumpir	Hark'ay.
intestinos	Ch'unchulli.
intimar	Qatiriy.
intimidar	Manchachiy.
intrépido	Mana manchaq.
introducir	Yaykuchiy, pusaykuy, sat'iy, usthuchiy.
inundar	Lluqllay.
inútil	Yanqa.
invadir	Yaykuy.
inventar	Rikhurichiy, paqarichiy.
invertir	Chaquy, t'ikray.
investigar	Maskhay.
ir	Riy.
ira	Phiña kay.
iracundo	Phiña sunqu.
izquierdo	Lluq'i, ichuq.
jadear	Sayk'uy.
jalar	Chutay, aysay.
jamás	Mana imaypas, mana hayk'aq.
jarana	Machay, upyay.
jardín	Muya.
jarro	P'uyñu, wisina.
jeta	Wirp'a.
jiba	Muqu, k'umu.
jornalero	Llamk'aq.
joven	(varón): warma, wayna.\n(mujer): warma, sipas.
jovial	Sumaq sunqu.
juego	Pukllay.
jugador	Pukllaq.
jugo	Wiqin.
juguete	Pukllana.
juicio	Yuyay.
juicioso	Yuyayniyuq.
junta	Tantanakuy, huñunakuy.
juntar	Tantay, huñuy.
junto	Kuska, pura.
justo	Chanin.
justicia	Chaninchay.
labio	Wirp'a.
labor	Rurana.
laborioso	Llamk'akuq, rurakuq.
labrar	(cualquier cosa): llamk'ay.\n(la madera): llaqllay.\n(la tierra, arar): yapuy, chakmay.
labriego	Llamk'aq, chakraruna.
lactar	Ñuñuy.
ladear	Waklliy, waqlliy.
ladera	Waqta, kinray.
lado	(derecho): paña, alliq.\n(izquierdo): lluq'i, ichuq.\n(del frente): chimpa.\n(hacia un lado): kinrayman.\n(a lado): kuska.
ladrar	Anyay.
ladrillo	Sañu tika.
ladrón	Suwa.
lagartija	Sukullukuy, qaraywa.
lago	Qucha.
lágrima	Wiqi.
laguna	Qucha.
lamentable	Waqanapaq.
lamer	Llaqway, llunk'uy.
lana	Millwa, millma.
lancha	Wamp'u.
langosta	Aqarway.
lanza	Chuki.
lanzar	Wikch'uy, qarquy, wikapay.
largo	Suyt'u, suni, hatun.
laringe	Tunqur, tunquri.
lastimarse	Kirikuy.
lastimoso	Llakinapaq.
látigo	Hasut'i, waskha.
lavar	(ropa y cabeza): t'aqsakuy.\n(manos y pies): mayllakuy.\n(la cara): uphakuy.\n(el cuerpo): armakuy.\n(la boca): muqch'ikuy, chumchikuy.
lazo	Qara waskha.
leche	Ñuñu.
lecho	Puñuna.
lechuza	Ch'usiq, tuku.
legaña	Ch'uqñi, wiqti.
lejano	Karu.
lengua	Qallu.
leña	Llamt'a, yanta.
león	Puma.
letrado	Hamawt'a, yachaq.
levadura	Qunchu, p'uchqu.
levantar	(alzar): huqariy.\n(poner verticalmente): sayachiy.\n(en brazos): marq'ay.
levantarse	Hatariy, sayariy.
liar	Wankuy, watay.
libélula	Kachi suwa, chukcha k'utu.
libertar	Qispichiy.
libre	Munayniyuq.
licuar	Unuyachiy, yakuyachiy.
lidiar	Maqanakuy, takanakuy.
liendre	Ch'iya.
ligar	Watay.
ligero	Utqhaq, k'uchi, wayralla.
límite	Qayllan, tukuynin.
limpiar	Pichay.
limpio	Ch'uya, pichasqa.
lindo	Ima sumaq, ancha sumaq.
línea	Siq'i.
líquido	Unu-unu, yaku-yaku.
lirio	Hamank'ay, amankay.
liso	Lluchk'a, llamp'u.
liviano	Llapsalla, chhallalla.
loco	Utiq.
locuaz	Rimaysapa.
lodo	T'uru, mitu.
loma	Pata.
lombriz	K'uyka.
lomo	Wasa.
longevo	Ruku, yuyaq.
loro	Uritu.
lucero	Ch'aska quyllur.
luciérnaga	Pinchi kuru, nina uru.
lucir	K'anchay, llipipiy.
lucro	Miray, miraynin.
luchar	Maqanakuy, qatipanakuy, awqanakuy.
lumbre	Nina, sansa.
luna	Killa.\n(nueva): musuq killa.\n(creciente): wiñay killa, llullu killa.\n(llena): pura killa, puquy killa.\n(conjunción de la luna): wañuy killa.
lunar	Ana.
lustroso	K'anchaq, llipikyaq.
luz	K'anchay, achikyay.
llaga	K'iri.
llama	(de fuego) Rawray, nina.
llamar	Waqyay, qayay.
llanura	Pampa.
llave	Kichakuq.
llegar	Chayay, chayamuy.
llenar	Hunt'ay, winay.
lleno	Hunt'asqa.
llevar	(a alguien): pusay.\n(algo): apay.\n(en brazos): marq'ay.\n(arrastrando): aysay.\n(en camilla): wantuy.\n(en la espalda): q'ipiy.\n(empuñando): hapt'ay.\n(en la falda): millqay.
llorar	Waqay.\n(a gritos): qapariy.
llover	Paray, paramuy.
llovizna	Iphu.
lluvia	Para.
macizo	Anaq.
machacar	Chhamqay.
macho	Urqu.
machorra	Qumi, urwa.
machucar	Ñit'iy.
madera	K'ullu, k'aspi.
madrastra	Qhipa mama.
madre	Mama.
madrugar	Tutapay.
madurar	Puquy.
maduro	Puqusqa, chayasqa.
maestro	Yachachiq.
magnánimo	Sunquyuq, allin runa.
maguey	Chuchaw, paqpa.
maíz	Sara.\n(tierno): chuqllu.\n(sancochado): mut'i.\n(tostado): hamk'a, kamcha.\n(duro): muruchu.\n(envoltorio): p'anqa.\n(tallo): chhalla.\n(flor): parwa.
mal	Mana allin.
malbaratar	Usuchiy, chinkachiy.
maldad	Mana allin kay.
maldecir	Ñakay.
maldito	Ñakasqa, supay runa.
maleficio	Layqay, runap makin.
malestar	Mana allin kay.
maleza	Qura-qura, sach'a-sach'a.
maliciar	Watupakuy, musyapakuy.
malo	Mana allin.
maltratar	Maqay.
malvado	Millay runa.
mamar	Ñuñuy, chuchuy.
mamífero	Ñuñuyuq.
manada	Michina uywa.
manantial	Pukyu.
manar	Phullpuy, lluqsimuy.
manco	Ch'ullan maki, kutu maki.
mancha	Qhilli, map'a, qanra.
mandar	(enviar): kachay.\n(ordenar): kamachiy, willay.
mandíbula	K'aki, k'akichu.
manera	Hina.
mango	(de herramienta) Hap'ina.
maní	Inchik.
mano	Maki.\n(derecha): paña maki, alliq maki.\n(izquierda): lluq'i maki, ichuq maki.\n(de mortero): qulluta.\n(de batán): tunaw, tunay.
manojo	Mayt'u, aptiy, hapt'ay.
manosear	Llap'ipayay, llamk'apayay.
manso	Llamp'u sunqu.
manta	Phullu, lliklla.\n(de cama): qatakuna.
mantener	Uyway, mikhuchiy.
manubrio	Hap'ina.
mañana	(día siguiente): paqarin, q'aya p'unchaw.\n(por la mañana): tutamanta.\n(pasado mañana): minchha.
mañoso	Yachaysapa.
mar	Mama qucha.
maraña	T'ampa, ch'aska, arwi.
marca	Sananpa.
marchar	(viajar) Riy, puriy, illariy.
marchitarse	Ch'akikuy, qawikuy.
maricón	Maqlla.
marido	Qusa.
mariposa	Pillpintu.
martillo	Takana.
más	Aswan.
mascar	(cosas duras): khachuy.\n(cosas jugosas): mullmuy.\n(coca): akuy, akulliy.
masticar	Qamuy, khachuy.
máscara	Saynata.
masculino	(humano): qhari.\n(animal): urqu.
mata	(planta) Yura, sach'a.
matar	Wañuchiy.
materia	(pus) Q'iya.
mayor	(de edad) Kuraq.
mazamorra	Api.
mazorca	Sara kaspa.
mear	Hisp'ay.
mecer	Kuyuchiy, wayllunchay.
mediano	Taksa.
mediar	Chawpichay, amachay.
medicamento	Hampi.
médico	Hampiq, alliyachiq.
medida	Tupu, tupuna.
medio	Chawpi.
medir	Tupuy.
meditar	Yuyaymanay.
medroso	Manchaq.
mejilla	Uya.
mejor	Aswan allin.
mejorar	Allinyay.
melancolía	Llakikuy, phutikuy.
meloso	Misk'i, misk'isapa.
memoria	Yuyay.
mendigar	Uskakuy, mañakuy.
menear	Qaywiy, kuyuchiy.
menor	(en edad) Sullk'a.
menos	Pisi, aslla.
menoscabar	Pisiyachiy.
menospreciar	Allquchay.
mensajero	Kacha, kachasqa.
menstruar	Map'akuy.
mensual	Killanpiq, sapa killa.
mentalmente	Umallapi.
mente	Uma, yuyay.
mentir	Llullay, llullakuy.
menudo	Ñut'u, akapa.
meollo	Ñutq'u.
mercado	Qhatu.
merendar	Mikhuy.
mérito	Kamaynin.
mermar	Pisiyay, chinkariy.
mes	Killa.
mesón	Tampu, samakunawasi.
meter	(algo o a alguien): yaykuchiy.\n(embutir): sat'iy.\n(en un costal): winay.\n(por un hueco): usthuchiy.
mezcla	Chhaqru, chapu.
mezclar	Chhaqruy, chapuy.
mezquino	Mich'aq.
miedo	Manchay.
miedoso	Manchakuq.
miel	Misk'i.
miembro	(genital) Ullu, rani.
mientras	Chaykama.
mierda	Aka.
mil	Waranqa.
mimar	Waylluy.
mina	Q'uya.
mío	Ñuqap.
mirar	Qhaway.
miserable	(avaro): mich'a.\n(desgraciado): wakcha.
mismo	Kiki.
mitad	Ch'iqta.
mitigar	Thaniy.
moco	Qhuña, ñuti.
mocho	Mut'u, kutu.
moderno	Musuq, wamaq.
modo	Hina.
mojar	Huq'uchay, nuyuchiy.
mojón	Saywa.
mole	Wank'a.
moler	Kutay.
molestar	K'uchichiy, phiñachiy.
momia	Mallki.
mono	K'usillu.
montaña	(cerro): urqu.
valle	yunka.
montaraz	K'ita, sallqa.
montón	Tawqa, qutu, suntu.
mordaz	Hayaq simi.
morder	Kaniy.
moreno	Yana.
moribundo	Wañunayaq.
mortaja	Aya p'acha.
mortero	Muchk'a, mutk'a.
mosca	Ch'uspi.
moscardón	Wanquyru, wayrunqu, t'ankayllu.
mostrar	Rikuchiy, qhawachiy.
motín	Hatariy.
motivar	Raykuy.
mover	Kuyuchiy.\n(los líquidos): qaywiy.
móvil	Kuyuq.
movimiento	Kuyuy.
moza	Sipas, p'asña.
mozo	Wayna, maqta.
mucosidad	Llawsa, lawsa.
muchacho	Warma.
mucho	Achkha.
mudar	Tukuy.\n(de domicilio): astakuy.\n(de parecer): t'ikrakuy.
mudo	Upa, mana rimaq.
muela	Maray kiru.
muerte	Wañuy.
muerto	Wañuq, wañusqa, aya.
mugre	Wiswi, qanra.
mujer	Warmi.
muladar	Wanu pata, q'upa-q'upa.
muleta	Tawna, k'aspi.
multiplicar	Mirachiy.
mundo	Tiqsi muyu, pacha.
muñeca	(juguete): wawa pukllana.\n(parte del brazo): maki muqu.
muralla	Pirqa.
murciélago	Masu.
muro	Pirqa.
mutilar	Qhuruy, kutuy.
muy	Ancha, llumpay.
nacer	Paqariy, yuriy; wiñay.
nada	Ch'usaq, mana imapas.
nadar	Wayt'ay.
nadie	Mana pipas.
nalga	Siki, qhipa.
nariz	Sinqa.
narrar	Willay.
naturaleza	Kaynin.
neblina	Phuyu.
necesitar	Muchuy.
negar	Mana niy.
negrear	Yanayay.
negro	Yana.
nervio	Hank'u.
nevada	Rit'i.
nevar	Rit'iy.
nido	Q'isa, q'isacha.
niebla	Phuyu, wapsi.
nieto	Willka.
nieve	Rit'i.
nigua	Piki.
ninguno	Mana pipas.
niño	Wawa.
no	Mana.\n(prohibitivo): ama.
noche	Tuta.
nombrar	Sutinchay.
nombre	Suti.
nosotros	(inclusivo): Ñuqanchik.\n(exclusivo): ñuqayku.
noticia	Willay, willakuy.
nube	Phuyu.
nublar	Phuyuy; llanthuy.
nuca	Qhipa kunka.
nudo	Khipu.
nuera	Qhachun, llumchuy.
nuevamente	Musuqmanta.
nueve	Isqun.
nuevo	Musuq.
nulo	Ñanqa.
numerar	Yupay.
numeroso	Achkha.
nunca	Mana haykap, mana imaypas.
obedecer	Uyakuy, kasukuy.
oblongo	Suyt'u.
obra	Rurana, llamk'ana.
obsequiar	Qukuy.
observar	Qhaway.
obstáculo	Hark'aq.
obstruir	Kirpay, wichq'ay.
ocasión	Rayku.
ocasionar	Raykuy.
ocaso	Intip yaykunan.
ociosidad	Qilla kay, qillanakuy.
ocioso	Qilla.
ocultar	Pakay, p'ampay.
ocho	Pusaq.
odiar	Chiqniy.
ofender	Qamiy, phiñachiy.
ofrecer	Qukuy.
oír	Uyariy.
ojo	Ñawi.
ola	Quchap puqchin.
oler	(percibir): muskhiy.\n(exhalar buen olor): q'apay, sumaq asnay.\n(exhalar mal olor): asnay.
olfato	Sinqa.
olvidar	Qunqay.
olla	Manka.
ombligo	Pupu, puputi.
opinar	Hamutay, yuyaymanay.
oprimir	Ñit'iy.
opulento	qullqisapa.
orar	Mañakuy.
ordenar	(mandar): kamachiy.\n(las cosas): allichay.
ordeñar	Ch'away, qapiy.
oreja	Rinri.
oriente	Intip lluqsimunan.
origen	Qallaykuynin.
orilla	Pata.\n(la otra): chimpa.
orinar	Hisp'ay.
oro	Quri.
ortiga	Kisa, itana.
oscuro	Tuta.
oso	Ukumari.
otro	Huk.
ovar	Runtuy, churay.
ovillo	Kurur.
oyente	Uyariq.
paciencia	Muchuy.
pacificar	Amachay, hawkayachiy.
pacífico	Llamp'u sunqu, qasi sunqu.
pactar	Rimanakuy, ninakuy.
padecer	Ñak'ariy, muchuy.
padrastro	Qhipa tayta.
padre	Yaya, tayta.
padrino	(de bautizo) Marq'aqi.
país	Llaqta.
paisano	Llaqta masi.
paja	Ichu.
pájaro	Pisqu.
palabra	Simi, rimay.
paladear	Malliy, misk'ichikuy.
pálido	Q'illu.
palizada	Qincha.
palmear	T'aqllay.
palo	K'aspi.
paloma	Urpi, urpay.
palpitar	P'atatay, t'ipuqyay.
pan	T'anta.
pantano	T'uru-t'uru, millp'u, siniya.
panteón	Aya wasi.
pantorrilla	Ch'upa.
panza	Wiksa.
pañal	Aka wara.
papá	Yaya, tayta.
papera	Q'utu.
papirote	T'inkay.
par	Yanantin, masantin.
parada	Samana, paskana, sayk'una.
paralizar	Thanisqa, sayk'usqa.
páramo	Purun pampa.
parar	Sayay.
pararse	Sayariy, hatariy.
pardo	Ch'umpi, uqi.
parear	Yananchay, masanchay, kuskachay.
parecer	Rikch'akuy.
pared	Pirqa.
parejo	Kuskalla, kuskapura.
parentela	Ayllu masi, ayllupura.
pariente	Ayllu, yawar masi.
parir	Wachay, wachakuy.
parlar	Rimaykachay.
parpadear	Chimlliykachay, qimllaykachay.
partir	Ch'iqtay, rakiy.
parto	Wachay, wachakuy.
párvulo	Wawa.
pasado	(tiempo) Ñawpaq, qayna.
pasear	Puriykachay.
pasión	Ñakay, ñakariy, muchuy.
paso	Thatkiy, ichiy.
pasto	Q'achu, qiwa.
pastear	Michiy, michipay.
pastor	Michiq, michipakuq.
patear	Hayt'ay.
patata	Papa.
patituerto	Wist'u chaki.
patria	Llaqta.
patrón	Uywaq.
paz	Allin kawsay, qasi kawsay.
peca	Mirkha.
pecado	Hucha.
pecar	Huchallikuy.
pecho	Qhasqu.
pedir	Mañay, mañakuy.
pedo	Supi.
pedregal	Rumi-rumi, ranra-ranra.
pegar	(golpear): maqay.\n(adherir): k'askachiy, laqachiy.
peinar	Ñaqch'ay.
peine	Ñaqch'a.
pelado	Q'ara, q'ala.
pelar	T'iqpay, siplay.
pelear	Maqanakuy, awqanakuy.\n(a trompadas): takanakuy.\n(a puntapiés): hayt'anakuy.\n(a palos): wipyanakuy.
peligro	Ch'iki, manchay.
pelo	Chukcha.
pellejo	Qara.
pellizcar	T'ipiy, t'ipsiy.
pena	Llaki, ñak'arikuy.
pene	Ullu, p'inqay.
penetrar	Yaykuy, usthuy.
pensamiento	Yuyay, yuyaymanay.
pensar	Yuyay, yuyaykuy.
penuria	Muchuy pacha, yarqay pacha.
peña	Qaqa, wank'a.
peón	Llamk'aq.
peor	Aswan mana allin.
pepa	Ruru, muhu.
pequeño	Huch'uy, uchuk.
perder	Chinkay.
perdiz	P'isaq, yuthu.
perdonar	Pampachay.
perecer	Qulluy, tukukuy, wañuy.
pereza	Qillakuy.
perfecto	Sumaq.
perforar	Hutk'uy, uchkuy, tuquy..
perfume	Q'apaq, misk'i asnaq.
pericia	Yachay.
pericote	Huk'ucha.
perito	Yachaq.
permanecer	Kaqlla kay, hina kay.
permitir	Huniy, aniy.
permutar	Rantinakuy.
pero	Ichaqa.
perpetuar	Wiñaychay, unaychay.
perro	Allqu.
perseguir	Qatikachay, qatipay.
persona	Runa.
persuadir	Hunichiy, awnichiy.
perturbar	Chaquy, waqllichiy.
pervertir	Wakllichiy, waqllichiy.
pesado	Llasa, llasaq.
pesar	Llasay.\n(en la balanza): warkuy.\n(dolor): llakikuy.
pesarse	Llakikuy, phutikuy.
pescado	Challwa.
pescar	Challway, challwa hap'iy.
pescuezo	Kunka.
pésimo	Millay-millay.
peso	Llasa, llasaynin.
pesquisa	Tapupayay.
pestaña	Qhichipra.
peste	Muchuy-unquy.
petrificado	Rumiyachisqa.
pez	Challwa.
pezón	Ñuñu, chuchu.
pica	Hatun chuki.
picante	Hayaq.
picar	(al paladar): hayay.\n(la víbora o la pulga): kaniy.\n(las aves): tupsay.
pico	T'apsa, tupsa.
picotear	T'apsay, tupsay.
pie	Chaki.
piedra	Rumi.
piel	Qara.
pierna	Chanka.
pillar	Suway.
pinchar	T'urpuy, tuskiy.
pintar	Llusiy.
piojo	Usa.\n(de gallina): itha, chuchuy.\n(de otros animales): hamak'u.
pisada	Yupi, sarusqa.
pisar	Saruy.
pito	(ave): hak'akllu.\n(instrumento): wisyana, sukana.
placer	Q'uchukuy, kusikuy.
planicie	Pampa.
planta	(vegetal): yura, sach'a, mallki.\n(del pie): saruna.
plantar	Yuray, tarpuy.
plata	Qullqi.
plato	P'uku, mat'i.
playa	Mayu pata, qucha pata.
plazo	Suyana.
plegar	Pataray.
pleno	Hunt'a.
plomizo	Uqi.
plomo	Titi.
pluma	Phuru.
población	Llaqta.
pobre	Wakcha.
pobreza	Wakcha kay.
pocilga	Khuchi wasi.
poco	Pisi, aslla.
podar	Ch'apray.
poder	Atiy, atipay.
poderoso	Atipaq.
podre	Q'iya.
podredumbre	Ismuy.
podrido	Ismusqa.
polilla	Thuta; puyu.
polvo	Allpa.
pomada	Llusikuna.
poner	Churay.
poniente	Intip yaykunan, intip churakunan.
ponzoña	Miyu.
porquería	Qhilli, wiswi, qanra.
portada	Punku.
portar	Apay, apamuy.
portátil	Apanalla.
portillo	Q'asa.
porvenir	Q'aya, hamuq.
posada	Tampu, samakuna.
poseer	Uyway.
positivo	Chiqaq.
posponer	Qhipanchay.
posteridad	Qhipa hamuq.
posterior	Qhipa kaq.
potable	Upyanalla.
potaje	Mikhuy, mikhuna.
potente	Atipaq, kallpayuq.
poyo	Pata.
practicar	Yachapakuy, rurapakuy.
pradera	Waylla pampa.
preceder	Ñawpariy.
precio	Chanin.
precioso	Sumaq.
precipicio	Qaqa, kuchpana.
precisar	Utqhachiy.
precursor	Ñawpariq.
predecir	Watuy, musyay.
pregonar	Waqyaykachay, qayaykachay.
preguntar	Tapuy.
premiar	Saminchay, chaninchay.
prenda	Manu rantiy.
prender	T'ipay, hap'ichiy.\n(la planta): saphichakuy.\n(la vacuna): hap'iy, ratay.\n(la luz): hap'ichiy.
preñada	Wiksayuq, chichu.
preparar	Kamariy, allichay.
presagiar	Watupakuy, musyapakuy.
presencia	Ñawki.
presentar	Rikuchiy, riqsichiy.
preservar	Waqaykachay.
preso	Hap'isqa, watasqa.
prestar	Mañay, manuy.
presuroso	Phawaq, utqhaq.
primero	Ñawpaq.
principal	Qullanan.
principiar	Qallariy.
prisa	Utqhay.
prisión	Watay wasi, wichq'ana.
privar	(despojar) Qichuy.
probar	Malliy.
producir	Wachay, miray.
profundo	Ukhu.
profuso	Achkha, nanaq.
prohibir	Hark'ay, ama niy.
prohijar	(el varón): churichakuy.\n(la mujer): wawachakuy.
prójimo	Runa masi, niraq masi.
proletario	Wakcha, mana imayuq.
prolongar	Unachiy.
propagar	Mirachiy, mismichiy.
propalar	Willaykachay.
propietario	Kaqniyuq.
prorrogar	Suchuchiy.
proteger	Amachay, yanapay.
provincia	Suyu.
prueba	Mallina.
publicar	Yachachiy, willaykachay.
pudrir	Ismuy.
pueblo	Llaqta.
puente	Chaka.
puerta	Punku.
pues	Ari.
pujar	Qamay.
pulga	Piki.
pulir	Lluchk'ayachiy, llamp'uyachiy.
pulmón	Surq'an.
pulverizar	Ñut'uchiy.
punta	Ñawch'i.
punzar	T'urpuy, tuksiy.
puñada	Takay.
puñado	Hapt'ay, phuqtuy, putquy.
pupila	Ñawi ruru.
purificar	Ch'uyayay.
puro	Ch'uya sunqu.
pus	Q'iya.
putrefacto	ismusqa.
qué	Ima.
quebrada	Wayq'u.
quebrar	P'akikuy.
quedar	Qhipay.
quehacer	Rurana.
quemado	Ruphasqa, kañasqa.
quemar	(el sol): ruphay.\n(el fuego): kañay.
querer	Munay, khuyay.
quién	Pi.
quieto	Qasilla.
quijada	K'aki, kakichu.
quitar	Qichuy, waykay.
quizás	icha, ichapas, paqta.
rabia	Phiñay, phiñakuy.
rabiar	Phiñakuy.
rabioso	Phiña.
rabo	Chupa.
racional	Yuyayniyuq.
radicarse	Saphinchakuy.
raíz	Saphi.
rajado	Ch'iqtasqa; raqrasqa.
rajar	Ch'iqtay.
rama	K'allma, ch'apra.
rana	K'ayra.
rapar	Rutuy.
rápido	Utqhay, phaway.
rapiña	Suway, waykakuy.
rascar	Hasp'iy, achpiy.
rasgar	Llik'iy.
raspar	Thupay.
rastrear	Yupipay.
rastro	Yupi.
rato	Pacha, chaylla.
ratón	Huk'ucha.
raya	Siq'i.
rayos	(del sol) Intip wach'in, intip sapran.
razón	Yuyay, unanchay.
realidad	Chiqan.
realizar	Ruray.
reanimar	Kallpanchay.
rebajar	(el precio) Uraykachiy.
rebaño	Michina.
rebelde	Mana munaq, mana kasukuq.
rebelión	Hatariy.
recaer	Musuqmanta urmay.
recapacitar	Hamutakuy, yuyaymanay.
recaudar	Huñuy.
receloso	Manchakuq.
recibir	Chaskiy.
recién	Chayraq, chaylla.
reciente	Wamaq, musuq.
recio	Sinchi, rakhu.
reclinar	Sirichiy.
recluir	Wichq'ay.
recodo	K'uchu.
recoger	Pallay; tantay, huñuy.
recolectar	Huñuy, tantay, suntuy.
recompensar	Kutichiy.
reconocer	Riqsiy.
reconvenir	Anyay, kunay.
recordar	Yuyay.
recorrer	Puriykachay.
recortar	Kuchupay.
recostarse	Waqtapakuy.
recoveco	Q'inqu.
recrearse	Hawkakuy, waynarikuy, kusikuy.
rectificar	Chiqanchay.
recto	Chiqan, allin.
recuerdo	Yuyay.
recurrir	Mañakuy, riy.
redil	Kancha.
redimir	Qispichiy.
redondear	Muyuchay, ruyruchay.
redondo	Muyu, ruyru.
reducir	Taksayachiy, huch'uyachiy, pisiyachiy.
referir	Willay.
reflexionar	Yuyaykuy, yuyaymanay.
reformar	Allichay.
refregar	Qaquy.
refrescar	Chiriyachiy.
refugiarse	Pakaykukuy.
refulgir	Lliplliy, k'anchariy.
regalar	Quy, quykuy.
regañar	Phiñaykachakuy.
regar	(la sementera): qarpay, parquy.\n(para barrer): ch'aqchuy.\n(rociando): ch'allay, maqchiy.
regazo	Millqay.
región	Suyu.
regir	Kamachikuy.
registrar	Qhaway, qhawapayay.
regocijarse	Quchukuy, kusikuy.
regoldar	Hap'ay, kakyay.
regresar	(allá): kutiy, kutiriy.\n(acá): kutimuy, kutirimuy.
rehacer	Kutipay, rurapay.
rehuir	Ayqiriy.
rehusar	Mana munay.
reina	Quya.
reír	Asiy, asikuy.
rejuvenecer	(el varón): waynayay.\n(la mujer): sipasyay.
relámpago	Illapa, wakri.
relampaguear	Llipyay, wakriy.
relatar	Willay, willakuy.
relucir	Llipipiy, k'anchay.
rellenar	Hunt'achiy, winay.
remanente	Puchu, puchun.
rematar	Tukuy, tukupuy, p'uchukay.
remedar	Yachapayay.
remediar	Allichay, allichapuy.
remedio	Hampi, allichay.
remendar	Ratapay.
remitente	Apachiq.
remolino	(de agua): puyunkuy, mayu millp'u.\n(de viento): antay qunchuy, muyuq wayra.
remoto	Kara.
remover	Kuyurichiy.
renacuajo	Huq'ullu, ultu.
rencor	Chiqniy; chiqnikuy.
rendija	Raqra.
renovar	Musuqyachiy.
renunciar	Haqipuy, mana munay.
reñir	Anyay, k'amiy.
reo	Huchallikuq.
reparar	Allinyachiy.
repartir	Aypuy, rakiy, rakipay.
repasar	Kutipay.
repelar	Rutuy; t'iray.
repeler	Chuqay, wikapay.
repentinamente	Qunqaylla.
repetir	Kutipay.
repleto	Hunt'a, usuy-usuy.
reponer	Churapuy, kutichipuy.
reposar	Samakuy, tiyakuy.
reprender	Anyay.
reprobar	Millay, chiqniy.
reprochar	Uyanchay.
reproducir	Miray, wiñachiy.
reptil	Lluqaq uywa.
repugnante	Millana, millachikuq.
